ENSGAFP00000025615	ENSGAFG00000017298	Gambusia_affinis
ENSCLAP00000012748	ENSCLAG00000008802	Chinchilla_lanigera
ENSNSUP00000020646	ENSNSUG00000014553	Notechis_scutatus
ENSTSYP00000006769	ENSTSYG00000007383	Carlito_syrichta
ENSPCOP00000004898	ENSPCOG00000013210	Propithecus_coquereli
ENSZALP00000001579	ENSZALG00000001844	Zonotrichia_albicollis
ENSTGEP00000023260	ENSTGEG00000018830	Theropithecus_gelada
ENSCPRP00005013319	ENSCPRG00005009420	Crocodylus_porosus
ENSDCDP00000048115	ENSDCDG00000028046	Denticeps_clupeoides
ENSTGUP00000006142	ENSTGUG00000005894	Taeniopygia_guttata
ENSCHAP00000026466	ENSCHAG00000012807	Clupea_harengus
ENSAMXP00000038838	ENSAMXG00000012478	Astyanax_mexicanus_Astyanax_mexicanus-2.0
F29D10.4.1	WBGene00002035	Caenorhabditis_elegans_strain_N2
ENSMOCP00000014505	ENSMOCG00000013989	Microtus_ochrogaster
ENSMAUP00000006489	ENSMAUG00000008399	Mesocricetus_auratus
ENSCCNP00000033005	ENSCCNG00000031269	Castor_canadensis
ENSCPUP00000023311	ENSCPUG00000015833	Calidris_pugnax
MGP_CAROLIEiJ_P0088531	MGP_CAROLIEiJ_G0032401	Mus_caroli_strain_CAROLI_EIJ
ENSEBUP00000025388	ENSEBUG00000015639	Eptatretus_burgeri
ENSECRP00000031289	ENSECRG00000021197	Erpetoichthys_calabaricus
ENSPVAP00000000571	ENSPVAG00000000606	Pteropus_vampyrus
ENSPPAP00000039066	ENSPPAG00000042211	Pan_paniscus
ENSCCAP00000038833	ENSCCAG00000037233	Cebus_capucinus_imitator
ENSVURP00010024345	ENSVURG00010018655	Vombatus_ursinus
ENSSDUP00000024672	ENSSDUG00000017859	Seriola_dumerili	ENSSDUT00000025131
ENSARWP00000008808	ENSARWG00000006163	Apteryx_rowi
MGP_PahariEiJ_P0024162	MGP_PahariEiJ_G0015265	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000022232	ENSMUGG00000018659	Meriones_unguiculatus
ENSFCAP00000048082	ENSFCAG00000009414	Felis_catus
ENSNVIP00000000260	ENSNVIG00000000225	Neovison_vison
ENSMSIP00000029220	ENSMSIG00000024480	Mus_spicilegus
ENSACAP00000015047	ENSACAG00000015242	Anolis_carolinensis
ENSCGRP00001014943	ENSCGRG00001015678	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUGP00000008776	ENSMUGG00000007406	Meriones_unguiculatus
ENSLACP00000000392	ENSLACG00000000352	Latimeria_chalumnae
ENSXMAP00000037934	ENSXMAG00000006657	Xiphophorus_maculatus
ENSOPRP00000014282	ENSOPRG00000015605	Ochotona_princeps
ENSGGOP00000007489	ENSGGOG00000007653	Gorilla_gorilla
ENSBTAP00000053355	ENSBTAG00000021538	Bos_taurus
ENSGAGP00000030788	ENSGAGG00000021787	Gopherus_agassizii
ENSMEUP00000014913	ENSMEUG00000016292	Notamacropus_eugenii
ENSPTIP00000000964	ENSPTIG00000002391	Panthera_tigris_altaica
ENSCPOP00000028178	ENSCPOG00000002570	Cavia_porcellus
ENSMNEP00000000709	ENSMNEG00000002815	Macaca_nemestrina
ENSPVIP00000025270	ENSPVIG00000018524	Pogona_vitticeps
ENSETEP00000016018	ENSETEG00000019717	Echinops_telfairi
ENSTTRP00000004972	ENSTTRG00000005265	Tursiops_truncatus
ENSPCIP00000032168	ENSPCIG00000023881	Phascolarctos_cinereus
ENSCSAP00000008227	ENSCSAG00000012036	Chlorocebus_sabaeus
ENSPKIP00000039346	ENSPKIG00000016721	Paramormyrops_kingsleyae	ENSPKIT00000020350
ENSPREP00000034308	ENSPREG00000023226	Poecilia_reticulata
ENSEEEP00000038659	ENSEEEG00000018229	Electrophorus_electricus
ENSFHEP00000029351	ENSFHEG00000014129	Fundulus_heteroclitus
ENSMGAP00000018483	ENSMGAG00000016492	Meleagris_gallopavo
ENSCAFP00000024489	ENSCAFG00000016635	Canis_lupus_familiaris
ENSLAFP00000004043	ENSLAFG00000004825	Loxodonta_africana
ENSGAGP00000011451	ENSGAGG00000008835	Gopherus_agassizii
ENSUAMP00000007577	ENSUAMG00000006435	Ursus_americanus
ENSTNIP00000012204	ENSTNIG00000009336	Tetraodon_nigroviridis
ENSCCEP00000022174	ENSCCEG00000020052	Cyanistes_caeruleus
ENSCMIP00000048885	ENSCMIG00000019954	Callorhinchus_milii
ENSMGAP00000005134	ENSMGAG00000005190	Meleagris_gallopavo
ENSCSEP00000002482	ENSCSEG00000001649	Cynoglossus_semilaevis
ENSLBEP00000034298	ENSLBEG00000025760	Labrus_bergylta
ENSMLEP00000008105	ENSMLEG00000028117	Mandrillus_leucophaeus
ENSCGRP00015023180	ENSCGRG00015017513	Cricetulus_griseus_CriGri-PICR
ENSPMEP00000024081	ENSPMEG00000006249	Poecilia_mexicana
ENSRNOP00000074970	ENSRNOG00000061928	Rattus_norvegicus
ENSPCAP00000015432	ENSPCAG00000016411	Procavia_capensis
ENSAOCP00000025201	ENSAOCG00000012661	Amphiprion_ocellaris
ENSMODP00000011071	ENSMODG00000008886	Monodelphis_domestica
ENSPANP00000014092	ENSPANG00000017196	Papio_anubis
ENSMUNP00000020565	ENSMUNG00000015614	Melopsittacus_undulatus
ENSPEMP00000023652	ENSPEMG00000020628	Peromyscus_maniculatus_bairdii
ENSSLDP00000017453	ENSSLDG00000013745	Seriola_lalandi_dorsalis
ENSHBUP00000011020	ENSHBUG00000012739	Haplochromis_burtoni
ENSHGLP00000021166	ENSHGLG00000015124	Heterocephalus_glaber_HetGla_female_1.0
ENSHHUP00000064057	ENSHHUG00000037783	Hucho_hucho
ENSDNOP00000002800	ENSDNOG00000003626	Dasypus_novemcinctus
ENSLSDP00000021795	ENSLSDG00000015397	Lonchura_striata_domestica
ENSSARP00000009143	ENSSARG00000010058	Sorex_araneus
ENSCAPP00000008935	ENSCAPG00000010473	Cavia_aperea
ENSUPAP00010024743	ENSUPAG00010019578	Urocitellus_parryii
ENSHCOP00000002239	ENSHCOG00000003366	Hippocampus_comes
ENSEASP00005009503	ENSEASG00005006777	Equus_asinus_asinus
ENSMUGP00000010954	ENSMUGG00000008239	Meriones_unguiculatus
ENSKMAP00000009838	ENSKMAG00000007336	Kryptolebias_marmoratus
ENSBSLP00000025033	ENSBSLG00000012610	Betta_splendens
ENSBMUP00000007626	ENSBMUG00000005995	Bos_mutus
ENSPNYP00000018287	ENSPNYG00000013794	Pundamilia_nyererei
ENSFALP00000012899	ENSFALG00000012355	Ficedula_albicollis
ENSCVAP00000004235	ENSCVAG00000005624	Cyprinodon_variegatus
ENSSPAP00000007818	ENSSPAG00000005944	Stegastes_partitus
ENSORLP00020008169	ENSORLG00020009129	Oryzias_latipes_ASM223471v1
ENSIPUP00000034621	ENSIPUG00000023240	Ictalurus_punctatus
ENSLOCP00000016846	ENSLOCG00000013657	Lepisosteus_oculatus
ENSCPGP00000016127	ENSCPGG00000011355	Calidris_pygmaea
ENSHHUP00000069911	ENSHHUG00000040892	Hucho_hucho
ENSEEUP00000001805	ENSEEUG00000001972	Erinaceus_europaeus
MGP_SPRETEiJ_P0092158	MGP_SPRETEiJ_G0033539	Mus_spretus_strain_SPRET/EiJ
ENSAPEP00000017109	ENSAPEG00000012148	Amphiprion_percula
ENSAMXP00005022110	ENSAMXG00005010378	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACLP00000003650	ENSACLG00000002428	Astatotilapia_calliptera
ENSSMRP00000012950	ENSSMRG00000010092	Salvator_merianae
ENSGALP00000006589	ENSGALG00000004150	Gallus_gallus
ENSNMEP00000025496	ENSNMEG00000021324	Numida_meleagris
ENSSCAP00000023065	ENSSCAG00000016544	Serinus_canaria
ENSRBIP00000002789	ENSRBIG00000011941	Rhinopithecus_bieti
ENSSMRP00000029471	ENSSMRG00000022655	Salvator_merianae
ENSMALP00000030977	ENSMALG00000021388	Monopterus_albus
ENSSPUP00000001391	ENSSPUG00000001059	Sphenodon_punctatus
ENSLCOP00000006067	ENSLCOG00000004498	Lepidothrix_coronata
ENSGAGP00000005734	ENSGAGG00000004661	Gopherus_agassizii	ENSGAGT00000006684
ENSNSUP00000003056	ENSNSUG00000002495	Notechis_scutatus
ENSCANP00000039587	ENSCANG00000043454	Colobus_angolensis_palliatus
ENSACIP00000002345	ENSACIG00000001861	Amphilophus_citrinellus
ENSOANP00000033088	ENSOANG00000031113	Ornithorhynchus_anatinus
ENSSSCP00000072733	ENSSSCG00000004587	Sus_scrofa_strain_reference
ENSATEP00000005568	ENSATEG00000003859	Anabas_testudineus
ENSOARP00000022391	ENSOARG00000020833	Ovis_aries
ENSABRP00000018729	ENSABRG00000015343	Anser_brachyrhynchus
ENSMVIP00005023627	ENSMVIG00005016568	Manacus_vitellinus
ENSPLAP00000023110	ENSPLAG00000008254	Poecilia_latipinna
ENSTRUP00000049320	ENSTRUG00000017723	Takifugu_rubripes
ENSCAFP00020013664	ENSCAFG00020011013	Canis_lupus_dingo
ENSLCAP00010034043	ENSLCAG00010014893	Lates_calcarifer
ENSOCUP00000013606	ENSOCUG00000015835	Oryctolagus_cuniculus
ENSMLUP00000012305	ENSMLUG00000013511	Myotis_lucifugus
ENSSFOP00015022437	ENSSFOG00015014384	Scleropages_formosus
ENSVVUP00000001882	ENSVVUG00000001541	Vulpes_vulpes
ENSRROP00000019716	ENSRROG00000033829	Rhinopithecus_roxellana
ENSODEP00000023150	ENSODEG00000016979	Octodon_degus
ENSMAUP00000007234	ENSMAUG00000008961	Mesocricetus_auratus
ENSAPOP00000010184	ENSAPOG00000012714	Acanthochromis_polyacanthus	ENSAPOT00000000278
ENSAMEP00000005037	ENSAMEG00000004643	Ailuropoda_melanoleuca
ENSSMAP00000000476	ENSSMAG00000000273	Scophthalmus_maximus
ENSSBOP00000034859	ENSSBOG00000033519	Saimiri_boliviensis_boliviensis
ENSPNAP00000014407	ENSPNAG00000020407	Pygocentrus_nattereri
ENSHHUP00000023827	ENSHHUG00000014951	Hucho_hucho
ENSCPBP00000011819	ENSCPBG00000008968	Chrysemys_picta_bellii
ENSJHYP00000021492	ENSJHYG00000016257	Junco_hyemalis
ENSPTRP00000012180	ENSPTRG00000007124	Pan_troglodytes
ENSORLP00015006492	ENSORLG00015007394	Oryzias_latipes_ASM223469v1
ENSVPAP00000011604	ENSVPAG00000012482	Vicugna_pacos
ENSPRNP00000055600	ENSPRNG00000025778	Parambassis_ranga
ENSACAP00000000689	ENSACAG00000000455	Anolis_carolinensis
ENSBIXP00005016046	ENSBIXG00005019811	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00000019589	ENSCGRG00000014263	Cricetulus_griseus_CriGri_1.0
ENSGWIP00000053138	ENSGWIG00000024984	Gouania_willdenowi
ENSP00000288235	ENSG00000157483	Homo_sapiens
ENSSFOP00015037823	ENSSFOG00015024079	Scleropages_formosus
ENSSPUP00000000608	ENSSPUG00000000431	Sphenodon_punctatus
ENSCGOP00000007610	ENSCGOG00000001564	Cottoperca_gobio
ENSSTOP00000001154	ENSSTOG00000001282	Ictidomys_tridecemlineatus
ENSPPRP00000023478	ENSPPRG00000013746	Panthera_pardus
ENSANAP00000027084	ENSANAG00000031231	Aotus_nancymaae
ENSMICP00000010584	ENSMICG00000011619	Microcebus_murinus
ENSCJAP00000003597	ENSCJAG00000001979	Callithrix_jacchus
ENSLCRP00005032177	ENSLCRG00005009209	Larimichthys_crocea
ENSBIXP00000015945	ENSBIXG00000003709	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPFOP00000004038	ENSPFOG00000003451	Poecilia_formosa
ENSDARP00000052538	ENSDARG00000036179	Danio_rerio
ENSPMAP00000001428	ENSPMAG00000001264	Petromyzon_marinus
ENSMUSP00000034745	ENSMUSG00000032220	Mus_musculus_strain_reference_(CL57BL6)
ENSOMEP00000022429	ENSOMEG00000001981	Oryzias_melastigma
ENSCATP00000021368	ENSCATG00000034350	Cercocebus_atys
ENSELUP00000013613	ENSELUG00000013729	Esox_lucius
ENSCHIP00000010865	ENSCHIG00000013110	Capra_hircus
ENSHGLP00100004893	ENSHGLG00100003705	Heterocephalus_glaber_HetGla_1.0
ENSJJAP00000005515	ENSJJAG00000010416	Jaculus_jaculus
ENSNBRP00000013391	ENSNBRG00000010346	Neolamprologus_brichardi
ENSECAP00000022078	ENSECAG00000024352	Equus_caballus
ENSCABP00000011351	ENSCABG00000008446	Chelonoidis_abingdonii
ENSAOWP00000012824	ENSAOWG00000008101	Apteryx_owenii
