ENSBTAP00000002618	ENSBTAG00000002020	Bos_taurus
ENSMAMP00000003909	ENSMAMG00000002662	Mastacembelus_armatus
ENSXMAP00000024263	ENSXMAG00000021763	Xiphophorus_maculatus
ENSLBEP00000001313	ENSLBEG00000001041	Labrus_bergylta
ENSMALP00000026691	ENSMALG00000018536	Monopterus_albus
ENSP00000296953	ENSG00000164463	Homo_sapiens
ENSMFAP00000006820	ENSMFAG00000036600	Macaca_fascicularis
ENSMUGP00000007149	ENSMUGG00000006564	Meriones_unguiculatus
ENSIPUP00000008265	ENSIPUG00000005676	Ictalurus_punctatus
ENSGWIP00000004188	ENSGWIG00000002246	Gouania_willdenowi
ENSATEP00000032159	ENSATEG00000022142	Anabas_testudineus
ENSNVIP00000028438	ENSNVIG00000021945	Neovison_vison
ENSOGAP00000016692	ENSOGAG00000030210	Otolemur_garnettii
ENSMAUP00000017705	ENSMAUG00000016495	Mesocricetus_auratus
ENSLBEP00000017434	ENSLBEG00000013442	Labrus_bergylta
ENSORLP00020034533	ENSORLG00020000628	Oryzias_latipes_ASM223471v1
ENSEASP00005017234	ENSEASG00005011938	Equus_asinus_asinus
ENSAMXP00000035893	ENSAMXG00000000435	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPLAP00000030913	ENSPLAG00000022424	Poecilia_latipinna
ENSZALP00000014457	ENSZALG00000011899	Zonotrichia_albicollis
ENSPMJP00000007904	ENSPMJG00000006480	Parus_major
ENSAOCP00000029773	ENSAOCG00000020282	Amphiprion_ocellaris
ENSMMOP00000014376	ENSMMOG00000011004	Mola_mola
ENSHHUP00000003728	ENSHHUG00000002353	Hucho_hucho
ENSSPAP00000020745	ENSSPAG00000015648	Stegastes_partitus
ENSECRP00000001576	ENSECRG00000001109	Erpetoichthys_calabaricus
ENSNBRP00000004672	ENSNBRG00000003698	Neolamprologus_brichardi
ENSHHUP00000072983	ENSHHUG00000042847	Hucho_hucho	ENSHHUT00000075389
ENSHBUP00000003274	ENSHBUG00000004512	Haplochromis_burtoni
ENSPCOP00000024135	ENSPCOG00000024235	Propithecus_coquereli
ENSORLP00000002966	ENSORLG00000002384	Oryzias_latipes_ASM223467v1
ENSPRNP00000040607	ENSPRNG00000019946	Parambassis_ranga
ENSPCIP00000033001	ENSPCIG00000024487	Phascolarctos_cinereus
ENSPKIP00000037120	ENSPKIG00000015431	Paramormyrops_kingsleyae	ENSPKIT00000018078
ENSBSLP00000013463	ENSBSLG00000007135	Betta_splendens
ENSSSCP00000046281	ENSSSCG00000016986	Sus_scrofa_strain_reference
ENSCVAP00000001968	ENSCVAG00000003007	Cyprinodon_variegatus
ENSMAMP00000031477	ENSMAMG00000021202	Mastacembelus_armatus
ENSSFOP00015027822	ENSSFOG00015017854	Scleropages_formosus
ENSPLAP00000005552	ENSPLAG00000007488	Poecilia_latipinna
ENSPNYP00000022219	ENSPNYG00000016767	Pundamilia_nyererei
ENSAPOP00000026120	ENSAPOG00000009721	Acanthochromis_polyacanthus
ENSCPRP00005011071	ENSCPRG00005007915	Crocodylus_porosus
FBpp0110093	FBgn0039209	Drosophila_melanogaster
ENSLCRP00005063083	ENSLCRG00005023140	Larimichthys_crocea
ENSSHAP00000008907	ENSSHAG00000007714	Sarcophilus_harrisii
ENSDORP00000024755	ENSDORG00000025737	Dipodomys_ordii
ENSCCNP00000026401	ENSCCNG00000025622	Castor_canadensis
ENSPPAP00000033994	ENSPPAG00000039864	Pan_paniscus
ENSSMRP00000000266	ENSSMRG00000000260	Salvator_merianae
ENSSFOP00015000241	ENSSFOG00015000199	Scleropages_formosus
ENSPKIP00000016546	ENSPKIG00000002819	Paramormyrops_kingsleyae
ENSSLDP00000005993	ENSSLDG00000004774	Seriola_lalandi_dorsalis
ENSCVAP00000027507	ENSCVAG00000013884	Cyprinodon_variegatus
ENSPVAP00000003067	ENSPVAG00000003249	Pteropus_vampyrus
ENSONIP00000010872	ENSONIG00000008647	Oreochromis_niloticus
ENSMODP00000031186	ENSMODG00000006184	Monodelphis_domestica
ENSFHEP00000001804	ENSFHEG00000002561	Fundulus_heteroclitus
ENSTGUP00000000319	ENSTGUG00000000314	Taeniopygia_guttata
ENSPVIP00000009946	ENSPVIG00000007918	Pogona_vitticeps
ENSECRP00000019219	ENSECRG00000012865	Erpetoichthys_calabaricus
ENSCHIP00000008581	ENSCHIG00000011720	Capra_hircus
ENSCGRP00015026759	ENSCGRG00015020262	Cricetulus_griseus_CriGri-PICR
ENSOCUP00000000035	ENSOCUG00000000038	Oryctolagus_cuniculus
ENSFDAP00000007875	ENSFDAG00000016267	Fukomys_damarensis
ENSMLEP00000000243	ENSMLEG00000000513	Mandrillus_leucophaeus
ENSPREP00000031210	ENSPREG00000021136	Poecilia_reticulata
ENSLCAP00010037561	ENSLCAG00010017607	Lates_calcarifer
ENSHHUP00000051421	ENSHHUG00000030955	Hucho_hucho
ENSOPRP00000000613	ENSOPRG00000000677	Ochotona_princeps
ENSMSIP00000030618	ENSMSIG00000025640	Mus_spicilegus
ENSOMEP00000026045	ENSOMEG00000000190	Oryzias_melastigma
ENSCJAP00000035661	ENSCJAG00000019193	Callithrix_jacchus
ENSDARP00000133956	ENSDARG00000105114	Danio_rerio
ENSMZEP00005033810	ENSMZEG00005025280	Maylandia_zebra
ENSTRUP00000056930	ENSTRUG00000025299	Takifugu_rubripes
ENSHCOP00000006852	ENSHCOG00000008711	Hippocampus_comes
ENSGAFP00000006984	ENSGAFG00000004754	Gambusia_affinis
ENSHGLP00100013946	ENSHGLG00100010318	Heterocephalus_glaber_HetGla_1.0
ENSGMOP00000012801	ENSGMOG00000011963	Gadus_morhua
ENSCGRP00000021454	ENSCGRG00000015578	Cricetulus_griseus_CriGri_1.0
ENSSFOP00015024801	ENSSFOG00015015940	Scleropages_formosus	ENSSFOT00015025069
ENSVVUP00000002807	ENSVVUG00000002198	Vulpes_vulpes
ENSDNOP00000027580	ENSDNOG00000038335	Dasypus_novemcinctus
ENSPEMP00000021505	ENSPEMG00000019136	Peromyscus_maniculatus_bairdii
ENSLOCP00000011190	ENSLOCG00000009174	Lepisosteus_oculatus
ENSGWIP00000044357	ENSGWIG00000022094	Gouania_willdenowi
ENSTGEP00000016007	ENSTGEG00000012938	Theropithecus_gelada
ENSPCAP00000010802	ENSPCAG00000011606	Procavia_capensis
ENSAOCP00000019961	ENSAOCG00000003726	Amphiprion_ocellaris
ENSMUSP00000059102	ENSMUSG00000048249	Mus_musculus_strain_reference_(CL57BL6)
ENSPNAP00000036670	ENSPNAG00000027734	Pygocentrus_nattereri
ENSKMAP00000010019	ENSKMAG00000007522	Kryptolebias_marmoratus
ENSTSYP00000003640	ENSTSYG00000003978	Carlito_syrichta
ENSSDUP00000027510	ENSSDUG00000019886	Seriola_dumerili
ENSMLUP00000000426	ENSMLUG00000000465	Myotis_lucifugus
ENSBSLP00000016544	ENSBSLG00000008717	Betta_splendens
ENSPTRP00000029956	ENSPTRG00000017540	Pan_troglodytes
ENSOMEP00000028551	ENSOMEG00000011680	Oryzias_melastigma
ENSCCAP00000036630	ENSCCAG00000036235	Cebus_capucinus_imitator
ENSBBBP00000018686	ENSBBBG00000011711	Bison_bison_bison
ENSLCRP00005033189	ENSLCRG00005013069	Larimichthys_crocea
ENSDCDP00000061412	ENSDCDG00000035043	Denticeps_clupeoides
ENSCPUP00000011069	ENSCPUG00000007846	Calidris_pugnax
ENSGAGP00000025767	ENSGAGG00000018807	Gopherus_agassizii
ENSJHYP00000007186	ENSJHYG00000005771	Junco_hyemalis
ENSCAFP00020013907	ENSCAFG00020011261	Canis_lupus_dingo
ENSCJPP00005010099	ENSCJPG00005008833	Coturnix_japonica
ENSCSAP00000005805	ENSCSAG00000009545	Chlorocebus_sabaeus
ENSNPEP00000004832	ENSNPEG00000003691	Nothoprocta_perdicaria
ENSDNVP00000019859	ENSDNVG00000013898	Dromaius_novaehollandiae
ENSLCAP00010045405	ENSLCAG00010021095	Lates_calcarifer
ENSAOWP00000016189	ENSAOWG00000011034	Apteryx_owenii
ENSPMEP00000022334	ENSPMEG00000003175	Poecilia_mexicana
ENSELUP00000023914	ENSELUG00000022756	Esox_lucius
ENSABRP00000017301	ENSABRG00000015069	Anser_brachyrhynchus
ENSHGLP00000025001	ENSHGLG00000017817	Heterocephalus_glaber_HetGla_female_1.0
ENSPTEP00000033148	ENSPTEG00000031713	Piliocolobus_tephrosceles
ENSGACP00000027056	ENSGACG00000020462	Gasterosteus_aculeatus
ENSCABP00000019143	ENSCABG00000014125	Chelonoidis_abingdonii
ENSTRUP00000034479	ENSTRUG00000013514	Takifugu_rubripes
ENSAMXP00005002754	ENSAMXG00005001662	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCGRP00001005500	ENSCGRG00001007231	Cricetulus_griseus_CHOK1GS_HDv1
ENSLACP00000012005	ENSLACG00000010566	Latimeria_chalumnae
ENSCCAP00000019460	ENSCCAG00000027575	Cebus_capucinus_imitator
ENSPRNP00000016790	ENSPRNG00000008958	Parambassis_ranga
ENSPNYP00000030931	ENSPNYG00000023311	Pundamilia_nyererei
ENSDCDP00000004244	ENSDCDG00000002170	Denticeps_clupeoides
ENSHGLP00000000084	ENSHGLG00000000108	Heterocephalus_glaber_HetGla_female_1.0
ENSETEP00000001560	ENSETEG00000001924	Echinops_telfairi
ENSARWP00000005037	ENSARWG00000003627	Apteryx_rowi
ENSPANP00000005210	ENSPANG00000013059	Papio_anubis
ENSNMEP00000020908	ENSNMEG00000017942	Numida_meleagris
ENSBIXP00005037250	ENSBIXG00005002650	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCMIP00000028155	ENSCMIG00000012243	Callorhinchus_milii
ENSCPOP00000031594	ENSCPOG00000014384	Cavia_porcellus
ENSUPAP00010028148	ENSUPAG00010022247	Urocitellus_parryii
ENSCSEP00000029195	ENSCSEG00000018697	Cynoglossus_semilaevis
ENSLSDP00000022340	ENSLSDG00000015793	Lonchura_striata_domestica
ENSONIP00000000369	ENSONIG00000000294	Oreochromis_niloticus
ENSATEP00000012629	ENSATEG00000008829	Anabas_testudineus
ENSORLP00020016657	ENSORLG00020017742	Oryzias_latipes_ASM223471v1
ENSMGAP00000003318	ENSMGAG00000003597	Meleagris_gallopavo
ENSMOCP00000005226	ENSMOCG00000004676	Microtus_ochrogaster
ENSEBUP00000018776	ENSEBUG00000011719	Eptatretus_burgeri
ENSRBIP00000034646	ENSRBIG00000041000	Rhinopithecus_bieti
ENSPPYP00000017965	ENSPPYG00000016053	Pongo_abelii
ENSCPBP00000009819	ENSCPBG00000007577	Chrysemys_picta_bellii
ENSHHUP00000060647	ENSHHUG00000035939	Hucho_hucho	ENSHHUT00000062711
ENSSTOP00000003921	ENSSTOG00000004368	Ictidomys_tridecemlineatus
ENSSMAP00000034494	ENSSMAG00000021098	Scophthalmus_maximus
ENSPFOP00000030804	ENSPFOG00000023708	Poecilia_formosa
ENSAPEP00000013936	ENSAPEG00000009939	Amphiprion_percula
ENSMVIP00005024838	ENSMVIG00005017405	Manacus_vitellinus
ENSORLP00000039134	ENSORLG00000027950	Oryzias_latipes_ASM223467v1
MGP_PahariEiJ_P0055783	MGP_PahariEiJ_G0023602	Mus_pahari_strain_PAHARI_EIJ
ENSAOWP00000016194	ENSAOWG00000011039	Apteryx_owenii
ENSPREP00000011569	ENSPREG00000007884	Poecilia_reticulata
ENSRROP00000036464	ENSRROG00000041689	Rhinopithecus_roxellana
ENSPMEP00000000481	ENSPMEG00000001277	Poecilia_mexicana
ENSPFOP00000008189	ENSPFOG00000008174	Poecilia_formosa
ENSXETP00000038308	ENSXETG00000012469	Xenopus_tropicalis
ENSMMUP00000041545	ENSMMUG00000005909	Macaca_mulatta
ENSVURP00010001066	ENSVURG00010000924	Vombatus_ursinus
ENSSPAP00000000827	ENSSPAG00000000649	Stegastes_partitus
ENSAMEP00000011884	ENSAMEG00000011290	Ailuropoda_melanoleuca
ENSMUNP00000012663	ENSMUNG00000009913	Melopsittacus_undulatus
ENSNLEP00000000510	ENSNLEG00000000442	Nomascus_leucogenys
ENSCMIP00000035771	ENSCMIG00000015126	Callorhinchus_milii
ENSSARP00000007108	ENSSARG00000007859	Sorex_araneus
ENSSPUP00000010630	ENSSPUG00000008205	Sphenodon_punctatus
ENSAHAP00000005190	ENSAHAG00000004041	Apteryx_haastii
ENSMALP00000029092	ENSMALG00000020113	Monopterus_albus
ENSGAFP00000004236	ENSGAFG00000002856	Gambusia_affinis
ENSGMOP00000017683	ENSGMOG00000016480	Gadus_morhua
ENSOARP00000004368	ENSOARG00000004089	Ovis_aries
ENSSBOP00000029692	ENSSBOG00000031151	Saimiri_boliviensis_boliviensis
ENSCSEP00000032434	ENSCSEG00000020816	Cynoglossus_semilaevis
ENSHBUP00000014807	ENSHBUG00000016686	Haplochromis_burtoni
ENSCHAP00000001558	ENSCHAG00000001149	Clupea_harengus
ENSMZEP00005019602	ENSMZEG00005014712	Maylandia_zebra
ENSPTIP00000000191	ENSPTIG00000000444	Panthera_tigris_altaica
ENSTTRP00000010077	ENSTTRG00000010630	Tursiops_truncatus
ENSCAPP00000005158	ENSCAPG00000007554	Cavia_aperea
ENSMEUP00000011745	ENSMEUG00000012890	Notamacropus_eugenii
ENSFALP00000009194	ENSFALG00000008816	Ficedula_albicollis
ENSANAP00000022739	ENSANAG00000029119	Aotus_nancymaae
ENSCGOP00000032090	ENSCGOG00000014949	Cottoperca_gobio
ENSVPAP00000011165	ENSVPAG00000011997	Vicugna_pacos
ENSCANP00000009142	ENSCANG00000027965	Colobus_angolensis_palliatus
MGP_CAROLIEiJ_P0043485	MGP_CAROLIEiJ_G0021284	Mus_caroli_strain_CAROLI_EIJ
ENSSLDP00000021501	ENSSLDG00000016793	Seriola_lalandi_dorsalis
ENSXMAP00000000500	ENSXMAG00000000504	Xiphophorus_maculatus
ENSCAFP00000054199	ENSCAFG00000016798	Canis_lupus_familiaris
ENSHHUP00000079460	ENSHHUG00000046320	Hucho_hucho
ENSORLP00015035280	ENSORLG00015021762	Oryzias_latipes_ASM223469v1
ENSODEP00000003078	ENSODEG00000002364	Octodon_degus
ENSECAP00000022070	ENSECAG00000024559	Equus_caballus
ENSSCAP00000020377	ENSSCAG00000014684	Serinus_canaria
ENSUAMP00000036784	ENSUAMG00000027867	Ursus_americanus
