ENSPSIP00000003743	ENSPSIG00000003549	Pelodiscus_sinensis
ENSGMOP00000009974	ENSGMOG00000009325	Gadus_morhua
ENSHCOP00000008891	ENSHCOG00000011343	Hippocampus_comes
ENSAOCP00000024612	ENSAOCG00000011583	Amphiprion_ocellaris
ENSTTRP00000011189	ENSTTRG00000011797	Tursiops_truncatus
ENSPPAP00000042805	ENSPPAG00000043950	Pan_paniscus
ENSLAFP00000025286	ENSLAFG00000027381	Loxodonta_africana
ENSTNIP00000000060	ENSTNIG00000015793	Tetraodon_nigroviridis
ENSPCIP00000048656	ENSPCIG00000027523	Phascolarctos_cinereus
ENSMAMP00000003009	ENSMAMG00000001973	Mastacembelus_armatus
ENSCLAP00000013527	ENSCLAG00000009351	Chinchilla_lanigera
ENSPMJP00000000724	ENSPMJG00000000623	Parus_major
ENSNPEP00000011790	ENSNPEG00000008846	Nothoprocta_perdicaria	ENSNPET00000012092
ENSNGAP00000000393	ENSNGAG00000000292	Nannospalax_galili
ENSDARP00000131912	ENSDARG00000105214	Danio_rerio
ENSBTAP00000064975	ENSBTAG00000001257	Bos_taurus
ENSMSIP00000025070	ENSMSIG00000021104	Mus_spicilegus
ENSAMEP00000004300	ENSAMEG00000004025	Ailuropoda_melanoleuca
ENSABRP00000027688	ENSABRG00000023035	Anser_brachyrhynchus
ENSOARP00000009510	ENSOARG00000008849	Ovis_aries
ENSCATP00000044186	ENSCATG00000044576	Cercocebus_atys
ENSATEP00000020965	ENSATEG00000014559	Anabas_testudineus
ENSMUSP00000022040	ENSMUSG00000021557	Mus_musculus_strain_reference_(CL57BL6)
ENSCPUP00000021939	ENSCPUG00000014912	Calidris_pugnax
ENSACIP00000006413	ENSACIG00000005005	Amphilophus_citrinellus
ENSTBEP00000008483	ENSTBEG00000009768	Tupaia_belangeri
ENSBMUP00000005481	ENSBMUG00000004286	Bos_mutus
ENSNMEP00000020430	ENSNMEG00000017535	Numida_meleagris
ENSOMEP00000021730	ENSOMEG00000023673	Oryzias_melastigma
ENSCSEP00000019592	ENSCSEG00000012500	Cynoglossus_semilaevis
ENSMZEP00005012895	ENSMZEG00005009684	Maylandia_zebra
ENSVVUP00000030878	ENSVVUG00000022526	Vulpes_vulpes
ENSHHUP00000033687	ENSHHUG00000021074	Hucho_hucho
ENSECRP00000008810	ENSECRG00000005910	Erpetoichthys_calabaricus
ENSCPRP00005009797	ENSCPRG00005006984	Crocodylus_porosus
ENSOPRP00000000036	ENSOPRG00000000039	Ochotona_princeps
ENSSDAP00000021871	ENSSDAG00000019834	Spermophilus_dauricus
ENSCAFP00000001958	ENSCAFG00000001358	Canis_lupus_familiaris
ENSMVIP00005013773	ENSMVIG00005009960	Manacus_vitellinus
ENSMPUP00000002160	ENSMPUG00000002182	Mustela_putorius_furo
ENSCGRP00015018891	ENSCGRG00015014482	Cricetulus_griseus_CriGri-PICR
ENSOANP00000020632	ENSOANG00000013047	Ornithorhynchus_anatinus
MGP_PahariEiJ_P0041239	MGP_PahariEiJ_G0019667	Mus_pahari_strain_PAHARI_EIJ
ENSNSUP00000019789	ENSNSUG00000014453	Notechis_scutatus	ENSNSUT00000021070
ENSTGUP00000003165	ENSTGUG00000003071	Taeniopygia_guttata	ENSTGUT00000003195
ENSFDAP00000022338	ENSFDAG00000007066	Fukomys_damarensis
ENSTGUP00000003161	ENSTGUG00000003066	Taeniopygia_guttata	ENSTGUT00000003191
ENSMNEP00000006556	ENSMNEG00000027437	Macaca_nemestrina
ENSMGAP00000006471	ENSMGAG00000006444	Meleagris_gallopavo
ENSTRUP00000022788	ENSTRUG00000009063	Takifugu_rubripes
ENSXMAP00000028430	ENSXMAG00000016766	Xiphophorus_maculatus
ENSCCEP00000010747	ENSCCEG00000010607	Cyanistes_caeruleus
ENSHGLP00000024872	ENSHGLG00000017732	Heterocephalus_glaber_HetGla_female_1.0
ENSONIP00000018867	ENSONIG00000014987	Oreochromis_niloticus
ENSARWP00000014861	ENSARWG00000010133	Apteryx_rowi	ENSARWT00000016961
ENSEEUP00000000449	ENSEEUG00000000504	Erinaceus_europaeus
ENSCHAP00000054334	ENSCHAG00000024424	Clupea_harengus
ENSORLP00020018619	ENSORLG00020019586	Oryzias_latipes_ASM223471v1
ENSSMAP00000031566	ENSSMAG00000019334	Scophthalmus_maximus
ENSP00000338512	ENSG00000135049	Homo_sapiens
ENSPFOP00000018866	ENSPFOG00000018733	Poecilia_formosa
ENSCVAP00000004197	ENSCVAG00000005475	Cyprinodon_variegatus
ENSPPRP00000019213	ENSPPRG00000010671	Panthera_pardus
ENSRROP00000025823	ENSRROG00000036645	Rhinopithecus_roxellana
ENSCJPP00005010896	ENSCJPG00005009423	Coturnix_japonica
ENSPEMP00000002777	ENSPEMG00000003465	Peromyscus_maniculatus_bairdii
ENSCMIP00000008496	ENSCMIG00000004404	Callorhinchus_milii
ENSEBUP00000013982	ENSEBUG00000008813	Eptatretus_burgeri
ENSEBUP00000010408	ENSEBUG00000006699	Eptatretus_burgeri
ENSVPAP00000005579	ENSVPAG00000006011	Vicugna_pacos
ENSLCAP00010060928	ENSLCAG00010028329	Lates_calcarifer
ENSHGLP00100006889	ENSHGLG00100005164	Heterocephalus_glaber_HetGla_1.0
ENSSARP00000004730	ENSSARG00000005182	Sorex_araneus
ENSMMOP00000017090	ENSMMOG00000013013	Mola_mola
ENSSDUP00000030667	ENSSDUG00000022074	Seriola_dumerili
ENSCCAP00000010192	ENSCCAG00000022840	Cebus_capucinus_imitator
ENSUAMP00000021522	ENSUAMG00000016899	Ursus_americanus
ENSDNVP00000014306	ENSDNVG00000010051	Dromaius_novaehollandiae	ENSDNVT00000017153
ENSFALP00000003755	ENSFALG00000003605	Ficedula_albicollis
ENSZALP00000013964	ENSZALG00000011609	Zonotrichia_albicollis	ENSZALT00000019003
ENSCGRP00001022985	ENSCGRG00001021345	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMXP00005041385	ENSAMXG00005018725	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSHAP00000011982	ENSSHAG00000010276	Sarcophilus_harrisii
ENSAHAP00000006569	ENSAHAG00000004859	Apteryx_haastii	ENSAHAT00000007309
ENSAPLP00000022369	ENSAPLG00000001395	Anas_platyrhynchos_platyrhynchos
ENSHHUP00000018323	ENSHHUG00000011428	Hucho_hucho
ENSPANP00000019340	ENSPANG00000024885	Papio_anubis
ENSLCOP00000009581	ENSLCOG00000006974	Lepidothrix_coronata
ENSSMRP00000024814	ENSSMRG00000019183	Salvator_merianae	ENSSMRT00000029054
ENSPNAP00000011639	ENSPNAG00000017295	Pygocentrus_nattereri
ENSELUP00000001261	ENSELUG00000002764	Esox_lucius
ENSPVAP00000003826	ENSPVAG00000004039	Pteropus_vampyrus
ENSSLDP00000002921	ENSSLDG00000002259	Seriola_lalandi_dorsalis
ENSPCOP00000016005	ENSPCOG00000019757	Propithecus_coquereli
ENSSFOP00015014869	ENSSFOG00015009546	Scleropages_formosus
ENSPTRP00000069248	ENSPTRG00000021066	Pan_troglodytes
ENSNLEP00000004554	ENSNLEG00000003752	Nomascus_leucogenys
ENSOCUP00000019091	ENSOCUG00000002964	Oryctolagus_cuniculus
ENSCSAP00000003736	ENSCSAG00000007472	Chlorocebus_sabaeus
ENSNBRP00000015192	ENSNBRG00000011767	Neolamprologus_brichardi
ENSTGEP00000036022	ENSTGEG00000028671	Theropithecus_gelada
ENSDNOP00000003506	ENSDNOG00000004533	Dasypus_novemcinctus
ENSRBIP00000038936	ENSRBIG00000042930	Rhinopithecus_bieti
ENSBIXP00000040247	ENSBIXG00000024307	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMLEP00000017111	ENSMLEG00000032749	Mandrillus_leucophaeus
ENSCGOP00000015346	ENSCGOG00000006909	Cottoperca_gobio
ENSPMGP00000010091	ENSPMGG00000008371	Periophthalmus_magnuspinnatus
ENSBBBP00000019425	ENSBBBG00000001773	Bison_bison_bison
ENSMODP00000010196	ENSMODG00000008203	Monodelphis_domestica
ENSMLUP00000006552	ENSMLUG00000007157	Myotis_lucifugus
ENSMMUP00000068283	ENSMMUG00000008801	Macaca_mulatta
ENSJJAP00000003038	ENSJJAG00000005663	Jaculus_jaculus
ENSCPGP00000018465	ENSCPGG00000012903	Calidris_pygmaea
ENSPKIP00000005080	ENSPKIG00000021899	Paramormyrops_kingsleyae
ENSGAGP00000032092	ENSGAGG00000023001	Gopherus_agassizii
ENSXCOP00000001871	ENSXCOG00000001512	Xiphophorus_couchianus
ENSBIXP00005037171	ENSBIXG00005019241	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAFP00020030393	ENSCAFG00020023700	Canis_lupus_dingo
ENSLACP00000006371	ENSLACG00000005653	Latimeria_chalumnae
ENSLBEP00000007781	ENSLBEG00000006003	Labrus_bergylta
ENSPMEP00000001004	ENSPMEG00000001880	Poecilia_mexicana
ENSCABP00000010517	ENSCABG00000007838	Chelonoidis_abingdonii
ENSVURP00010020203	ENSVURG00010015471	Vombatus_ursinus
ENSCHIP00000013652	ENSCHIG00000014953	Capra_hircus
ENSGALP00000020540	ENSGALG00000012595	Gallus_gallus
ENSBSLP00000005962	ENSBSLG00000002867	Betta_splendens
ENSLBEP00000003626	ENSLBEG00000002682	Labrus_bergylta
ENSCANP00000036251	ENSCANG00000041769	Colobus_angolensis_palliatus
ENSFCAP00000045720	ENSFCAG00000028018	Felis_catus
