ENSSCAP00000001851	ENSSCAG00000001522	Serinus_canaria
ENSAOCP00000006669	ENSAOCG00000010332	Amphiprion_ocellaris
MGP_CAROLIEiJ_P0046890	MGP_CAROLIEiJ_G0022335	Mus_caroli_strain_CAROLI_EIJ
ENSSARP00000007859	ENSSARG00000008675	Sorex_araneus
ENSTRUP00000051735	ENSTRUG00000000344	Takifugu_rubripes
ENSOARP00000004999	ENSOARG00000004664	Ovis_aries
ENSPREP00000003825	ENSPREG00000002737	Poecilia_reticulata
ENSUPAP00010016461	ENSUPAG00010013108	Urocitellus_parryii
ENSBIXP00000042755	ENSBIXG00000026729	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHCOP00000010934	ENSHCOG00000013636	Hippocampus_comes
ENSCSEP00000032137	ENSCSEG00000020635	Cynoglossus_semilaevis
ENSORLP00000025530	ENSORLG00000020610	Oryzias_latipes_ASM223467v1
ENSCJAP00000072660	ENSCJAG00000021201	Callithrix_jacchus
ENSCPGP00000005405	ENSCPGG00000003844	Calidris_pygmaea
ENSMOCP00000016542	ENSMOCG00000015410	Microtus_ochrogaster
ENSMUNP00000015543	ENSMUNG00000011988	Melopsittacus_undulatus
ENSNGAP00000000560	ENSNGAG00000000428	Nannospalax_galili
