ENSPTEP00000039041	ENSPTEG00000036202	Piliocolobus_tephrosceles
ENSMLEP00000038693	ENSMLEG00000043402	Mandrillus_leucophaeus
ENSTGUP00000011395	ENSTGUG00000011054	Taeniopygia_guttata
ENSFCAP00000029459	ENSFCAG00000035502	Felis_catus
ENSNLEP00000020088	ENSNLEG00000016567	Nomascus_leucogenys
ENSTGUP00000016301	ENSTGUG00000015986	Taeniopygia_guttata
ENSANAP00000007660	ENSANAG00000021900	Aotus_nancymaae
ENSCPUP00000028827	ENSCPUG00000019359	Calidris_pugnax
ENSACLP00000008019	ENSACLG00000005460	Astatotilapia_calliptera
ENSAPOP00000026307	ENSAPOG00000010019	Acanthochromis_polyacanthus
ENSUPAP00010009582	ENSUPAG00010007765	Urocitellus_parryii
ENSDNOP00000004381	ENSDNOG00000005657	Dasypus_novemcinctus
ENSEEUP00000013389	ENSEEUG00000014681	Erinaceus_europaeus
ENSLSDP00000017688	ENSLSDG00000012662	Lonchura_striata_domestica
ENSONIP00000011504	ENSONIG00000009151	Oreochromis_niloticus
ENSBMUP00000035115	ENSBMUG00000026140	Bos_mutus
ENSCGRP00000014830	ENSCGRG00000010741	Cricetulus_griseus_CriGri_1.0
MGP_PahariEiJ_P0022239	MGP_PahariEiJ_G0014600	Mus_pahari_strain_PAHARI_EIJ
ENSTSYP00000006714	ENSTSYG00000007336	Carlito_syrichta
ENSDARP00000074098	ENSDARG00000057049	Danio_rerio
ENSLCRP00005031814	ENSLCRG00005012633	Larimichthys_crocea
ENSSBOP00000015057	ENSSBOG00000024273	Saimiri_boliviensis_boliviensis
Y37A1B.11b.1	WBGene00001190	Caenorhabditis_elegans_strain_N2
ENSEBUP00000027310	ENSEBUG00000016739	Eptatretus_burgeri
ENSFALP00000002290	ENSFALG00000002204	Ficedula_albicollis
ENSMMOP00000009310	ENSMMOG00000007207	Mola_mola
ENSCABP00000013033	ENSCABG00000009763	Chelonoidis_abingdonii
ENSNVIP00000005979	ENSNVIG00000004771	Neovison_vison
ENSMFAP00000007376	ENSMFAG00000045802	Macaca_fascicularis
ENSP00000334650	ENSG00000186795	Homo_sapiens
ENSUAMP00000007628	ENSUAMG00000006576	Ursus_americanus
ENSMSIP00000033909	ENSMSIG00000028309	Mus_spicilegus
ENSTRUP00000002229	ENSTRUG00000000937	Takifugu_rubripes
ENSRNOP00000039866	ENSRNOG00000032706	Rattus_norvegicus
ENSPVAP00000007723	ENSPVAG00000008175	Pteropus_vampyrus
ENSJHYP00000013114	ENSJHYG00000010184	Junco_hyemalis
ENSCAFP00020017190	ENSCAFG00020013767	Canis_lupus_dingo
ENSIPUP00000018650	ENSIPUG00000012673	Ictalurus_punctatus
ENSGWIP00000021113	ENSGWIG00000011418	Gouania_willdenowi
ENSPTIP00000022660	ENSPTIG00000019400	Panthera_tigris_altaica
ENSMGAP00000011749	ENSMGAG00000011251	Meleagris_gallopavo
ENSRBIP00000026090	ENSRBIG00000036932	Rhinopithecus_bieti
ENSPANP00000016476	ENSPANG00000020705	Papio_anubis
ENSPVIP00000014123	ENSPVIG00000010904	Pogona_vitticeps
ENSMEUP00000003811	ENSMEUG00000004180	Notamacropus_eugenii
ENSCGRP00015013112	ENSCGRG00015010064	Cricetulus_griseus_CriGri-PICR
ENSPKIP00000027818	ENSPKIG00000009711	Paramormyrops_kingsleyae
ENSMUGP00000013354	ENSMUGG00000011585	Meriones_unguiculatus
ENSNPEP00000019905	ENSNPEG00000014809	Nothoprocta_perdicaria
ENSMALP00000030675	ENSMALG00000021199	Monopterus_albus
ENSCVAP00000023720	ENSCVAG00000007281	Cyprinodon_variegatus
ENSCJAP00000036223	ENSCJAG00000019505	Callithrix_jacchus
ENSCGOP00000037616	ENSCGOG00000017310	Cottoperca_gobio
ENSEASP00005021163	ENSEASG00005014501	Equus_asinus_asinus
