MGP_CAROLIEiJ_P0046131	MGP_CAROLIEiJ_G0022031	Mus_caroli_strain_CAROLI_EIJ
ENSMZEP00005035531	ENSMZEG00005026546	Maylandia_zebra
ENSPTIP00000009553	ENSPTIG00000010574	Panthera_tigris_altaica
ENSP00000306459	ENSG00000118276	Homo_sapiens
ENSORLP00020000768	ENSORLG00020001479	Oryzias_latipes_ASM223471v1
ENSLCOP00000007508	ENSLCOG00000005524	Lepidothrix_coronata
ENSARWP00000026031	ENSARWG00000017676	Apteryx_rowi
ENSLOCP00000005696	ENSLOCG00000004750	Lepisosteus_oculatus
ENSELUP00000000353	ENSELUG00000001956	Esox_lucius
ENSNSUP00000028066	ENSNSUG00000020003	Notechis_scutatus
ENSTRUP00000051226	ENSTRUG00000025799	Takifugu_rubripes
ENSSMAP00000013470	ENSSMAG00000008219	Scophthalmus_maximus
ENSMFAP00000020060	ENSMFAG00000033017	Macaca_fascicularis
ENSCINP00000026698	ENSCING00000014867	Ciona_intestinalis
ENSNVIP00000025251	ENSNVIG00000019526	Neovison_vison
ENSBMUP00000015909	ENSBMUG00000012114	Bos_mutus
ENSABRP00000018390	ENSABRG00000015807	Anser_brachyrhynchus
ENSPRNP00000037739	ENSPRNG00000018773	Parambassis_ranga
ENSCPBP00000029850	ENSCPBG00000021024	Chrysemys_picta_bellii
ENSGMOP00000020619	ENSGMOG00000019126	Gadus_morhua
ENSCCAP00000024187	ENSCCAG00000029865	Cebus_capucinus_imitator
ENSPPYP00000010207	ENSPPYG00000009091	Pongo_abelii
ENSACAP00000017583	ENSACAG00000017857	Anolis_carolinensis
ENSOARP00000006751	ENSOARG00000006302	Ovis_aries
ENSNBRP00000019441	ENSNBRG00000014964	Neolamprologus_brichardi
ENSMEUP00000002421	ENSMEUG00000002647	Notamacropus_eugenii
ENSSTOP00000009788	ENSSTOG00000010911	Ictidomys_tridecemlineatus
ENSPREP00000026682	ENSPREG00000018051	Poecilia_reticulata
ENSDORP00000024333	ENSDORG00000029583	Dipodomys_ordii
ENSPMJP00000019742	ENSPMJG00000014755	Parus_major	ENSPMJT00000025773
ENSCPOP00000024088	ENSCPOG00000039163	Cavia_porcellus
ENSLACP00000012949	ENSLACG00000011403	Latimeria_chalumnae
ENSCGRP00015028957	ENSCGRG00015021896	Cricetulus_griseus_CriGri-PICR
ENSCAFP00000026664	ENSCAFG00000018037	Canis_lupus_familiaris
ENSSCAP00000016568	ENSSCAG00000012092	Serinus_canaria
ENSDCDP00000006563	ENSDCDG00000003357	Denticeps_clupeoides
ENSHHUP00000081494	ENSHHUG00000047372	Hucho_hucho
ENSXETP00000009639	ENSXETG00000011457	Xenopus_tropicalis
ENSDARP00000055098	ENSDARG00000037815	Danio_rerio
ENSMPUP00000006897	ENSMPUG00000006952	Mustela_putorius_furo
ENSOMEP00000010973	ENSOMEG00000012258	Oryzias_melastigma
ENSCMIP00000001033	ENSCMIG00000000615	Callorhinchus_milii
ENSLAFP00000025945	ENSLAFG00000018431	Loxodonta_africana
ENSECRP00000011285	ENSECRG00000007519	Erpetoichthys_calabaricus
ENSMMUP00000041286	ENSMMUG00000016674	Macaca_mulatta
ENSPLAP00000011416	ENSPLAG00000014529	Poecilia_latipinna
ENSNLEP00000007847	ENSNLEG00000006440	Nomascus_leucogenys
ENSCCEP00000014492	ENSCCEG00000013804	Cyanistes_caeruleus	ENSCCET00000022538
ENSRROP00000009772	ENSRROG00000029305	Rhinopithecus_roxellana
ENSCHIP00000000599	ENSCHIG00000000421	Capra_hircus
ENSSHAP00000014206	ENSSHAG00000012145	Sarcophilus_harrisii
ENSRNOP00000075106	ENSRNOG00000015895	Rattus_norvegicus
ENSPANP00000003333	ENSPANG00000009803	Papio_anubis
ENSMVIP00005004614	ENSMVIG00005003556	Manacus_vitellinus
ENSMMMP00000009425	ENSMMMG00000008421	Marmota_marmota_marmota
ENSCVAP00000008617	ENSCVAG00000010452	Cyprinodon_variegatus
ENSPCOP00000003172	ENSPCOG00000009566	Propithecus_coquereli
ENSPCAP00000014622	ENSPCAG00000015645	Procavia_capensis
ENSJJAP00000001372	ENSJJAG00000001465	Jaculus_jaculus
ENSBIXP00005013194	ENSBIXG00005006868	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRBIP00000018084	ENSRBIG00000033034	Rhinopithecus_bieti
ENSCJAP00000055912	ENSCJAG00000020816	Callithrix_jacchus
ENSAPEP00000011547	ENSAPEG00000008234	Amphiprion_percula
ENSCHOP00000001816	ENSCHOG00000002053	Choloepus_hoffmanni
ENSSFOP00015034504	ENSSFOG00015021983	Scleropages_formosus
ENSPTEP00000027610	ENSPTEG00000027428	Piliocolobus_tephrosceles
ENSLCRP00005040116	ENSLCRG00005015311	Larimichthys_crocea
ENSEEEP00000043032	ENSEEEG00000020315	Electrophorus_electricus
ENSPSMP00000021390	ENSPSMG00000015065	Prolemur_simus
ENSXCOP00000010670	ENSXCOG00000008039	Xiphophorus_couchianus
ENSBIXP00000002445	ENSBIXG00000007410	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPMEP00000033688	ENSPMEG00000022405	Poecilia_mexicana
ENSGAFP00000031337	ENSGAFG00000021112	Gambusia_affinis
ENSJHYP00000007021	ENSJHYG00000005646	Junco_hyemalis
ENSAOWP00000017351	ENSAOWG00000011866	Apteryx_owenii
ENSUMAP00000001585	ENSUMAG00000001499	Ursus_maritimus
ENSEBUP00000005146	ENSEBUG00000003544	Eptatretus_burgeri
ENSSLDP00000033033	ENSSLDG00000025296	Seriola_lalandi_dorsalis
ENSANAP00000010666	ENSANAG00000023268	Aotus_nancymaae
ENSIPUP00000025302	ENSIPUG00000017103	Ictalurus_punctatus
ENSPCIP00000021686	ENSPCIG00000016435	Phascolarctos_cinereus
ENSTBEP00000010798	ENSTBEG00000012449	Tupaia_belangeri
ENSNGAP00000006581	ENSNGAG00000009833	Nannospalax_galili
ENSPPRP00000014360	ENSPPRG00000007304	Panthera_pardus
ENSPKIP00000020802	ENSPKIG00000005447	Paramormyrops_kingsleyae
ENSMAMP00000015738	ENSMAMG00000010674	Mastacembelus_armatus
ENSPFOP00000006908	ENSPFOG00000006923	Poecilia_formosa
ENSFALP00000006201	ENSFALG00000005950	Ficedula_albicollis	ENSFALT00000006229
ENSCSEP00000032715	ENSCSEG00000020993	Cynoglossus_semilaevis
ENSGGOP00000003419	ENSGGOG00000003477	Gorilla_gorilla
ENSOGAP00000015022	ENSOGAG00000016779	Otolemur_garnettii
ENSPNYP00000002378	ENSPNYG00000001857	Pundamilia_nyererei
ENSSARP00000002523	ENSSARG00000002808	Sorex_araneus
ENSFHEP00000020844	ENSFHEG00000022808	Fundulus_heteroclitus
MGP_SPRETEiJ_P0048052	MGP_SPRETEiJ_G0022942	Mus_spretus_strain_SPRET/EiJ
ENSCSAVP00000019634	ENSCSAVG00000011505	Ciona_savignyi
ENSAMXP00000040285	ENSAMXG00000039952	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSZALP00000000459	ENSZALG00000000540	Zonotrichia_albicollis
ENSPVIP00000018259	ENSPVIG00000013963	Pogona_vitticeps
ENSHCOP00000009163	ENSHCOG00000011552	Hippocampus_comes
ENSSPAP00000009194	ENSSPAG00000006997	Stegastes_partitus
ENSPKIP00000021207	ENSPKIG00000005695	Paramormyrops_kingsleyae
ENSMICP00000006653	ENSMICG00000007307	Microcebus_murinus
ENSTNIP00000021029	ENSTNIG00000017870	Tetraodon_nigroviridis
ENSPEMP00000010951	ENSPEMG00000011754	Peromyscus_maniculatus_bairdii
ENSHGLP00100007460	ENSHGLG00100005580	Heterocephalus_glaber_HetGla_1.0
ENSCPRP00005021739	ENSCPRG00005015110	Crocodylus_porosus
ENSAPLP00000008713	ENSAPLG00000009022	Anas_platyrhynchos_platyrhynchos
ENSMLUP00000003323	ENSMLUG00000003648	Myotis_lucifugus
ENSSBOP00000037292	ENSSBOG00000034735	Saimiri_boliviensis_boliviensis
ENSECAP00000015305	ENSECAG00000017478	Equus_caballus
