ENSAHAP00000017697	ENSAHAG00000012557	Apteryx_haastii	ENSAHAT00000019548
ENSODEP00000020969	ENSODEG00000015453	Octodon_degus
ENSSCAP00000003387	ENSSCAG00000002847	Serinus_canaria
ENSPVAP00000015745	ENSPVAG00000016682	Pteropus_vampyrus
ENSXMAP00000011973	ENSXMAG00000011943	Xiphophorus_maculatus
ENSMLEP00000008360	ENSMLEG00000028354	Mandrillus_leucophaeus
MGP_CAROLIEiJ_P0043163	MGP_CAROLIEiJ_G0021214	Mus_caroli_strain_CAROLI_EIJ
ENSAPEP00000021195	ENSAPEG00000015149	Amphiprion_percula
ENSCJAP00000027053	ENSCJAG00000014694	Callithrix_jacchus
ENSLBEP00000032684	ENSLBEG00000024632	Labrus_bergylta
ENSCGOP00000027438	ENSCGOG00000012876	Cottoperca_gobio
ENSPREP00000022414	ENSPREG00000015105	Poecilia_reticulata
ENSPMEP00000034710	ENSPMEG00000024114	Poecilia_mexicana
ENSGALP00000002760	ENSGALG00000001792	Gallus_gallus
ENSBIXP00000000838	ENSBIXG00000029299	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLSDP00000000748	ENSLSDG00000000602	Lonchura_striata_domestica
ENSGWIP00000009558	ENSGWIG00000005693	Gouania_willdenowi
ENSCSAP00000007639	ENSCSAG00000011443	Chlorocebus_sabaeus
ENSMMOP00000016458	ENSMMOG00000012497	Mola_mola
ENSLACP00000014963	ENSLACG00000013170	Latimeria_chalumnae
ENSFALP00000005315	ENSFALG00000005108	Ficedula_albicollis	ENSFALT00000005341
ENSTNIP00000014529	ENSTNIG00000011579	Tetraodon_nigroviridis
ENSGAGP00000033206	ENSGAGG00000023675	Gopherus_agassizii
ENSPANP00000013626	ENSPANG00000020905	Papio_anubis
ENSPMGP00000020378	ENSPMGG00000016475	Periophthalmus_magnuspinnatus
ENSPFOP00000008385	ENSPFOG00000008434	Poecilia_formosa
ENSACLP00000011413	ENSACLG00000007811	Astatotilapia_calliptera
ENSHGLP00100020471	ENSHGLG00100015081	Heterocephalus_glaber_HetGla_1.0
ENSXETP00000021228	ENSXETG00000006623	Xenopus_tropicalis
ENSEEEP00000033484	ENSEEEG00000015917	Electrophorus_electricus
ENSLAFP00000016751	ENSLAFG00000022475	Loxodonta_africana
ENSPNYP00000022417	ENSPNYG00000016920	Pundamilia_nyererei
ENSMGAP00000010611	ENSMGAG00000010241	Meleagris_gallopavo
ENSPCAP00000006582	ENSPCAG00000007060	Procavia_capensis
ENSPRNP00000018100	ENSPRNG00000009536	Parambassis_ranga
M88.2.1	WBGene00010905	Caenorhabditis_elegans_strain_N2
ENSMLUP00000018467	ENSMLUG00000028772	Myotis_lucifugus
ENSPMJP00000010305	ENSPMJG00000008135	Parus_major
ENSPVIP00000025908	ENSPVIG00000019367	Pogona_vitticeps
ENSHHUP00000078363	ENSHHUG00000045740	Hucho_hucho
ENSCCAP00000008002	ENSCCAG00000021752	Cebus_capucinus_imitator
ENSEBUP00000011145	ENSEBUG00000007159	Eptatretus_burgeri
ENSAOWP00000018509	ENSAOWG00000012615	Apteryx_owenii	ENSAOWT00000020984
ENSCSEP00000027511	ENSCSEG00000017581	Cynoglossus_semilaevis
ENSSMAP00000016091	ENSSMAG00000009866	Scophthalmus_maximus
ENSABRP00000000090	ENSABRG00000000111	Anser_brachyrhynchus
ENSLCAP00010001534	ENSLCAG00010000891	Lates_calcarifer
ENSCPGP00000024778	ENSCPGG00000017058	Calidris_pygmaea
ENSHGLP00000001593	ENSHGLG00000001213	Heterocephalus_glaber_HetGla_female_1.0
ENSUAMP00000016765	ENSUAMG00000013323	Ursus_americanus
ENSPFOP00000006111	ENSPFOG00000006202	Poecilia_formosa
ENSRROP00000008462	ENSRROG00000028689	Rhinopithecus_roxellana
ENSDNVP00000002767	ENSDNVG00000001996	Dromaius_novaehollandiae	ENSDNVT00000003328
ENSMEUP00000004213	ENSMEUG00000004626	Notamacropus_eugenii
ENSCCEP00000023126	ENSCCEG00000020771	Cyanistes_caeruleus
ENSPMAP00000005170	ENSPMAG00000004714	Petromyzon_marinus
ENSCAFP00000028827	ENSCAFG00000019496	Canis_lupus_familiaris
ENSVVUP00000013604	ENSVVUG00000010000	Vulpes_vulpes
ENSTTRP00000010792	ENSTTRG00000011381	Tursiops_truncatus
ENSTSYP00000024042	ENSTSYG00000031660	Carlito_syrichta
ENSSPAP00000013911	ENSSPAG00000010529	Stegastes_partitus
ENSOGAP00000011330	ENSOGAG00000012647	Otolemur_garnettii
ENSP00000177742	ENSG00000074071	Homo_sapiens
