ENSNVIP00000015748	ENSNVIG00000012353	Neovison_vison
ENSLCRP00005006132	ENSLCRG00005003114	Larimichthys_crocea
ENSMSIP00000003668	ENSMSIG00000003351	Mus_spicilegus
ENSPMGP00000020788	ENSPMGG00000016841	Periophthalmus_magnuspinnatus	ENSPMGT00000022164
ENSAMXP00005029025	ENSAMXG00005014360	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGAGP00000003359	ENSGAGG00000002712	Gopherus_agassizii
ENSCAPP00000010486	ENSCAPG00000011735	Cavia_aperea
ENSCPBP00000024733	ENSCPBG00000017611	Chrysemys_picta_bellii
ENSZALP00000000931	ENSZALG00000001133	Zonotrichia_albicollis
ENSPREP00000029862	ENSPREG00000020218	Poecilia_reticulata
ENSELUP00000026619	ENSELUG00000002580	Esox_lucius
T04D1.3d.1	WBGene00006791	Caenorhabditis_elegans_strain_N2
ENSLCAP00010049481	ENSLCAG00010023023	Lates_calcarifer
ENSSDUP00000029554	ENSSDUG00000021308	Seriola_dumerili
ENSCGOP00000008358	ENSCGOG00000004345	Cottoperca_gobio
ENSOPRP00000001329	ENSOPRG00000001451	Ochotona_princeps
ENSFHEP00000032107	ENSFHEG00000018367	Fundulus_heteroclitus
ENSJHYP00000012971	ENSJHYG00000010063	Junco_hyemalis
ENSHGLP00100015758	ENSHGLG00100011632	Heterocephalus_glaber_HetGla_1.0
ENSLACP00000019585	ENSLACG00000017223	Latimeria_chalumnae
ENSAPOP00000023716	ENSAPOG00000005699	Acanthochromis_polyacanthus
ENSIPUP00000005300	ENSIPUG00000003694	Ictalurus_punctatus	ENSIPUT00000005537
ENSOCUP00000034908	ENSOCUG00000027803	Oryctolagus_cuniculus
ENSSPAP00000027095	ENSSPAG00000020414	Stegastes_partitus
ENSBTAP00000023954	ENSBTAG00000018004	Bos_taurus
ENSECRP00000030371	ENSECRG00000020612	Erpetoichthys_calabaricus
ENSPANP00000031420	ENSPANG00000015606	Papio_anubis
ENSOANP00000004296	ENSOANG00000002698	Ornithorhynchus_anatinus
MGP_SPRETEiJ_P0083860	MGP_SPRETEiJ_G0031035	Mus_spretus_strain_SPRET/EiJ
ENSSCAP00000006939	ENSSCAG00000005388	Serinus_canaria
ENSPSMP00000003439	ENSPSMG00000002811	Prolemur_simus
ENSCGRP00001025883	ENSCGRG00001023348	Cricetulus_griseus_CHOK1GS_HDv1
ENSCABP00000023623	ENSCABG00000017406	Chelonoidis_abingdonii
ENSBBBP00000008020	ENSBBBG00000016035	Bison_bison_bison
ENSPCAP00000011632	ENSPCAG00000012456	Procavia_capensis
ENSAMXP00000047987	ENSAMXG00000009473	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000050450
ENSSLDP00000019155	ENSSLDG00000015017	Seriola_lalandi_dorsalis
ENSBIXP00000007919	ENSBIXG00000013806	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSPAP00000001765	ENSSPAG00000001350	Stegastes_partitus
ENSRROP00000035731	ENSRROG00000041346	Rhinopithecus_roxellana
ENSCHOP00000005749	ENSCHOG00000006493	Choloepus_hoffmanni
ENSTGEP00000004079	ENSTGEG00000003428	Theropithecus_gelada
ENSETEP00000001961	ENSETEG00000002413	Echinops_telfairi
ENSGMOP00000018022	ENSGMOG00000016785	Gadus_morhua
ENSFCAP00000001167	ENSFCAG00000001256	Felis_catus
ENSOGAP00000011129	ENSOGAG00000012433	Otolemur_garnettii
ENSANAP00000015576	ENSANAG00000025662	Aotus_nancymaae
ENSPTIP00000006368	ENSPTIG00000008313	Panthera_tigris_altaica
ENSEEEP00000034663	ENSEEEG00000016486	Electrophorus_electricus
ENSORLP00000026593	ENSORLG00000019055	Oryzias_latipes_ASM223467v1
ENSLAFP00000000997	ENSLAFG00000001182	Loxodonta_africana
ENSPNAP00000009764	ENSPNAG00000015270	Pygocentrus_nattereri
ENSPLAP00000021142	ENSPLAG00000004655	Poecilia_latipinna
ENSDCDP00000052763	ENSDCDG00000031762	Denticeps_clupeoides	ENSDCDT00000064592
ENSAMXP00000020311	ENSAMXG00000019716	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMICP00000039756	ENSMICG00000004990	Microcebus_murinus
ENSCMIP00000006857	ENSCMIG00000003826	Callorhinchus_milii
ENSBSLP00000008320	ENSBSLG00000004214	Betta_splendens
ENSPMJP00000000567	ENSPMJG00000000514	Parus_major
ENSMALP00000027573	ENSMALG00000019121	Monopterus_albus
ENSAPEP00000004032	ENSAPEG00000002776	Amphiprion_percula
ENSGACP00000018950	ENSGACG00000014364	Gasterosteus_aculeatus
ENSNSUP00000027119	ENSNSUG00000019424	Notechis_scutatus
ENSPMGP00000009740	ENSPMGG00000008060	Periophthalmus_magnuspinnatus
ENSCHAP00000026138	ENSCHAG00000012714	Clupea_harengus	ENSCHAT00000028413
ENSARWP00000018802	ENSARWG00000012930	Apteryx_rowi
ENSLCOP00000021353	ENSLCOG00000015093	Lepidothrix_coronata
ENSCHAP00000015087	ENSCHAG00000008032	Clupea_harengus
ENSXETP00000036955	ENSXETG00000013148	Xenopus_tropicalis	ENSXETT00000027060
ENSDNVP00000006423	ENSDNVG00000004609	Dromaius_novaehollandiae
ENSBMUP00000035618	ENSBMUG00000026455	Bos_mutus
ENSCJPP00005025889	ENSCJPG00005020230	Coturnix_japonica
ENSCGRP00015005446	ENSCGRG00015004251	Cricetulus_griseus_CriGri-PICR
ENSPVIP00000033457	ENSPVIG00000024445	Pogona_vitticeps
ENSKMAP00000023712	ENSKMAG00000017583	Kryptolebias_marmoratus
