F55C12.1b.1	WBGene00018869	Caenorhabditis_elegans_strain_N2
ENSAMXP00005012768	ENSAMXG00005006856	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000010966	ENSAMXG00000010675	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000008449	ENSPNAG00000014084	Pygocentrus_nattereri
ENSIPUP00000001842	ENSIPUG00000001301	Ictalurus_punctatus
ENSEEEP00000010324	ENSEEEG00000005227	Electrophorus_electricus
ENSDARP00000108296	ENSDARG00000090170	Danio_rerio
ENSHHUP00000018631	ENSHHUG00000011621	Hucho_hucho
ENSHHUP00000018617	ENSHHUG00000011612	Hucho_hucho
ENSHHUP00000014947	ENSHHUG00000009269	Hucho_hucho
ENSELUP00000010849	ENSELUG00000011308	Esox_lucius
ENSGWIP00000033804	ENSGWIG00000017460	Gouania_willdenowi
ENSHCOP00000005612	ENSHCOG00000007318	Hippocampus_comes
ENSPMGP00000005907	ENSPMGG00000004971	Periophthalmus_magnuspinnatus
ENSTRUP00000026509	ENSTRUG00000010508	Takifugu_rubripes
ENSTNIP00000016995	ENSTNIG00000013988	Tetraodon_nigroviridis
ENSMMOP00000007130	ENSMMOG00000005525	Mola_mola
ENSLBEP00000028963	ENSLBEG00000021923	Labrus_bergylta
ENSACLP00000005580	ENSACLG00000003730	Astatotilapia_calliptera
ENSMZEP00005031029	ENSMZEG00005023135	Maylandia_zebra
ENSPNYP00000030141	ENSPNYG00000022732	Pundamilia_nyererei
ENSHBUP00000008210	ENSHBUG00000009743	Haplochromis_burtoni
ENSONIP00000007824	ENSONIG00000006210	Oreochromis_niloticus
ENSNBRP00000011960	ENSNBRG00000009282	Neolamprologus_brichardi
ENSACIP00000017027	ENSACIG00000013240	Amphilophus_citrinellus
ENSPRNP00000037604	ENSPRNG00000018731	Parambassis_ranga
ENSPRNP00000033014	ENSPRNG00000016517	Parambassis_ranga
ENSFHEP00000021976	ENSFHEG00000002104	Fundulus_heteroclitus
ENSCVAP00000015320	ENSCVAG00000018170	Cyprinodon_variegatus
ENSXCOP00000012451	ENSXCOG00000009407	Xiphophorus_couchianus
ENSXCOP00000013074	ENSXCOG00000009907	Xiphophorus_couchianus
ENSXMAP00000003514	ENSXMAG00000003503	Xiphophorus_maculatus
ENSGAFP00000009435	ENSGAFG00000006424	Gambusia_affinis
ENSPMEP00000004734	ENSPMEG00000006073	Poecilia_mexicana
ENSPLAP00000027003	ENSPLAG00000015245	Poecilia_latipinna
ENSPFOP00000019706	ENSPFOG00000019584	Poecilia_formosa
ENSPREP00000010390	ENSPREG00000007093	Poecilia_reticulata
ENSKMAP00000018709	ENSKMAG00000013906	Kryptolebias_marmoratus
ENSORLP00020017749	ENSORLG00020018747	Oryzias_latipes_ASM223471v1
ENSORLP00015028475	ENSORLG00015011120	Oryzias_latipes_ASM223469v1
ENSORLP00000021353	ENSORLG00000017070	Oryzias_latipes_ASM223467v1
ENSOMEP00000028995	ENSOMEG00000012355	Oryzias_melastigma
ENSATEP00000013296	ENSATEG00000009255	Anabas_testudineus
ENSBSLP00000003916	ENSBSLG00000002056	Betta_splendens
ENSSMAP00000026884	ENSSMAG00000016438	Scophthalmus_maximus
ENSCSEP00000021861	ENSCSEG00000013945	Cynoglossus_semilaevis
ENSLCAP00010007292	ENSLCAG00010003575	Lates_calcarifer
ENSLCAP00010054801	ENSLCAG00010025550	Lates_calcarifer
ENSSLDP00000014861	ENSSLDG00000011859	Seriola_lalandi_dorsalis
ENSSDUP00000032546	ENSSDUG00000023387	Seriola_dumerili
ENSMALP00000002404	ENSMALG00000001801	Monopterus_albus
ENSMAMP00000002207	ENSMAMG00000001528	Mastacembelus_armatus
ENSCGOP00000001137	ENSCGOG00000000701	Cottoperca_gobio
ENSGACP00000007047	ENSGACG00000005333	Gasterosteus_aculeatus
ENSLCRP00005014062	ENSLCRG00005006046	Larimichthys_crocea
ENSAOCP00000009622	ENSAOCG00000000865	Amphiprion_ocellaris
ENSAPEP00000030351	ENSAPEG00000021574	Amphiprion_percula
ENSAPOP00000005951	ENSAPOG00000007765	Acanthochromis_polyacanthus
ENSSPAP00000011167	ENSSPAG00000008470	Stegastes_partitus
ENSGMOP00000017277	ENSGMOG00000016099	Gadus_morhua
ENSLCAP00010008707	ENSLCAG00010004195	Lates_calcarifer
ENSCMIP00000006822	ENSCMIG00000003809	Callorhinchus_milii
ENSSFOP00015005281	ENSSFOG00015003409	Scleropages_formosus
ENSPKIP00000025923	ENSPKIG00000008587	Paramormyrops_kingsleyae
ENSLOCP00000017027	ENSLOCG00000013807	Lepisosteus_oculatus
ENSPMAP00000010497	ENSPMAG00000009549	Petromyzon_marinus
ENSEBUP00000017415	ENSEBUG00000010877	Eptatretus_burgeri
ENSEBUP00000001695	ENSEBUG00000001410	Eptatretus_burgeri
ENSEBUP00000016737	ENSEBUG00000010504	Eptatretus_burgeri
ENSXETP00000025385	ENSXETG00000003782	Xenopus_tropicalis
ENSOANP00000031167	ENSOANG00000029032	Ornithorhynchus_anatinus
ENSVURP00010002098	ENSVURG00010001760	Vombatus_ursinus	ENSVURT00010002395
ENSVURP00010020596	ENSVURG00010015755	Vombatus_ursinus	ENSVURT00010023458
ENSPCIP00000051363	ENSPCIG00000016107	Phascolarctos_cinereus	ENSPCIT00000053523
ENSMEUP00000012417	ENSMEUG00000013608	Notamacropus_eugenii	ENSMEUT00000013654
ENSSHAP00000005691	ENSSHAG00000004973	Sarcophilus_harrisii	ENSSHAT00000005745
ENSMODP00000020813	ENSMODG00000016678	Monodelphis_domestica	ENSMODT00000021180
ENSMSIP00000015988	ENSMSIG00000013653	Mus_spicilegus	ENSMSIT00000020312
MGP_SPRETEiJ_P0045318	MGP_SPRETEiJ_G0022180	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0045318
ENSMUSP00000113521	ENSMUSG00000037098	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043411	MGP_CAROLIEiJ_G0021269	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055711	MGP_PahariEiJ_G0023587	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027439	ENSRNOG00000032152	Rattus_norvegicus
ENSMUGP00000016985	ENSMUGG00000014515	Meriones_unguiculatus
ENSCGRP00015024774	ENSCGRG00015018692	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025226	ENSCGRG00000018264	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002568	ENSCGRG00001002847	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000019214	ENSMOCG00000017270	Microtus_ochrogaster
ENSPEMP00000016758	ENSPEMG00000015876	Peromyscus_maniculatus_bairdii
ENSNGAP00000011924	ENSNGAG00000013947	Nannospalax_galili
ENSJJAP00000019953	ENSJJAG00000020769	Jaculus_jaculus
ENSCCNP00000014544	ENSCCNG00000015020	Castor_canadensis
ENSDORP00000014955	ENSDORG00000015897	Dipodomys_ordii
ENSHGLP00000006442	ENSHGLG00000004708	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008478	ENSHGLG00100006309	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014443	ENSFDAG00000001674	Fukomys_damarensis
ENSCLAP00000020557	ENSCLAG00000014078	Chinchilla_lanigera
ENSODEP00000020669	ENSODEG00000015247	Octodon_degus
ENSCAPP00000016117	ENSCAPG00000016080	Cavia_aperea
ENSCPOP00000007655	ENSCPOG00000008515	Cavia_porcellus
ENSSDAP00000021061	ENSSDAG00000019154	Spermophilus_dauricus
ENSUPAP00010016625	ENSUPAG00010013258	Urocitellus_parryii
ENSSTOP00000002970	ENSSTOG00000003320	Ictidomys_tridecemlineatus
ENSMMMP00000020929	ENSMMMG00000018468	Marmota_marmota_marmota
ENSOCUP00000002747	ENSOCUG00000029653	Oryctolagus_cuniculus
ENSOPRP00000012281	ENSOPRG00000013448	Ochotona_princeps
ENSMMUP00000053591	ENSMMUG00000000613	Macaca_mulatta
ENSMFAP00000036630	ENSMFAG00000034645	Macaca_fascicularis
ENSMNEP00000013359	ENSMNEG00000030929	Macaca_nemestrina
ENSCSAP00000008953	ENSCSAG00000012772	Chlorocebus_sabaeus
ENSPANP00000013460	ENSPANG00000000689	Papio_anubis
ENSTGEP00000009578	ENSTGEG00000007887	Theropithecus_gelada
ENSMLEP00000035725	ENSMLEG00000041998	Mandrillus_leucophaeus
ENSCATP00000039533	ENSCATG00000042371	Cercocebus_atys
ENSCANP00000036414	ENSCANG00000041897	Colobus_angolensis_palliatus
ENSPTEP00000004387	ENSPTEG00000005123	Piliocolobus_tephrosceles
ENSRBIP00000008874	ENSRBIG00000028317	Rhinopithecus_bieti
ENSRROP00000023331	ENSRROG00000035505	Rhinopithecus_roxellana
ENSPPAP00000038807	ENSPPAG00000042122	Pan_paniscus
ENSPTRP00000042217	ENSPTRG00000007543	Pan_troglodytes
ENSP00000262305	ENSG00000090565	Homo_sapiens
ENSGGOP00000040154	ENSGGOG00000007854	Gorilla_gorilla
ENSPPYP00000007825	ENSPPYG00000006910	Pongo_abelii
ENSNLEP00000009865	ENSNLEG00000008080	Nomascus_leucogenys
ENSSBOP00000011650	ENSSBOG00000022631	Saimiri_boliviensis_boliviensis
ENSCCAP00000027717	ENSCCAG00000031717	Cebus_capucinus_imitator
ENSCJAP00000021863	ENSCJAG00000011897	Callithrix_jacchus
ENSANAP00000012050	ENSANAG00000023954	Aotus_nancymaae
ENSTSYP00000020179	ENSTSYG00000025544	Carlito_syrichta
ENSMICP00000046658	ENSMICG00000004088	Microcebus_murinus
ENSPSMP00000032419	ENSPSMG00000022428	Prolemur_simus
ENSPCOP00000003514	ENSPCOG00000010545	Propithecus_coquereli
ENSOGAP00000010284	ENSOGAG00000011480	Otolemur_garnettii
ENSTBEP00000010919	ENSTBEG00000012602	Tupaia_belangeri
ENSPVAP00000000524	ENSPVAG00000000557	Pteropus_vampyrus
ENSMLUP00000009242	ENSMLUG00000010103	Myotis_lucifugus
ENSUMAP00000029009	ENSUMAG00000021051	Ursus_maritimus
ENSUAMP00000025463	ENSUAMG00000019822	Ursus_americanus
ENSAMEP00000007493	ENSAMEG00000007126	Ailuropoda_melanoleuca
ENSCAFP00020011384	ENSCAFG00020009177	Canis_lupus_dingo
ENSVVUP00000018168	ENSVVUG00000013356	Vulpes_vulpes
ENSCAFP00000029106	ENSCAFG00000019670	Canis_lupus_familiaris
ENSNVIP00000019374	ENSNVIG00000015176	Neovison_vison
ENSMPUP00000015900	ENSMPUG00000016006	Mustela_putorius_furo
ENSPPRP00000009549	ENSPPRG00000003978	Panthera_pardus
ENSPTIP00000020990	ENSPTIG00000018277	Panthera_tigris_altaica
ENSFCAP00000007698	ENSFCAG00000008303	Felis_catus
ENSECAP00000041175	ENSECAG00000011579	Equus_caballus
ENSEASP00005026664	ENSEASG00005018191	Equus_asinus_asinus
ENSTTRP00000008706	ENSTTRG00000009182	Tursiops_truncatus
ENSSSCP00000059668	ENSSSCG00000035854	Sus_scrofa_strain_reference
ENSCHIP00000003708	ENSCHIG00000007868	Capra_hircus
ENSOARP00000012992	ENSOARG00000012117	Ovis_aries
ENSBIXP00005024291	ENSBIXG00005004599	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001166	ENSBIXG00000028873	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000058486	ENSBTAG00000016591	Bos_taurus
ENSBMUP00000032393	ENSBMUG00000024157	Bos_mutus
ENSBBBP00000015488	ENSBBBG00000023199	Bison_bison_bison
ENSSARP00000009440	ENSSARG00000010441	Sorex_araneus
ENSEEUP00000006547	ENSEEUG00000007168	Erinaceus_europaeus
ENSPCAP00000012440	ENSPCAG00000013321	Procavia_capensis
ENSLAFP00000019314	ENSLAFG00000029635	Loxodonta_africana
ENSETEP00000003815	ENSETEG00000004668	Echinops_telfairi
ENSDNOP00000029650	ENSDNOG00000037116	Dasypus_novemcinctus
ENSOANP00000006984	ENSOANG00000004410	Ornithorhynchus_anatinus
ENSPVIP00000029467	ENSPVIG00000021737	Pogona_vitticeps
ENSACAP00000002607	ENSACAG00000002654	Anolis_carolinensis
ENSNSUP00000000297	ENSNSUG00000000307	Notechis_scutatus
ENSSMRP00000017985	ENSSMRG00000014015	Salvator_merianae
ENSSPUP00000002510	ENSSPUG00000001918	Sphenodon_punctatus
ENSCPUP00000025797	ENSCPUG00000017403	Calidris_pugnax
ENSCPGP00000012823	ENSCPGG00000009117	Calidris_pygmaea
ENSMUNP00000006182	ENSMUNG00000004993	Melopsittacus_undulatus
ENSAPLP00000032772	ENSAPLG00000007552	Anas_platyrhynchos_platyrhynchos
ENSABRP00000027484	ENSABRG00000022877	Anser_brachyrhynchus
ENSMGAP00000019274	ENSMGAG00000009606	Meleagris_gallopavo
ENSGALP00000069332	ENSGALG00000002666	Gallus_gallus
ENSCJPP00005021142	ENSCJPG00005016927	Coturnix_japonica
ENSNMEP00000025279	ENSNMEG00000021415	Numida_meleagris
ENSAHAP00000001572	ENSAHAG00000001236	Apteryx_haastii
ENSARWP00000007092	ENSARWG00000004975	Apteryx_rowi
ENSAOWP00000019220	ENSAOWG00000013060	Apteryx_owenii
ENSDNVP00000008374	ENSDNVG00000005946	Dromaius_novaehollandiae
ENSNPEP00000014521	ENSNPEG00000010869	Nothoprocta_perdicaria
ENSPMJP00000010752	ENSPMJG00000008418	Parus_major
ENSFALP00000004645	ENSFALG00000004464	Ficedula_albicollis
ENSJHYP00000023572	ENSJHYG00000017725	Junco_hyemalis
ENSZALP00000012970	ENSZALG00000010822	Zonotrichia_albicollis
