ENSMMUP00000036035	ENSMMUG00000046774	Macaca_mulatta
ENSDARP00000156440	ENSDARG00000113643	Danio_rerio
ENSTNIP00000017264	ENSTNIG00000014250	Tetraodon_nigroviridis
ENSRNOP00000003413	ENSRNOG00000002440	Rattus_norvegicus
ENSSHAP00000014940	ENSSHAG00000012747	Sarcophilus_harrisii
ENSSSCP00000038583	ENSSSCG00000025455	Sus_scrofa_strain_reference
ENSTNIP00000013150	ENSTNIG00000010249	Tetraodon_nigroviridis
ENSRBIP00000026953	ENSRBIG00000037348	Rhinopithecus_bieti
ENSGWIP00000050087	ENSGWIG00000024391	Gouania_willdenowi
ENSNVIP00000004110	ENSNVIG00000003304	Neovison_vison
ENSOMEP00000032057	ENSOMEG00000017247	Oryzias_melastigma
ENSORLP00020008535	ENSORLG00020009420	Oryzias_latipes_ASM223471v1
ENSPCOP00000029269	ENSPCOG00000027317	Propithecus_coquereli
ENSHGLP00100024789	ENSHGLG00100018206	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000001600	ENSODEG00000001261	Octodon_degus
MGP_SPRETEiJ_P0020500	MGP_SPRETEiJ_G0015319	Mus_spretus_strain_SPRET/EiJ
ENSPNAP00000032308	ENSPNAG00000003639	Pygocentrus_nattereri
ENSORLP00000030288	ENSORLG00000025960	Oryzias_latipes_ASM223467v1
ENSCHAP00000055391	ENSCHAG00000025088	Clupea_harengus
ENSXMAP00000032996	ENSXMAG00000023293	Xiphophorus_maculatus
ENSTGEP00000001509	ENSTGEG00000001398	Theropithecus_gelada
ENSNBRP00000027783	ENSNBRG00000021187	Neolamprologus_brichardi
ENSOMEP00000030222	ENSOMEG00000014356	Oryzias_melastigma
ENSUAMP00000012998	ENSUAMG00000010486	Ursus_americanus
ENSCSEP00000014357	ENSCSEG00000009239	Cynoglossus_semilaevis
ENSAOCP00000025059	ENSAOCG00000012364	Amphiprion_ocellaris
ENSACLP00000013167	ENSACLG00000009005	Astatotilapia_calliptera
ENSGALP00000070356	ENSGALG00000026493	Gallus_gallus
ENSONIP00000004532	ENSONIG00000003604	Oreochromis_niloticus
ENSAHAP00000008959	ENSAHAG00000006561	Apteryx_haastii
ENSTRUP00000050587	ENSTRUG00000025204	Takifugu_rubripes	ENSTRUT00000058627
ENSMUNP00000016550	ENSMUNG00000012747	Melopsittacus_undulatus
ENSMEUP00000012444	ENSMEUG00000013642	Notamacropus_eugenii
ENSELUP00000018008	ENSELUG00000017597	Esox_lucius
ENSCHIP00000020507	ENSCHIG00000019125	Capra_hircus
ENSSTOP00000001078	ENSSTOG00000001208	Ictidomys_tridecemlineatus
ENSCGRP00000006300	ENSCGRG00000004609	Cricetulus_griseus_CriGri_1.0
ENSPFOP00000000767	ENSPFOG00000000798	Poecilia_formosa
MGP_CAROLIEiJ_P0019472	MGP_CAROLIEiJ_G0014512	Mus_caroli_strain_CAROLI_EIJ
ENSPPYP00000014262	ENSPPYG00000012781	Pongo_abelii
ENSZALP00000017791	ENSZALG00000014342	Zonotrichia_albicollis
ENSELUP00000007147	ENSELUG00000007944	Esox_lucius
ENSMSIP00000010008	ENSMSIG00000008787	Mus_spicilegus
ENSVVUP00000025152	ENSVVUG00000018448	Vulpes_vulpes
ENSAMXP00005032613	ENSAMXG00005015884	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPSIP00000009726	ENSPSIG00000008826	Pelodiscus_sinensis
ENSLCAP00010005392	ENSLCAG00010002707	Lates_calcarifer	ENSLCAT00010005527
ENSSPAP00000026742	ENSSPAG00000020171	Stegastes_partitus
ENSPTIP00000003742	ENSPTIG00000006419	Panthera_tigris_altaica
ENSPNYP00000012916	ENSPNYG00000009792	Pundamilia_nyererei
ENSKMAP00000021467	ENSKMAG00000015958	Kryptolebias_marmoratus
ENSKMAP00000008994	ENSKMAG00000006756	Kryptolebias_marmoratus
ENSBSLP00000044666	ENSBSLG00000021323	Betta_splendens
ENSMVIP00005014193	ENSMVIG00005010249	Manacus_vitellinus
MGP_PahariEiJ_P0074765	MGP_PahariEiJ_G0027748	Mus_pahari_strain_PAHARI_EIJ
ENSCGOP00000005120	ENSCGOG00000002607	Cottoperca_gobio
ENSGWIP00000002669	ENSGWIG00000001445	Gouania_willdenowi
ENSPMEP00000020604	ENSPMEG00000023748	Poecilia_mexicana
ENSPREP00000022093	ENSPREG00000014927	Poecilia_reticulata
ENSMMOP00000002469	ENSMMOG00000002011	Mola_mola
ENSAPEP00000010103	ENSAPEG00000007259	Amphiprion_percula
ENSPMEP00000006668	ENSPMEG00000008220	Poecilia_mexicana
ENSAMXP00000029572	ENSAMXG00000038817	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBIXP00005006934	ENSBIXG00005000394	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLOCP00000002323	ENSLOCG00000002006	Lepisosteus_oculatus
ENSECAP00000012317	ENSECAG00000014701	Equus_caballus
ENSCJPP00005015655	ENSCJPG00005012939	Coturnix_japonica
ENSRROP00000003848	ENSRROG00000015341	Rhinopithecus_roxellana
ENSPPRP00000029688	ENSPPRG00000022423	Panthera_pardus
ENSIPUP00000031276	ENSIPUG00000021072	Ictalurus_punctatus
ENSACAP00000003960	ENSACAG00000004069	Anolis_carolinensis
ENSDORP00000012155	ENSDORG00000012929	Dipodomys_ordii
ENSCABP00000010318	ENSCABG00000007745	Chelonoidis_abingdonii
ENSGMOP00000003777	ENSGMOG00000003578	Gadus_morhua
ENSARWP00000015636	ENSARWG00000010786	Apteryx_rowi
ENSSLDP00000028473	ENSSLDG00000022015	Seriola_lalandi_dorsalis
ENSLBEP00000016688	ENSLBEG00000012880	Labrus_bergylta	ENSLBET00000017634
ENSFHEP00000006140	ENSFHEG00000007153	Fundulus_heteroclitus
ENSGAFP00000024009	ENSGAFG00000016190	Gambusia_affinis
ENSMMOP00000007213	ENSMMOG00000005599	Mola_mola
ENSBTAP00000050999	ENSBTAG00000032021	Bos_taurus
ENSHCOP00000007715	ENSHCOG00000009793	Hippocampus_comes
ENSPNAP00000012393	ENSPNAG00000018145	Pygocentrus_nattereri
ENSMLUP00000004989	ENSMLUG00000005466	Myotis_lucifugus
ENSDNOP00000032108	ENSDNOG00000039486	Dasypus_novemcinctus	ENSDNOT00000036352
ENSEASP00005018954	ENSEASG00005013049	Equus_asinus_asinus
ENSDCDP00000027374	ENSDCDG00000019998	Denticeps_clupeoides
ENSSMAP00000010672	ENSSMAG00000006572	Scophthalmus_maximus
ENSXCOP00000019209	ENSXCOG00000014439	Xiphophorus_couchianus
ENSLACP00000017548	ENSLACG00000015458	Latimeria_chalumnae
ENSLBEP00000027936	ENSLBEG00000021167	Labrus_bergylta
ENSAMEP00000009138	ENSAMEG00000008682	Ailuropoda_melanoleuca
ENSETEP00000009894	ENSETEG00000012192	Echinops_telfairi
ENSBIXP00000025505	ENSBIXG00000027587	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMFAP00000038350	ENSMFAG00000038532	Macaca_fascicularis
ENSORLP00015025138	ENSORLG00015006076	Oryzias_latipes_ASM223469v1
ENSPKIP00000020205	ENSPKIG00000005070	Paramormyrops_kingsleyae
ENSLCOP00000003130	ENSLCOG00000002378	Lepidothrix_coronata
ENSOANP00000008972	ENSOANG00000005641	Ornithorhynchus_anatinus
ENSONIP00000005437	ENSONIG00000004313	Oreochromis_niloticus
ENSPTEP00000025032	ENSPTEG00000025405	Piliocolobus_tephrosceles
ENSCHAP00000037592	ENSCHAG00000017628	Clupea_harengus
ENSTBEP00000001095	ENSTBEG00000001274	Tupaia_belangeri
ENSBBBP00000006361	ENSBBBG00000001195	Bison_bison_bison
ENSPCAP00000001320	ENSPCAG00000001443	Procavia_capensis
ENSNBRP00000016327	ENSNBRG00000012615	Neolamprologus_brichardi
ENSXCOP00000014134	ENSXCOG00000010404	Xiphophorus_couchianus
ENSLCRP00005055295	ENSLCRG00005020626	Larimichthys_crocea
ENSORLP00020004935	ENSORLG00020005721	Oryzias_latipes_ASM223471v1
ENSCPRP00005001512	ENSCPRG00005001155	Crocodylus_porosus
ENSACIP00000018115	ENSACIG00000014130	Amphilophus_citrinellus
ENSTGEP00000004344	ENSTGEG00000003648	Theropithecus_gelada
ENSSDUP00000002884	ENSSDUG00000002231	Seriola_dumerili	ENSSDUT00000002957
ENSHHUP00000090522	ENSHHUG00000052261	Hucho_hucho
ENSPSMP00000012892	ENSPSMG00000009281	Prolemur_simus
ENSCCNP00000003419	ENSCCNG00000003669	Castor_canadensis
ENSBMUP00000025230	ENSBMUG00000018930	Bos_mutus
ENSSPAP00000030353	ENSSPAG00000022796	Stegastes_partitus
ENSAMXP00000030900	ENSAMXG00000043392	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCCAP00000025601	ENSCCAG00000030578	Cebus_capucinus_imitator
ENSAPOP00000001277	ENSAPOG00000002549	Acanthochromis_polyacanthus
ENSGAGP00000019973	ENSGAGG00000014713	Gopherus_agassizii
ENSSFOP00015002113	ENSSFOG00015001419	Scleropages_formosus
ENSSARP00000007235	ENSSARG00000008013	Sorex_araneus
ENSPVIP00000009562	ENSPVIG00000007617	Pogona_vitticeps
ENSMMMP00000025746	ENSMMMG00000022577	Marmota_marmota_marmota
ENSMGAP00000012451	ENSMGAG00000011867	Meleagris_gallopavo
ENSNMEP00000027437	ENSNMEG00000022980	Numida_meleagris
ENSOPRP00000007155	ENSOPRG00000007832	Ochotona_princeps
ENSJJAP00000015225	ENSJJAG00000017455	Jaculus_jaculus
ENSMALP00000026524	ENSMALG00000018412	Monopterus_albus
ENSMUSP00000004565	ENSMUSG00000004451	Mus_musculus_strain_reference_(CL57BL6)
ENSLSDP00000017827	ENSLSDG00000012739	Lonchura_striata_domestica
ENSMZEP00005003212	ENSMZEG00005002487	Maylandia_zebra
ENSSPUP00000023000	ENSSPUG00000017649	Sphenodon_punctatus
ENSPLAP00000015971	ENSPLAG00000020006	Poecilia_latipinna
ENSEEUP00000014149	ENSEEUG00000015508	Erinaceus_europaeus
ENSPVAP00000005491	ENSPVAG00000005807	Pteropus_vampyrus
ENSHGLP00100010954	ENSHGLG00100008137	Heterocephalus_glaber_HetGla_1.0
ENSODEP00000012889	ENSODEG00000009542	Octodon_degus
ENSSMAP00000000086	ENSSMAG00000000061	Scophthalmus_maximus
ENSHHUP00000014917	ENSHHUG00000009205	Hucho_hucho
ENSACLP00000010684	ENSACLG00000007309	Astatotilapia_calliptera
ENSGACP00000009945	ENSGACG00000007498	Gasterosteus_aculeatus
ENSPCIP00000001712	ENSPCIG00000001367	Phascolarctos_cinereus
ENSPRNP00000039693	ENSPRNG00000019538	Parambassis_ranga
ENSSBOP00000032572	ENSSBOG00000032472	Saimiri_boliviensis_boliviensis
ENSMALP00000008707	ENSMALG00000006199	Monopterus_albus
ENSHBUP00000034704	ENSHBUG00000000792	Haplochromis_burtoni
ENSGGOP00000001622	ENSGGOG00000001648	Gorilla_gorilla
ENSEBUP00000013957	ENSEBUG00000008805	Eptatretus_burgeri	ENSEBUT00000014533
ENSNSUP00000014791	ENSNSUG00000010946	Notechis_scutatus
ENSSDUP00000016316	ENSSDUG00000011914	Seriola_dumerili
ENSATEP00000017687	ENSATEG00000012302	Anabas_testudineus
ENSCATP00000032287	ENSCATG00000039216	Cercocebus_atys
ENSPMAP00000008024	ENSPMAG00000007285	Petromyzon_marinus
ENSPKIP00000001279	ENSPKIG00000019627	Paramormyrops_kingsleyae
ENSOARP00000013897	ENSOARG00000012973	Ovis_aries
ENSPNYP00000008530	ENSPNYG00000006522	Pundamilia_nyererei
ENSLAFP00000026008	ENSLAFG00000027328	Loxodonta_africana
ENSCPGP00000015649	ENSCPGG00000011026	Calidris_pygmaea
ENSCGRP00015011987	ENSCGRG00015009208	Cricetulus_griseus_CriGri-PICR
ENSSBOP00000005646	ENSSBOG00000019705	Saimiri_boliviensis_boliviensis
ENSMLEP00000002196	ENSMLEG00000008823	Mandrillus_leucophaeus
ENSCAFP00020017191	ENSCAFG00020013768	Canis_lupus_dingo
ENSTGUP00000004759	ENSTGUG00000004625	Taeniopygia_guttata
ENSFHEP00000032505	ENSFHEG00000019001	Fundulus_heteroclitus	ENSFHET00000025951
ENSHGLP00000006691	ENSHGLG00000004886	Heterocephalus_glaber_HetGla_female_1.0
ENSIPUP00000035264	ENSIPUG00000023656	Ictalurus_punctatus
ENSTRUP00000016829	ENSTRUG00000006857	Takifugu_rubripes
ENSOGAP00000014273	ENSOGAG00000015936	Otolemur_garnettii
ENSPLAP00000006789	ENSPLAG00000008996	Poecilia_latipinna
ENSCSAP00000012705	ENSCSAG00000016644	Chlorocebus_sabaeus
ENSPEMP00000034330	ENSPEMG00000030915	Peromyscus_maniculatus_bairdii
ENSFCAP00000019340	ENSFCAG00000029390	Felis_catus
ENSDNVP00000022909	ENSDNVG00000015934	Dromaius_novaehollandiae
ENSUPAP00010023991	ENSUPAG00010019038	Urocitellus_parryii
ENSPMJP00000027152	ENSPMJG00000019781	Parus_major
ENSLCRP00005020818	ENSLCRG00005008480	Larimichthys_crocea	ENSLCRT00005021229
ENSJHYP00000017047	ENSJHYG00000013025	Junco_hyemalis
ENSMAMP00000022279	ENSMAMG00000015005	Mastacembelus_armatus
ENSAPEP00000015328	ENSAPEG00000010927	Amphiprion_percula
ENSFALP00000013785	ENSFALG00000013209	Ficedula_albicollis
ENSMPUP00000000976	ENSMPUG00000000983	Mustela_putorius_furo
ENSPPAP00000025325	ENSPPAG00000035798	Pan_paniscus
ENSCPBP00000018908	ENSCPBG00000013718	Chrysemys_picta_bellii
ENSNLEP00000001083	ENSNLEG00000000919	Nomascus_leucogenys
ENSATEP00000005308	ENSATEG00000003775	Anabas_testudineus
ENSMODP00000000322	ENSMODG00000000264	Monodelphis_domestica
ENSFDAP00000020506	ENSFDAG00000008393	Fukomys_damarensis
ENSCVAP00000011372	ENSCVAG00000013632	Cyprinodon_variegatus
ENSCANP00000038419	ENSCANG00000042885	Colobus_angolensis_palliatus
ENSCMIP00000020595	ENSCMIG00000009471	Callorhinchus_milii
ENSOCUP00000005183	ENSOCUG00000005992	Oryctolagus_cuniculus
ENSANAP00000041652	ENSANAG00000038113	Aotus_nancymaae
ENSTSYP00000028490	ENSTSYG00000032165	Carlito_syrichta
ENSODEP00000000564	ENSODEG00000000470	Octodon_degus
ENSTTRP00000002297	ENSTTRG00000002452	Tursiops_truncatus
ENSVPAP00000002401	ENSVPAG00000002599	Vicugna_pacos
ENSHBUP00000016975	ENSHBUG00000018969	Haplochromis_burtoni
ENSCGRP00001019408	ENSCGRG00001018860	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPUP00000025119	ENSCPUG00000016999	Calidris_pugnax
ENSXMAP00000036282	ENSXMAG00000024560	Xiphophorus_maculatus
ENSDCDP00000038073	ENSDCDG00000025630	Denticeps_clupeoides
ENSMUGP00000026390	ENSMUGG00000021986	Meriones_unguiculatus
ENSAMXP00000006836	ENSAMXG00000006665	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSECRP00000024522	ENSECRG00000016609	Erpetoichthys_calabaricus
ENSCJAP00000024491	ENSCJAG00000013326	Callithrix_jacchus
ENSCCAP00000001315	ENSCCAG00000008594	Cebus_capucinus_imitator
ENSP00000272519	ENSG00000144118	Homo_sapiens
ENSCPOP00000024998	ENSCPOG00000032717	Cavia_porcellus
ENSAOCP00000024645	ENSAOCG00000011635	Amphiprion_ocellaris
ENSCVAP00000027151	ENSCVAG00000013246	Cyprinodon_variegatus
ENSNGAP00000005727	ENSNGAG00000008242	Nannospalax_galili
ENSMNEP00000039594	ENSMNEG00000042744	Macaca_nemestrina
ENSHGLP00000000101	ENSHGLG00000000123	Heterocephalus_glaber_HetGla_female_1.0
ENSPREP00000019487	ENSPREG00000013186	Poecilia_reticulata
