ENSMFAP00000017023	ENSMFAG00000031634	Macaca_fascicularis	ENSMFAT00000067563
ENSMNEP00000036199	ENSMNEG00000041232	Macaca_nemestrina	ENSMNET00000060661
ENSPANP00000020680	ENSPANG00000021527	Papio_anubis	ENSPANT00000010736
ENSTGEP00000013238	ENSTGEG00000010764	Theropithecus_gelada	ENSTGET00000015900
ENSCATP00000034737	ENSCATG00000040270	Cercocebus_atys	ENSCATT00000059018
ENSMLEP00000010237	ENSMLEG00000029301	Mandrillus_leucophaeus	ENSMLET00000033644
ENSMNEP00000038667	ENSMNEG00000042327	Macaca_nemestrina	ENSMNET00000063149
ENSP00000285979	ENSG00000108242	Homo_sapiens	ENST00000285979
ENSGGOP00000007670	ENSGGOG00000007842	Gorilla_gorilla	ENSGGOT00000007877
ENSPPYP00000002902	ENSPPYG00000002503	Pongo_abelii	ENSPPYT00000003004
ENSCCAP00000013088	ENSCCAG00000024348	Cebus_capucinus_imitator	ENSCCAT00000030515
ENSSBOP00000006690	ENSSBOG00000020312	Saimiri_boliviensis_boliviensis
MGP_SPRETEiJ_P0050712	MGP_SPRETEiJ_G0023849	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048714	MGP_CAROLIEiJ_G0022931	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021682	MGP_PahariEiJ_G0014424	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000028062	ENSMUGG00000023309	Meriones_unguiculatus
ENSCGRP00000025340	ENSCGRG00000018346	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006373	ENSCGRG00001008587	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001643	ENSCGRG00015001357	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000004849	ENSMAUG00000006548	Mesocricetus_auratus
ENSMOCP00000018142	ENSMOCG00000016528	Microtus_ochrogaster
ENSPEMP00000004210	ENSPEMG00000006425	Peromyscus_maniculatus_bairdii
ENSUPAP00010008841	ENSUPAG00010007153	Urocitellus_parryii
ENSMMMP00000017820	ENSMMMG00000015802	Marmota_marmota_marmota
ENSSDAP00000012100	ENSSDAG00000010911	Spermophilus_dauricus
ENSSTOP00000017389	ENSSTOG00000026122	Ictidomys_tridecemlineatus
ENSHGLP00000018092	ENSHGLG00000012931	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024740	ENSHGLG00100018169	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020394	ENSFDAG00000008472	Fukomys_damarensis
ENSCLAP00000005942	ENSCLAG00000004211	Chinchilla_lanigera
ENSODEP00000020950	ENSODEG00000015439	Octodon_degus
ENSOPRP00000014349	ENSOPRG00000015711	Ochotona_princeps
