ENSFHEP00000018210	ENSFHEG00000020057	Fundulus_heteroclitus
ENSPREP00000019830	ENSPREG00000013417	Poecilia_reticulata
ENSRNOP00000071607	ENSRNOG00000018980	Rattus_norvegicus
ENSMODP00000048506	ENSMODG00000038004	Monodelphis_domestica
ENSMZEP00005002913	ENSMZEG00005002273	Maylandia_zebra
ENSSPUP00000015400	ENSSPUG00000011894	Sphenodon_punctatus
ENSCSEP00000006924	ENSCSEG00000004465	Cynoglossus_semilaevis
ENSDNVP00000011017	ENSDNVG00000007794	Dromaius_novaehollandiae	ENSDNVT00000013279
ENSXMAP00000016165	ENSXMAG00000016136	Xiphophorus_maculatus
ENSSMRP00000007851	ENSSMRG00000006289	Salvator_merianae
ENSPSIP00000012290	ENSPSIG00000011032	Pelodiscus_sinensis
ENSOANP00000004815	ENSOANG00000003039	Ornithorhynchus_anatinus
