ENSOCUP00000019728	ENSOCUG00000012646	Oryctolagus_cuniculus
ENSOANP00000028447	ENSOANG00000022295	Ornithorhynchus_anatinus
ENSPNYP00000026634	ENSPNYG00000020063	Pundamilia_nyererei
ENSLBEP00000025027	ENSLBEG00000019122	Labrus_bergylta
ENSMOCP00000001524	ENSMOCG00000001169	Microtus_ochrogaster
ENSSARP00000001665	ENSSARG00000001822	Sorex_araneus
ENSNBRP00000007200	ENSNBRG00000005638	Neolamprologus_brichardi
ENSVVUP00000028325	ENSVVUG00000020734	Vulpes_vulpes
ENSHGLP00100001458	ENSHGLG00100001153	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000000500	ENSMMMG00000000467	Marmota_marmota_marmota
ENSMGAP00000009553	ENSMGAG00000009238	Meleagris_gallopavo
ENSNPEP00000013078	ENSNPEG00000009756	Nothoprocta_perdicaria	ENSNPET00000013397
ENSSTOP00000010673	ENSSTOG00000011904	Ictidomys_tridecemlineatus
ENSCABP00000018324	ENSCABG00000013424	Chelonoidis_abingdonii
ENSUAMP00000029863	ENSUAMG00000022721	Ursus_americanus
ENSCAFP00000029020	ENSCAFG00000019620	Canis_lupus_familiaris
ENSCSAP00000002992	ENSCSAG00000006706	Chlorocebus_sabaeus
ENSPMJP00000015996	ENSPMJG00000011806	Parus_major
ENSHHUP00000016461	ENSHHUG00000010215	Hucho_hucho
ENSABRP00000024398	ENSABRG00000020373	Anser_brachyrhynchus
ENSCHAP00000021107	ENSCHAG00000009747	Clupea_harengus
ENSCGRP00015010786	ENSCGRG00015008295	Cricetulus_griseus_CriGri-PICR
ENSIPUP00000015155	ENSIPUG00000010309	Ictalurus_punctatus
ENSXMAP00000023561	ENSXMAG00000004919	Xiphophorus_maculatus
ENSVPAP00000003015	ENSVPAG00000003259	Vicugna_pacos
ENSLAFP00000000178	ENSLAFG00000000221	Loxodonta_africana
ENSTGUP00000006983	ENSTGUG00000006781	Taeniopygia_guttata
ENSCCAP00000019160	ENSCCAG00000027418	Cebus_capucinus_imitator
ENSMNEP00000021538	ENSMNEG00000034503	Macaca_nemestrina
ENSDCDP00000019118	ENSDCDG00000014949	Denticeps_clupeoides
ENSGALP00000008091	ENSGALG00000005054	Gallus_gallus
ENSCAFP00020011647	ENSCAFG00020009379	Canis_lupus_dingo
ENSHHUP00000035390	ENSHHUG00000022240	Hucho_hucho
ENSECAP00000021150	ENSECAG00000023524	Equus_caballus
ENSELUP00000035518	ENSELUG00000014538	Esox_lucius
ENSPCIP00000022058	ENSPCIG00000016706	Phascolarctos_cinereus
ENSTGEP00000016500	ENSTGEG00000013351	Theropithecus_gelada
ENSCPUP00000000910	ENSCPUG00000000710	Calidris_pugnax
ENSSSCP00000013633	ENSSSCG00000012823	Sus_scrofa_strain_reference
ENSAHAP00000024131	ENSAHAG00000016844	Apteryx_haastii	ENSAHAT00000026579
ENSEEUP00000003042	ENSEEUG00000003323	Erinaceus_europaeus
ENSNMEP00000003322	ENSNMEG00000003877	Numida_meleagris
ENSOANP00000013881	ENSOANG00000008713	Ornithorhynchus_anatinus
ENSARWP00000020365	ENSARWG00000013941	Apteryx_rowi
ENSSPUP00000024681	ENSSPUG00000018907	Sphenodon_punctatus
ENSSDAP00000004058	ENSSDAG00000003621	Spermophilus_dauricus
ENSTNIP00000005134	ENSTNIG00000002582	Tetraodon_nigroviridis
ENSPSIP00000015388	ENSPSIG00000013765	Pelodiscus_sinensis
ENSATEP00000019737	ENSATEG00000013682	Anabas_testudineus
ENSBTAP00000017339	ENSBTAG00000013045	Bos_taurus
ENSCSAVP00000017089	ENSCSAVG00000010047	Ciona_savignyi
ENSCAPP00000001670	ENSCAPG00000003342	Cavia_aperea
ENSEEEP00000043322	ENSEEEG00000020192	Electrophorus_electricus
ENSCVAP00000008363	ENSCVAG00000010155	Cyprinodon_variegatus
ENSZALP00000002277	ENSZALG00000002506	Zonotrichia_albicollis
MGP_SPRETEiJ_P0095731	MGP_SPRETEiJ_G0034351	Mus_spretus_strain_SPRET/EiJ
ENSPREP00000005982	ENSPREG00000004100	Poecilia_reticulata
ENSGWIP00000049509	ENSGWIG00000024134	Gouania_willdenowi
ENSCGRP00001013444	ENSCGRG00001014574	Cricetulus_griseus_CHOK1GS_HDv1
ENSODEP00000000656	ENSODEG00000000549	Octodon_degus
ENSCAFP00020011024	ENSCAFG00020008918	Canis_lupus_dingo
ENSSLDP00000024896	ENSSLDG00000019342	Seriola_lalandi_dorsalis
ENSEBUP00000022534	ENSEBUG00000013888	Eptatretus_burgeri
ENSNVIP00000030663	ENSNVIG00000023613	Neovison_vison
ENSBMUP00000008882	ENSBMUG00000006907	Bos_mutus
