ENSCCNP00000003902	ENSCCNG00000004113	Castor_canadensis	ENSCCNT00000005104
ENSCCNP00000003715	ENSCCNG00000002942	Castor_canadensis	ENSCCNT00000004866
ENSCCNP00000004848	ENSCCNG00000004761	Castor_canadensis	ENSCCNT00000006388
ENSDORP00000023677	ENSDORG00000027129	Dipodomys_ordii	ENSDORT00000033837
ENSSTOP00000022971	ENSSTOG00000022102	Ictidomys_tridecemlineatus	ENSSTOT00000027937
ENSMMMP00000022649	ENSMMMG00000019876	Marmota_marmota_marmota
ENSUAMP00000034638	ENSUAMG00000026328	Ursus_americanus
ENSAMEP00000017058	ENSAMEG00000016104	Ailuropoda_melanoleuca
ENSUAMP00000034639	ENSUAMG00000026329	Ursus_americanus
ENSMPUP00000017020	ENSMPUG00000017129	Mustela_putorius_furo
ENSNVIP00000002333	ENSNVIG00000001886	Neovison_vison
ENSCAFP00000011937	ENSCAFG00000008099	Canis_lupus_familiaris
ENSCAFP00020006001	ENSCAFG00020004895	Canis_lupus_dingo
ENSVVUP00000031335	ENSVVUG00000022811	Vulpes_vulpes
ENSPTIP00000019207	ENSPTIG00000017083	Panthera_tigris_altaica
ENSPPRP00000010624	ENSPPRG00000004718	Panthera_pardus
ENSFCAP00000019862	ENSFCAG00000031987	Felis_catus
ENSCHIP00000016038	ENSCHIG00000016316	Capra_hircus
ENSOARP00000006162	ENSOARG00000005747	Ovis_aries
ENSCHIP00000013269	ENSCHIG00000014568	Capra_hircus
ENSOARP00000005862	ENSOARG00000005450	Ovis_aries
ENSBTAP00000034278	ENSBTAG00000049496	Bos_taurus
ENSBIXP00005024624	ENSBIXG00005004671	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000021697	ENSBMUG00000016339	Bos_mutus
ENSBBBP00000015934	ENSBBBG00000023783	Bison_bison_bison
ENSBIXP00005043516	ENSBIXG00005027545	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000055135	ENSBTAG00000054237	Bos_taurus
ENSBMUP00000024450	ENSBMUG00000018306	Bos_mutus
ENSBBBP00000027496	ENSBBBG00000023758	Bison_bison_bison
ENSBIXP00000030977	ENSBIXG00000013119	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000032105	ENSBTAG00000023549	Bos_taurus
ENSBBBP00000015966	ENSBBBG00000008971	Bison_bison_bison
ENSBMUP00000021734	ENSBMUG00000016373	Bos_mutus
ENSOARP00000000728	ENSOARG00000000709	Ovis_aries
ENSOARP00000002128	ENSOARG00000002022	Ovis_aries
ENSCHIP00000011840	ENSCHIG00000013857	Capra_hircus
ENSCHIP00000029226	ENSCHIG00000024348	Capra_hircus
ENSVPAP00000002978	ENSVPAG00000003219	Vicugna_pacos
ENSMLUP00000021228	ENSMLUG00000023338	Myotis_lucifugus
ENSUAMP00000028019	ENSUAMG00000021659	Ursus_americanus
ENSUAMP00000002638	ENSUAMG00000002402	Ursus_americanus
ENSMUGP00000008821	ENSMUGG00000007927	Meriones_unguiculatus
ENSMUGP00000008059	ENSMUGG00000007311	Meriones_unguiculatus
ENSPEMP00000033468	ENSPEMG00000025938	Peromyscus_maniculatus_bairdii
ENSSDAP00000016985	ENSSDAG00000015372	Spermophilus_dauricus
ENSBMUP00000024330	ENSBMUG00000018279	Bos_mutus
ENSBIXP00000030976	ENSBIXG00000013102	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTGEP00000013742	ENSTGEG00000011153	Theropithecus_gelada
ENSPTEP00000037593	ENSPTEG00000035133	Piliocolobus_tephrosceles
ENSLAFP00000007059	ENSLAFG00000008412	Loxodonta_africana
