ENSSHAP00000008698	ENSSHAG00000007536	Sarcophilus_harrisii
MGP_SPRETEiJ_P0065843	MGP_SPRETEiJ_G0027218	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000016487	ENSMSIG00000014150	Mus_spicilegus
ENSMUSP00000048810	ENSMUSG00000063172	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0063360	MGP_CAROLIEiJ_G0026249	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078471	MGP_PahariEiJ_G0028582	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073693	ENSRNOG00000010241	Rattus_norvegicus
ENSMUGP00000018284	ENSMUGG00000015487	Meriones_unguiculatus
ENSNGAP00000015065	ENSNGAG00000016200	Nannospalax_galili
ENSJJAP00000005661	ENSJJAG00000010542	Jaculus_jaculus
ENSHGLP00100009013	ENSHGLG00100006697	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001779	ENSHGLG00000001352	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000012187	ENSFDAG00000019587	Fukomys_damarensis
ENSODEP00000017720	ENSODEG00000013069	Octodon_degus
ENSCAPP00000011671	ENSCAPG00000012697	Cavia_aperea
ENSCPOP00000007833	ENSCPOG00000008726	Cavia_porcellus
ENSCLAP00000010602	ENSCLAG00000007317	Chinchilla_lanigera
ENSUPAP00010016327	ENSUPAG00010013036	Urocitellus_parryii
ENSMMMP00000021503	ENSMMMG00000018938	Marmota_marmota_marmota
ENSOPRP00000005082	ENSOPRG00000005553	Ochotona_princeps
ENSLAFP00000014819	ENSLAFG00000017677	Loxodonta_africana
ENSTBEP00000011178	ENSTBEG00000012903	Tupaia_belangeri
ENSPCOP00000016092	ENSPCOG00000019800	Propithecus_coquereli
ENSUPAP00010027164	ENSUPAG00010021463	Urocitellus_parryii
ENSSTOP00000002355	ENSSTOG00000002643	Ictidomys_tridecemlineatus
ENSSDAP00000003811	ENSSDAG00000003570	Spermophilus_dauricus
ENSMMMP00000017542	ENSMMMG00000015564	Marmota_marmota_marmota
ENSPCAP00000012911	ENSPCAG00000013852	Procavia_capensis	ENSPCAT00000013815
ENSBMUP00000029613	ENSBMUG00000022142	Bos_mutus	ENSBMUT00000034089
ENSSSCP00000074468	ENSSSCG00000026264	Sus_scrofa_strain_reference
ENSMPUP00000006527	ENSMPUG00000006582	Mustela_putorius_furo
ENSPPAP00000014119	ENSPPAG00000030206	Pan_paniscus
ENSPTRP00000074844	ENSPTRG00000000762	Pan_troglodytes
ENSGGOP00000045982	ENSGGOG00000010685	Gorilla_gorilla
ENSNLEP00000026749	ENSNLEG00000033229	Nomascus_leucogenys
ENSRBIP00000025748	ENSRBIG00000036749	Rhinopithecus_bieti
ENSRROP00000024898	ENSRROG00000036219	Rhinopithecus_roxellana
ENSCANP00000025467	ENSCANG00000036143	Colobus_angolensis_palliatus
ENSMMUP00000079542	ENSMMUG00000061193	Macaca_mulatta
ENSETEP00000002716	ENSETEG00000003318	Echinops_telfairi	ENSETET00000003316
ENSCHOP00000005388	ENSCHOG00000006095	Choloepus_hoffmanni
ENSSARP00000007006	ENSSARG00000007748	Sorex_araneus
ENSOANP00000024021	ENSOANG00000015261	Ornithorhynchus_anatinus
ENSABRP00000000018	ENSABRG00000000024	Anser_brachyrhynchus
ENSAPLP00000020259	ENSAPLG00000028953	Anas_platyrhynchos_platyrhynchos
ENSGALP00000052518	ENSGALG00000038608	Gallus_gallus
ENSCJPP00005014733	ENSCJPG00005012273	Coturnix_japonica
ENSNMEP00000026735	ENSNMEG00000022490	Numida_meleagris
ENSLCOP00000004026	ENSLCOG00000003057	Lepidothrix_coronata
ENSMVIP00005012602	ENSMVIG00005009159	Manacus_vitellinus
ENSLSDP00000018365	ENSLSDG00000013101	Lonchura_striata_domestica
ENSTGUP00000009633	ENSTGUG00000009350	Taeniopygia_guttata
ENSSCAP00000008087	ENSSCAG00000006204	Serinus_canaria
ENSJHYP00000000285	ENSJHYG00000000293	Junco_hyemalis
ENSZALP00000003513	ENSZALG00000003488	Zonotrichia_albicollis
ENSPMJP00000001862	ENSPMJG00000001541	Parus_major
ENSCCEP00000008477	ENSCCEG00000008751	Cyanistes_caeruleus
ENSFALP00000012516	ENSFALG00000011988	Ficedula_albicollis
ENSMUNP00000015715	ENSMUNG00000012103	Melopsittacus_undulatus
ENSCPUP00000016916	ENSCPUG00000011670	Calidris_pugnax
ENSCPGP00000019522	ENSCPGG00000013669	Calidris_pygmaea
ENSAHAP00000005742	ENSAHAG00000004393	Apteryx_haastii
ENSARWP00000024230	ENSARWG00000016510	Apteryx_rowi
ENSAOWP00000005746	ENSAOWG00000003948	Apteryx_owenii
ENSDNVP00000015744	ENSDNVG00000011086	Dromaius_novaehollandiae
ENSNPEP00000020820	ENSNPEG00000015470	Nothoprocta_perdicaria
ENSCPRP00005007433	ENSCPRG00005005264	Crocodylus_porosus
ENSCPBP00000004125	ENSCPBG00000003350	Chrysemys_picta_bellii
ENSGAGP00000020167	ENSGAGG00000014877	Gopherus_agassizii
ENSPSIP00000003042	ENSPSIG00000002938	Pelodiscus_sinensis
ENSPVIP00000011421	ENSPVIG00000008968	Pogona_vitticeps
ENSACAP00000023055	ENSACAG00000028858	Anolis_carolinensis
ENSSMRP00000023096	ENSSMRG00000017926	Salvator_merianae
ENSSPUP00000018016	ENSSPUG00000013930	Sphenodon_punctatus
ENSXETP00000043044	ENSXETG00000002182	Xenopus_tropicalis
