ENSPVIP00000009465	ENSPVIG00000007537	Pogona_vitticeps	ENSPVIT00000012042
ENSACAP00000018999	ENSACAG00000022688	Anolis_carolinensis	ENSACAT00000028196
ENSPSIP00000006792	ENSPSIG00000006209	Pelodiscus_sinensis	ENSPSIT00000006830
ENSDNOP00000013379	ENSDNOG00000017262	Dasypus_novemcinctus	ENSDNOT00000017262
ENSCHOP00000002872	ENSCHOG00000003237	Choloepus_hoffmanni	ENSCHOT00000003253
ENSCCNP00000029972	ENSCCNG00000028743	Castor_canadensis	ENSCCNT00000037799
ENSDORP00000002941	ENSDORG00000003141	Dipodomys_ordii	ENSDORT00000003141
ENSMSIP00000014418	ENSMSIG00000012418	Mus_spicilegus	ENSMSIT00000018325
MGP_SPRETEiJ_P0030239	MGP_SPRETEiJ_G0017721	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0030239
ENSMUSP00000019069	ENSMUSG00000018925	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000019069
MGP_CAROLIEiJ_P0028832	MGP_CAROLIEiJ_G0016877	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0028832
MGP_PahariEiJ_P0035555	MGP_PahariEiJ_G0018008	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0035555
ENSRNOP00000068047	ENSRNOG00000037100	Rattus_norvegicus	ENSRNOT00000077035
ENSMUGP00000020456	ENSMUGG00000017254	Meriones_unguiculatus	ENSMUGT00000023512
ENSCGRP00000023062	ENSCGRG00000016701	Cricetulus_griseus_CriGri_1.0
ENSPPRP00000006143	ENSPPRG00000001679	Panthera_pardus
ENSPTIP00000017932	ENSPTIG00000016190	Panthera_tigris_altaica
ENSFCAP00000001853	ENSFCAG00000002003	Felis_catus
ENSEEUP00000010703	ENSEEUG00000011730	Erinaceus_europaeus
ENSSARP00000003937	ENSSARG00000004244	Sorex_araneus
ENSLAFP00000025376	ENSLAFG00000025920	Loxodonta_africana
ENSPCAP00000011890	ENSPCAG00000012671	Procavia_capensis
ENSETEP00000012040	ENSETEG00000014854	Echinops_telfairi
ENSSHAP00000002151	ENSSHAG00000001914	Sarcophilus_harrisii	ENSSHAT00000002175
ENSPCIP00000048901	ENSPCIG00000003789	Phascolarctos_cinereus	ENSPCIT00000063180
ENSLACP00000021977	ENSLACG00000022644	Latimeria_chalumnae
