ENSPCIP00000039533	ENSPCIG00000029003	Phascolarctos_cinereus	ENSPCIT00000048699
ENSVURP00010016669	ENSVURG00010012773	Vombatus_ursinus	ENSVURT00010018950
ENSMODP00000005988	ENSMODG00000004864	Monodelphis_domestica	ENSMODT00000006114
ENSSHAP00000004753	ENSSHAG00000004174	Sarcophilus_harrisii	ENSSHAT00000004801
ENSPCOP00000015733	ENSPCOG00000019617	Propithecus_coquereli
ENSOCUP00000014718	ENSOCUG00000017111	Oryctolagus_cuniculus
ENSOPRP00000001718	ENSOPRG00000001821	Ochotona_princeps
ENSUMAP00000000971	ENSUMAG00000000530	Ursus_maritimus	ENSUMAT00000001262
ENSUAMP00000024879	ENSUAMG00000019407	Ursus_americanus	ENSUAMT00000027776
ENSAMEP00000009757	ENSAMEG00000009205	Ailuropoda_melanoleuca	ENSAMET00000010182
ENSNVIP00000010630	ENSNVIG00000008384	Neovison_vison	ENSNVIT00000012457
ENSMPUP00000004194	ENSMPUG00000004228	Mustela_putorius_furo
ENSCAFP00020024366	ENSCAFG00020019114	Canis_lupus_dingo
ENSCAFP00000046149	ENSCAFG00000016831	Canis_lupus_familiaris
ENSVVUP00000009559	ENSVVUG00000007073	Vulpes_vulpes
ENSPTIP00000003611	ENSPTIG00000006327	Panthera_tigris_altaica
ENSPPRP00000010752	ENSPPRG00000004822	Panthera_pardus
ENSFCAP00000008004	ENSFCAG00000008634	Felis_catus
ENSCHIP00000018309	ENSCHIG00000017710	Capra_hircus
ENSOARP00000016622	ENSOARG00000015491	Ovis_aries
ENSBIXP00005026459	ENSBIXG00005028782	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000029549	ENSBIXG00000011106	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000061634	ENSBTAG00000012861	Bos_taurus
ENSBMUP00000000517	ENSBMUG00000000461	Bos_mutus
ENSBBBP00000023374	ENSBBBG00000018038	Bison_bison_bison
ENSTTRP00000007449	ENSTTRG00000007869	Tursiops_truncatus
ENSSSCP00000046522	ENSSSCG00000012377	Sus_scrofa_strain_reference
ENSVPAP00000007986	ENSVPAG00000008580	Vicugna_pacos
ENSMLUP00000010111	ENSMLUG00000011048	Myotis_lucifugus
ENSPVAP00000013539	ENSPVAG00000014364	Pteropus_vampyrus
ENSECAP00000009094	ENSECAG00000010859	Equus_caballus
ENSEEUP00000014048	ENSEEUG00000015367	Erinaceus_europaeus
ENSSARP00000004793	ENSSARG00000005234	Sorex_araneus
ENSCHOP00000008465	ENSCHOG00000009537	Choloepus_hoffmanni
ENSDNOP00000030040	ENSDNOG00000038630	Dasypus_novemcinctus
ENSLAFP00000009300	ENSLAFG00000011102	Loxodonta_africana
ENSPCAP00000002511	ENSPCAG00000002563	Procavia_capensis
ENSOANP00000033054	ENSOANG00000031535	Ornithorhynchus_anatinus
ENSCPGP00000010817	ENSCPGG00000007474	Calidris_pygmaea
ENSCPUP00000026348	ENSCPUG00000017746	Calidris_pugnax
ENSTGUP00000014632	ENSTGUG00000014250	Taeniopygia_guttata
ENSTGUP00000002684	ENSTGUG00000002605	Taeniopygia_guttata
ENSLSDP00000020805	ENSLSDG00000014734	Lonchura_striata_domestica
ENSSCAP00000001396	ENSSCAG00000000955	Serinus_canaria
ENSCCEP00000011391	ENSCCEG00000011159	Cyanistes_caeruleus
ENSPMJP00000009934	ENSPMJG00000007896	Parus_major
ENSFALP00000004280	ENSFALG00000004108	Ficedula_albicollis
ENSJHYP00000002520	ENSJHYG00000001049	Junco_hyemalis
ENSZALP00000017740	ENSZALG00000014308	Zonotrichia_albicollis
ENSLCOP00000021230	ENSLCOG00000015007	Lepidothrix_coronata
ENSMVIP00005002157	ENSMVIG00005001698	Manacus_vitellinus
ENSABRP00000004358	ENSABRG00000003237	Anser_brachyrhynchus
ENSAPLP00000026314	ENSAPLG00000008191	Anas_platyrhynchos_platyrhynchos
ENSGALP00000006656	ENSGALG00000004195	Gallus_gallus
ENSMGAP00000001061	ENSMGAG00000001501	Meleagris_gallopavo
ENSCJPP00005003340	ENSCJPG00005003545	Coturnix_japonica
ENSNMEP00000011729	ENSNMEG00000011019	Numida_meleagris
ENSAOWP00000016783	ENSAOWG00000011467	Apteryx_owenii
ENSAHAP00000011471	ENSAHAG00000008013	Apteryx_haastii
ENSARWP00000009931	ENSARWG00000006878	Apteryx_rowi
ENSDNVP00000007802	ENSDNVG00000005552	Dromaius_novaehollandiae
ENSNPEP00000018760	ENSNPEG00000013985	Nothoprocta_perdicaria
ENSCPRP00005013050	ENSCPRG00005009202	Crocodylus_porosus
ENSCABP00000011311	ENSCABG00000008422	Chelonoidis_abingdonii
ENSGAGP00000019365	ENSGAGG00000014271	Gopherus_agassizii
ENSCPBP00000019916	ENSCPBG00000014332	Chrysemys_picta_bellii
ENSPSIP00000008241	ENSPSIG00000007293	Pelodiscus_sinensis
ENSACAP00000004552	ENSACAG00000004469	Anolis_carolinensis
ENSACAP00000001399	ENSACAG00000001512	Anolis_carolinensis
ENSPVIP00000030971	ENSPVIG00000022685	Pogona_vitticeps
ENSSMRP00000004622	ENSSMRG00000003797	Salvator_merianae
ENSNSUP00000001555	ENSNSUG00000001335	Notechis_scutatus
ENSSPUP00000001911	ENSSPUG00000001423	Sphenodon_punctatus
ENSLACP00000014298	ENSLACG00000012583	Latimeria_chalumnae
ENSLACP00000018380	ENSLACG00000016188	Latimeria_chalumnae
ENSXETP00000006397	ENSXETG00000008798	Xenopus_tropicalis
ENSXETP00000028014	ENSXETG00000008480	Xenopus_tropicalis
ENSSFOP00015004662	ENSSFOG00015003059	Scleropages_formosus
ENSPKIP00000024959	ENSPKIG00000007967	Paramormyrops_kingsleyae
ENSCGOP00000009621	ENSCGOG00000004211	Cottoperca_gobio
ENSGACP00000026810	ENSGACG00000020289	Gasterosteus_aculeatus
ENSLBEP00000002961	ENSLBEG00000002322	Labrus_bergylta
ENSLCRP00005055112	ENSLCRG00005020564	Larimichthys_crocea
ENSMMOP00000008641	ENSMMOG00000006673	Mola_mola
ENSMALP00000021616	ENSMALG00000015114	Monopterus_albus
ENSMAMP00000012896	ENSMAMG00000008754	Mastacembelus_armatus
ENSATEP00000012031	ENSATEG00000008406	Anabas_testudineus
ENSBSLP00000021426	ENSBSLG00000010982	Betta_splendens
ENSSDUP00000021887	ENSSDUG00000015930	Seriola_dumerili
ENSSLDP00000023527	ENSSLDG00000018355	Seriola_lalandi_dorsalis
ENSLCAP00010044865	ENSLCAG00010020813	Lates_calcarifer
ENSSMAP00000031766	ENSSMAG00000019453	Scophthalmus_maximus
ENSTRUP00000009842	ENSTRUG00000004160	Takifugu_rubripes
ENSTNIP00000013710	ENSTNIG00000010786	Tetraodon_nigroviridis
ENSCSEP00000017036	ENSCSEG00000010912	Cynoglossus_semilaevis
ENSAOCP00000008171	ENSAOCG00000012120	Amphiprion_ocellaris
ENSAPEP00000012766	ENSAPEG00000009008	Amphiprion_percula
ENSAPOP00000003225	ENSAPOG00000004783	Acanthochromis_polyacanthus
ENSSPAP00000006224	ENSSPAG00000004749	Stegastes_partitus
ENSPRNP00000051305	ENSPRNG00000024280	Parambassis_ranga
ENSACLP00000013779	ENSACLG00000009414	Astatotilapia_calliptera
ENSMZEP00005017452	ENSMZEG00005013126	Maylandia_zebra
ENSHBUP00000034419	ENSHBUG00000022029	Haplochromis_burtoni
ENSPNYP00000030807	ENSPNYG00000023210	Pundamilia_nyererei
ENSNBRP00000016674	ENSNBRG00000012787	Neolamprologus_brichardi
ENSONIP00000002241	ENSONIG00000001791	Oreochromis_niloticus
ENSACIP00000018849	ENSACIG00000014584	Amphilophus_citrinellus
ENSPFOP00000019172	ENSPFOG00000019046	Poecilia_formosa
ENSPLAP00000024331	ENSPLAG00000010421	Poecilia_latipinna
ENSPMEP00000000455	ENSPMEG00000001225	Poecilia_mexicana
ENSPREP00000026153	ENSPREG00000017467	Poecilia_reticulata
ENSXMAP00000005064	ENSXMAG00000005017	Xiphophorus_maculatus
ENSXCOP00000007650	ENSXCOG00000005881	Xiphophorus_couchianus
ENSGAFP00000019651	ENSGAFG00000013279	Gambusia_affinis
ENSCVAP00000024864	ENSCVAG00000009212	Cyprinodon_variegatus
ENSKMAP00000014847	ENSKMAG00000011129	Kryptolebias_marmoratus
ENSORLP00000013237	ENSORLG00000010554	Oryzias_latipes_ASM223467v1
ENSORLP00020019265	ENSORLG00020020320	Oryzias_latipes_ASM223471v1
ENSORLP00015023116	ENSORLG00015002885	Oryzias_latipes_ASM223469v1
ENSOMEP00000006750	ENSOMEG00000007847	Oryzias_melastigma
ENSGWIP00000051874	ENSGWIG00000025073	Gouania_willdenowi
ENSHCOP00000028056	ENSHCOG00000020465	Hippocampus_comes
ENSGMOP00000011655	ENSGMOG00000010886	Gadus_morhua
ENSHHUP00000073162	ENSHHUG00000042940	Hucho_hucho
ENSHHUP00000040897	ENSHHUG00000025205	Hucho_hucho
ENSELUP00000014972	ENSELUG00000014965	Esox_lucius
ENSAMXP00000020923	ENSAMXG00000020300	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005046327	ENSAMXG00005021335	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000019101	ENSPNAG00000003939	Pygocentrus_nattereri
ENSEEEP00000043592	ENSEEEG00000020603	Electrophorus_electricus
ENSIPUP00000015676	ENSIPUG00000010666	Ictalurus_punctatus
ENSDARP00000012856	ENSDARG00000005462	Danio_rerio
ENSLOCP00000017056	ENSLOCG00000013822	Lepisosteus_oculatus
ENSECRP00000026872	ENSECRG00000018160	Erpetoichthys_calabaricus
ENSEBUP00000009385	ENSEBUG00000006042	Eptatretus_burgeri
