ENSSPAP00000025667	ENSSPAG00000019393	Stegastes_partitus	ENSSPAT00000026090
ENSMAMP00000025807	ENSMAMG00000017327	Mastacembelus_armatus
ENSMUNP00000011339	ENSMUNG00000008892	Melopsittacus_undulatus
ENSACIP00000003890	ENSACIG00000003092	Amphilophus_citrinellus
ENSLACP00000013841	ENSLACG00000012184	Latimeria_chalumnae
ENSPTEP00000037392	ENSPTEG00000034981	Piliocolobus_tephrosceles
ENSGWIP00000010713	ENSGWIG00000006175	Gouania_willdenowi
ENSPCOP00000010174	ENSPCOG00000016536	Propithecus_coquereli
ENSAOWP00000024500	ENSAOWG00000016549	Apteryx_owenii
MGP_CAROLIEiJ_P0088324	MGP_CAROLIEiJ_G0032346	Mus_caroli_strain_CAROLI_EIJ
ENSPREP00000014136	ENSPREG00000009605	Poecilia_reticulata
ENSXETP00000005237	ENSXETG00000010011	Xenopus_tropicalis
ENSPMJP00000012957	ENSPMJG00000009921	Parus_major
ENSRBIP00000023477	ENSRBIG00000035649	Rhinopithecus_bieti
ENSOGAP00000006840	ENSOGAG00000007642	Otolemur_garnettii
ENSABRP00000009758	ENSABRG00000008748	Anser_brachyrhynchus
FBpp0083413	FBgn0015790	Drosophila_melanogaster
ENSPEMP00000020159	ENSPEMG00000018217	Peromyscus_maniculatus_bairdii
ENSPKIP00000036591	ENSPKIG00000015102	Paramormyrops_kingsleyae	ENSPKIT00000017539
ENSCAPP00000005436	ENSCAPG00000007783	Cavia_aperea
ENSCABP00000024619	ENSCABG00000018135	Chelonoidis_abingdonii
ENSDCDP00000059974	ENSDCDG00000034506	Denticeps_clupeoides
ENSPSMP00000009582	ENSPSMG00000007014	Prolemur_simus
ENSHBUP00000020747	ENSHBUG00000023035	Haplochromis_burtoni
ENSBTAP00000064005	ENSBTAG00000048711	Bos_taurus
ENSGMOP00000004420	ENSGMOG00000004096	Gadus_morhua
ENSLCAP00010009789	ENSLCAG00010004697	Lates_calcarifer
ENSBTAP00000025235	ENSBTAG00000018959	Bos_taurus
ENSOCUP00000012687	ENSOCUG00000014755	Oryctolagus_cuniculus
ENSPVIP00000016712	ENSPVIG00000012910	Pogona_vitticeps
ENSNSUP00000004867	ENSNSUG00000003908	Notechis_scutatus
ENSMMUP00000067705	ENSMMUG00000008006	Macaca_mulatta
ENSSMRP00000028065	ENSSMRG00000021588	Salvator_merianae
ENSODEP00000003051	ENSODEG00000002343	Octodon_degus
ENSGGOP00000031306	ENSGGOG00000040835	Gorilla_gorilla
ENSOARP00000019414	ENSOARG00000018084	Ovis_aries
ENSAPLP00000014824	ENSAPLG00000014962	Anas_platyrhynchos_platyrhynchos
ENSSDUP00000003385	ENSSDUG00000002580	Seriola_dumerili
ENSPANP00000039842	ENSPANG00000033740	Papio_anubis
ENSSMAP00000006697	ENSSMAG00000004133	Scophthalmus_maximus
ENSSFOP00015037768	ENSSFOG00015024042	Scleropages_formosus
ENSMNEP00000040311	ENSMNEG00000043040	Macaca_nemestrina
ENSGGOP00000013901	ENSGGOG00000014252	Gorilla_gorilla
ENSCPOP00000021498	ENSCPOG00000037599	Cavia_porcellus
ENSCAFP00020010442	ENSCAFG00020008478	Canis_lupus_dingo
ENSSCAP00000013855	ENSSCAG00000010226	Serinus_canaria
ENSMLEP00000016638	ENSMLEG00000032505	Mandrillus_leucophaeus
ENSNMEP00000027823	ENSNMEG00000023239	Numida_meleagris
ENSTGEP00000030479	ENSTGEG00000024450	Theropithecus_gelada
ENSHGLP00000008826	ENSHGLG00000006346	Heterocephalus_glaber_HetGla_female_1.0
ENSARWP00000005950	ENSARWG00000004250	Apteryx_rowi
ENSCHIP00000009267	ENSCHIG00000012183	Capra_hircus
ENSPEMP00000003541	ENSPEMG00000005147	Peromyscus_maniculatus_bairdii
ENSPPAP00000014087	ENSPPAG00000030195	Pan_paniscus
ENSMLUP00000008034	ENSMLUG00000008820	Myotis_lucifugus
ENSORLP00000019148	ENSORLG00000018331	Oryzias_latipes_ASM223467v1
ENSAPEP00000000102	ENSAPEG00000000075	Amphiprion_percula
ENSDNOP00000028531	ENSDNOG00000038479	Dasypus_novemcinctus
ENSMALP00000004193	ENSMALG00000003050	Monopterus_albus
ENSBBBP00000014929	ENSBBBG00000022716	Bison_bison_bison
ENSFCAP00000058945	ENSFCAG00000030174	Felis_catus
ENSDNOP00000024019	ENSDNOG00000046234	Dasypus_novemcinctus
ENSCPRP00005000662	ENSCPRG00005000532	Crocodylus_porosus
ENSKMAP00000015932	ENSKMAG00000011905	Kryptolebias_marmoratus
ENSCHIP00000011450	ENSCHIG00000013602	Capra_hircus
ENSAMXP00000003225	ENSAMXG00000003155	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCMIP00000045166	ENSCMIG00000018649	Callorhinchus_milii
ENSPRNP00000007223	ENSPRNG00000004276	Parambassis_ranga
ENSPNYP00000002878	ENSPNYG00000002252	Pundamilia_nyererei
ENSAPOP00000015289	ENSAPOG00000018256	Acanthochromis_polyacanthus
ENSCATP00000026414	ENSCATG00000036621	Cercocebus_atys
ENSCSEP00000011471	ENSCSEG00000007383	Cynoglossus_semilaevis
ENSPPAP00000008146	ENSPPAG00000027315	Pan_paniscus
ENSLAFP00000009535	ENSLAFG00000011418	Loxodonta_africana
ENSODEP00000007128	ENSODEG00000005318	Octodon_degus
ENSCGRP00000025355	ENSCGRG00000018359	Cricetulus_griseus_CriGri_1.0
ENSMEUP00000005426	ENSMEUG00000005937	Notamacropus_eugenii
ENSNBRP00000016686	ENSNBRG00000012893	Neolamprologus_brichardi
MGP_SPRETEiJ_P0091948	MGP_SPRETEiJ_G0033485	Mus_spretus_strain_SPRET/EiJ
ENSONIP00000018971	ENSONIG00000015072	Oreochromis_niloticus
ENSFHEP00000017883	ENSFHEG00000019668	Fundulus_heteroclitus
ENSPCIP00000008316	ENSPCIG00000006878	Phascolarctos_cinereus
ENSACLP00000002600	ENSACLG00000001775	Astatotilapia_calliptera
ENSDARP00000060765	ENSDARG00000041450	Danio_rerio
ENSGAGP00000020089	ENSGAGG00000014814	Gopherus_agassizii
ENSCCEP00000006769	ENSCCEG00000007215	Cyanistes_caeruleus
ENSPTEP00000036241	ENSPTEG00000034083	Piliocolobus_tephrosceles
ENSCHAP00000004433	ENSCHAG00000002433	Clupea_harengus
ENSMODP00000012261	ENSMODG00000009810	Monodelphis_domestica
ENSMUGP00000005754	ENSMUGG00000005272	Meriones_unguiculatus
ENSPPRP00000018983	ENSPPRG00000010471	Panthera_pardus
ENSXCOP00000001673	ENSXCOG00000001357	Xiphophorus_couchianus
ENSSBOP00000003737	ENSSBOG00000017326	Saimiri_boliviensis_boliviensis
ENSMUSP00000129163	ENSMUSG00000004771	Mus_musculus_strain_reference_(CL57BL6)
ENSPKIP00000024299	ENSPKIG00000007606	Paramormyrops_kingsleyae
ENSHGLP00100021038	ENSHGLG00100015502	Heterocephalus_glaber_HetGla_1.0
ENSACAP00000004393	ENSACAG00000004479	Anolis_carolinensis
ENSNVIP00000021498	ENSNVIG00000016821	Neovison_vison
ENSMLUP00000016577	ENSMLUG00000026711	Myotis_lucifugus
ENSHHUP00000029268	ENSHHUG00000018611	Hucho_hucho
ENSCSAP00000009218	ENSCSAG00000013038	Chlorocebus_sabaeus
ENSPNAP00000009352	ENSPNAG00000014863	Pygocentrus_nattereri
ENSUAMP00000034947	ENSUAMG00000026548	Ursus_americanus
ENSEEEP00000048115	ENSEEEG00000022658	Electrophorus_electricus
ENSSARP00000005682	ENSSARG00000006285	Sorex_araneus
ENSOANP00000003488	ENSOANG00000002201	Ornithorhynchus_anatinus
ENSCCAP00000007151	ENSCCAG00000021286	Cebus_capucinus_imitator
ENSXMAP00000029405	ENSXMAG00000023732	Xiphophorus_maculatus
ENSPTRP00000080738	ENSPTRG00000044358	Pan_troglodytes
ENSCABP00000021877	ENSCABG00000016119	Chelonoidis_abingdonii
ENSPSIP00000013288	ENSPSIG00000011930	Pelodiscus_sinensis
ENSCATP00000022209	ENSCATG00000034739	Cercocebus_atys
ENSORLP00015009449	ENSORLG00015010257	Oryzias_latipes_ASM223469v1
ENSMGAP00000010136	ENSMGAG00000009797	Meleagris_gallopavo
ENSAOCP00000015346	ENSAOCG00000020106	Amphiprion_ocellaris
ENSPPYP00000007454	ENSPPYG00000006573	Pongo_abelii
ENSLOCP00000017060	ENSLOCG00000013835	Lepisosteus_oculatus
ENSTSYP00000026106	ENSTSYG00000031189	Carlito_syrichta
ENSMNEP00000018431	ENSMNEG00000033144	Macaca_nemestrina
MGP_PahariEiJ_P0023969	MGP_PahariEiJ_G0015211	Mus_pahari_strain_PAHARI_EIJ
ENSGALP00000012298	ENSGALG00000007615	Gallus_gallus
ENSMMOP00000023254	ENSMMOG00000017423	Mola_mola
ENSVURP00010022408	ENSVURG00010017156	Vombatus_ursinus
ENSCPGP00000008798	ENSCPGG00000006252	Calidris_pygmaea
ENSFALP00000010486	ENSFALG00000010052	Ficedula_albicollis
ENSHGLP00000007407	ENSHGLG00000005396	Heterocephalus_glaber_HetGla_female_1.0
ENSOPRP00000004301	ENSOPRG00000004681	Ochotona_princeps
ENSPCOP00000008371	ENSPCOG00000015463	Propithecus_coquereli
ENSMPUP00000000385	ENSMPUG00000000387	Mustela_putorius_furo
ENSFDAP00000023329	ENSFDAG00000021495	Fukomys_damarensis
ENSAHAP00000001745	ENSAHAG00000001473	Apteryx_haastii
ENSVPAP00000004229	ENSVPAG00000004556	Vicugna_pacos
ENSNGAP00000011635	ENSNGAG00000013726	Nannospalax_galili
ENSCPUP00000025484	ENSCPUG00000017242	Calidris_pugnax
ENSGAFP00000024524	ENSGAFG00000016549	Gambusia_affinis
ENSLCRP00005008011	ENSLCRG00005003890	Larimichthys_crocea
ENSMVIP00005014065	ENSMVIG00005010149	Manacus_vitellinus
ENSCCNP00000013466	ENSCCNG00000013973	Castor_canadensis
ENSBIXP00000000941	ENSBIXG00000029178	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSPUP00000017728	ENSSPUG00000013698	Sphenodon_punctatus
ENSCVAP00000011576	ENSCVAG00000013878	Cyprinodon_variegatus
ENSMFAP00000046041	ENSMFAG00000000699	Macaca_fascicularis
ENSMOCP00000024847	ENSMOCG00000021138	Microtus_ochrogaster
ENSANAP00000001041	ENSANAG00000008429	Aotus_nancymaae
ENSCLAP00000010771	ENSCLAG00000007435	Chinchilla_lanigera
ENSSSCP00000035788	ENSSSCG00000032312	Sus_scrofa_strain_reference
ENSAMEP00000003288	ENSAMEG00000003119	Ailuropoda_melanoleuca
ENSBBBP00000000238	ENSBBBG00000001484	Bison_bison_bison
ENSATEP00000032714	ENSATEG00000022531	Anabas_testudineus
ENSCPBP00000020311	ENSCPBG00000014614	Chrysemys_picta_bellii
ENSUMAP00000016711	ENSUMAG00000012273	Ursus_maritimus
ENSJJAP00000004973	ENSJJAG00000009949	Jaculus_jaculus
ENSCAFP00000025408	ENSCAFG00000017255	Canis_lupus_familiaris
ENSHGLP00000012740	ENSHGLG00000009112	Heterocephalus_glaber_HetGla_female_1.0
ENSGGOP00000034961	ENSGGOG00000042755	Gorilla_gorilla
ENSAMXP00005026978	ENSAMXG00005013524	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00100015190	ENSHGLG00100011237	Heterocephalus_glaber_HetGla_1.0
ENSJHYP00000017767	ENSJHYG00000013570	Junco_hyemalis
ENSDORP00000018733	ENSDORG00000028034	Dipodomys_ordii
ENSMAUP00000020553	ENSMAUG00000018551	Mesocricetus_auratus
ENSDNVP00000015546	ENSDNVG00000010960	Dromaius_novaehollandiae
ENSSLDP00000011856	ENSSLDG00000009438	Seriola_lalandi_dorsalis
ENSNLEP00000025659	ENSNLEG00000012853	Nomascus_leucogenys
ENSAPLP00000026086	ENSAPLG00000027129	Anas_platyrhynchos_platyrhynchos
ENSGMOP00000008939	ENSGMOG00000008355	Gadus_morhua
ENSPTRP00000085241	ENSPTRG00000047673	Pan_troglodytes
ENSHGLP00000018282	ENSHGLG00000013091	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000011273	ENSTTRG00000011885	Tursiops_truncatus
ENSPEMP00000029192	ENSPEMG00000021125	Peromyscus_maniculatus_bairdii
ENSP00000261890	ENSG00000103769	Homo_sapiens
ENSEASP00005008961	ENSEASG00005006431	Equus_asinus_asinus
ENSCJAP00000063789	ENSCJAG00000042037	Callithrix_jacchus
ENSNPEP00000011247	ENSNPEG00000008444	Nothoprocta_perdicaria
ENSCANP00000022258	ENSCANG00000034570	Colobus_angolensis_palliatus
ENSLSDP00000016155	ENSLSDG00000011642	Lonchura_striata_domestica
ENSECAP00000029003	ENSECAG00000023865	Equus_caballus
ENSZALP00000006605	ENSZALG00000005985	Zonotrichia_albicollis
ENSTRUP00000049752	ENSTRUG00000020792	Takifugu_rubripes
ENSCGRP00001025829	ENSCGRG00001023313	Cricetulus_griseus_CHOK1GS_HDv1
ENSPMGP00000022146	ENSPMGG00000017927	Periophthalmus_magnuspinnatus
ENSPFOP00000009278	ENSPFOG00000009284	Poecilia_formosa
ENSNLEP00000042675	ENSNLEG00000034751	Nomascus_leucogenys
ENSPVAP00000004644	ENSPVAG00000004909	Pteropus_vampyrus
ENSSTOP00000013670	ENSSTOG00000015255	Ictidomys_tridecemlineatus
ENSCANP00000018803	ENSCANG00000032838	Colobus_angolensis_palliatus
ENSHCOP00000019955	ENSHCOG00000005652	Hippocampus_comes
ENSMMMP00000007511	ENSMMMG00000006747	Marmota_marmota_marmota
ENSMFAP00000010727	ENSMFAG00000009576	Macaca_fascicularis
ENSODEP00000023014	ENSODEG00000016878	Octodon_degus
ENSEBUP00000011689	ENSEBUG00000007493	Eptatretus_burgeri
ENSPMEP00000025136	ENSPMEG00000007932	Poecilia_mexicana
ENSOMEP00000015823	ENSOMEG00000017467	Oryzias_melastigma
ENSJJAP00000007685	ENSJJAG00000012036	Jaculus_jaculus
ENSPTIP00000026113	ENSPTIG00000021637	Panthera_tigris_altaica
ENSELUP00000026935	ENSELUG00000002999	Esox_lucius
ENSSHAP00000007617	ENSSHAG00000006622	Sarcophilus_harrisii
