ENSSSCP00000021613	ENSSSCG00000025210	Sus_scrofa_strain_reference
ENSCHIP00000027224	ENSCHIG00000023237	Capra_hircus
ENSHGLP00100001174	ENSHGLG00100000929	Heterocephalus_glaber_HetGla_1.0
ENSCABP00000014676	ENSCABG00000010954	Chelonoidis_abingdonii
ENSTSYP00000001501	ENSTSYG00000001614	Carlito_syrichta
ENSPFOP00000000288	ENSPFOG00000000323	Poecilia_formosa
ENSTNIP00000003101	ENSTNIG00000003410	Tetraodon_nigroviridis
ENSMMOP00000028426	ENSMMOG00000021466	Mola_mola
ENSVVUP00000032095	ENSVVUG00000023291	Vulpes_vulpes
ENSSPUP00000006057	ENSSPUG00000004666	Sphenodon_punctatus	ENSSPUT00000006446
ENSCAPP00000014404	ENSCAPG00000014796	Cavia_aperea
ENSEASP00005005587	ENSEASG00005004128	Equus_asinus_asinus
ENSMMMP00000008881	ENSMMMG00000007945	Marmota_marmota_marmota
ENSSBOP00000033489	ENSSBOG00000032903	Saimiri_boliviensis_boliviensis
ENSANAP00000023803	ENSANAG00000029651	Aotus_nancymaae
ENSAOWP00000012806	ENSAOWG00000008745	Apteryx_owenii	ENSAOWT00000014546
ENSSMRP00000008258	ENSSMRG00000006616	Salvator_merianae	ENSSMRT00000009638
ENSPLAP00000023200	ENSPLAG00000008410	Poecilia_latipinna
ENSPEMP00000016182	ENSPEMG00000015489	Peromyscus_maniculatus_bairdii
ENSSTOP00000004674	ENSSTOG00000005212	Ictidomys_tridecemlineatus
ENSTRUP00000019107	ENSTRUG00000007696	Takifugu_rubripes
ENSGAFP00000022263	ENSGAFG00000015040	Gambusia_affinis
ENSBSLP00000009789	ENSBSLG00000004806	Betta_splendens
ENSAHAP00000025680	ENSAHAG00000017897	Apteryx_haastii	ENSAHAT00000028277
ENSOGAP00000007305	ENSOGAG00000008161	Otolemur_garnettii
ENSMODP00000035957	ENSMODG00000024865	Monodelphis_domestica
ENSLBEP00000023715	ENSLBEG00000018202	Labrus_bergylta
ENSPCIP00000040877	ENSPCIG00000029907	Phascolarctos_cinereus
ENSOANP00000026258	ENSOANG00000020641	Ornithorhynchus_anatinus
ENSPMJP00000019042	ENSPMJG00000014291	Parus_major
ENSCGOP00000045479	ENSCGOG00000020424	Cottoperca_gobio
ENSEEEP00000045114	ENSEEEG00000021305	Electrophorus_electricus
ENSFHEP00000001608	ENSFHEG00000002372	Fundulus_heteroclitus
ENSMSIP00000037093	ENSMSIG00000030903	Mus_spicilegus
ENSPRNP00000030058	ENSPRNG00000014995	Parambassis_ranga
ENSPPRP00000011791	ENSPPRG00000005547	Panthera_pardus
ENSCCAP00000007702	ENSCCAG00000021612	Cebus_capucinus_imitator
ENSAOCP00000008701	ENSAOCG00000012742	Amphiprion_ocellaris
MGP_PahariEiJ_P0026725	MGP_PahariEiJ_G0015840	Mus_pahari_strain_PAHARI_EIJ
ENSPANP00000006421	ENSPANG00000003860	Papio_anubis
ENSMFAP00000017348	ENSMFAG00000031807	Macaca_fascicularis
ENSEBUP00000020496	ENSEBUG00000012698	Eptatretus_burgeri
ENSLSDP00000012507	ENSLSDG00000009133	Lonchura_striata_domestica
ENSECRP00000010208	ENSECRG00000006810	Erpetoichthys_calabaricus
ENSGALP00000042565	ENSGALG00000027714	Gallus_gallus
ENSPPAP00000020155	ENSPPAG00000033287	Pan_paniscus
ENSAPLP00000017040	ENSAPLG00000005440	Anas_platyrhynchos_platyrhynchos
ENSONIP00000012197	ENSONIG00000009710	Oreochromis_niloticus
ENSPVIP00000034764	ENSPVIG00000025368	Pogona_vitticeps	ENSPVIT00000042533
ENSCGRP00000002754	ENSCGRG00000002016	Cricetulus_griseus_CriGri_1.0
ENSCJPP00005000593	ENSCJPG00005000682	Coturnix_japonica
ENSMZEP00005020501	ENSMZEG00005015373	Maylandia_zebra
ENSPTRP00000029187	ENSPTRG00000017050	Pan_troglodytes
ENSMUGP00000009902	ENSMUGG00000008802	Meriones_unguiculatus
ENSPNYP00000013232	ENSPNYG00000010013	Pundamilia_nyererei
ENSAPOP00000025141	ENSAPOG00000007979	Acanthochromis_polyacanthus
ENSOPRP00000001832	ENSOPRG00000001995	Ochotona_princeps
ENSSARP00000008203	ENSSARG00000009082	Sorex_araneus
ENSDARP00000140378	ENSDARG00000104846	Danio_rerio
ENSNMEP00000007455	ENSNMEG00000007482	Numida_meleagris
ENSNBRP00000010367	ENSNBRG00000008073	Neolamprologus_brichardi
ENSFDAP00000013805	ENSFDAG00000000678	Fukomys_damarensis
ENSCPBP00000014457	ENSCPBG00000010761	Chrysemys_picta_bellii
ENSBTAP00000047797	ENSBTAG00000038117	Bos_taurus
