ENSGACP00000025404	ENSGACG00000019218	Gasterosteus_aculeatus
ENSCCNP00000011706	ENSCCNG00000012155	Castor_canadensis
ENSUPAP00010029294	ENSUPAG00010023067	Urocitellus_parryii
ENSSTOP00000028886	ENSSTOG00000031320	Ictidomys_tridecemlineatus
ENSPSMP00000002828	ENSPSMG00000002273	Prolemur_simus
ENSMICP00000041004	ENSMICG00000042887	Microcebus_murinus
ENSPCOP00000004312	ENSPCOG00000012600	Propithecus_coquereli
ENSOGAP00000015515	ENSOGAG00000034822	Otolemur_garnettii
ENSMFAP00000005182	ENSMFAG00000002277	Macaca_fascicularis
ENSMNEP00000025473	ENSMNEG00000036214	Macaca_nemestrina
ENSMMUP00000076087	ENSMMUG00000051731	Macaca_mulatta
ENSCSAP00000011684	ENSCSAG00000015596	Chlorocebus_sabaeus
ENSTGEP00000025440	ENSTGEG00000020490	Theropithecus_gelada
ENSPANP00000028434	ENSPANG00000035702	Papio_anubis
ENSCATP00000038651	ENSCATG00000042002	Cercocebus_atys
ENSRROP00000037348	ENSRROG00000042105	Rhinopithecus_roxellana
ENSRBIP00000004256	ENSRBIG00000019748	Rhinopithecus_bieti
ENSPTEP00000020476	ENSPTEG00000021707	Piliocolobus_tephrosceles
ENSPTRP00000060910	ENSPTRG00000041220	Pan_troglodytes
ENSP00000407978	ENSG00000235608	Homo_sapiens
ENSCJAP00000017312	ENSCJAG00000009458	Callithrix_jacchus
ENSCCAP00000032587	ENSCCAG00000034329	Cebus_capucinus_imitator
ENSANAP00000034024	ENSANAG00000034667	Aotus_nancymaae
ENSBIXP00005002156	ENSBIXG00005008534	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000019435	ENSBIXG00000023041	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000063752	ENSBTAG00000048789	Bos_taurus
ENSCHIP00000030946	ENSCHIG00000025512	Capra_hircus
ENSSSCP00000040796	ENSSSCG00000038573	Sus_scrofa_strain_reference
ENSECAP00000033089	ENSECAG00000031807	Equus_caballus
ENSEASP00005033175	ENSEASG00005022706	Equus_asinus_asinus
ENSCAFP00000039953	ENSCAFG00000031073	Canis_lupus_familiaris
ENSCAFP00020015329	ENSCAFG00020012312	Canis_lupus_dingo
ENSFCAP00000041865	ENSFCAG00000043543	Felis_catus
ENSNVIP00000029043	ENSNVIG00000022402	Neovison_vison
ENSCPOP00000021976	ENSCPOG00000039976	Cavia_porcellus
ENSCLAP00000010439	ENSCLAG00000007213	Chinchilla_lanigera
ENSHGLP00100022081	ENSHGLG00100016255	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000009819	ENSHGLG00000007046	Heterocephalus_glaber_HetGla_female_1.0
ENSLAFP00000021748	ENSLAFG00000025171	Loxodonta_africana
ENSDNOP00000032142	ENSDNOG00000036594	Dasypus_novemcinctus
ENSVURP00010027741	ENSVURG00010021242	Vombatus_ursinus
ENSPCIP00000017780	ENSPCIG00000013564	Phascolarctos_cinereus
ENSXETP00000049776	ENSXETG00000017215	Xenopus_tropicalis
ENSCMIP00000004272	ENSCMIG00000002546	Callorhinchus_milii
ENSOARP00000017803	ENSOARG00000016576	Ovis_aries
ENSMUNP00000001511	ENSMUNG00000001287	Melopsittacus_undulatus
ENSLCOP00000014092	ENSLCOG00000010142	Lepidothrix_coronata
ENSCPGP00000014310	ENSCPGG00000010129	Calidris_pygmaea
ENSCJPP00005000898	ENSCJPG00005000989	Coturnix_japonica
ENSPVIP00000005911	ENSPVIG00000004844	Pogona_vitticeps
ENSOANP00000003251	ENSOANG00000002051	Ornithorhynchus_anatinus
ENSLACP00000017296	ENSLACG00000015234	Latimeria_chalumnae
ENSCMIP00000016107	ENSCMIG00000007805	Callorhinchus_milii
ENSEBUP00000002510	ENSEBUG00000001944	Eptatretus_burgeri
