ENSMUSP00000046010	ENSMUSG00000034041	Mus_musculus_strain_reference_(CL57BL6)
ENSMICP00000044516	ENSMICG00000045046	Microcebus_murinus
ENSOGAP00000022282	ENSOGAG00000033339	Otolemur_garnettii
ENSMMUP00000044477	ENSMMUG00000001166	Macaca_mulatta
ENSPVAP00000014209	ENSPVAG00000015075	Pteropus_vampyrus
ENSMLUP00000011652	ENSMLUG00000012805	Myotis_lucifugus
ENSBIXP00005039846	ENSBIXG00005003796	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000025593	ENSBIXG00000027667	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000020050	ENSBMUG00000015125	Bos_mutus
ENSBTAP00000069599	ENSBTAG00000019329	Bos_taurus
ENSBBBP00000024303	ENSBBBG00000019215	Bison_bison_bison
ENSCHIP00000033664	ENSCHIG00000027128	Capra_hircus
ENSOARP00000010143	ENSOARG00000009454	Ovis_aries
ENSTTRP00000006028	ENSTTRG00000006376	Tursiops_truncatus
ENSSSCP00000023306	ENSSSCG00000024549	Sus_scrofa_strain_reference
ENSCAFP00020006631	ENSCAFG00020005371	Canis_lupus_dingo
ENSCAFP00000059898	ENSCAFG00000043872	Canis_lupus_familiaris
ENSAMEP00000013247	ENSAMEG00000012594	Ailuropoda_melanoleuca
ENSUMAP00000007836	ENSUMAG00000006035	Ursus_maritimus
ENSVVUP00000033458	ENSVVUG00000024174	Vulpes_vulpes
ENSUAMP00000029791	ENSUAMG00000022910	Ursus_americanus
ENSMPUP00000004283	ENSMPUG00000004316	Mustela_putorius_furo
ENSNVIP00000005120	ENSNVIG00000004114	Neovison_vison
ENSFCAP00000000447	ENSFCAG00000000482	Felis_catus
ENSPPRP00000016633	ENSPPRG00000008858	Panthera_pardus
ENSEASP00005005488	ENSEASG00005004054	Equus_asinus_asinus
ENSECAP00000030363	ENSECAG00000028699	Equus_caballus
ENSLAFP00000004382	ENSLAFG00000005235	Loxodonta_africana
ENSPCAP00000003401	ENSPCAG00000003676	Procavia_capensis
ENSDORP00000017077	ENSDORG00000029482	Dipodomys_ordii
ENSCAFP00000053963	ENSCAFG00000049897	Canis_lupus_familiaris
ENSDNOP00000024532	ENSDNOG00000043562	Dasypus_novemcinctus
ENSVURP00010016611	ENSVURG00010012714	Vombatus_ursinus
ENSPCIP00000025640	ENSPCIG00000019276	Phascolarctos_cinereus
ENSMEUP00000007822	ENSMEUG00000008559	Notamacropus_eugenii
ENSMODP00000014507	ENSMODG00000011593	Monodelphis_domestica
ENSSHAP00000016960	ENSSHAG00000014421	Sarcophilus_harrisii
ENSOANP00000010912	ENSOANG00000006846	Ornithorhynchus_anatinus
ENSXETP00000040388	ENSXETG00000002571	Xenopus_tropicalis
ENSFHEP00000022320	ENSFHEG00000002596	Fundulus_heteroclitus
ENSGWIP00000001840	ENSGWIG00000001036	Gouania_willdenowi
ENSCSEP00000012014	ENSCSEG00000007753	Cynoglossus_semilaevis
