ENSPCIP00000014563	ENSPCIG00000011365	Phascolarctos_cinereus	ENSPCIT00000017972
ENSVURP00010000686	ENSVURG00010000613	Vombatus_ursinus	ENSVURT00010000801
ENSMEUP00000013668	ENSMEUG00000014971	Notamacropus_eugenii	ENSMEUT00000015020
ENSSHAP00000009425	ENSSHAG00000008154	Sarcophilus_harrisii	ENSSHAT00000009506
ENSMODP00000057666	ENSMODG00000045431	Monodelphis_domestica	ENSMODT00000072981
ENSPCOP00000028323	ENSPCOG00000026766	Propithecus_coquereli
ENSFCAP00000056606	ENSFCAG00000011801	Felis_catus
ENSPVAP00000014429	ENSPVAG00000015303	Pteropus_vampyrus
ENSMLUP00000010567	ENSMLUG00000011592	Myotis_lucifugus
ENSCHOP00000002844	ENSCHOG00000003205	Choloepus_hoffmanni
ENSDNOP00000023116	ENSDNOG00000039845	Dasypus_novemcinctus
ENSLAFP00000012737	ENSLAFG00000015210	Loxodonta_africana
ENSPCAP00000008922	ENSPCAG00000009554	Procavia_capensis
ENSOCUP00000028078	ENSOCUG00000013175	Oryctolagus_cuniculus
ENSOPRP00000011542	ENSOPRG00000012634	Ochotona_princeps
ENSTSYP00000034673	ENSTSYG00000036442	Carlito_syrichta
ENSETEP00000008942	ENSETEG00000011023	Echinops_telfairi
ENSSARP00000000726	ENSSARG00000000798	Sorex_araneus
ENSOANP00000006056	ENSOANG00000003815	Ornithorhynchus_anatinus
ENSPVIP00000005381	ENSPVIG00000004371	Pogona_vitticeps
ENSACAP00000009270	ENSACAG00000009426	Anolis_carolinensis
ENSNSUP00000007218	ENSNSUG00000005709	Notechis_scutatus
ENSSMRP00000019072	ENSSMRG00000014864	Salvator_merianae
ENSSPUP00000017391	ENSSPUG00000013445	Sphenodon_punctatus
ENSARWP00000025607	ENSARWG00000017386	Apteryx_rowi
ENSAHAP00000023947	ENSAHAG00000016727	Apteryx_haastii
ENSAOWP00000026856	ENSAOWG00000018098	Apteryx_owenii
ENSDNVP00000021962	ENSDNVG00000015314	Dromaius_novaehollandiae
ENSNPEP00000007662	ENSNPEG00000005585	Nothoprocta_perdicaria
ENSAPLP00000004868	ENSAPLG00000005285	Anas_platyrhynchos_platyrhynchos
ENSABRP00000005895	ENSABRG00000005495	Anser_brachyrhynchus
ENSGALP00000017464	ENSGALG00000010747	Gallus_gallus
ENSCJPP00005001405	ENSCJPG00005001440	Coturnix_japonica
ENSMGAP00000013831	ENSMGAG00000013100	Meleagris_gallopavo
ENSNMEP00000011219	ENSNMEG00000010576	Numida_meleagris
ENSTGUP00000012926	ENSTGUG00000012548	Taeniopygia_guttata
ENSTGUP00000015843	ENSTGUG00000015497	Taeniopygia_guttata
ENSLSDP00000021514	ENSLSDG00000015212	Lonchura_striata_domestica
ENSSCAP00000010788	ENSSCAG00000008129	Serinus_canaria
ENSZALP00000003170	ENSZALG00000003237	Zonotrichia_albicollis
ENSJHYP00000003393	ENSJHYG00000002800	Junco_hyemalis
ENSFALP00000002472	ENSFALG00000002378	Ficedula_albicollis
ENSPMJP00000022881	ENSPMJG00000016927	Parus_major
ENSCCEP00000020032	ENSCCEG00000018044	Cyanistes_caeruleus
ENSMVIP00005006863	ENSMVIG00005005161	Manacus_vitellinus
ENSLCOP00000013212	ENSLCOG00000009463	Lepidothrix_coronata
ENSMUNP00000020807	ENSMUNG00000015799	Melopsittacus_undulatus
ENSCPGP00000010296	ENSCPGG00000007325	Calidris_pygmaea
ENSCPUP00000000944	ENSCPUG00000000736	Calidris_pugnax
ENSCPRP00005011458	ENSCPRG00005008157	Crocodylus_porosus
ENSGAGP00000011560	ENSGAGG00000008925	Gopherus_agassizii
ENSCABP00000004797	ENSCABG00000003587	Chelonoidis_abingdonii
ENSCPBP00000011428	ENSCPBG00000008713	Chrysemys_picta_bellii
ENSPSIP00000016230	ENSPSIG00000014380	Pelodiscus_sinensis
ENSXETP00000041890	ENSXETG00000002331	Xenopus_tropicalis
ENSLACP00000021629	ENSLACG00000019004	Latimeria_chalumnae
ENSAOCP00000009903	ENSAOCG00000014092	Amphiprion_ocellaris
ENSAPEP00000011744	ENSAPEG00000008348	Amphiprion_percula
ENSAPOP00000010890	ENSAPOG00000013432	Acanthochromis_polyacanthus
ENSSPAP00000008888	ENSSPAG00000006766	Stegastes_partitus
ENSPRNP00000047487	ENSPRNG00000022829	Parambassis_ranga
ENSACLP00000040694	ENSACLG00000027392	Astatotilapia_calliptera
ENSMZEP00005014677	ENSMZEG00005011035	Maylandia_zebra
ENSHBUP00000011669	ENSHBUG00000013337	Haplochromis_burtoni
ENSPNYP00000029579	ENSPNYG00000022282	Pundamilia_nyererei
ENSONIP00000024691	ENSONIG00000019612	Oreochromis_niloticus
ENSNBRP00000003524	ENSNBRG00000002796	Neolamprologus_brichardi
ENSACIP00000024503	ENSACIG00000018473	Amphilophus_citrinellus
ENSXMAP00000014698	ENSXMAG00000014661	Xiphophorus_maculatus
ENSXCOP00000005593	ENSXCOG00000004359	Xiphophorus_couchianus
ENSGAFP00000026818	ENSGAFG00000018118	Gambusia_affinis
ENSPFOP00000012303	ENSPFOG00000012200	Poecilia_formosa
ENSPLAP00000018368	ENSPLAG00000023033	Poecilia_latipinna
ENSPMEP00000002722	ENSPMEG00000003816	Poecilia_mexicana
ENSPREP00000028308	ENSPREG00000019143	Poecilia_reticulata
ENSFHEP00000023799	ENSFHEG00000005028	Fundulus_heteroclitus
ENSCVAP00000032223	ENSCVAG00000022113	Cyprinodon_variegatus
ENSKMAP00000021518	ENSKMAG00000015981	Kryptolebias_marmoratus
ENSORLP00020001896	ENSORLG00020002623	Oryzias_latipes_ASM223471v1
ENSORLP00015021418	ENSORLG00015022634	Oryzias_latipes_ASM223469v1
ENSORLP00000036568	ENSORLG00000009701	Oryzias_latipes_ASM223467v1
ENSOMEP00000035279	ENSOMEG00000022456	Oryzias_melastigma
ENSGWIP00000005303	ENSGWIG00000002749	Gouania_willdenowi
ENSMAMP00000000240	ENSMAMG00000000173	Mastacembelus_armatus
ENSLBEP00000024443	ENSLBEG00000018706	Labrus_bergylta
ENSSMAP00000016297	ENSSMAG00000009988	Scophthalmus_maximus
ENSLCAP00010048868	ENSLCAG00010022719	Lates_calcarifer
ENSATEP00000030401	ENSATEG00000020998	Anabas_testudineus
ENSCGOP00000028932	ENSCGOG00000013247	Cottoperca_gobio
ENSGACP00000016211	ENSGACG00000012234	Gasterosteus_aculeatus
ENSLCRP00005008054	ENSLCRG00005003902	Larimichthys_crocea
ENSMALP00000029820	ENSMALG00000020633	Monopterus_albus
ENSMMOP00000011846	ENSMMOG00000009106	Mola_mola
ENSSDUP00000025180	ENSSDUG00000018279	Seriola_dumerili
ENSSLDP00000012475	ENSSLDG00000009902	Seriola_lalandi_dorsalis
ENSCSEP00000013876	ENSCSEG00000008917	Cynoglossus_semilaevis
ENSTNIP00000009938	ENSTNIG00000007137	Tetraodon_nigroviridis
ENSHCOP00000016092	ENSHCOG00000019807	Hippocampus_comes
ENSBSLP00000054112	ENSBSLG00000025389	Betta_splendens
ENSPMGP00000014327	ENSPMGG00000011650	Periophthalmus_magnuspinnatus
ENSGMOP00000014716	ENSGMOG00000013763	Gadus_morhua
ENSHHUP00000004486	ENSHHUG00000002765	Hucho_hucho
ENSELUP00000022370	ENSELUG00000021351	Esox_lucius
ENSDCDP00000030404	ENSDCDG00000021384	Denticeps_clupeoides
ENSCHAP00000037849	ENSCHAG00000017387	Clupea_harengus
ENSAMXP00000021705	ENSAMXG00000021074	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005008992	ENSAMXG00005005084	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000007647	ENSPNAG00000013422	Pygocentrus_nattereri
ENSIPUP00000002647	ENSIPUG00000001912	Ictalurus_punctatus
ENSEEEP00000048823	ENSEEEG00000022964	Electrophorus_electricus
ENSDARP00000057381	ENSDARG00000039273	Danio_rerio
ENSSFOP00015011478	ENSSFOG00015007421	Scleropages_formosus
ENSPKIP00000016326	ENSPKIG00000002688	Paramormyrops_kingsleyae
ENSLOCP00000016295	ENSLOCG00000013226	Lepisosteus_oculatus
ENSECRP00000022849	ENSECRG00000015477	Erpetoichthys_calabaricus
ENSCMIP00000030133	ENSCMIG00000012982	Callorhinchus_milii
ENSPMAP00000001329	ENSPMAG00000001196	Petromyzon_marinus
ENSEBUP00000021870	ENSEBUG00000013496	Eptatretus_burgeri
