ENSCPRP00005009852	ENSCPRG00005007033	Crocodylus_porosus
ENSPEMP00000002851	ENSPEMG00000003606	Peromyscus_maniculatus_bairdii
MGP_CAROLIEiJ_P0039636	MGP_CAROLIEiJ_G0020218	Mus_caroli_strain_CAROLI_EIJ
ENSAMEP00000014488	ENSAMEG00000013749	Ailuropoda_melanoleuca
ENSCPUP00000004498	ENSCPUG00000003326	Calidris_pugnax
ENSECRP00000007557	ENSECRG00000005031	Erpetoichthys_calabaricus
ENSOGAP00000004905	ENSOGAG00000005484	Otolemur_garnettii
ENSARWP00000003446	ENSARWG00000002585	Apteryx_rowi	ENSARWT00000004016
ENSCPGP00000001106	ENSCPGG00000000878	Calidris_pygmaea
ENSETEP00000008423	ENSETEG00000010370	Echinops_telfairi
ENSGWIP00000022879	ENSGWIG00000012251	Gouania_willdenowi
