ENSPANP00000045112	ENSPANG00000009840	Papio_anubis
ENSNMEP00000017283	ENSNMEG00000015141	Numida_meleagris
ENSHCOP00000018449	ENSHCOG00000002986	Hippocampus_comes
ENSAMEP00000018129	ENSAMEG00000017162	Ailuropoda_melanoleuca
ENSPNYP00000020998	ENSPNYG00000015605	Pundamilia_nyererei
ENSCCNP00000002887	ENSCCNG00000003132	Castor_canadensis
ENSNBRP00000003426	ENSNBRG00000002720	Neolamprologus_brichardi
ENSSPUP00000020620	ENSSPUG00000015843	Sphenodon_punctatus
ENSCCNP00000011728	ENSCCNG00000012175	Castor_canadensis
ENSMUSP00000110636	ENSMUSG00000053477	Mus_musculus_strain_reference_(CL57BL6)
ENSEASP00005004555	ENSEASG00005003461	Equus_asinus_asinus
ENSGMOP00000019485	ENSGMOG00000018104	Gadus_morhua
ENSPRNP00000013984	ENSPRNG00000007527	Parambassis_ranga
ENSPKIP00000037189	ENSPKIG00000015474	Paramormyrops_kingsleyae
ENSGGOP00000029964	ENSGGOG00000016297	Gorilla_gorilla
ENSLCOP00000001646	ENSLCOG00000000284	Lepidothrix_coronata	ENSLCOT00000001760
ENSACAP00000008907	ENSACAG00000008863	Anolis_carolinensis
ENSNVIP00000023922	ENSNVIG00000017179	Neovison_vison
ENSCHIP00000020953	ENSCHIG00000019406	Capra_hircus
ENSBMUP00000030531	ENSBMUG00000022449	Bos_mutus
ENSCPBP00000036871	ENSCPBG00000025587	Chrysemys_picta_bellii
ENSNLEP00000031338	ENSNLEG00000007981	Nomascus_leucogenys
ENSUPAP00010000319	ENSUPAG00010000299	Urocitellus_parryii
ENSOANP00000004876	ENSOANG00000003082	Ornithorhynchus_anatinus
ENSKMAP00000009347	ENSKMAG00000007011	Kryptolebias_marmoratus
ENSABRP00000024976	ENSABRG00000020955	Anser_brachyrhynchus
ENSKMAP00000010642	ENSKMAG00000007987	Kryptolebias_marmoratus	ENSKMAT00000010804
ENSUAMP00000013990	ENSUAMG00000011240	Ursus_americanus
ENSCHAP00000031646	ENSCHAG00000014900	Clupea_harengus
ENSUMAP00000004342	ENSUMAG00000003526	Ursus_maritimus
ENSPEMP00000013274	ENSPEMG00000013345	Peromyscus_maniculatus_bairdii
ENSPSIP00000016328	ENSPSIG00000014469	Pelodiscus_sinensis
ENSCCEP00000006256	ENSCCEG00000006749	Cyanistes_caeruleus
ENSAOWP00000012092	ENSAOWG00000008289	Apteryx_owenii
ENSFALP00000012057	ENSFALG00000011557	Ficedula_albicollis	ENSFALT00000012106
ENSSTOP00000027476	ENSSTOG00000005134	Ictidomys_tridecemlineatus
ENSLBEP00000016074	ENSLBEG00000012435	Labrus_bergylta
ENSAHAP00000027949	ENSAHAG00000019426	Apteryx_haastii
ENSEASP00005004549	ENSEASG00005003452	Equus_asinus_asinus
ENSPNAP00000005445	ENSPNAG00000011722	Pygocentrus_nattereri
ENSRNOP00000070021	ENSRNOG00000012405	Rattus_norvegicus
ENSGAFP00000010367	ENSGAFG00000007025	Gambusia_affinis
ENSAMXP00005001787	ENSAMXG00005000772	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPRP00005020316	ENSCPRG00005014144	Crocodylus_porosus
ENSPVIP00000007234	ENSPVIG00000005940	Pogona_vitticeps
MGP_PahariEiJ_P0039588	MGP_PahariEiJ_G0019110	Mus_pahari_strain_PAHARI_EIJ
ENSMPUP00000016357	ENSMPUG00000016460	Mustela_putorius_furo
MGP_SPRETEiJ_P0048965	MGP_SPRETEiJ_G0023294	Mus_spretus_strain_SPRET/EiJ
ENSDNOP00000010753	ENSDNOG00000013859	Dasypus_novemcinctus
ENSGAGP00000020678	ENSGAGG00000015233	Gopherus_agassizii	ENSGAGT00000023554
ENSAOCP00000017714	ENSAOCG00000022850	Amphiprion_ocellaris
ENSOGAP00000005129	ENSOGAG00000005735	Otolemur_garnettii
ENSCAFP00020027466	ENSCAFG00020021285	Canis_lupus_dingo
ENSARWP00000022773	ENSARWG00000015530	Apteryx_rowi
ENSCCEP00000019249	ENSCCEG00000017488	Cyanistes_caeruleus
ENSTTRP00000010945	ENSTTRG00000011542	Tursiops_truncatus
ENSPPRP00000011584	ENSPPRG00000006150	Panthera_pardus
ENSCJAP00000007487	ENSCJAG00000004038	Callithrix_jacchus
MGP_CAROLIEiJ_P0047015	MGP_CAROLIEiJ_G0022382	Mus_caroli_strain_CAROLI_EIJ
ENSPVAP00000001962	ENSPVAG00000002074	Pteropus_vampyrus
ENSSPUP00000020608	ENSSPUG00000015733	Sphenodon_punctatus
ENSGALP00000073834	ENSGALG00000047434	Gallus_gallus
ENSCPGP00000002221	ENSCPGG00000001612	Calidris_pygmaea
ENSPPYP00000010306	ENSPPYG00000009175	Pongo_abelii
ENSMLEP00000004769	ENSMLEG00000021318	Mandrillus_leucophaeus
ENSFDAP00000015291	ENSFDAG00000003357	Fukomys_damarensis
ENSUPAP00010016727	ENSUPAG00010013337	Urocitellus_parryii
ENSOARP00000005381	ENSOARG00000005018	Ovis_aries
ENSAPLP00000010901	ENSAPLG00000011135	Anas_platyrhynchos_platyrhynchos
ENSGACP00000000811	ENSGACG00000000628	Gasterosteus_aculeatus
ENSUAMP00000029208	ENSUAMG00000022132	Ursus_americanus
ENSBBBP00000024037	ENSBBBG00000019287	Bison_bison_bison
ENSMAMP00000033988	ENSMAMG00000022848	Mastacembelus_armatus
ENSCAFP00020027064	ENSCAFG00020021197	Canis_lupus_dingo
ENSCMIP00000013804	ENSCMIG00000006762	Callorhinchus_milii
ENSMFAP00000031758	ENSMFAG00000036909	Macaca_fascicularis
ENSACLP00000002243	ENSACLG00000001501	Astatotilapia_calliptera
ENSTSYP00000008751	ENSTSYG00000009542	Carlito_syrichta
ENSAPLP00000031463	ENSAPLG00000017851	Anas_platyrhynchos_platyrhynchos
ENSCAFP00000000209	ENSCAFG00000000140	Canis_lupus_familiaris
ENSDARP00000150243	ENSDARG00000107408	Danio_rerio
ENSCPUP00000017886	ENSCPUG00000012319	Calidris_pugnax
ENSCGOP00000053747	ENSCGOG00000023498	Cottoperca_gobio
ENSONIP00000016008	ENSONIG00000012720	Oreochromis_niloticus
ENSACIP00000023391	ENSACIG00000018145	Amphilophus_citrinellus
ENSUMAP00000004364	ENSUMAG00000003531	Ursus_maritimus
ENSELUP00000035940	ENSELUG00000015197	Esox_lucius
ENSMVIP00005012367	ENSMVIG00005009011	Manacus_vitellinus
ENSSSCP00000038651	ENSSSCG00000004535	Sus_scrofa_strain_reference
ENSLOCP00000004216	ENSLOCG00000003538	Lepisosteus_oculatus
ENSSDAP00000027313	ENSSDAG00000024599	Spermophilus_dauricus
ENSCJPP00005004968	ENSCJPG00005004819	Coturnix_japonica	ENSCJPT00005008176
ENSBIXP00005021001	ENSBIXG00005024466	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPCOP00000015047	ENSPCOG00000019229	Propithecus_coquereli
ENSECAP00000053427	ENSECAG00000017265	Equus_caballus
ENSCGRP00000006861	ENSCGRG00000005003	Cricetulus_griseus_CriGri_1.0
ENSXMAP00000037529	ENSXMAG00000003820	Xiphophorus_maculatus
ENSMVIP00005012415	ENSMVIG00005009014	Manacus_vitellinus
ENSNSUP00000018017	ENSNSUG00000013120	Notechis_scutatus
ENSPCIP00000053401	ENSPCIG00000025249	Phascolarctos_cinereus
ENSTGEP00000035695	ENSTGEG00000027761	Theropithecus_gelada
ENSVURP00010004023	ENSVURG00010002348	Vombatus_ursinus
ENSGWIP00000043012	ENSGWIG00000021236	Gouania_willdenowi
ENSHHUP00000021884	ENSHHUG00000013710	Hucho_hucho
ENSDORP00000011941	ENSDORG00000012697	Dipodomys_ordii
ENSODEP00000025273	ENSODEG00000018490	Octodon_degus
ENSORLP00000018878	ENSORLG00000015062	Oryzias_latipes_ASM223467v1
ENSDNVP00000006442	ENSDNVG00000004617	Dromaius_novaehollandiae
ENSORLP00015031351	ENSORLG00015015569	Oryzias_latipes_ASM223469v1
ENSPPAP00000026067	ENSPPAG00000036151	Pan_paniscus
ENSVVUP00000020165	ENSVVUG00000014890	Vulpes_vulpes
ENSAPOP00000030307	ENSAPOG00000016797	Acanthochromis_polyacanthus
ENSOCUP00000036732	ENSOCUG00000002669	Oryctolagus_cuniculus
ENSPMEP00000006472	ENSPMEG00000008000	Poecilia_mexicana
ENSPTEP00000013571	ENSPTEG00000014362	Piliocolobus_tephrosceles
ENSCPUP00000017890	ENSCPUG00000012326	Calidris_pugnax
ENSPSMP00000036018	ENSPSMG00000024612	Prolemur_simus
ENSMLUP00000011764	ENSMLUG00000012927	Myotis_lucifugus
ENSMMMP00000005446	ENSMMMG00000004681	Marmota_marmota_marmota
ENSPLAP00000018647	ENSPLAG00000023358	Poecilia_latipinna
ENSANAP00000026730	ENSANAG00000031115	Aotus_nancymaae
ENSHBUP00000029004	ENSHBUG00000013229	Haplochromis_burtoni
ENSCATP00000039804	ENSCATG00000042189	Cercocebus_atys
ENSMOCP00000018094	ENSMOCG00000016473	Microtus_ochrogaster
ENSCSAP00000014158	ENSCSAG00000018141	Chlorocebus_sabaeus
ENSRROP00000030342	ENSRROG00000038918	Rhinopithecus_roxellana
ENSP00000381382	ENSG00000196628	Homo_sapiens
ENSORLP00020001898	ENSORLG00020002638	Oryzias_latipes_ASM223471v1
ENSCGRP00001008137	ENSCGRG00001010425	Cricetulus_griseus_CHOK1GS_HDv1
ENSMALP00000000193	ENSMALG00000000165	Monopterus_albus
ENSIPUP00000011284	ENSIPUG00000007620	Ictalurus_punctatus
ENSCANP00000002359	ENSCANG00000007233	Colobus_angolensis_palliatus
ENSHHUP00000030462	ENSHHUG00000019400	Hucho_hucho
ENSMMUP00000052560	ENSMMUG00000012001	Macaca_mulatta
ENSPTRP00000040814	ENSPTRG00000010040	Pan_troglodytes
ENSMAUP00000015933	ENSMAUG00000015171	Mesocricetus_auratus
ENSBSLP00000017191	ENSBSLG00000008105	Betta_splendens
ENSTNIP00000013235	ENSTNIG00000010330	Tetraodon_nigroviridis
ENSGALP00000053898	ENSGALG00000033770	Gallus_gallus	ENSGALT00000067344
ENSRBIP00000038550	ENSRBIG00000042342	Rhinopithecus_bieti
ENSPCAP00000009547	ENSPCAG00000010177	Procavia_capensis
ENSMUGP00000004531	ENSMUGG00000003434	Meriones_unguiculatus
ENSLSDP00000004214	ENSLSDG00000003288	Lonchura_striata_domestica
ENSMSIP00000009054	ENSMSIG00000003748	Mus_spicilegus
ENSLAFP00000011258	ENSLAFG00000013449	Loxodonta_africana
ENSGAGP00000022404	ENSGAGG00000016440	Gopherus_agassizii
ENSOPRP00000015400	ENSOPRG00000016862	Ochotona_princeps
ENSECRP00000005727	ENSECRG00000003811	Erpetoichthys_calabaricus
ENSDCDP00000062877	ENSDCDG00000035529	Denticeps_clupeoides
ENSFCAP00000059330	ENSFCAG00000014682	Felis_catus
ENSOMEP00000002703	ENSOMEG00000003657	Oryzias_melastigma
ENSMODP00000025593	ENSMODG00000020455	Monodelphis_domestica
ENSLBEP00000002125	ENSLBEG00000001667	Labrus_bergylta
ENSSMRP00000021183	ENSSMRG00000016480	Salvator_merianae
ENSNGAP00000022794	ENSNGAG00000021553	Nannospalax_galili
ENSEEUP00000000115	ENSEEUG00000000134	Erinaceus_europaeus
ENSHHUP00000038761	ENSHHUG00000024147	Hucho_hucho
ENSJJAP00000016088	ENSJJAG00000018021	Jaculus_jaculus
ENSNPEP00000003823	ENSNPEG00000002575	Nothoprocta_perdicaria
ENSHGLP00100017852	ENSHGLG00100013160	Heterocephalus_glaber_HetGla_1.0
ENSCVAP00000020672	ENSCVAG00000002174	Cyprinodon_variegatus
ENSANAP00000040928	ENSANAG00000037799	Aotus_nancymaae
ENSSLDP00000028323	ENSSLDG00000021898	Seriola_lalandi_dorsalis
ENSPMGP00000008498	ENSPMGG00000007034	Periophthalmus_magnuspinnatus
ENSSBOP00000010504	ENSSBOG00000021853	Saimiri_boliviensis_boliviensis
ENSHHUP00000016946	ENSHHUG00000010573	Hucho_hucho	ENSHHUT00000017566
ENSZALP00000010437	ENSZALG00000008820	Zonotrichia_albicollis
ENSCHOP00000000292	ENSCHOG00000000331	Choloepus_hoffmanni
ENSHGLP00000018122	ENSHGLG00000012941	Heterocephalus_glaber_HetGla_female_1.0
ENSTRUP00000005958	ENSTRUG00000002569	Takifugu_rubripes
ENSATEP00000008556	ENSATEG00000005969	Anabas_testudineus
ENSSPAP00000007193	ENSSPAG00000005513	Stegastes_partitus
ENSPFOP00000030042	ENSPFOG00000009937	Poecilia_formosa
ENSSPAP00000020136	ENSSPAG00000015186	Stegastes_partitus	ENSSPAT00000020446
ENSSHAP00000017613	ENSSHAG00000014955	Sarcophilus_harrisii
ENSMICP00000032562	ENSMICG00000012305	Microcebus_murinus
ENSSARP00000001519	ENSSARG00000001666	Sorex_araneus
ENSANAP00000028274	ENSANAG00000031962	Aotus_nancymaae
ENSSCAP00000023165	ENSSCAG00000016604	Serinus_canaria	ENSSCAT00000025799
ENSAMXP00000054199	ENSAMXG00000009833	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBIXP00000028993	ENSBIXG00000010449	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVPAP00000011441	ENSVPAG00000012308	Vicugna_pacos
ENSMUGP00000026152	ENSMUGG00000021797	Meriones_unguiculatus
ENSLSDP00000003757	ENSLSDG00000002902	Lonchura_striata_domestica
ENSDNVP00000006424	ENSDNVG00000004607	Dromaius_novaehollandiae
ENSJHYP00000002124	ENSJHYG00000001811	Junco_hyemalis
ENSCABP00000029298	ENSCABG00000021503	Chelonoidis_abingdonii	ENSCABT00000032104
ENSSFOP00015032971	ENSSFOG00015021047	Scleropages_formosus
ENSLACP00000003912	ENSLACG00000003485	Latimeria_chalumnae
