ENSTSYP00000033785	ENSTSYG00000000875	Carlito_syrichta
ENSVVUP00000017636	ENSVVUG00000012984	Vulpes_vulpes
ENSCGRP00000011843	ENSCGRG00000008626	Cricetulus_griseus_CriGri_1.0
ENSABRP00000018369	ENSABRG00000015787	Anser_brachyrhynchus
ENSCGOP00000030399	ENSCGOG00000014116	Cottoperca_gobio
ENSMFAP00000042494	ENSMFAG00000039976	Macaca_fascicularis
ENSCATP00000020217	ENSCATG00000033853	Cercocebus_atys
ENSTGEP00000002735	ENSTGEG00000002324	Theropithecus_gelada
ENSCCAP00000002638	ENSCCAG00000015254	Cebus_capucinus_imitator
ENSORLP00015021703	ENSORLG00015023183	Oryzias_latipes_ASM223469v1
ENSGAFP00000026863	ENSGAFG00000018152	Gambusia_affinis
ENSPPAP00000024235	ENSPPAG00000035258	Pan_paniscus
ENSLCAP00010048999	ENSLCAG00010022794	Lates_calcarifer
ENSDCDP00000027267	ENSDCDG00000019957	Denticeps_clupeoides
ENSCAFP00000014023	ENSCAFG00000009538	Canis_lupus_familiaris
ENSIPUP00000034782	ENSIPUG00000023369	Ictalurus_punctatus
ENSPLAP00000018509	ENSPLAG00000023154	Poecilia_latipinna
ENSGAGP00000026324	ENSGAGG00000019195	Gopherus_agassizii
ENSMLEP00000022955	ENSMLEG00000035683	Mandrillus_leucophaeus
ENSLSDP00000024133	ENSLSDG00000016959	Lonchura_striata_domestica
ENSCPOP00000028681	ENSCPOG00000036469	Cavia_porcellus	ENSCPOT00000037758
ENSP00000499238	ENSG00000137804	Homo_sapiens
ENSGACP00000016123	ENSGACG00000012186	Gasterosteus_aculeatus
ENSECAP00000042543	ENSECAG00000016495	Equus_caballus
ENSRNOP00000070384	ENSRNOG00000004921	Rattus_norvegicus
ENSCSAP00000003950	ENSCSAG00000007701	Chlorocebus_sabaeus
ENSMEUP00000000792	ENSMEUG00000000854	Notamacropus_eugenii	ENSMEUT00000000860
ENSSPUP00000002275	ENSSPUG00000001772	Sphenodon_punctatus
ENSSTOP00000007453	ENSSTOG00000008314	Ictidomys_tridecemlineatus
ENSPSMP00000007836	ENSPSMG00000005803	Prolemur_simus
ENSVVUP00000037344	ENSVVUG00000026714	Vulpes_vulpes
ENSRBIP00000037704	ENSRBIG00000042409	Rhinopithecus_bieti
ENSPVIP00000026122	ENSPVIG00000019514	Pogona_vitticeps
ENSJHYP00000009944	ENSJHYG00000007835	Junco_hyemalis
ENSCCAP00000001289	ENSCCAG00000008235	Cebus_capucinus_imitator
ENSAMXP00005008345	ENSAMXG00005004864	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOPRP00000015041	ENSOPRG00000016472	Ochotona_princeps
ENSCAFP00020021838	ENSCAFG00020017268	Canis_lupus_dingo
ENSAPEP00000012091	ENSAPEG00000008560	Amphiprion_percula
ENSOGAP00000017291	ENSOGAG00000025951	Otolemur_garnettii
ENSTRUP00000031059	ENSTRUG00000012265	Takifugu_rubripes
ENSPRNP00000047800	ENSPRNG00000022929	Parambassis_ranga
ENSMVIP00005013761	ENSMVIG00005009953	Manacus_vitellinus
ENSPSIP00000016310	ENSPSIG00000014545	Pelodiscus_sinensis
ENSDNOP00000033563	ENSDNOG00000038798	Dasypus_novemcinctus
ENSP00000499503	ENSG00000285920	Homo_sapiens
ENSMMMP00000023505	ENSMMMG00000020560	Marmota_marmota_marmota
ENSPREP00000027860	ENSPREG00000018850	Poecilia_reticulata
ENSCAFP00000056938	ENSCAFG00000008533	Canis_lupus_familiaris
ENSPANP00000041691	ENSPANG00000034331	Papio_anubis
ENSFCAP00000011700	ENSFCAG00000012613	Felis_catus
ENSHCOP00000015557	ENSHCOG00000019191	Hippocampus_comes
ENSAPOP00000015324	ENSAPOG00000018282	Acanthochromis_polyacanthus
ENSVPAP00000007220	ENSVPAG00000007763	Vicugna_pacos
ENSNMEP00000022989	ENSNMEG00000019624	Numida_meleagris
MGP_CAROLIEiJ_P0053861	MGP_CAROLIEiJ_G0024148	Mus_caroli_strain_CAROLI_EIJ
ENSCANP00000026672	ENSCANG00000036729	Colobus_angolensis_palliatus
ENSBIXP00005025580	ENSBIXG00005005332	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAMEP00000017713	ENSAMEG00000016762	Ailuropoda_melanoleuca
ENSPCIP00000037804	ENSPCIG00000027837	Phascolarctos_cinereus	ENSPCIT00000046536
ENSSSCP00000052640	ENSSSCG00000035544	Sus_scrofa_strain_reference
ENSMUNP00000003060	ENSMUNG00000002640	Melopsittacus_undulatus
ENSPTIP00000026617	ENSPTIG00000021974	Panthera_tigris_altaica
ENSCHAP00000033089	ENSCHAG00000015778	Clupea_harengus
ENSBIXP00000037673	ENSBIXG00000021299	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOANP00000007133	ENSOANG00000004499	Ornithorhynchus_anatinus
ENSATEP00000030627	ENSATEG00000021159	Anabas_testudineus
ENSPPYP00000007217	ENSPPYG00000006372	Pongo_abelii
ENSCJAP00000038612	ENSCJAG00000020755	Callithrix_jacchus
ENSMUGP00000010795	ENSMUGG00000009477	Meriones_unguiculatus
ENSTBEP00000009435	ENSTBEG00000010919	Tupaia_belangeri
ENSANAP00000023173	ENSANAG00000029329	Aotus_nancymaae
ENSLAFP00000002952	ENSLAFG00000003542	Loxodonta_africana
ENSACIP00000015961	ENSACIG00000012359	Amphilophus_citrinellus
ENSSFOP00015011999	ENSSFOG00015007765	Scleropages_formosus
ENSEASP00005024132	ENSEASG00005016385	Equus_asinus_asinus
ENSAOWP00000009652	ENSAOWG00000006631	Apteryx_owenii
ENSSMAP00000016454	ENSSMAG00000010095	Scophthalmus_maximus
ENSPCOP00000010801	ENSPCOG00000016880	Propithecus_coquereli
ENSELUP00000022058	ENSELUG00000021100	Esox_lucius
ENSCGRP00001020234	ENSCGRG00001019449	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000000727	ENSMOCG00000000564	Microtus_ochrogaster
ENSSPAP00000008649	ENSSPAG00000006591	Stegastes_partitus
ENSOMEP00000035346	ENSOMEG00000022559	Oryzias_melastigma
ENSAPLP00000026244	ENSAPLG00000013570	Anas_platyrhynchos_platyrhynchos
ENSORLP00020002008	ENSORLG00020002740	Oryzias_latipes_ASM223471v1
ENSDORP00000015248	ENSDORG00000016209	Dipodomys_ordii
ENSEEUP00000006024	ENSEEUG00000006600	Erinaceus_europaeus
ENSORLP00000042608	ENSORLG00000029808	Oryzias_latipes_ASM223467v1
ENSSBOP00000008902	ENSSBOG00000021334	Saimiri_boliviensis_boliviensis
ENSHHUP00000024844	ENSHHUG00000015625	Hucho_hucho
ENSPNYP00000029392	ENSPNYG00000022131	Pundamilia_nyererei
ENSMALP00000030160	ENSMALG00000020850	Monopterus_albus
ENSMLUP00000006036	ENSMLUG00000006618	Myotis_lucifugus
ENSSDUP00000025395	ENSSDUG00000018431	Seriola_dumerili
ENSRROP00000029789	ENSRROG00000038680	Rhinopithecus_roxellana
ENSTGUP00000011158	ENSTGUG00000010822	Taeniopygia_guttata
ENSKMAP00000021253	ENSKMAG00000015788	Kryptolebias_marmoratus
ENSLCOP00000016905	ENSLCOG00000012019	Lepidothrix_coronata
ENSOARP00000021854	ENSOARG00000020348	Ovis_aries
MGP_PahariEiJ_P0064843	MGP_PahariEiJ_G0025590	Mus_pahari_strain_PAHARI_EIJ
ENSCCEP00000002915	ENSCCEG00000003253	Cyanistes_caeruleus
ENSXMAP00000006714	ENSXMAG00000006695	Xiphophorus_maculatus
ENSACAP00000003625	ENSACAG00000003726	Anolis_carolinensis
ENSAMXP00000031424	ENSAMXG00000038795	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCVAP00000018926	ENSCVAG00000022241	Cyprinodon_variegatus
ENSCAPP00000011596	ENSCAPG00000012630	Cavia_aperea	ENSCAPT00000015341
ENSARWP00000014855	ENSARWG00000010288	Apteryx_rowi
ENSBMUP00000024898	ENSBMUG00000018700	Bos_mutus
ENSCHIP00000003799	ENSCHIG00000007935	Capra_hircus
ENSMAUP00000022860	ENSMAUG00000020161	Mesocricetus_auratus
ENSGALP00000013962	ENSGALG00000008584	Gallus_gallus
ENSPMEP00000002840	ENSPMEG00000003898	Poecilia_mexicana
ENSSDAP00000023271	ENSSDAG00000021163	Spermophilus_dauricus
ENSDNOP00000021890	ENSDNOG00000041455	Dasypus_novemcinctus
ENSMNEP00000016121	ENSMNEG00000032079	Macaca_nemestrina
ENSCGOP00000048863	ENSCGOG00000021788	Cottoperca_gobio
ENSCJPP00005017682	ENSCJPG00005014419	Coturnix_japonica
ENSSARP00000008679	ENSSARG00000009597	Sorex_araneus
ENSHGLP00000021140	ENSHGLG00000015103	Heterocephalus_glaber_HetGla_female_1.0
ENSLCRP00005060037	ENSLCRG00005022201	Larimichthys_crocea
ENSNPEP00000004569	ENSNPEG00000003485	Nothoprocta_perdicaria
ENSFHEP00000003989	ENSFHEG00000004893	Fundulus_heteroclitus
ENSNGAP00000005764	ENSNGAG00000008289	Nannospalax_galili
ENSMZEP00005014553	ENSMZEG00005010948	Maylandia_zebra
ENSACLP00000040619	ENSACLG00000027350	Astatotilapia_calliptera
ENSPCAP00000004935	ENSPCAG00000005294	Procavia_capensis
ENSAOCP00000010028	ENSAOCG00000014208	Amphiprion_ocellaris
ENSTBEP00000012372	ENSTBEG00000014283	Tupaia_belangeri
ENSONIP00000024680	ENSONIG00000019603	Oreochromis_niloticus
ENSCGRP00015031951	ENSCGRG00015024097	Cricetulus_griseus_CriGri-PICR
ENSSHAP00000019934	ENSSHAG00000016914	Sarcophilus_harrisii	ENSSHAT00000020091
ENSCAFP00020006749	ENSCAFG00020005458	Canis_lupus_dingo
ENSNLEP00000004325	ENSNLEG00000003494	Nomascus_leucogenys
ENSCAFP00020035276	ENSCAFG00020027315	Canis_lupus_dingo
ENSOGAP00000021150	ENSOGAG00000034763	Otolemur_garnettii
ENSAHAP00000004106	ENSAHAG00000003208	Apteryx_haastii
ENSCCAP00000033304	ENSCCAG00000034665	Cebus_capucinus_imitator
ENSCPRP00005026833	ENSCPRG00005018593	Crocodylus_porosus
ENSBSLP00000052117	ENSBSLG00000024650	Betta_splendens
ENSVURP00010010094	ENSVURG00010007796	Vombatus_ursinus	ENSVURT00010011437
ENSCMIP00000004311	ENSCMIG00000002574	Callorhinchus_milii
ENSGGOP00000012102	ENSGGOG00000012401	Gorilla_gorilla
ENSCLAP00000017627	ENSCLAG00000012091	Chinchilla_lanigera	ENSCLAT00000017800
ENSZALP00000009773	ENSZALG00000008339	Zonotrichia_albicollis
ENSCPBP00000018579	ENSCPBG00000013523	Chrysemys_picta_bellii
ENSMMOP00000011875	ENSMMOG00000009129	Mola_mola
ENSMGAP00000011686	ENSMGAG00000011191	Meleagris_gallopavo
ENSMLEP00000040438	ENSMLEG00000044235	Mandrillus_leucophaeus
ENSPNAP00000007812	ENSPNAG00000002788	Pygocentrus_nattereri
ENSPTEP00000026415	ENSPTEG00000026484	Piliocolobus_tephrosceles
ENSCHOP00000011183	ENSCHOG00000012629	Choloepus_hoffmanni
ENSECRP00000018514	ENSECRG00000012382	Erpetoichthys_calabaricus
ENSETEP00000000882	ENSETEG00000001089	Echinops_telfairi
ENSSMRP00000019862	ENSSMRG00000015482	Salvator_merianae
ENSCAFP00000059503	ENSCAFG00000002332	Canis_lupus_familiaris
ENSPMJP00000019202	ENSPMJG00000014408	Parus_major
