ENSELUP00000008220	ENSELUG00000008915	Esox_lucius
ENSCGOP00000024729	ENSCGOG00000011612	Cottoperca_gobio
ENSGACP00000011953	ENSGACG00000009056	Gasterosteus_aculeatus
ENSLCRP00005013596	ENSLCRG00005005899	Larimichthys_crocea
ENSPRNP00000002794	ENSPRNG00000001539	Parambassis_ranga
ENSMAMP00000017697	ENSMAMG00000011959	Mastacembelus_armatus
ENSBSLP00000056499	ENSBSLG00000026342	Betta_splendens
ENSPMGP00000025854	ENSPMGG00000020850	Periophthalmus_magnuspinnatus
ENSGMOP00000015591	ENSGMOG00000014543	Gadus_morhua
ENSDCDP00000005260	ENSDCDG00000002543	Denticeps_clupeoides
ENSDCDP00000005420	ENSDCDG00000002651	Denticeps_clupeoides
ENSCHAP00000002026	ENSCHAG00000001436	Clupea_harengus
ENSAMXP00005030806	ENSAMXG00005015065	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000021504	ENSAMXG00000020888	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000019230	ENSPNAG00000003958	Pygocentrus_nattereri
ENSIPUP00000029063	ENSIPUG00000019659	Ictalurus_punctatus
ENSEEEP00000016367	ENSEEEG00000008105	Electrophorus_electricus
ENSDARP00000014904	ENSDARG00000002213	Danio_rerio
ENSPKIP00000036056	ENSPKIG00000014755	Paramormyrops_kingsleyae
ENSSFOP00015014876	ENSSFOG00015009586	Scleropages_formosus
ENSLOCP00000006548	ENSLOCG00000005427	Lepisosteus_oculatus
ENSECRP00000022595	ENSECRG00000015286	Erpetoichthys_calabaricus
ENSPCIP00000035235	ENSPCIG00000026067	Phascolarctos_cinereus	ENSPCIT00000043356
ENSMEUP00000005380	ENSMEUG00000005882	Notamacropus_eugenii	ENSMEUT00000005905
ENSMODP00000015806	ENSMODG00000012633	Monodelphis_domestica	ENSMODT00000016096
ENSCCNP00000005095	ENSCCNG00000005418	Castor_canadensis
ENSDORP00000015191	ENSDORG00000016150	Dipodomys_ordii
ENSCGRP00001027720	ENSCGRG00001024651	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015037131	ENSCGRG00015027842	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024246	ENSCGRG00000017574	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016932	ENSMAUG00000015926	Mesocricetus_auratus
ENSMOCP00000000832	ENSMOCG00000000650	Microtus_ochrogaster
ENSPEMP00000014317	ENSPEMG00000014137	Peromyscus_maniculatus_bairdii
ENSMSIP00000012386	ENSMSIG00000010742	Mus_spicilegus
ENSMUSP00000030029	ENSMUSG00000028344	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0064791	MGP_SPRETEiJ_G0026965	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0062321	MGP_CAROLIEiJ_G0026002	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0077459	MGP_PahariEiJ_G0028338	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011622	ENSRNOG00000008632	Rattus_norvegicus
ENSMUGP00000025760	ENSMUGG00000021494	Meriones_unguiculatus
ENSNGAP00000020377	ENSNGAG00000019886	Nannospalax_galili
ENSJJAP00000019461	ENSJJAG00000020388	Jaculus_jaculus
ENSHGLP00100009950	ENSHGLG00100007385	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007004	ENSHGLG00000005116	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015788	ENSFDAG00000003921	Fukomys_damarensis
ENSCPOP00000007519	ENSCPOG00000008363	Cavia_porcellus
ENSCAPP00000010848	ENSCAPG00000012022	Cavia_aperea
ENSODEP00000004655	ENSODEG00000003552	Octodon_degus
ENSCLAP00000018217	ENSCLAG00000012495	Chinchilla_lanigera
ENSSTOP00000009098	ENSSTOG00000010139	Ictidomys_tridecemlineatus
ENSUPAP00010019377	ENSUPAG00010015254	Urocitellus_parryii
ENSSDAP00000006009	ENSSDAG00000005556	Spermophilus_dauricus
ENSMMMP00000004809	ENSMMMG00000004317	Marmota_marmota_marmota
ENSCANP00000012373	ENSCANG00000029580	Colobus_angolensis_palliatus
ENSMLEP00000006851	ENSMLEG00000027329	Mandrillus_leucophaeus
ENSPPAP00000011353	ENSPPAG00000028882	Pan_paniscus	ENSPPAT00000034008
ENSPTRP00000036212	ENSPTRG00000021189	Pan_troglodytes	ENSPTRT00000039184
ENSP00000262457	ENSG00000119509	Homo_sapiens	ENST00000262457
ENSGGOP00000017123	ENSGGOG00000027423	Gorilla_gorilla
ENSPPYP00000021789	ENSPPYG00000019445	Pongo_abelii
ENSNLEP00000020755	ENSNLEG00000017081	Nomascus_leucogenys
ENSCANP00000008356	ENSCANG00000027429	Colobus_angolensis_palliatus
ENSPTEP00000038069	ENSPTEG00000035471	Piliocolobus_tephrosceles
ENSRROP00000008331	ENSRROG00000028628	Rhinopithecus_roxellana
ENSRBIP00000041977	ENSRBIG00000044299	Rhinopithecus_bieti
ENSMMUP00000073103	ENSMMUG00000001524	Macaca_mulatta
ENSMNEP00000035371	ENSMNEG00000040846	Macaca_nemestrina
ENSMFAP00000041200	ENSMFAG00000041344	Macaca_fascicularis
ENSMLEP00000015793	ENSMLEG00000032089	Mandrillus_leucophaeus
ENSPANP00000019037	ENSPANG00000025683	Papio_anubis
ENSTGEP00000002525	ENSTGEG00000002211	Theropithecus_gelada
ENSCATP00000001059	ENSCATG00000005020	Cercocebus_atys
ENSCSAP00000007330	ENSCSAG00000011117	Chlorocebus_sabaeus
ENSCCAP00000006192	ENSCCAG00000020823	Cebus_capucinus_imitator
ENSSBOP00000000325	ENSSBOG00000000913	Saimiri_boliviensis_boliviensis
ENSCJAP00000021041	ENSCJAG00000011404	Callithrix_jacchus
ENSANAP00000007219	ENSANAG00000021668	Aotus_nancymaae
ENSTSYP00000012380	ENSTSYG00000013492	Carlito_syrichta
ENSPCOP00000024752	ENSPCOG00000024587	Propithecus_coquereli
ENSPSMP00000022820	ENSPSMG00000016151	Prolemur_simus
ENSMICP00000041887	ENSMICG00000014825	Microcebus_murinus
ENSOGAP00000000173	ENSOGAG00000000197	Otolemur_garnettii
ENSOCUP00000003663	ENSOCUG00000004233	Oryctolagus_cuniculus
ENSOPRP00000000005	ENSOPRG00000000005	Ochotona_princeps
ENSTBEP00000012335	ENSTBEG00000014210	Tupaia_belangeri
ENSEASP00005033394	ENSEASG00005022870	Equus_asinus_asinus
ENSECAP00000041004	ENSECAG00000009492	Equus_caballus
ENSEEUP00000002558	ENSEEUG00000002793	Erinaceus_europaeus
ENSUAMP00000017302	ENSUAMG00000013711	Ursus_americanus
ENSUMAP00000017486	ENSUMAG00000012706	Ursus_maritimus
ENSAMEP00000015840	ENSAMEG00000015010	Ailuropoda_melanoleuca
ENSMPUP00000006758	ENSMPUG00000006812	Mustela_putorius_furo
ENSNVIP00000018988	ENSNVIG00000014770	Neovison_vison
ENSCAFP00020024353	ENSCAFG00020019076	Canis_lupus_dingo
ENSCAFP00000050118	ENSCAFG00000002552	Canis_lupus_familiaris
ENSVVUP00000026327	ENSVVUG00000019317	Vulpes_vulpes
ENSPPRP00000029726	ENSPPRG00000022469	Panthera_pardus
ENSPTIP00000002309	ENSPTIG00000005364	Panthera_tigris_altaica
ENSFCAP00000030411	ENSFCAG00000015633	Felis_catus
ENSCHIP00000017391	ENSCHIG00000017220	Capra_hircus
ENSOARP00000011676	ENSOARG00000010887	Ovis_aries
ENSBIXP00000041294	ENSBIXG00000025438	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044685	ENSBIXG00005028558	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000073811	ENSBTAG00000009806	Bos_taurus
ENSBMUP00000029903	ENSBMUG00000022343	Bos_mutus
ENSBBBP00000011323	ENSBBBG00000019332	Bison_bison_bison
ENSTTRP00000016044	ENSTTRG00000016923	Tursiops_truncatus
ENSSSCP00000005784	ENSSSCG00000005388	Sus_scrofa_strain_reference
ENSVPAP00000007333	ENSVPAG00000007880	Vicugna_pacos
ENSPVAP00000009636	ENSPVAG00000010221	Pteropus_vampyrus
ENSMLUP00000010731	ENSMLUG00000011765	Myotis_lucifugus
ENSLAFP00000014211	ENSLAFG00000016950	Loxodonta_africana
ENSPCAP00000004990	ENSPCAG00000005282	Procavia_capensis
ENSETEP00000011892	ENSETEG00000014673	Echinops_telfairi
ENSDNOP00000008562	ENSDNOG00000011029	Dasypus_novemcinctus
ENSSARP00000000070	ENSSARG00000000074	Sorex_araneus
ENSOANP00000003364	ENSOANG00000002119	Ornithorhynchus_anatinus
ENSCPGP00000003532	ENSCPGG00000002614	Calidris_pygmaea
ENSCPUP00000008789	ENSCPUG00000006275	Calidris_pugnax
ENSMUNP00000003744	ENSMUNG00000003166	Melopsittacus_undulatus
ENSLCOP00000015229	ENSLCOG00000010879	Lepidothrix_coronata
ENSMVIP00005002640	ENSMVIG00005002076	Manacus_vitellinus
ENSLSDP00000024202	ENSLSDG00000016999	Lonchura_striata_domestica
ENSTGUP00000009069	ENSTGUG00000008787	Taeniopygia_guttata
ENSZALP00000001429	ENSZALG00000001634	Zonotrichia_albicollis
ENSJHYP00000018823	ENSJHYG00000014319	Junco_hyemalis
ENSSCAP00000009486	ENSSCAG00000007225	Serinus_canaria
ENSFALP00000005030	ENSFALG00000004814	Ficedula_albicollis
ENSCCEP00000013483	ENSCCEG00000012969	Cyanistes_caeruleus
ENSPMJP00000018823	ENSPMJG00000014119	Parus_major
ENSABRP00000022706	ENSABRG00000019235	Anser_brachyrhynchus
ENSAPLP00000031049	ENSAPLG00000011911	Anas_platyrhynchos_platyrhynchos
ENSGALP00000030342	ENSGALG00000013441	Gallus_gallus
ENSCJPP00005007755	ENSCJPG00005007060	Coturnix_japonica
ENSMGAP00000007822	ENSMGAG00000007645	Meleagris_gallopavo
ENSNMEP00000000147	ENSNMEG00000000231	Numida_meleagris
ENSAHAP00000003458	ENSAHAG00000002285	Apteryx_haastii
ENSAOWP00000026422	ENSAOWG00000017812	Apteryx_owenii
ENSARWP00000013465	ENSARWG00000009329	Apteryx_rowi
ENSDNVP00000022022	ENSDNVG00000015346	Dromaius_novaehollandiae
ENSNPEP00000019498	ENSNPEG00000014533	Nothoprocta_perdicaria
ENSCPRP00005019455	ENSCPRG00005013524	Crocodylus_porosus
ENSGAGP00000007151	ENSGAGG00000005748	Gopherus_agassizii
ENSCABP00000021328	ENSCABG00000015587	Chelonoidis_abingdonii
ENSCPBP00000000805	ENSCPBG00000000656	Chrysemys_picta_bellii
ENSPSIP00000014657	ENSPSIG00000013062	Pelodiscus_sinensis
ENSACAP00000008707	ENSACAG00000008807	Anolis_carolinensis
ENSPVIP00000000934	ENSPVIG00000000737	Pogona_vitticeps
ENSNSUP00000007247	ENSNSUG00000005723	Notechis_scutatus
ENSSMRP00000012730	ENSSMRG00000009932	Salvator_merianae
ENSSPUP00000017222	ENSSPUG00000013327	Sphenodon_punctatus
ENSCMIP00000042651	ENSCMIG00000017730	Callorhinchus_milii
ENSXETP00000045944	ENSXETG00000017480	Xenopus_tropicalis
ENSPMAP00000009653	ENSPMAG00000008761	Petromyzon_marinus
ENSEBUP00000022557	ENSEBUG00000013890	Eptatretus_burgeri
ENSCINP00000000374	ENSCING00000000213	Ciona_intestinalis
ZC15.7.1	WBGene00013835	Caenorhabditis_elegans_strain_N2
