ENSFCAP00000021952	ENSFCAG00000029620	Felis_catus
ENSHGLP00100014723	ENSHGLG00100010899	Heterocephalus_glaber_HetGla_1.0
ENSAPEP00000016994	ENSAPEG00000012160	Amphiprion_percula
ENSNPEP00000012289	ENSNPEG00000009198	Nothoprocta_perdicaria
ENSPCIP00000031084	ENSPCIG00000023111	Phascolarctos_cinereus	ENSPCIT00000038229
ENSSBOP00000011433	ENSSBOG00000022540	Saimiri_boliviensis_boliviensis
ENSDARP00000101635	ENSDARG00000068590	Danio_rerio
ENSPSMP00000020763	ENSPSMG00000014691	Prolemur_simus
ENSCPRP00005020742	ENSCPRG00005014433	Crocodylus_porosus
ENSCSAVP00000015589	ENSCSAVG00000009155	Ciona_savignyi
ENSMICP00000039508	ENSMICG00000031697	Microcebus_murinus
ENSCPUP00000005877	ENSCPUG00000004306	Calidris_pugnax
ENSCABP00000011115	ENSCABG00000008310	Chelonoidis_abingdonii
ENSAMXP00000035509	ENSAMXG00000029441	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMUSP00000091300	ENSMUSG00000079334	Mus_musculus_strain_reference_(CL57BL6)
ENSPRNP00000037932	ENSPRNG00000018847	Parambassis_ranga
ENSFALP00000009166	ENSFALG00000008786	Ficedula_albicollis
C56G2.15.1	WBGene00016983	Caenorhabditis_elegans_strain_N2
ENSMLEP00000032164	ENSMLEG00000040306	Mandrillus_leucophaeus
ENSRBIP00000010811	ENSRBIG00000029249	Rhinopithecus_bieti
ENSOMEP00000006314	ENSOMEG00000000181	Oryzias_melastigma
ENSAMXP00005038553	ENSAMXG00005018281	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOANP00000008709	ENSOANG00000005478	Ornithorhynchus_anatinus
ENSTGUP00000014295	ENSTGUG00000013896	Taeniopygia_guttata
ENSCPGP00000025924	ENSCPGG00000017889	Calidris_pygmaea
ENSTSYP00000000073	ENSTSYG00000000080	Carlito_syrichta
ENSJHYP00000015582	ENSJHYG00000011962	Junco_hyemalis
ENSSPAP00000003793	ENSSPAG00000002945	Stegastes_partitus
ENSARWP00000024476	ENSARWG00000016680	Apteryx_rowi
ENSPNAP00000012076	ENSPNAG00000017796	Pygocentrus_nattereri
ENSPEMP00000003858	ENSPEMG00000005715	Peromyscus_maniculatus_bairdii
ENSACLP00000028861	ENSACLG00000019585	Astatotilapia_calliptera
ENSMAUP00000016458	ENSMAUG00000015578	Mesocricetus_auratus
ENSMLUP00000022061	ENSMLUG00000026040	Myotis_lucifugus
ENSPPRP00000004600	ENSPPRG00000000639	Panthera_pardus
ENSPMAP00000007895	ENSPMAG00000007176	Petromyzon_marinus
ENSLAFP00000023381	ENSLAFG00000029210	Loxodonta_africana
ENSHCOP00000020955	ENSHCOG00000007425	Hippocampus_comes
MGP_CAROLIEiJ_P0089700	MGP_CAROLIEiJ_G0032652	Mus_caroli_strain_CAROLI_EIJ
ENSDNVP00000003375	ENSDNVG00000002388	Dromaius_novaehollandiae
