ENSCSAP00000018337	ENSCSAG00000018818	Chlorocebus_sabaeus
ENSNGAP00000018201	ENSNGAG00000018411	Nannospalax_galili
ENSCAPP00000000896	ENSCAPG00000001296	Cavia_aperea
MGP_CAROLIEiJ_P0045320	MGP_CAROLIEiJ_G0021771	Mus_caroli_strain_CAROLI_EIJ
ENSCANP00000000041	ENSCANG00000000174	Colobus_angolensis_palliatus
ENSPRNP00000052930	ENSPRNG00000024975	Parambassis_ranga
ENSFDAP00000001620	ENSFDAG00000011547	Fukomys_damarensis
ENSMOCP00000002087	ENSMOCG00000001639	Microtus_ochrogaster
ENSCAFP00000051418	ENSCAFG00000048123	Canis_lupus_familiaris
ENSBTAP00000004519	ENSBTAG00000003476	Bos_taurus
ENSGACP00000020268	ENSGACG00000015369	Gasterosteus_aculeatus
ENSXMAP00000020029	ENSXMAG00000019982	Xiphophorus_maculatus
ENSCABP00000002947	ENSCABG00000002265	Chelonoidis_abingdonii
ENSMSIP00000013919	ENSMSIG00000012002	Mus_spicilegus
ENSPSMP00000026335	ENSPSMG00000018485	Prolemur_simus
ENSBMUP00000013524	ENSBMUG00000010317	Bos_mutus
ENSLACP00000020049	ENSLACG00000017622	Latimeria_chalumnae
ENSPREP00000019281	ENSPREG00000013038	Poecilia_reticulata
ENSPKIP00000038234	ENSPKIG00000016096	Paramormyrops_kingsleyae
ENSPPYP00000012602	ENSPPYG00000011282	Pongo_abelii
ENSMPUP00000005213	ENSMPUG00000005251	Mustela_putorius_furo
ENSGGOP00000042284	ENSGGOG00000027670	Gorilla_gorilla
ENSAOWP00000017790	ENSAOWG00000012150	Apteryx_owenii
ENSHGLP00000009105	ENSHGLG00000006543	Heterocephalus_glaber_HetGla_female_1.0
ENSKMAP00000010072	ENSKMAG00000007572	Kryptolebias_marmoratus
ENSECAP00000043571	ENSECAG00000025083	Equus_caballus
ENSCPOP00000022972	ENSCPOG00000002697	Cavia_porcellus
ENSPTEP00000023900	ENSPTEG00000024518	Piliocolobus_tephrosceles
ENSAPOP00000020735	ENSAPOG00000024335	Acanthochromis_polyacanthus
ENSTGEP00000021030	ENSTGEG00000016948	Theropithecus_gelada
ENSPPYP00000010071	ENSPPYG00000008976	Pongo_abelii
ENSSDUP00000020569	ENSSDUG00000014975	Seriola_dumerili
ENSNBRP00000026984	ENSNBRG00000020601	Neolamprologus_brichardi
ENSHHUP00000030430	ENSHHUG00000019383	Hucho_hucho
ENSAMXP00005016476	ENSAMXG00005008584	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNSUP00000008392	ENSNSUG00000006504	Notechis_scutatus
ENSMAMP00000013309	ENSMAMG00000009033	Mastacembelus_armatus
ENSSBOP00000020655	ENSSBOG00000026904	Saimiri_boliviensis_boliviensis
ENSRROP00000007599	ENSRROG00000027770	Rhinopithecus_roxellana
ENSPTRP00000083887	ENSPTRG00000049695	Pan_troglodytes
ENSSTOP00000002647	ENSSTOG00000002965	Ictidomys_tridecemlineatus
ENSODEP00000019941	ENSODEG00000014717	Octodon_degus
ENSCATP00000005503	ENSCATG00000018011	Cercocebus_atys
ENSPMGP00000003793	ENSPMGG00000003257	Periophthalmus_magnuspinnatus
ENSACLP00000005339	ENSACLG00000003596	Astatotilapia_calliptera
ENSCGRP00001007802	ENSCGRG00001010179	Cricetulus_griseus_CHOK1GS_HDv1
ENSJHYP00000009672	ENSJHYG00000007595	Junco_hyemalis
ENSSCAP00000009515	ENSSCAG00000007238	Serinus_canaria
ENSMODP00000032626	ENSMODG00000001058	Monodelphis_domestica
ENSPVIP00000031779	ENSPVIG00000023360	Pogona_vitticeps
ENSPVAP00000015776	ENSPVAG00000016718	Pteropus_vampyrus
ENSMNEP00000001512	ENSMNEG00000006797	Macaca_nemestrina
ENSPTRP00000087122	ENSPTRG00000051578	Pan_troglodytes
ENSGWIP00000040510	ENSGWIG00000020464	Gouania_willdenowi
ENSORLP00020032573	ENSORLG00020000501	Oryzias_latipes_ASM223471v1
ENSONIP00000026737	ENSONIG00000021435	Oreochromis_niloticus
ENSFHEP00000019428	ENSFHEG00000021350	Fundulus_heteroclitus
ENSHGLP00100005310	ENSHGLG00100004030	Heterocephalus_glaber_HetGla_1.0
ENSPNAP00000006091	ENSPNAG00000012160	Pygocentrus_nattereri
ENSNPEP00000013911	ENSNPEG00000010398	Nothoprocta_perdicaria
ENSCGRP00000026827	ENSCGRG00000019920	Cricetulus_griseus_CriGri_1.0
ENSGMOP00000021217	ENSGMOG00000019730	Gadus_morhua
ENSCSEP00000021419	ENSCSEG00000013669	Cynoglossus_semilaevis
ENSAPLP00000000043	ENSAPLG00000000639	Anas_platyrhynchos_platyrhynchos
ENSVURP00010032232	ENSVURG00010024599	Vombatus_ursinus
ENSBIXP00005008257	ENSBIXG00005013330	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCMIP00000047363	ENSCMIG00000019424	Callorhinchus_milii
ENSVVUP00000012259	ENSVVUG00000009032	Vulpes_vulpes
ENSMMOP00000013720	ENSMMOG00000010513	Mola_mola
ENSEBUP00000011164	ENSEBUG00000007161	Eptatretus_burgeri
ENSMMMP00000020947	ENSMMMG00000018489	Marmota_marmota_marmota
ENSMZEP00005034329	ENSMZEG00005025660	Maylandia_zebra
ENSBIXP00000019419	ENSBIXG00000004029	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTRP00000075128	ENSPTRG00000043350	Pan_troglodytes
ENSEEEP00000043349	ENSEEEG00000020477	Electrophorus_electricus	ENSEEET00000043844
ENSHCOP00000017602	ENSHCOG00000001516	Hippocampus_comes
ENSCAFP00020023906	ENSCAFG00020018826	Canis_lupus_dingo
ENSORLP00000018520	ENSORLG00000014774	Oryzias_latipes_ASM223467v1
MGP_PahariEiJ_P0044826	MGP_PahariEiJ_G0020760	Mus_pahari_strain_PAHARI_EIJ
ENSCPBP00000014859	ENSCPBG00000011026	Chrysemys_picta_bellii
ENSBBBP00000014344	ENSBBBG00000022081	Bison_bison_bison
ENSELUP00000006564	ENSELUG00000007443	Esox_lucius	ENSELUT00000008720
ENSIPUP00000024608	ENSIPUG00000016646	Ictalurus_punctatus	ENSIPUT00000025639
ENSPTRP00000016835	ENSPTRG00000009897	Pan_troglodytes
ENSMUGP00000005742	ENSMUGG00000005302	Meriones_unguiculatus
ENSCHAP00000041089	ENSCHAG00000019234	Clupea_harengus	ENSCHAT00000044484
ENSPEMP00000019756	ENSPEMG00000017948	Peromyscus_maniculatus_bairdii
ENSAMXP00000026537	ENSAMXG00000025832	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLAFP00000019655	ENSLAFG00000010650	Loxodonta_africana
ENSCLAP00000010020	ENSCLAG00000006945	Chinchilla_lanigera
ENSSFOP00015024923	ENSSFOG00015016027	Scleropages_formosus
ENSGAFP00000012040	ENSGAFG00000008164	Gambusia_affinis
ENSTRUP00000023815	ENSTRUG00000009479	Takifugu_rubripes
ENSHBUP00000033646	ENSHBUG00000020652	Haplochromis_burtoni
ENSMLEP00000007605	ENSMLEG00000027893	Mandrillus_leucophaeus
ENSCPUP00000022502	ENSCPUG00000015278	Calidris_pugnax
ENSSLDP00000024063	ENSSLDG00000018755	Seriola_lalandi_dorsalis
ENSJJAP00000001073	ENSJJAG00000000960	Jaculus_jaculus
ENSDNVP00000000259	ENSDNVG00000000208	Dromaius_novaehollandiae
ENSNVIP00000010441	ENSNVIG00000008279	Neovison_vison
ENSATEP00000023663	ENSATEG00000016408	Anabas_testudineus
ENSSMAP00000006125	ENSSMAG00000003774	Scophthalmus_maximus
ENSOANP00000029218	ENSOANG00000030800	Ornithorhynchus_anatinus
ENSETEP00000003424	ENSETEG00000004174	Echinops_telfairi
ENSLOCP00000021729	ENSLOCG00000017624	Lepisosteus_oculatus
ENSOARP00000000655	ENSOARG00000000640	Ovis_aries
ENSFALP00000015484	ENSFALG00000014869	Ficedula_albicollis
ENSSPAP00000003891	ENSSPAG00000003015	Stegastes_partitus
ENSPFOP00000020106	ENSPFOG00000019979	Poecilia_formosa
ENSOGAP00000019787	ENSOGAG00000004865	Otolemur_garnettii
ENSFCAP00000020370	ENSFCAG00000010143	Felis_catus
ENSCGOP00000038812	ENSCGOG00000017768	Cottoperca_gobio
ENSPCIP00000016043	ENSPCIG00000012426	Phascolarctos_cinereus
ENSOMEP00000033558	ENSOMEG00000019620	Oryzias_melastigma
ENSECRP00000032929	ENSECRG00000022305	Erpetoichthys_calabaricus
ENSIPUP00000000226	ENSIPUG00000000185	Ictalurus_punctatus	ENSIPUT00000000254
ENSMAUP00000006738	ENSMAUG00000008605	Mesocricetus_auratus
ENSUAMP00000018566	ENSUAMG00000014719	Ursus_americanus
ENSAHAP00000016420	ENSAHAG00000011714	Apteryx_haastii
ENSXCOP00000010782	ENSXCOG00000008137	Xiphophorus_couchianus
ENSMGAP00000006168	ENSMGAG00000006189	Meleagris_gallopavo
ENSP00000269856	ENSG00000141965	Homo_sapiens
ENSCVAP00000003451	ENSCVAG00000004620	Cyprinodon_variegatus
ENSSSCP00000037208	ENSSSCG00000037153	Sus_scrofa_strain_reference
ENSLCRP00005057874	ENSLCRG00005021486	Larimichthys_crocea
ENSARWP00000027561	ENSARWG00000018633	Apteryx_rowi
ENSDCDP00000027738	ENSDCDG00000020218	Denticeps_clupeoides	ENSDCDT00000036798
ENSMALP00000031454	ENSMALG00000021705	Monopterus_albus
ENSRBIP00000008961	ENSRBIG00000028366	Rhinopithecus_bieti
ENSPPRP00000025907	ENSPPRG00000016297	Panthera_pardus
ENSAOCP00000029086	ENSAOCG00000019151	Amphiprion_ocellaris
ENSDNOP00000027799	ENSDNOG00000038112	Dasypus_novemcinctus
ENSLCAP00010040517	ENSLCAG00010018958	Lates_calcarifer
ENSNMEP00000004725	ENSNMEG00000005071	Numida_meleagris
