ENSRBIP00000026815	ENSRBIG00000037274	Rhinopithecus_bieti
ENSBMUP00000017098	ENSBMUG00000012959	Bos_mutus
ENSPSMP00000001254	ENSPSMG00000000925	Prolemur_simus
ENSOANP00000027416	ENSOANG00000021528	Ornithorhynchus_anatinus
ENSDORP00000024697	ENSDORG00000025964	Dipodomys_ordii
ENSBIXP00000018246	ENSBIXG00000022114	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSFOP00015006876	ENSSFOG00015004529	Scleropages_formosus
ENSELUP00000015181	ENSELUG00000015148	Esox_lucius
ENSFHEP00000008133	ENSFHEG00000009336	Fundulus_heteroclitus
ENSBBBP00000007021	ENSBBBG00000015237	Bison_bison_bison
ENSBBBP00000009618	ENSBBBG00000006782	Bison_bison_bison
ENSXETP00000002424	ENSXETG00000005751	Xenopus_tropicalis
ENSPTIP00000000596	ENSPTIG00000001562	Panthera_tigris_altaica
ENSPEMP00000007585	ENSPEMG00000009497	Peromyscus_maniculatus_bairdii
ENSBIXP00000034374	ENSBIXG00000017332	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNLEP00000018546	ENSNLEG00000015281	Nomascus_leucogenys
ENSTRUP00000053984	ENSTRUG00000023587	Takifugu_rubripes
ENSEEUP00000002780	ENSEEUG00000003043	Erinaceus_europaeus
ENSGACP00000017054	ENSGACG00000012910	Gasterosteus_aculeatus	ENSGACT00000017088
ENSCGRP00015004440	ENSCGRG00015003504	Cricetulus_griseus_CriGri-PICR
ENSGMOP00000002085	ENSGMOG00000001965	Gadus_morhua
ENSHHUP00000088661	ENSHHUG00000051223	Hucho_hucho
ENSATEP00000015927	ENSATEG00000011035	Anabas_testudineus
ENSACIP00000014193	ENSACIG00000011015	Amphilophus_citrinellus
ENSIPUP00000015112	ENSIPUG00000010286	Ictalurus_punctatus
ENSMUGP00000032506	ENSMUGG00000027002	Meriones_unguiculatus
ENSRNOP00000033059	ENSRNOG00000025388	Rattus_norvegicus
ENSSTOP00000024940	ENSSTOG00000032505	Ictidomys_tridecemlineatus
ENSFDAP00000019755	ENSFDAG00000008924	Fukomys_damarensis
ENSCAFP00000047056	ENSCAFG00000041482	Canis_lupus_familiaris
ENSBIXP00005027909	ENSBIXG00005029888	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000034999	ENSSSCG00000034129	Sus_scrofa_strain_reference
ENSCGRP00001026684	ENSCGRG00001023932	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTRP00000020231	ENSPTRG00000011779	Pan_troglodytes
ENSDCDP00000000460	ENSDCDG00000000300	Denticeps_clupeoides
ENSBSLP00000051420	ENSBSLG00000024349	Betta_splendens
ENSCATP00000030159	ENSCATG00000038280	Cercocebus_atys
ENSMMMP00000023078	ENSMMMG00000020220	Marmota_marmota_marmota
ENSBTAP00000056390	ENSBTAG00000032831	Bos_taurus
ENSMLEP00000011036	ENSMLEG00000029710	Mandrillus_leucophaeus
ENSAPOP00000028410	ENSAPOG00000013668	Acanthochromis_polyacanthus
ENSMNEP00000027253	ENSMNEG00000037034	Macaca_nemestrina
ENSRROP00000021353	ENSRROG00000034607	Rhinopithecus_roxellana
ENSUPAP00010007182	ENSUPAG00010005792	Urocitellus_parryii
ENSPFOP00000011087	ENSPFOG00000011120	Poecilia_formosa
ENSCGRP00015033368	ENSCGRG00015025155	Cricetulus_griseus_CriGri-PICR
ENSSPAP00000018266	ENSSPAG00000013784	Stegastes_partitus
ENSPLAP00000008150	ENSPLAG00000010635	Poecilia_latipinna
ENSJJAP00000019383	ENSJJAG00000020354	Jaculus_jaculus
ENSMSIP00000023717	ENSMSIG00000020079	Mus_spicilegus
ENSACLP00000038298	ENSACLG00000025855	Astatotilapia_calliptera
ENSCPBP00000036577	ENSCPBG00000025396	Chrysemys_picta_bellii
ENSSMAP00000024842	ENSSMAG00000015166	Scophthalmus_maximus
ENSMUSP00000031024	ENSMUSG00000106918	Mus_musculus_strain_reference_(CL57BL6)
ENSMICP00000048046	ENSMICG00000043272	Microcebus_murinus
ENSCSEP00000004375	ENSCSEG00000002845	Cynoglossus_semilaevis
ENSMFAP00000010108	ENSMFAG00000005696	Macaca_fascicularis
ENSNBRP00000014737	ENSNBRG00000011414	Neolamprologus_brichardi
ENSETEP00000002657	ENSETEG00000003239	Echinops_telfairi
ENSEEUP00000009731	ENSEEUG00000010706	Erinaceus_europaeus
ENSLBEP00000030576	ENSLBEG00000023093	Labrus_bergylta	ENSLBET00000031985
ENSMLUP00000000166	ENSMLUG00000000185	Myotis_lucifugus
ENSPKIP00000006378	ENSPKIG00000022674	Paramormyrops_kingsleyae
ENSTGEP00000030401	ENSTGEG00000024398	Theropithecus_gelada
ENSCCAP00000004677	ENSCCAG00000019922	Cebus_capucinus_imitator
ENSBIXP00000033157	ENSBIXG00000015889	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPPRP00000002071	ENSPPRG00000023678	Panthera_pardus
ENSPCIP00000039702	ENSPCIG00000029130	Phascolarctos_cinereus
ENSPEMP00000033734	ENSPEMG00000030130	Peromyscus_maniculatus_bairdii
ENSVPAP00000003125	ENSVPAG00000003380	Vicugna_pacos
ENSCGRP00001007434	ENSCGRG00001009851	Cricetulus_griseus_CHOK1GS_HDv1
ENSMFAP00000032574	ENSMFAG00000002856	Macaca_fascicularis
ENSGAGP00000009879	ENSGAGG00000007777	Gopherus_agassizii
ENSORLP00015004746	ENSORLG00015005523	Oryzias_latipes_ASM223469v1
ENSPPRP00000005998	ENSPPRG00000001558	Panthera_pardus
ENSTNIP00000021952	ENSTNIG00000018771	Tetraodon_nigroviridis	ENSTNIT00000022188
ENSAOCP00000011078	ENSAOCG00000015330	Amphiprion_ocellaris
ENSBMUP00000012354	ENSBMUG00000009468	Bos_mutus
ENSMODP00000019448	ENSMODG00000015587	Monodelphis_domestica
ENSPANP00000018757	ENSPANG00000006930	Papio_anubis
ENSPREP00000007030	ENSPREG00000004811	Poecilia_reticulata
ENSCPOP00000032984	ENSCPOG00000030574	Cavia_porcellus
ENSCAFP00000041000	ENSCAFG00000045062	Canis_lupus_familiaris
ENSLACP00000022902	ENSLACG00000022672	Latimeria_chalumnae
ENSHHUP00000030572	ENSHHUG00000019464	Hucho_hucho
ENSOMEP00000008439	ENSOMEG00000009622	Oryzias_melastigma
ENSMMOP00000006303	ENSMMOG00000004915	Mola_mola
ENSOPRP00000010839	ENSOPRG00000011891	Ochotona_princeps
ENSCAFP00020017193	ENSCAFG00020013772	Canis_lupus_dingo
ENSGGOP00000037394	ENSGGOG00000039421	Gorilla_gorilla
ENSPPYP00000014001	ENSPPYG00000012536	Pongo_abelii
ENSHGLP00000012506	ENSHGLG00000008938	Heterocephalus_glaber_HetGla_female_1.0
ENSORLP00000041538	ENSORLG00000028315	Oryzias_latipes_ASM223467v1
ENSEASP00005012987	ENSEASG00005009073	Equus_asinus_asinus
ENSANAP00000026126	ENSANAG00000030770	Aotus_nancymaae
ENSBIXP00000035301	ENSBIXG00000003217	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDARP00000140275	ENSDARG00000104031	Danio_rerio
ENSUAMP00000011341	ENSUAMG00000009281	Ursus_americanus
ENSVVUP00000021099	ENSVVUG00000015508	Vulpes_vulpes
ENSCGRP00000003800	ENSCGRG00000002802	Cricetulus_griseus_CriGri_1.0
ENSTTRP00000011898	ENSTTRG00000012541	Tursiops_truncatus
ENSPRNP00000046534	ENSPRNG00000022440	Parambassis_ranga
ENSEEEP00000012317	ENSEEEG00000006195	Electrophorus_electricus
ENSCAPP00000004575	ENSCAPG00000007076	Cavia_aperea
ENSPTIP00000024335	ENSPTIG00000020465	Panthera_tigris_altaica
ENSSLDP00000020292	ENSSLDG00000015845	Seriola_lalandi_dorsalis
ENSBIXP00005013849	ENSBIXG00005017941	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPMEP00000006954	ENSPMEG00000008536	Poecilia_mexicana
ENSKMAP00000005135	ENSKMAG00000003900	Kryptolebias_marmoratus
ENSMOCP00000013509	ENSMOCG00000013281	Microtus_ochrogaster
ENSBBBP00000013703	ENSBBBG00000021379	Bison_bison_bison
ENSAMXP00005038095	ENSAMXG00005018094	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSBTAP00000056434	ENSBTAG00000035199	Bos_taurus
ENSCPRP00005013946	ENSCPRG00005009833	Crocodylus_porosus
ENSBMUP00000017602	ENSBMUG00000013322	Bos_mutus
