ENSSFOP00015026488	ENSSFOG00015016948	Scleropages_formosus	ENSSFOT00015026784
ENSPKIP00000010133	ENSPKIG00000024957	Paramormyrops_kingsleyae	ENSPKIT00000034256
ENSSFOP00015015974	ENSSFOG00015010227	Scleropages_formosus	ENSSFOT00015016159
ENSPKIP00000002600	ENSPKIG00000020334	Paramormyrops_kingsleyae	ENSPKIT00000026548
ENSTNIP00000010307	ENSTNIG00000007498	Tetraodon_nigroviridis
ENSTGUP00000007743	ENSTGUG00000007497	Taeniopygia_guttata
ENSLSDP00000005581	ENSLSDG00000004332	Lonchura_striata_domestica
ENSCCEP00000010721	ENSCCEG00000010592	Cyanistes_caeruleus
ENSPMJP00000026185	ENSPMJG00000019144	Parus_major
ENSFALP00000002313	ENSFALG00000002225	Ficedula_albicollis
ENSMVIP00005013194	ENSMVIG00005009560	Manacus_vitellinus
ENSLCOP00000006906	ENSLCOG00000005102	Lepidothrix_coronata
ENSAHAP00000006233	ENSAHAG00000004047	Apteryx_haastii
ENSARWP00000009189	ENSARWG00000005641	Apteryx_rowi
ENSAOWP00000002594	ENSAOWG00000001858	Apteryx_owenii
ENSDNVP00000001204	ENSDNVG00000000888	Dromaius_novaehollandiae
ENSNPEP00000017276	ENSNPEG00000012863	Nothoprocta_perdicaria
ENSCPRP00005015921	ENSCPRG00005010959	Crocodylus_porosus
ENSGAGP00000023872	ENSGAGG00000017472	Gopherus_agassizii
ENSCABP00000014683	ENSCABG00000010961	Chelonoidis_abingdonii
ENSCPBP00000000340	ENSCPBG00000000314	Chrysemys_picta_bellii
ENSPSIP00000004918	ENSPSIG00000004568	Pelodiscus_sinensis
ENSPVIP00000028730	ENSPVIG00000021242	Pogona_vitticeps
ENSACAP00000010687	ENSACAG00000010856	Anolis_carolinensis
ENSNSUP00000017606	ENSNSUG00000012914	Notechis_scutatus
ENSSMRP00000010149	ENSSMRG00000008056	Salvator_merianae
ENSSPUP00000024646	ENSSPUG00000018869	Sphenodon_punctatus
ENSVURP00010023247	ENSVURG00010017781	Vombatus_ursinus
ENSVURP00010012820	ENSVURG00010009826	Vombatus_ursinus
ENSPCIP00000013161	ENSPCIG00000010221	Phascolarctos_cinereus
ENSMEUP00000013810	ENSMEUG00000015114	Notamacropus_eugenii
ENSMODP00000024724	ENSMODG00000019806	Monodelphis_domestica
ENSSHAP00000017932	ENSSHAG00000015222	Sarcophilus_harrisii
ENSOARP00000013146	ENSOARG00000012261	Ovis_aries
ENSCHIP00000015149	ENSCHIG00000015896	Capra_hircus
ENSBIXP00005035454	ENSBIXG00005016797	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000016011	ENSBIXG00000020325	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000061770	ENSBTAG00000006948	Bos_taurus
ENSBMUP00000015696	ENSBMUG00000011941	Bos_mutus
ENSBBBP00000012691	ENSBBBG00000000557	Bison_bison_bison
ENSTTRP00000014872	ENSTTRG00000015696	Tursiops_truncatus
ENSSSCP00000065945	ENSSSCG00000005609	Sus_scrofa_strain_reference
ENSVPAP00000004744	ENSVPAG00000005115	Vicugna_pacos
ENSPVAP00000000870	ENSPVAG00000000917	Pteropus_vampyrus
ENSMLUP00000012678	ENSMLUG00000013926	Myotis_lucifugus
ENSUMAP00000002111	ENSUMAG00000001779	Ursus_maritimus
ENSUAMP00000005087	ENSUAMG00000004241	Ursus_americanus
ENSAMEP00000017615	ENSAMEG00000016676	Ailuropoda_melanoleuca
ENSNVIP00000010705	ENSNVIG00000007970	Neovison_vison
ENSMPUP00000013748	ENSMPUG00000013851	Mustela_putorius_furo
ENSCAFP00020019792	ENSCAFG00020015720	Canis_lupus_dingo
ENSCAFP00000029863	ENSCAFG00000020142	Canis_lupus_familiaris
ENSVVUP00000015267	ENSVVUG00000010701	Vulpes_vulpes
ENSPTIP00000019863	ENSPTIG00000017483	Panthera_tigris_altaica
ENSPPRP00000025050	ENSPPRG00000015297	Panthera_pardus
ENSFCAP00000056697	ENSFCAG00000019243	Felis_catus
ENSEASP00005030218	ENSEASG00005020575	Equus_asinus_asinus
ENSECAP00000019082	ENSECAG00000013574	Equus_caballus
ENSEEUP00000001437	ENSEEUG00000001578	Erinaceus_europaeus
ENSCPOP00000011081	ENSCPOG00000012318	Cavia_porcellus
ENSCAPP00000016914	ENSCAPG00000016710	Cavia_aperea
ENSODEP00000005881	ENSODEG00000004430	Octodon_degus
ENSCLAP00000020483	ENSCLAG00000014036	Chinchilla_lanigera
ENSHGLP00000024883	ENSHGLG00000017737	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002381	ENSHGLG00100001848	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020700	ENSFDAG00000008256	Fukomys_damarensis
ENSSDAP00000000372	ENSSDAG00000000167	Spermophilus_dauricus
ENSUPAP00010017703	ENSUPAG00010013986	Urocitellus_parryii
ENSSTOP00000032674	ENSSTOG00000005340	Ictidomys_tridecemlineatus
ENSMMMP00000019831	ENSMMMG00000017471	Marmota_marmota_marmota
ENSCCNP00000000529	ENSCCNG00000000250	Castor_canadensis
ENSDORP00000025617	ENSDORG00000005302	Dipodomys_ordii
MGP_SPRETEiJ_P0053302	MGP_SPRETEiJ_G0024374	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0051258	MGP_CAROLIEiJ_G0023457	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000099874	ENSMUSG00000038860	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0062272	MGP_PahariEiJ_G0024914	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000070180	ENSRNOG00000057044	Rattus_norvegicus
ENSMUGP00000002554	ENSMUGG00000002392	Meriones_unguiculatus
ENSMUGP00000022193	ENSMUGG00000018612	Meriones_unguiculatus
ENSCGRP00015005720	ENSCGRG00015004390	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014761	ENSCGRG00001015517	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010792	ENSCGRG00000007880	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000020844	ENSMAUG00000018719	Mesocricetus_auratus
ENSMOCP00000021110	ENSMOCG00000018573	Microtus_ochrogaster
ENSPEMP00000015783	ENSPEMG00000015218	Peromyscus_maniculatus_bairdii
ENSOCUP00000033236	ENSOCUG00000008082	Oryctolagus_cuniculus
ENSOPRP00000010077	ENSOPRG00000011013	Ochotona_princeps
ENSTBEP00000003009	ENSTBEG00000003431	Tupaia_belangeri
ENSPSMP00000035246	ENSPSMG00000024288	Prolemur_simus
ENSMICP00000034279	ENSMICG00000002311	Microcebus_murinus
ENSPCOP00000017263	ENSPCOG00000020428	Propithecus_coquereli
ENSOGAP00000000531	ENSOGAG00000000592	Otolemur_garnettii
ENSPPAP00000010967	ENSPPAG00000028681	Pan_paniscus
ENSPTRP00000084809	ENSPTRG00000021385	Pan_troglodytes
ENSP00000362485	ENSG00000136895	Homo_sapiens
ENSGGOP00000033337	ENSGGOG00000012871	Gorilla_gorilla
ENSPPYP00000021985	ENSPPYG00000019619	Pongo_abelii
ENSNLEP00000021160	ENSNLEG00000017424	Nomascus_leucogenys
ENSMNEP00000016674	ENSMNEG00000032351	Macaca_nemestrina
ENSMMUP00000038860	ENSMMUG00000012163	Macaca_mulatta
ENSTGEP00000028373	ENSTGEG00000022835	Theropithecus_gelada
ENSPANP00000033520	ENSPANG00000024824	Papio_anubis
ENSCSAP00000009858	ENSCSAG00000013701	Chlorocebus_sabaeus
ENSPTEP00000017094	ENSPTEG00000018642	Piliocolobus_tephrosceles
ENSRBIP00000028315	ENSRBIG00000038036	Rhinopithecus_bieti
ENSCANP00000039208	ENSCANG00000043264	Colobus_angolensis_palliatus
ENSRROP00000012315	ENSRROG00000030458	Rhinopithecus_roxellana
ENSMLEP00000008961	ENSMLEG00000028588	Mandrillus_leucophaeus
ENSMFAP00000032835	ENSMFAG00000002870	Macaca_fascicularis
ENSCATP00000014554	ENSCATG00000031241	Cercocebus_atys
ENSCCAP00000004374	ENSCCAG00000019419	Cebus_capucinus_imitator
ENSSBOP00000030656	ENSSBOG00000031507	Saimiri_boliviensis_boliviensis
ENSCJAP00000049759	ENSCJAG00000017982	Callithrix_jacchus
ENSANAP00000023513	ENSANAG00000029515	Aotus_nancymaae
ENSCHOP00000011969	ENSCHOG00000013496	Choloepus_hoffmanni
ENSDNOP00000006484	ENSDNOG00000008350	Dasypus_novemcinctus
ENSLAFP00000014794	ENSLAFG00000017640	Loxodonta_africana
ENSPCAP00000006813	ENSPCAG00000007192	Procavia_capensis
ENSETEP00000009935	ENSETEG00000012253	Echinops_telfairi
ENSOANP00000023159	ENSOANG00000014699	Ornithorhynchus_anatinus
ENSOANP00000018558	ENSOANG00000011710	Ornithorhynchus_anatinus
ENSXETP00000038897	ENSXETG00000001112	Xenopus_tropicalis
ENSLACP00000006735	ENSLACG00000005974	Latimeria_chalumnae
ENSCMIP00000003364	ENSCMIG00000002007	Callorhinchus_milii
ENSEBUP00000019929	ENSEBUG00000012352	Eptatretus_burgeri
ENSCINP00000019324	ENSCING00000009492	Ciona_intestinalis
