ENSPFOP00000005127	ENSPFOG00000005256	Poecilia_formosa
ENSCCEP00000002302	ENSCCEG00000002586	Cyanistes_caeruleus
ENSPMJP00000000474	ENSPMJG00000000439	Parus_major
ENSLCOP00000014330	ENSLCOG00000010289	Lepidothrix_coronata
ENSMVIP00005028473	ENSMVIG00005019815	Manacus_vitellinus
ENSCPGP00000024407	ENSCPGG00000016829	Calidris_pygmaea
ENSCPUP00000010105	ENSCPUG00000007157	Calidris_pugnax
ENSTGUP00000014096	ENSTGUG00000013692	Taeniopygia_guttata
ENSABRP00000013653	ENSABRG00000012133	Anser_brachyrhynchus
ENSAPLP00000031933	ENSAPLG00000003276	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000003629	ENSMGAG00000003882	Meleagris_gallopavo
ENSGALP00000071662	ENSGALG00000006409	Gallus_gallus
ENSCJPP00005004104	ENSCJPG00005004151	Coturnix_japonica
ENSNMEP00000001081	ENSNMEG00000001516	Numida_meleagris
ENSAHAP00000024112	ENSAHAG00000016837	Apteryx_haastii
ENSAOWP00000021041	ENSAOWG00000014231	Apteryx_owenii
ENSDNVP00000015172	ENSDNVG00000010686	Dromaius_novaehollandiae
ENSCPRP00005002315	ENSCPRG00005001693	Crocodylus_porosus
ENSCPBP00000028093	ENSCPBG00000019867	Chrysemys_picta_bellii
ENSGAGP00000013870	ENSGAGG00000010563	Gopherus_agassizii
ENSPSIP00000013353	ENSPSIG00000012013	Pelodiscus_sinensis
ENSPVIP00000022577	ENSPVIG00000017038	Pogona_vitticeps
ENSACAP00000005719	ENSACAG00000005864	Anolis_carolinensis
ENSSMRP00000010230	ENSSMRG00000008117	Salvator_merianae
ENSPEMP00000025180	ENSPEMG00000021683	Peromyscus_maniculatus_bairdii
ENSMAUP00000015426	ENSMAUG00000014885	Mesocricetus_auratus
ENSMOCP00000023994	ENSMOCG00000020551	Microtus_ochrogaster
ENSMSIP00000034686	ENSMSIG00000028932	Mus_spicilegus
MGP_SPRETEiJ_P0075963	MGP_SPRETEiJ_G0029197	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000026698	ENSMUSG00000025608	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0073119	MGP_CAROLIEiJ_G0028197	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049240	MGP_PahariEiJ_G0021955	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016991	ENSRNOG00000012495	Rattus_norvegicus
ENSCGRP00015035821	ENSCGRG00015026877	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000010912	ENSCGRG00000007945	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001026789	ENSCGRG00001023997	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUGP00000026464	ENSMUGG00000022046	Meriones_unguiculatus
ENSMUGP00000026484	ENSMUGG00000022051	Meriones_unguiculatus
ENSNGAP00000008176	ENSNGAG00000011232	Nannospalax_galili
ENSJJAP00000007863	ENSJJAG00000012178	Jaculus_jaculus
ENSCCNP00000019099	ENSCCNG00000019246	Castor_canadensis
ENSDORP00000026967	ENSDORG00000026223	Dipodomys_ordii
ENSUPAP00010003533	ENSUPAG00010002915	Urocitellus_parryii
ENSSTOP00000005399	ENSSTOG00000006027	Ictidomys_tridecemlineatus
ENSMMMP00000014781	ENSMMMG00000013162	Marmota_marmota_marmota
ENSHGLP00000004679	ENSHGLG00000003426	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100004820	ENSHGLG00100003652	Heterocephalus_glaber_HetGla_1.0
ENSOCUP00000021702	ENSOCUG00000025092	Oryctolagus_cuniculus
ENSOPRP00000009412	ENSOPRG00000010311	Ochotona_princeps
ENSMICP00000046858	ENSMICG00000042010	Microcebus_murinus
ENSPCOP00000002600	ENSPCOG00000007905	Propithecus_coquereli
ENSOGAP00000013416	ENSOGAG00000014978	Otolemur_garnettii
ENSP00000367817	ENSG00000128567	Homo_sapiens
ENSPTRP00000073254	ENSPTRG00000019705	Pan_troglodytes
ENSGGOP00000000846	ENSGGOG00000000858	Gorilla_gorilla
ENSPPAP00000021370	ENSPPAG00000033899	Pan_paniscus
ENSPPYP00000020208	ENSPPYG00000018011	Pongo_abelii
ENSNLEP00000015701	ENSNLEG00000012939	Nomascus_leucogenys
ENSRBIP00000003891	ENSRBIG00000018385	Rhinopithecus_bieti
ENSRROP00000024405	ENSRROG00000036006	Rhinopithecus_roxellana
ENSPTEP00000035048	ENSPTEG00000033147	Piliocolobus_tephrosceles
ENSCANP00000039096	ENSCANG00000043221	Colobus_angolensis_palliatus
ENSPANP00000011446	ENSPANG00000025223	Papio_anubis
ENSCATP00000012949	ENSCATG00000030624	Cercocebus_atys
ENSMLEP00000032664	ENSMLEG00000040552	Mandrillus_leucophaeus
ENSTGEP00000029518	ENSTGEG00000023725	Theropithecus_gelada
ENSMFAP00000009616	ENSMFAG00000035169	Macaca_fascicularis
ENSMNEP00000015636	ENSMNEG00000031894	Macaca_nemestrina
ENSMMUP00000062454	ENSMMUG00000018260	Macaca_mulatta
ENSCSAP00000005892	ENSCSAG00000009644	Chlorocebus_sabaeus
ENSSBOP00000040167	ENSSBOG00000036080	Saimiri_boliviensis_boliviensis
ENSCJAP00000068321	ENSCJAG00000016372	Callithrix_jacchus
ENSCCAP00000022949	ENSCCAG00000029273	Cebus_capucinus_imitator
ENSANAP00000028042	ENSANAG00000031878	Aotus_nancymaae
ENSTSYP00000027701	ENSTSYG00000036416	Carlito_syrichta
ENSOARP00000006518	ENSOARG00000006085	Ovis_aries
ENSOARP00000001396	ENSOARG00000001339	Ovis_aries
ENSBTAP00000013799	ENSBTAG00000010452	Bos_taurus
ENSBIXP00000037530	ENSBIXG00000021119	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023474	ENSBIXG00005026196	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000000602	ENSBMUG00000000535	Bos_mutus
ENSBBBP00000021300	ENSBBBG00000000875	Bison_bison_bison
ENSTTRP00000013473	ENSTTRG00000014208	Tursiops_truncatus
ENSSSCP00000017534	ENSSSCG00000016548	Sus_scrofa_strain_reference
ENSECAP00000044717	ENSECAG00000028562	Equus_caballus
ENSEASP00005021594	ENSEASG00005014767	Equus_asinus_asinus
ENSNVIP00000029538	ENSNVIG00000022791	Neovison_vison
ENSMPUP00000004956	ENSMPUG00000004996	Mustela_putorius_furo
ENSUAMP00000030336	ENSUAMG00000023282	Ursus_americanus
ENSUMAP00000024035	ENSUMAG00000017498	Ursus_maritimus
ENSAMEP00000006144	ENSAMEG00000005820	Ailuropoda_melanoleuca
ENSCAFP00020030099	ENSCAFG00020023465	Canis_lupus_dingo
ENSCAFP00000002008	ENSCAFG00000001403	Canis_lupus_familiaris
ENSVVUP00000017475	ENSVVUG00000012880	Vulpes_vulpes
ENSFCAP00000060923	ENSFCAG00000013118	Felis_catus
ENSDNOP00000012003	ENSDNOG00000015481	Dasypus_novemcinctus
ENSPVAP00000006611	ENSPVAG00000007006	Pteropus_vampyrus
ENSMLUP00000012476	ENSMLUG00000013693	Myotis_lucifugus
ENSCHOP00000002667	ENSCHOG00000003005	Choloepus_hoffmanni
ENSLAFP00000014961	ENSLAFG00000017849	Loxodonta_africana
ENSVURP00010017711	ENSVURG00010013534	Vombatus_ursinus
ENSMODP00000039517	ENSMODG00000029014	Monodelphis_domestica
ENSSHAP00000015081	ENSSHAG00000012869	Sarcophilus_harrisii
ENSSPUP00000002245	ENSSPUG00000001750	Sphenodon_punctatus
ENSXETP00000054364	ENSXETG00000020346	Xenopus_tropicalis
ENSCMIP00000026450	ENSCMIG00000011586	Callorhinchus_milii
