ENSFDAP00000001090	ENSFDAG00000011157	Fukomys_damarensis
ENSTSYP00000003210	ENSTSYG00000030655	Carlito_syrichta
ENSNGAP00000006825	ENSNGAG00000010184	Nannospalax_galili
MGP_CAROLIEiJ_P0083717	MGP_CAROLIEiJ_G0030803	Mus_caroli_strain_CAROLI_EIJ
ENSIPUP00000017285	ENSIPUG00000011728	Ictalurus_punctatus
ENSCHIP00000010739	ENSCHIG00000013155	Capra_hircus
ENSORLP00000029692	ENSORLG00000025034	Oryzias_latipes_ASM223467v1
ENSSLDP00000027696	ENSSLDG00000021483	Seriola_lalandi_dorsalis
ENSATEP00000020887	ENSATEG00000014551	Anabas_testudineus
ENSEEUP00000004282	ENSEEUG00000004733	Erinaceus_europaeus
ENSBIXP00005022770	ENSBIXG00005004360	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNVIP00000003040	ENSNVIG00000002433	Neovison_vison
ENSOANP00000005421	ENSOANG00000003420	Ornithorhynchus_anatinus
ENSLSDP00000008654	ENSLSDG00000006462	Lonchura_striata_domestica
ENSCSAP00000008501	ENSCSAG00000012310	Chlorocebus_sabaeus
ENSANAP00000033277	ENSANAG00000034313	Aotus_nancymaae
ENSPVIP00000012389	ENSPVIG00000009654	Pogona_vitticeps	ENSPVIT00000015584
ENSBTAP00000020624	ENSBTAG00000015521	Bos_taurus
ENSLCAP00010025601	ENSLCAG00010011968	Lates_calcarifer
ENSDARP00000142266	ENSDARG00000105394	Danio_rerio
ENSLBEP00000034262	ENSLBEG00000025776	Labrus_bergylta
ENSTBEP00000004301	ENSTBEG00000005016	Tupaia_belangeri
ENSCGRP00001017362	ENSCGRG00001017426	Cricetulus_griseus_CHOK1GS_HDv1
ENSHCOP00000023181	ENSHCOG00000011472	Hippocampus_comes
ENSACIP00000012655	ENSACIG00000009880	Amphilophus_citrinellus
ENSCANP00000023600	ENSCANG00000035207	Colobus_angolensis_palliatus
ENSAPEP00000026438	ENSAPEG00000018793	Amphiprion_percula
ENSLAFP00000020505	ENSLAFG00000031371	Loxodonta_africana
ENSHGLP00100005866	ENSHGLG00100004430	Heterocephalus_glaber_HetGla_1.0
ENSMMUP00000012026	ENSMMUG00000009174	Macaca_mulatta
ENSMUNP00000008525	ENSMUNG00000006761	Melopsittacus_undulatus	ENSMUNT00000009841
ENSPMEP00000016536	ENSPMEG00000019224	Poecilia_mexicana
ENSSTOP00000028613	ENSSTOG00000032476	Ictidomys_tridecemlineatus
ENSCAFP00020029182	ENSCAFG00020022803	Canis_lupus_dingo
ENSXCOP00000014298	ENSXCOG00000010839	Xiphophorus_couchianus
ENSPSMP00000008641	ENSPSMG00000006357	Prolemur_simus
ENSPSIP00000004938	ENSPSIG00000004613	Pelodiscus_sinensis
ENSTSYP00000015227	ENSTSYG00000026011	Carlito_syrichta
ENSGWIP00000001595	ENSGWIG00000000925	Gouania_willdenowi
ENSMUSP00000063554	ENSMUSG00000055760	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000005251	ENSMSIG00000004772	Mus_spicilegus
ENSTNIP00000003769	ENSTNIG00000000221	Tetraodon_nigroviridis
ENSMGAP00000007523	ENSMGAG00000007412	Meleagris_gallopavo
ENSRNOP00000037414	ENSRNOG00000027332	Rattus_norvegicus
ENSCSEP00000032809	ENSCSEG00000021066	Cynoglossus_semilaevis
ENSMFAP00000007504	ENSMFAG00000035412	Macaca_fascicularis
ENSODEP00000015225	ENSODEG00000011245	Octodon_degus
ENSMMMP00000018929	ENSMMMG00000016756	Marmota_marmota_marmota
ENSGWIP00000033613	ENSGWIG00000017329	Gouania_willdenowi
ENSFHEP00000021075	ENSFHEG00000023042	Fundulus_heteroclitus
ENSPFOP00000008819	ENSPFOG00000008882	Poecilia_formosa
ENSOMEP00000026144	ENSOMEG00000007793	Oryzias_melastigma
ENSCPBP00000025702	ENSCPBG00000018250	Chrysemys_picta_bellii
ENSMUGP00000021929	ENSMUGG00000018429	Meriones_unguiculatus
ENSSCAP00000000205	ENSSCAG00000000190	Serinus_canaria
ENSPTRP00000020351	ENSPTRG00000011852	Pan_troglodytes
ENSCPOP00000032301	ENSCPOG00000034454	Cavia_porcellus
ENSNLEP00000047834	ENSNLEG00000033616	Nomascus_leucogenys
ENSELUP00000038279	ENSELUG00000018114	Esox_lucius
ENSVURP00010002441	ENSVURG00010002001	Vombatus_ursinus
ENSDNOP00000007350	ENSDNOG00000009496	Dasypus_novemcinctus
ENSCPUP00000003972	ENSCPUG00000003000	Calidris_pugnax	ENSCPUT00000004832
ENSCCNP00000022572	ENSCCNG00000022191	Castor_canadensis
ENSPRNP00000013454	ENSPRNG00000007378	Parambassis_ranga
ENSPMAP00000005482	ENSPMAG00000005006	Petromyzon_marinus
ENSMZEP00005033532	ENSMZEG00005025053	Maylandia_zebra
ENSPREP00000008960	ENSPREG00000006140	Poecilia_reticulata
ENSLOCP00000019423	ENSLOCG00000015777	Lepisosteus_oculatus
ENSGGOP00000045103	ENSGGOG00000038177	Gorilla_gorilla
ENSBIXP00000013261	ENSBIXG00000018217	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFALP00000002455	ENSFALG00000002361	Ficedula_albicollis
ENSJJAP00000020715	ENSJJAG00000021310	Jaculus_jaculus
ENSPLAP00000008572	ENSPLAG00000011142	Poecilia_latipinna
ENSUPAP00010005265	ENSUPAG00010004269	Urocitellus_parryii
ENSSDAP00000006461	ENSSDAG00000005990	Spermophilus_dauricus
ENSNBRP00000028548	ENSNBRG00000021753	Neolamprologus_brichardi
ENSAOWP00000000919	ENSAOWG00000000682	Apteryx_owenii	ENSAOWT00000001046
ENSCPRP00005016075	ENSCPRG00005011238	Crocodylus_porosus
ENSXETP00000025210	ENSXETG00000003906	Xenopus_tropicalis
ENSBBBP00000009475	ENSBBBG00000017583	Bison_bison_bison
ENSP00000281950	ENSG00000152147	Homo_sapiens
ENSCJPP00005004472	ENSCJPG00005004418	Coturnix_japonica
ENSMPUP00000010358	ENSMPUG00000010434	Mustela_putorius_furo
ENSDORP00000024411	ENSDORG00000023512	Dipodomys_ordii
ENSECRP00000031261	ENSECRG00000021183	Erpetoichthys_calabaricus
ENSLCRP00005034218	ENSLCRG00005013429	Larimichthys_crocea
ENSOGAP00000009092	ENSOGAG00000010172	Otolemur_garnettii
ENSMICP00000017086	ENSMICG00000030665	Microcebus_murinus
ENSLACP00000004311	ENSLACG00000003835	Latimeria_chalumnae
ENSSDUP00000029621	ENSSDUG00000021356	Seriola_dumerili
ENSHHUP00000070907	ENSHHUG00000041679	Hucho_hucho
ENSACLP00000006519	ENSACLG00000004392	Astatotilapia_calliptera
ENSXMAP00000014210	ENSXMAG00000014191	Xiphophorus_maculatus
ENSOPRP00000010567	ENSOPRG00000011593	Ochotona_princeps
ENSBMUP00000007567	ENSBMUG00000005953	Bos_mutus
ENSACAP00000005985	ENSACAG00000006134	Anolis_carolinensis	ENSACAT00000006119
ENSMAMP00000025583	ENSMAMG00000017164	Mastacembelus_armatus
ENSMZEP00005020599	ENSMZEG00005015457	Maylandia_zebra
ENSCAPP00000014385	ENSCAPG00000014776	Cavia_aperea
ENSSHAP00000018647	ENSSHAG00000015830	Sarcophilus_harrisii
ENSCATP00000012660	ENSCATG00000030487	Cercocebus_atys
ENSZALP00000014973	ENSZALG00000012361	Zonotrichia_albicollis
ENSPPYP00000013938	ENSPPYG00000012479	Pongo_abelii
ENSMALP00000005627	ENSMALG00000004049	Monopterus_albus
ENSSFOP00015034379	ENSSFOG00015021904	Scleropages_formosus
