ENSMOCP00000004798	ENSMOCG00000004134	Microtus_ochrogaster
ENSPCAP00000012960	ENSPCAG00000013848	Procavia_capensis	ENSPCAT00000013866
ENSOPRP00000007770	ENSOPRG00000008485	Ochotona_princeps
ENSPCIP00000036325	ENSPCIG00000026810	Phascolarctos_cinereus
ENSVURP00010026394	ENSVURG00010020199	Vombatus_ursinus
ENSMEUP00000013121	ENSMEUG00000014366	Notamacropus_eugenii
ENSSHAP00000019774	ENSSHAG00000016785	Sarcophilus_harrisii
ENSMODP00000011684	ENSMODG00000009353	Monodelphis_domestica
ENSOANP00000024357	ENSOANG00000015475	Ornithorhynchus_anatinus
ENSAHAP00000001293	ENSAHAG00000001101	Apteryx_haastii
ENSARWP00000007975	ENSARWG00000005572	Apteryx_rowi
ENSAOWP00000018817	ENSAOWG00000012803	Apteryx_owenii
ENSDNVP00000006113	ENSDNVG00000004372	Dromaius_novaehollandiae
ENSNPEP00000014399	ENSNPEG00000010781	Nothoprocta_perdicaria
ENSCPGP00000013447	ENSCPGG00000009550	Calidris_pygmaea
ENSCPUP00000019261	ENSCPUG00000013270	Calidris_pugnax
ENSMUNP00000008946	ENSMUNG00000007026	Melopsittacus_undulatus
ENSLSDP00000025891	ENSLSDG00000018074	Lonchura_striata_domestica
ENSTGUP00000012090	ENSTGUG00000011725	Taeniopygia_guttata
ENSSCAP00000011422	ENSSCAG00000008506	Serinus_canaria
ENSZALP00000013997	ENSZALG00000011631	Zonotrichia_albicollis
ENSJHYP00000015264	ENSJHYG00000011743	Junco_hyemalis
ENSCCEP00000026970	ENSCCEG00000023601	Cyanistes_caeruleus
ENSPMJP00000023647	ENSPMJG00000017445	Parus_major
ENSFALP00000008851	ENSFALG00000008485	Ficedula_albicollis
ENSLCOP00000005143	ENSLCOG00000003791	Lepidothrix_coronata
ENSMVIP00005004142	ENSMVIG00005003151	Manacus_vitellinus
ENSGALP00000027532	ENSGALG00000017076	Gallus_gallus
ENSCJPP00005026176	ENSCJPG00005020417	Coturnix_japonica
ENSMGAP00000015996	ENSMGAG00000015082	Meleagris_gallopavo
ENSNMEP00000022634	ENSNMEG00000019352	Numida_meleagris
ENSABRP00000023827	ENSABRG00000020013	Anser_brachyrhynchus
ENSAPLP00000020260	ENSAPLG00000006024	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005016606	ENSCPRG00005011578	Crocodylus_porosus
ENSCABP00000010992	ENSCABG00000008108	Chelonoidis_abingdonii
ENSGAGP00000029878	ENSGAGG00000021571	Gopherus_agassizii
ENSCPBP00000028930	ENSCPBG00000020407	Chrysemys_picta_bellii
ENSPSIP00000010716	ENSPSIG00000009636	Pelodiscus_sinensis
ENSACAP00000004791	ENSACAG00000004903	Anolis_carolinensis
ENSPVIP00000028269	ENSPVIG00000020957	Pogona_vitticeps
ENSNSUP00000017485	ENSNSUG00000012842	Notechis_scutatus
ENSSMRP00000016800	ENSSMRG00000013095	Salvator_merianae
ENSSPUP00000017562	ENSSPUG00000013561	Sphenodon_punctatus
ENSXETP00000042031	ENSXETG00000017288	Xenopus_tropicalis
ENSLACP00000002988	ENSLACG00000002673	Latimeria_chalumnae
ENSSFOP00015007167	ENSSFOG00015004738	Scleropages_formosus
ENSPKIP00000038102	ENSPKIG00000016021	Paramormyrops_kingsleyae
ENSDCDP00000058776	ENSDCDG00000034029	Denticeps_clupeoides
ENSCHAP00000028826	ENSCHAG00000013769	Clupea_harengus
ENSAMXP00000008372	ENSAMXG00000008144	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005005922	ENSAMXG00005003545	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000010610	ENSPNAG00000016212	Pygocentrus_nattereri
ENSEEEP00000029763	ENSEEEG00000014258	Electrophorus_electricus
ENSIPUP00000015577	ENSIPUG00000010597	Ictalurus_punctatus
ENSDARP00000104344	ENSDARG00000077740	Danio_rerio
ENSMALP00000014156	ENSMALG00000009957	Monopterus_albus
ENSCSEP00000019717	ENSCSEG00000012588	Cynoglossus_semilaevis
ENSGWIP00000010885	ENSGWIG00000006388	Gouania_willdenowi
ENSLCAP00010051390	ENSLCAG00010023919	Lates_calcarifer
ENSSMAP00000006434	ENSSMAG00000003953	Scophthalmus_maximus
ENSSDUP00000020505	ENSSDUG00000014928	Seriola_dumerili
ENSSLDP00000029173	ENSSLDG00000022506	Seriola_lalandi_dorsalis
ENSMAMP00000022438	ENSMAMG00000015073	Mastacembelus_armatus
ENSATEP00000006388	ENSATEG00000004464	Anabas_testudineus
ENSMMOP00000014169	ENSMMOG00000010847	Mola_mola
ENSLBEP00000003565	ENSLBEG00000002724	Labrus_bergylta
ENSLCRP00005053783	ENSLCRG00005019942	Larimichthys_crocea
ENSCGOP00000054604	ENSCGOG00000023835	Cottoperca_gobio
ENSGACP00000027168	ENSGACG00000020549	Gasterosteus_aculeatus
ENSPNYP00000018667	ENSPNYG00000014091	Pundamilia_nyererei
ENSHBUP00000024561	ENSHBUG00000006074	Haplochromis_burtoni
ENSMZEP00005032985	ENSMZEG00005024591	Maylandia_zebra
ENSACLP00000005973	ENSACLG00000004005	Astatotilapia_calliptera
ENSNBRP00000018213	ENSNBRG00000014041	Neolamprologus_brichardi
ENSONIP00000015975	ENSONIG00000012691	Oreochromis_niloticus
ENSACIP00000030590	ENSACIG00000023657	Amphilophus_citrinellus
ENSPRNP00000033758	ENSPRNG00000016982	Parambassis_ranga
ENSXMAP00000008443	ENSXMAG00000008420	Xiphophorus_maculatus
ENSXCOP00000013188	ENSXCOG00000009996	Xiphophorus_couchianus
ENSGAFP00000031056	ENSGAFG00000020938	Gambusia_affinis
ENSPFOP00000012709	ENSPFOG00000012619	Poecilia_formosa
ENSPMEP00000013577	ENSPMEG00000015889	Poecilia_mexicana
ENSPLAP00000006353	ENSPLAG00000008445	Poecilia_latipinna
ENSPREP00000015531	ENSPREG00000010473	Poecilia_reticulata
ENSFHEP00000021478	ENSFHEG00000001241	Fundulus_heteroclitus
ENSCVAP00000011487	ENSCVAG00000013787	Cyprinodon_variegatus
ENSKMAP00000008639	ENSKMAG00000006489	Kryptolebias_marmoratus
ENSORLP00020030288	ENSORLG00020014712	Oryzias_latipes_ASM223471v1
ENSORLP00000004266	ENSORLG00000003432	Oryzias_latipes_ASM223467v1
ENSORLP00015034024	ENSORLG00015019751	Oryzias_latipes_ASM223469v1
ENSOMEP00000028624	ENSOMEG00000011808	Oryzias_melastigma
ENSAPEP00000027297	ENSAPEG00000019389	Amphiprion_percula
ENSAOCP00000005226	ENSAOCG00000008721	Amphiprion_ocellaris
ENSAPOP00000031597	ENSAPOG00000018959	Acanthochromis_polyacanthus
ENSSPAP00000015369	ENSSPAG00000011570	Stegastes_partitus
ENSTRUP00000051067	ENSTRUG00000017320	Takifugu_rubripes
ENSTNIP00000012804	ENSTNIG00000009912	Tetraodon_nigroviridis
ENSBSLP00000013744	ENSBSLG00000007233	Betta_splendens
ENSPMGP00000013564	ENSPMGG00000011128	Periophthalmus_magnuspinnatus
ENSGMOP00000020714	ENSGMOG00000019259	Gadus_morhua
ENSCHAP00000036729	ENSCHAG00000016929	Clupea_harengus
ENSDCDP00000053704	ENSDCDG00000031747	Denticeps_clupeoides
ENSAMXP00000033366	ENSAMXG00000031191	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005015551	ENSAMXG00005008210	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000002480	ENSPNAG00000008862	Pygocentrus_nattereri
ENSEEEP00000045081	ENSEEEG00000021244	Electrophorus_electricus
ENSIPUP00000019068	ENSIPUG00000012925	Ictalurus_punctatus
ENSDARP00000135386	ENSDARG00000073917	Danio_rerio
ENSACLP00000000670	ENSACLG00000000453	Astatotilapia_calliptera
ENSMZEP00005014813	ENSMZEG00005011147	Maylandia_zebra
ENSPNYP00000015711	ENSPNYG00000011883	Pundamilia_nyererei
ENSHBUP00000001266	ENSHBUG00000000810	Haplochromis_burtoni
ENSNBRP00000031140	ENSNBRG00000023653	Neolamprologus_brichardi
ENSONIP00000006923	ENSONIG00000005511	Oreochromis_niloticus
ENSACIP00000005789	ENSACIG00000004512	Amphilophus_citrinellus
ENSGWIP00000024777	ENSGWIG00000012696	Gouania_willdenowi
ENSPLAP00000011583	ENSPLAG00000014724	Poecilia_latipinna
ENSPFOP00000004164	ENSPFOG00000004130	Poecilia_formosa
ENSPREP00000017874	ENSPREG00000012082	Poecilia_reticulata
ENSPMEP00000021458	ENSPMEG00000001698	Poecilia_mexicana
ENSXCOP00000007074	ENSXCOG00000005465	Xiphophorus_couchianus
ENSXMAP00000006869	ENSXMAG00000006847	Xiphophorus_maculatus
ENSGAFP00000030801	ENSGAFG00000020759	Gambusia_affinis
ENSFHEP00000010476	ENSFHEG00000011829	Fundulus_heteroclitus
ENSCVAP00000026718	ENSCVAG00000012505	Cyprinodon_variegatus
ENSKMAP00000010775	ENSKMAG00000008045	Kryptolebias_marmoratus
ENSORLP00020011504	ENSORLG00020012443	Oryzias_latipes_ASM223471v1
ENSORLP00000004918	ENSORLG00000003936	Oryzias_latipes_ASM223467v1
ENSORLP00015031977	ENSORLG00015016532	Oryzias_latipes_ASM223469v1
ENSOMEP00000022812	ENSOMEG00000002580	Oryzias_melastigma
ENSCSEP00000011540	ENSCSEG00000007420	Cynoglossus_semilaevis
ENSBSLP00000027006	ENSBSLG00000013330	Betta_splendens
ENSLBEP00000002406	ENSLBEG00000001873	Labrus_bergylta
ENSMMOP00000020820	ENSMMOG00000015832	Mola_mola
ENSLCRP00005019419	ENSLCRG00005007815	Larimichthys_crocea
ENSGACP00000015158	ENSGACG00000011460	Gasterosteus_aculeatus
ENSSDUP00000015295	ENSSDUG00000011155	Seriola_dumerili
ENSSLDP00000006308	ENSSLDG00000005012	Seriola_lalandi_dorsalis
ENSLCAP00010029265	ENSLCAG00010013728	Lates_calcarifer
ENSSMAP00000010070	ENSSMAG00000006122	Scophthalmus_maximus
ENSCGOP00000020390	ENSCGOG00000009641	Cottoperca_gobio
ENSAOCP00000023101	ENSAOCG00000009042	Amphiprion_ocellaris
ENSAPEP00000013388	ENSAPEG00000009511	Amphiprion_percula
ENSAPOP00000003281	ENSAPOG00000004769	Acanthochromis_polyacanthus
ENSSPAP00000018063	ENSSPAG00000013629	Stegastes_partitus
ENSPRNP00000020408	ENSPRNG00000009378	Parambassis_ranga
ENSMALP00000026840	ENSMALG00000018610	Monopterus_albus
ENSMAMP00000015557	ENSMAMG00000010550	Mastacembelus_armatus
ENSATEP00000018750	ENSATEG00000013018	Anabas_testudineus
ENSTRUP00000011983	ENSTRUG00000005003	Takifugu_rubripes
ENSTNIP00000019353	ENSTNIG00000016259	Tetraodon_nigroviridis
ENSHCOP00000008728	ENSHCOG00000011069	Hippocampus_comes
ENSGMOP00000011459	ENSGMOG00000010699	Gadus_morhua
ENSHHUP00000062307	ENSHHUG00000036839	Hucho_hucho
ENSHHUP00000069650	ENSHHUG00000041010	Hucho_hucho
ENSELUP00000006453	ENSELUG00000007337	Esox_lucius
ENSPKIP00000013295	ENSPKIG00000000768	Paramormyrops_kingsleyae
ENSSFOP00015002653	ENSSFOG00015001743	Scleropages_formosus
ENSLOCP00000000461	ENSLOCG00000000422	Lepisosteus_oculatus
ENSECRP00000006053	ENSECRG00000004033	Erpetoichthys_calabaricus
ENSCMIP00000046870	ENSCMIG00000019246	Callorhinchus_milii
ENSEBUP00000003990	ENSEBUG00000002861	Eptatretus_burgeri	ENSEBUT00000004398
ENSPMAP00000004573	ENSPMAG00000004181	Petromyzon_marinus	ENSPMAT00000004592
ENSCSAVP00000007197	ENSCSAVG00000004303	Ciona_savignyi
ENSCINP00000023077	ENSCING00000012334	Ciona_intestinalis
FBpp0309830	FBgn0031765	Drosophila_melanogaster
ZC250.2.1	WBGene00022576	Caenorhabditis_elegans_strain_N2
