ENSMOCP00000006789	ENSMOCG00000006476	Microtus_ochrogaster
ENSSHAP00000017838	ENSSHAG00000015145	Sarcophilus_harrisii
ENSDNOP00000031074	ENSDNOG00000039251	Dasypus_novemcinctus
ENSSPUP00000002855	ENSSPUG00000002220	Sphenodon_punctatus	ENSSPUT00000003028
ENSJHYP00000004371	ENSJHYG00000003621	Junco_hyemalis
ENSRNOP00000070337	ENSRNOG00000019222	Rattus_norvegicus
ENSPANP00000006558	ENSPANG00000007195	Papio_anubis
ENSPKIP00000027276	ENSPKIG00000009395	Paramormyrops_kingsleyae
ENSSFOP00015012020	ENSSFOG00015007745	Scleropages_formosus
ENSPCIP00000020523	ENSPCIG00000015609	Phascolarctos_cinereus
ENSELUP00000021806	ENSELUG00000020821	Esox_lucius
ENSP00000364519	ENSG00000198176	Homo_sapiens
ENSUAMP00000007566	ENSUAMG00000006541	Ursus_americanus
ENSBIXP00000036394	ENSBIXG00000019870	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSZALP00000007819	ENSZALG00000006892	Zonotrichia_albicollis
ENSNLEP00000046336	ENSNLEG00000030566	Nomascus_leucogenys
ENSTGEP00000020174	ENSTGEG00000016227	Theropithecus_gelada
ENSECRP00000002639	ENSECRG00000001780	Erpetoichthys_calabaricus
ENSCATP00000040163	ENSCATG00000042658	Cercocebus_atys
ENSPTRP00000065877	ENSPTRG00000050278	Pan_troglodytes
ENSCSAP00000019055	ENSCSAG00000019556	Chlorocebus_sabaeus
ENSPTEP00000001998	ENSPTEG00000002294	Piliocolobus_tephrosceles
ENSDARP00000022294	ENSDARG00000016304	Danio_rerio
ENSCPOP00000012143	ENSCPOG00000013486	Cavia_porcellus
ENSAOCP00000012070	ENSAOCG00000016489	Amphiprion_ocellaris
ENSLCAP00010050345	ENSLCAG00010023480	Lates_calcarifer
ENSCAPP00000012301	ENSCAPG00000013184	Cavia_aperea
ENSBMUP00000031901	ENSBMUG00000023783	Bos_mutus
ENSMAMP00000024383	ENSMAMG00000016403	Mastacembelus_armatus
ENSCPUP00000009348	ENSCPUG00000006655	Calidris_pugnax	ENSCPUT00000011160
ENSTRUP00000033271	ENSTRUG00000013098	Takifugu_rubripes
ENSMFAP00000021418	ENSMFAG00000035619	Macaca_fascicularis
ENSTSYP00000020146	ENSTSYG00000032559	Carlito_syrichta
ENSAPOP00000025441	ENSAPOG00000008568	Acanthochromis_polyacanthus
ENSETEP00000001758	ENSETEG00000002168	Echinops_telfairi
ENSSLDP00000023672	ENSSLDG00000018465	Seriola_lalandi_dorsalis
ENSXMAP00000011702	ENSXMAG00000011667	Xiphophorus_maculatus
ENSSCAP00000005559	ENSSCAG00000004434	Serinus_canaria
ENSAPEP00000010292	ENSAPEG00000007359	Amphiprion_percula
ENSPNYP00000019286	ENSPNYG00000014583	Pundamilia_nyererei
ENSSSCP00000033761	ENSSSCG00000009560	Sus_scrofa_strain_reference
ENSACAP00000000469	ENSACAG00000000428	Anolis_carolinensis	ENSACAT00000000487
ENSRBIP00000000704	ENSRBIG00000003731	Rhinopithecus_bieti
ENSTGEP00000002576	ENSTGEG00000002248	Theropithecus_gelada
ENSMODP00000004575	ENSMODG00000003737	Monodelphis_domestica
ENSSBOP00000027209	ENSSBOG00000030012	Saimiri_boliviensis_boliviensis
ENSEBUP00000002280	ENSEBUG00000001790	Eptatretus_burgeri
ENSPLAP00000016225	ENSPLAG00000020307	Poecilia_latipinna
ENSCHAP00000011414	ENSCHAG00000006378	Clupea_harengus
ENSCGRP00015029016	ENSCGRG00015021936	Cricetulus_griseus_CriGri-PICR
ENSLACP00000012618	ENSLACG00000011116	Latimeria_chalumnae
ENSSMRP00000001540	ENSSMRG00000001345	Salvator_merianae	ENSSMRT00000001845
ENSMLEP00000012198	ENSMLEG00000030254	Mandrillus_leucophaeus
ENSCCEP00000000429	ENSCCEG00000000559	Cyanistes_caeruleus
ENSPTRP00000082566	ENSPTRG00000048704	Pan_troglodytes
ENSCLAP00000004979	ENSCLAG00000003535	Chinchilla_lanigera
ENSXETP00000004294	ENSXETG00000003985	Xenopus_tropicalis
ENSLSDP00000012616	ENSLSDG00000009210	Lonchura_striata_domestica
ENSPREP00000014099	ENSPREG00000009556	Poecilia_reticulata
ENSLOCP00000012105	ENSLOCG00000009902	Lepisosteus_oculatus
ENSKMAP00000000828	ENSKMAG00000000634	Kryptolebias_marmoratus
ENSIPUP00000035033	ENSIPUG00000023520	Ictalurus_punctatus
ENSGACP00000004070	ENSGACG00000003108	Gasterosteus_aculeatus
ENSCCNP00000008692	ENSCCNG00000009163	Castor_canadensis
ENSAMXP00005036227	ENSAMXG00005017301	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCMIP00000033734	ENSCMIG00000014387	Callorhinchus_milii
ENSTGUP00000009580	ENSTGUG00000009272	Taeniopygia_guttata
ENSPANP00000010444	ENSPANG00000003362	Papio_anubis
ENSMFAP00000015144	ENSMFAG00000030790	Macaca_fascicularis
ENSMICP00000019285	ENSMICG00000036011	Microcebus_murinus
ENSVURP00010000961	ENSVURG00010000833	Vombatus_ursinus
ENSMPUP00000009624	ENSMPUG00000009700	Mustela_putorius_furo
ENSLBEP00000002398	ENSLBEG00000001874	Labrus_bergylta
ENSMVIP00005024331	ENSMVIG00005017080	Manacus_vitellinus
ENSPPYP00000023517	ENSPPYG00000025889	Pongo_abelii
ENSPNAP00000013533	ENSPNAG00000019436	Pygocentrus_nattereri
ENSDARP00000072266	ENSDARG00000019293	Danio_rerio
ENSPANP00000023129	ENSPANG00000034107	Papio_anubis
ENSDCDP00000037074	ENSDCDG00000024668	Denticeps_clupeoides
ENSCHOP00000003957	ENSCHOG00000004467	Choloepus_hoffmanni
ENSELUP00000025528	ENSELUG00000001013	Esox_lucius
ENSTTRP00000004402	ENSTTRG00000004674	Tursiops_truncatus
ENSOGAP00000003147	ENSOGAG00000003532	Otolemur_garnettii
ENSFALP00000003460	ENSFALG00000003322	Ficedula_albicollis
ENSMSIP00000005496	ENSMSIG00000004978	Mus_spicilegus
ENSMUSP00000147881	ENSMUSG00000038482	Mus_musculus_strain_reference_(CL57BL6)
ENSNSUP00000025862	ENSNSUG00000018592	Notechis_scutatus	ENSNSUT00000027482
ENSBSLP00000026938	ENSBSLG00000013519	Betta_splendens
ENSAMXP00005052845	ENSAMXG00005023749	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCCAP00000016332	ENSCCAG00000025955	Cebus_capucinus_imitator
ENSGGOP00000050067	ENSGGOG00000038692	Gorilla_gorilla
ENSRROP00000013996	ENSRROG00000031221	Rhinopithecus_roxellana
ENSNLEP00000000995	ENSNLEG00000000849	Nomascus_leucogenys
ENSMMMP00000016195	ENSMMMG00000014381	Marmota_marmota_marmota
ENSCANP00000026743	ENSCANG00000036799	Colobus_angolensis_palliatus
ENSCAFP00020020124	ENSCAFG00020015970	Canis_lupus_dingo
ENSSFOP00015000536	ENSSFOG00015000387	Scleropages_formosus
ENSPMJP00000015298	ENSPMJG00000011600	Parus_major
ENSCATP00000003394	ENSCATG00000013263	Cercocebus_atys
ENSAHAP00000021617	ENSAHAG00000015205	Apteryx_haastii
ENSAMXP00000016686	ENSAMXG00000016202	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMMUP00000009738	ENSMMUG00000007423	Macaca_mulatta
ENSORLP00000015817	ENSORLG00000012628	Oryzias_latipes_ASM223467v1
ENSCATP00000024763	ENSCATG00000035890	Cercocebus_atys
ENSEASP00005032093	ENSEASG00005021904	Equus_asinus_asinus
ENSNBRP00000005420	ENSNBRG00000004270	Neolamprologus_brichardi
ENSCPRP00005023455	ENSCPRG00005016290	Crocodylus_porosus
ENSABRP00000014907	ENSABRG00000013136	Anser_brachyrhynchus
ENSMLEP00000016498	ENSMLEG00000032439	Mandrillus_leucophaeus
MGP_SPRETEiJ_P0087262	MGP_SPRETEiJ_G0031949	Mus_spretus_strain_SPRET/EiJ
ENSPPAP00000039706	ENSPPAG00000042539	Pan_paniscus
ENSNVIP00000000036	ENSNVIG00000000051	Neovison_vison
ENSPVAP00000012650	ENSPVAG00000013413	Pteropus_vampyrus
ENSSMAP00000032054	ENSSMAG00000019629	Scophthalmus_maximus
ENSFHEP00000012430	ENSFHEG00000013896	Fundulus_heteroclitus
ENSGALP00000027109	ENSGALG00000016823	Gallus_gallus
ENSHCOP00000019050	ENSHCOG00000004113	Hippocampus_comes
ENSSDAP00000019343	ENSSDAG00000017582	Spermophilus_dauricus
ENSMAUP00000009243	ENSMAUG00000010456	Mesocricetus_auratus
ENSDNVP00000007083	ENSDNVG00000005070	Dromaius_novaehollandiae
ENSXCOP00000025257	ENSXCOG00000018861	Xiphophorus_couchianus
ENSGAFP00000031549	ENSGAFG00000021259	Gambusia_affinis
ENSDORP00000001549	ENSDORG00000001657	Dipodomys_ordii
ENSAMEP00000004931	ENSAMEG00000004645	Ailuropoda_melanoleuca
