ENSPLAP00000006035	ENSPLAG00000008106	Poecilia_latipinna
ENSOARP00000002525	ENSOARG00000002379	Ovis_aries
ENSBSLP00000003528	ENSBSLG00000001936	Betta_splendens
ENSOPRP00000006762	ENSOPRG00000007386	Ochotona_princeps
ENSMICP00000043887	ENSMICG00000017584	Microcebus_murinus
ENSPTRP00000082269	ENSPTRG00000020195	Pan_troglodytes
ENSDNVP00000004541	ENSDNVG00000003228	Dromaius_novaehollandiae
ENSOMEP00000027624	ENSOMEG00000010210	Oryzias_melastigma
ENSPMGP00000026818	ENSPMGG00000021647	Periophthalmus_magnuspinnatus
ENSMPUP00000005766	ENSMPUG00000005813	Mustela_putorius_furo
ENSHHUP00000014356	ENSHHUG00000008895	Hucho_hucho
ENSCSAVP00000000988	ENSCSAVG00000000555	Ciona_savignyi
ENSAPLP00000020652	ENSAPLG00000018162	Anas_platyrhynchos_platyrhynchos
ENSDORP00000014046	ENSDORG00000014928	Dipodomys_ordii
ENSPREP00000011305	ENSPREG00000007707	Poecilia_reticulata
ENSEBUP00000001233	ENSEBUG00000001127	Eptatretus_burgeri
ENSMMUP00000011968	ENSMMUG00000009123	Macaca_mulatta
ENSSPAP00000031096	ENSSPAG00000023314	Stegastes_partitus
ENSPVIP00000027095	ENSPVIG00000020164	Pogona_vitticeps	ENSPVIT00000033325
ENSSMAP00000010121	ENSSMAG00000006219	Scophthalmus_maximus
ENSTSYP00000004725	ENSTSYG00000005186	Carlito_syrichta
ENSSCAP00000023725	ENSSCAG00000016978	Serinus_canaria
ENSCJPP00005018716	ENSCJPG00005015223	Coturnix_japonica
ENSACLP00000014962	ENSACLG00000010189	Astatotilapia_calliptera
ENSMZEP00005015193	ENSMZEG00005011399	Maylandia_zebra
ENSOANP00000010462	ENSOANG00000006555	Ornithorhynchus_anatinus
ENSFHEP00000033263	ENSFHEG00000020287	Fundulus_heteroclitus
ENSVURP00010012695	ENSVURG00010009794	Vombatus_ursinus
ENSUMAP00000035576	ENSUMAG00000025575	Ursus_maritimus
ENSCANP00000038741	ENSCANG00000043052	Colobus_angolensis_palliatus
ENSPSIP00000004945	ENSPSIG00000004621	Pelodiscus_sinensis
ENSNGAP00000004098	ENSNGAG00000005157	Nannospalax_galili
ENSPMEP00000001663	ENSPMEG00000002624	Poecilia_mexicana
ENSPMJP00000024424	ENSPMJG00000017968	Parus_major
ENSTNIP00000009039	ENSTNIG00000006279	Tetraodon_nigroviridis
ENSATEP00000033530	ENSATEG00000023090	Anabas_testudineus
ENSXETP00000041487	ENSXETG00000002355	Xenopus_tropicalis
ENSPCOP00000027609	ENSPCOG00000026337	Propithecus_coquereli
ENSCCEP00000007566	ENSCCEG00000007937	Cyanistes_caeruleus
ENSPCAP00000001630	ENSPCAG00000001760	Procavia_capensis
ENSOGAP00000003294	ENSOGAG00000003708	Otolemur_garnettii
YDR489W_mRNA	YDR489W	Saccharomyces_cerevisiae_strain_S288C
ENSAPEP00000019198	ENSAPEG00000013685	Amphiprion_percula
ENSBIXP00000003904	ENSBIXG00000000544	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPBP00000003481	ENSCPBG00000002820	Chrysemys_picta_bellii
ENSARWP00000024922	ENSARWG00000016979	Apteryx_rowi
ENSBTAP00000022773	ENSBTAG00000017133	Bos_taurus
ENSCJAP00000020357	ENSCJAG00000011026	Callithrix_jacchus
ENSSSCP00000054488	ENSSSCG00000037513	Sus_scrofa_strain_reference
ENSSMRP00000024770	ENSSMRG00000019149	Salvator_merianae	ENSSMRT00000029008
ENSCAFP00000008567	ENSCAFG00000005728	Canis_lupus_familiaris
ENSSLDP00000012210	ENSSLDG00000009702	Seriola_lalandi_dorsalis
ENSPRNP00000007919	ENSPRNG00000004705	Parambassis_ranga
ENSGAFP00000015250	ENSGAFG00000010300	Gambusia_affinis
ENSAOWP00000005476	ENSAOWG00000003752	Apteryx_owenii
ENSUAMP00000022120	ENSUAMG00000017405	Ursus_americanus
ENSCMIP00000039963	ENSCMIG00000016715	Callorhinchus_milii
ENSABRP00000002105	ENSABRG00000002105	Anser_brachyrhynchus
ENSMUNP00000013084	ENSMUNG00000010217	Melopsittacus_undulatus
ENSOCUP00000005333	ENSOCUG00000006154	Oryctolagus_cuniculus
ENSPVAP00000014107	ENSPVAG00000014964	Pteropus_vampyrus
ENSDARP00000151126	ENSDARG00000016044	Danio_rerio
ENSORLP00000014554	ENSORLG00000011612	Oryzias_latipes_ASM223467v1
ENSODEP00000008351	ENSODEG00000006226	Octodon_degus
ENSORLP00020024293	ENSORLG00020005626	Oryzias_latipes_ASM223471v1
ENSECRP00000000509	ENSECRG00000000302	Erpetoichthys_calabaricus
ENSMVIP00005027357	ENSMVIG00005019075	Manacus_vitellinus
ENSDCDP00000008635	ENSDCDG00000004390	Denticeps_clupeoides
ENSTTRP00000003336	ENSTTRG00000003559	Tursiops_truncatus
ENSAMXP00005001801	ENSAMXG00005001008	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAHAP00000013134	ENSAHAG00000009429	Apteryx_haastii
ENSPSMP00000025484	ENSPSMG00000017905	Prolemur_simus
ENSMALP00000003939	ENSMALG00000002879	Monopterus_albus
ENSLOCP00000019821	ENSLOCG00000016089	Lepisosteus_oculatus
ENSCATP00000039655	ENSCATG00000042428	Cercocebus_atys
ENSNPEP00000009553	ENSNPEG00000007164	Nothoprocta_perdicaria
ENSTRUP00000007224	ENSTRUG00000003094	Takifugu_rubripes
ENSMLUP00000015876	ENSMLUG00000017409	Myotis_lucifugus
ENSPPYP00000020791	ENSPPYG00000018543	Pongo_abelii
ENSHCOP00000017993	ENSHCOG00000002215	Hippocampus_comes
ENSSDAP00000017866	ENSSDAG00000016279	Spermophilus_dauricus
ENSCABP00000018879	ENSCABG00000013947	Chelonoidis_abingdonii
ENSNLEP00000015287	ENSNLEG00000012593	Nomascus_leucogenys
ENSMOCP00000006047	ENSMOCG00000005614	Microtus_ochrogaster
ENSCSEP00000012599	ENSCSEG00000008143	Cynoglossus_semilaevis
ENSCPOP00000022603	ENSCPOG00000009211	Cavia_porcellus
ENSBBBP00000003709	ENSBBBG00000012743	Bison_bison_bison
ENSHGLP00100023196	ENSHGLG00100017044	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00000010276	ENSCGRG00000007520	Cricetulus_griseus_CriGri_1.0
ENSGACP00000014761	ENSGACG00000011159	Gasterosteus_aculeatus
ENSRNOP00000024301	ENSRNOG00000018040	Rattus_norvegicus
ENSEEEP00000026009	ENSEEEG00000012599	Electrophorus_electricus
ENSMSIP00000004341	ENSMSIG00000003953	Mus_spicilegus
ENSGMOP00000001945	ENSGMOG00000001837	Gadus_morhua
ENSTGUP00000005349	ENSTGUG00000005195	Taeniopygia_guttata
MGP_PahariEiJ_P0046880	MGP_PahariEiJ_G0021377	Mus_pahari_strain_PAHARI_EIJ
ENSACAP00000000587	ENSACAG00000000651	Anolis_carolinensis	ENSACAT00000000606
ENSCINP00000023013	ENSCING00000012292	Ciona_intestinalis
ENSCAPP00000013320	ENSCAPG00000013967	Cavia_aperea
ENSCCNP00000030646	ENSCCNG00000029297	Castor_canadensis
ENSJJAP00000011810	ENSJJAG00000015028	Jaculus_jaculus
ENSNBRP00000024890	ENSNBRG00000019037	Neolamprologus_brichardi
ENSUPAP00010028844	ENSUPAG00010022754	Urocitellus_parryii
ENSNMEP00000023221	ENSNMEG00000019821	Numida_meleagris
ENSXMAP00000024251	ENSXMAG00000001879	Xiphophorus_maculatus
ENSDNOP00000009293	ENSDNOG00000011987	Dasypus_novemcinctus
ENSHGLP00000024652	ENSHGLG00000017577	Heterocephalus_glaber_HetGla_female_1.0
ENSNVIP00000012206	ENSNVIG00000009700	Neovison_vison
ENSCVAP00000017603	ENSCVAG00000020726	Cyprinodon_variegatus
ENSACIP00000022876	ENSACIG00000017810	Amphilophus_citrinellus
ENSELUP00000017159	ENSELUG00000016924	Esox_lucius
ENSEASP00005014948	ENSEASG00005010454	Equus_asinus_asinus
ENSLCAP00010059028	ENSLCAG00010027523	Lates_calcarifer
ENSGAGP00000036009	ENSGAGG00000025529	Gopherus_agassizii
ENSLAFP00000013624	ENSLAFG00000016236	Loxodonta_africana
MGP_CAROLIEiJ_P0083977	MGP_CAROLIEiJ_G0030907	Mus_caroli_strain_CAROLI_EIJ
ENSPANP00000018584	ENSPANG00000011023	Papio_anubis
ENSAMEP00000002872	ENSAMEG00000002731	Ailuropoda_melanoleuca
ENSCSAP00000011193	ENSCSAG00000015091	Chlorocebus_sabaeus
ENSPEMP00000012475	ENSPEMG00000012800	Peromyscus_maniculatus_bairdii
ENSLBEP00000004387	ENSLBEG00000003355	Labrus_bergylta
ENSMNEP00000019699	ENSMNEG00000033693	Macaca_nemestrina
ENSMEUP00000014699	ENSMEUG00000016084	Notamacropus_eugenii
ENSCAFP00020003208	ENSCAFG00020002728	Canis_lupus_dingo
ENSCGRP00001016355	ENSCGRG00001016717	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTIP00000020873	ENSPTIG00000018199	Panthera_tigris_altaica
ENSMLEP00000009703	ENSMLEG00000029021	Mandrillus_leucophaeus
ENSAPOP00000027600	ENSAPOG00000012260	Acanthochromis_polyacanthus
ENSPPRP00000016484	ENSPPRG00000008753	Panthera_pardus
ENSFCAP00000012009	ENSFCAG00000018740	Felis_catus
ENSCHAP00000020904	ENSCHAG00000010559	Clupea_harengus
ENSSARP00000007382	ENSSARG00000008175	Sorex_araneus
ENSPSMP00000028153	ENSPSMG00000019608	Prolemur_simus
ENSPNYP00000021759	ENSPNYG00000016367	Pundamilia_nyererei
ENSPFOP00000012782	ENSPFOG00000012764	Poecilia_formosa
ENSPPAP00000003582	ENSPPAG00000015017	Pan_paniscus
