ENSVPAP00000004685	ENSVPAG00000005052	Vicugna_pacos
ENSCGRP00015014293	ENSCGRG00015010964	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000037029	ENSPEMG00000005543	Peromyscus_maniculatus_bairdii
ENSRNOP00000071995	ENSRNOG00000024616	Rattus_norvegicus
ENSNGAP00000023966	ENSNGAG00000022367	Nannospalax_galili
ENSCCNP00000018031	ENSCCNG00000018341	Castor_canadensis
ENSOCUP00000023306	ENSOCUG00000021916	Oryctolagus_cuniculus
ENSFDAP00000001182	ENSFDAG00000011234	Fukomys_damarensis	ENSFDAT00000015196
ENSCLAP00000004266	ENSCLAG00000003036	Chinchilla_lanigera	ENSCLAT00000004348
ENSSDAP00000023873	ENSSDAG00000021749	Spermophilus_dauricus	ENSSDAT00000027319
ENSNGAP00000006994	ENSNGAG00000010352	Nannospalax_galili	ENSNGAT00000012439
ENSTSYP00000015315	ENSTSYG00000031710	Carlito_syrichta	ENSTSYT00000039482
ENSBMUP00000000199	ENSBMUG00000000211	Bos_mutus	ENSBMUT00000000261
ENSRBIP00000022468	ENSRBIG00000035188	Rhinopithecus_bieti	ENSRBIT00000046359
ENSPCAP00000001591	ENSPCAG00000001710	Procavia_capensis
ENSETEP00000009303	ENSETEG00000011466	Echinops_telfairi
ENSLAFP00000016431	ENSLAFG00000022080	Loxodonta_africana
ENSDNOP00000008481	ENSDNOG00000010944	Dasypus_novemcinctus	ENSDNOT00000010934
ENSVURP00010029768	ENSVURG00010022744	Vombatus_ursinus
ENSVURP00010029764	ENSVURG00010022741	Vombatus_ursinus
ENSPCIP00000000153	ENSPCIG00000000142	Phascolarctos_cinereus
ENSMEUP00000014550	ENSMEUG00000015933	Notamacropus_eugenii
ENSSHAP00000011660	ENSSHAG00000010016	Sarcophilus_harrisii
ENSMODP00000005504	ENSMODG00000004468	Monodelphis_domestica
ENSVURP00010029781	ENSVURG00010022754	Vombatus_ursinus
ENSVURP00010029773	ENSVURG00010022750	Vombatus_ursinus
ENSSMRP00000001642	ENSSMRG00000001430	Salvator_merianae
ENSSPUP00000001364	ENSSPUG00000001073	Sphenodon_punctatus
ENSPSIP00000007791	ENSPSIG00000007123	Pelodiscus_sinensis
ENSCHAP00000037718	ENSCHAG00000017728	Clupea_harengus
ENSIPUP00000006225	ENSIPUG00000004321	Ictalurus_punctatus
ENSPKIP00000040345	ENSPKIG00000017348	Paramormyrops_kingsleyae
ENSHBUP00000019373	ENSHBUG00000000664	Haplochromis_burtoni
