ENSPMAP00000003124	ENSPMAG00000002864	Petromyzon_marinus	ENSPMAT00000003139
ENSPMAP00000000956	ENSPMAG00000000862	Petromyzon_marinus	ENSPMAT00000000960
ENSEBUP00000002495	ENSEBUG00000001846	Eptatretus_burgeri	ENSEBUT00000002849
ENSPMGP00000014725	ENSPMGG00000012065	Periophthalmus_magnuspinnatus
ENSORLP00020035219	ENSORLG00020022061	Oryzias_latipes_ASM223471v1
ENSORLP00000023103	ENSORLG00000018466	Oryzias_latipes_ASM223467v1	ENSORLT00000023104
ENSOMEP00000029387	ENSOMEG00000013012	Oryzias_melastigma
ENSSPAP00000000239	ENSSPAG00000000218	Stegastes_partitus
ENSGWIP00000008470	ENSGWIG00000005015	Gouania_willdenowi	ENSGWIT00000009460
ENSACLP00000017829	ENSACLG00000012142	Astatotilapia_calliptera
ENSMZEP00005010290	ENSMZEG00005007770	Maylandia_zebra
ENSHBUP00000015016	ENSHBUG00000016918	Haplochromis_burtoni
ENSPNYP00000025150	ENSPNYG00000018834	Pundamilia_nyererei
ENSONIP00000010160	ENSONIG00000008066	Oreochromis_niloticus
ENSACIP00000031665	ENSACIG00000024461	Amphilophus_citrinellus
ENSHHUP00000071824	ENSHHUG00000042137	Hucho_hucho
ENSHHUP00000086753	ENSHHUG00000050170	Hucho_hucho
ENSELUP00000024024	ENSELUG00000022882	Esox_lucius
ENSDARP00000008048	ENSDARG00000016979	Danio_rerio
ENSCHAP00000056665	ENSCHAG00000025348	Clupea_harengus
ENSDCDP00000063869	ENSDCDG00000035905	Denticeps_clupeoides
ENSEEEP00000046937	ENSEEEG00000021722	Electrophorus_electricus
ENSIPUP00000023873	ENSIPUG00000016136	Ictalurus_punctatus
ENSAMXP00000007406	ENSAMXG00000007214	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005036799	ENSAMXG00005016290	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011532	ENSPNAG00000017229	Pygocentrus_nattereri
ENSGMOP00000003638	ENSGMOG00000003425	Gadus_morhua
ENSPKIP00000022763	ENSPKIG00000006647	Paramormyrops_kingsleyae
ENSSFOP00015005004	ENSSFOG00015003274	Scleropages_formosus
ENSLOCP00000019681	ENSLOCG00000015984	Lepisosteus_oculatus
ENSECRP00000005736	ENSECRG00000003660	Erpetoichthys_calabaricus
ENSPVIP00000033097	ENSPVIG00000024229	Pogona_vitticeps
ENSACAP00000006389	ENSACAG00000006504	Anolis_carolinensis
ENSNSUP00000003315	ENSNSUG00000002695	Notechis_scutatus
ENSSMRP00000020200	ENSSMRG00000015727	Salvator_merianae
ENSSPUP00000015158	ENSSPUG00000011710	Sphenodon_punctatus
ENSDNVP00000003086	ENSDNVG00000002192	Dromaius_novaehollandiae
ENSNPEP00000021776	ENSNPEG00000016145	Nothoprocta_perdicaria
ENSAHAP00000024028	ENSAHAG00000016781	Apteryx_haastii
ENSARWP00000012076	ENSARWG00000008334	Apteryx_rowi
ENSAOWP00000011738	ENSAOWG00000008062	Apteryx_owenii
ENSABRP00000002193	ENSABRG00000002151	Anser_brachyrhynchus
ENSAPLP00000029795	ENSAPLG00000012048	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000003571	ENSNMEG00000003814	Numida_meleagris
ENSCJPP00005005628	ENSCJPG00005005354	Coturnix_japonica
ENSMUNP00000021176	ENSMUNG00000016035	Melopsittacus_undulatus
ENSGALP00000013458	ENSGALG00000008280	Gallus_gallus
ENSMGAP00000006241	ENSMGAG00000006213	Meleagris_gallopavo
ENSTGUP00000002869	ENSTGUG00000002778	Taeniopygia_guttata
ENSLSDP00000017454	ENSLSDG00000012508	Lonchura_striata_domestica
ENSSCAP00000010287	ENSSCAG00000007698	Serinus_canaria
ENSPMJP00000004241	ENSPMJG00000003662	Parus_major
ENSCCEP00000011146	ENSCCEG00000010954	Cyanistes_caeruleus
ENSFALP00000010855	ENSFALG00000010410	Ficedula_albicollis
ENSJHYP00000012629	ENSJHYG00000009846	Junco_hyemalis
ENSZALP00000015716	ENSZALG00000012849	Zonotrichia_albicollis
ENSLCOP00000012564	ENSLCOG00000009091	Lepidothrix_coronata
ENSMVIP00005010133	ENSMVIG00005007337	Manacus_vitellinus
ENSCPGP00000005499	ENSCPGG00000003972	Calidris_pygmaea
ENSCPUP00000020564	ENSCPUG00000014083	Calidris_pugnax
ENSCPRP00005021023	ENSCPRG00005014641	Crocodylus_porosus
ENSGAGP00000017557	ENSGAGG00000013037	Gopherus_agassizii
ENSCABP00000017420	ENSCABG00000011989	Chelonoidis_abingdonii
ENSCPBP00000020800	ENSCPBG00000014936	Chrysemys_picta_bellii
ENSPSIP00000013565	ENSPSIG00000012190	Pelodiscus_sinensis
ENSPCIP00000021780	ENSPCIG00000016502	Phascolarctos_cinereus
ENSMEUP00000008996	ENSMEUG00000009862	Notamacropus_eugenii
ENSVURP00010016068	ENSVURG00010012308	Vombatus_ursinus
ENSSHAP00000001166	ENSSHAG00000001041	Sarcophilus_harrisii
ENSMODP00000021485	ENSMODG00000017224	Monodelphis_domestica
ENSSTOP00000004628	ENSSTOG00000005143	Ictidomys_tridecemlineatus
ENSSDAP00000011193	ENSSDAG00000010115	Spermophilus_dauricus
ENSMMMP00000019407	ENSMMMG00000017148	Marmota_marmota_marmota
ENSUPAP00010004132	ENSUPAG00010003374	Urocitellus_parryii
ENSCCNP00000000298	ENSCCNG00000000357	Castor_canadensis
ENSHGLP00100022976	ENSHGLG00100016899	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021426	ENSHGLG00000015307	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014225	ENSFDAG00000001328	Fukomys_damarensis
ENSCPOP00000007291	ENSCPOG00000008108	Cavia_porcellus
ENSCAPP00000006642	ENSCAPG00000008762	Cavia_aperea
ENSCLAP00000010440	ENSCLAG00000007214	Chinchilla_lanigera
MGP_SPRETEiJ_P0069430	MGP_SPRETEiJ_G0027986	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000027747	ENSMSIG00000023391	Mus_spicilegus
ENSMUSP00000030882	ENSMUSG00000029017	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0066816	MGP_CAROLIEiJ_G0026991	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048259	MGP_PahariEiJ_G0021762	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017017	ENSRNOG00000012693	Rattus_norvegicus
ENSMUGP00000003102	ENSMUGG00000002843	Meriones_unguiculatus
ENSCGRP00015011893	ENSCGRG00015009119	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012477	ENSCGRG00001013879	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000023685	ENSCGRG00000017158	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000027599	ENSPEMG00000023365	Peromyscus_maniculatus_bairdii
ENSOPRP00000005351	ENSOPRG00000005827	Ochotona_princeps
ENSTBEP00000011481	ENSTBEG00000013236	Tupaia_belangeri
ENSPTEP00000003943	ENSPTEG00000004676	Piliocolobus_tephrosceles
ENSRBIP00000022849	ENSRBIG00000035355	Rhinopithecus_bieti
ENSTGEP00000011886	ENSTGEG00000009688	Theropithecus_gelada
ENSPANP00000005417	ENSPANG00000011795	Papio_anubis
ENSCATP00000037187	ENSCATG00000041339	Cercocebus_atys
ENSMFAP00000003152	ENSMFAG00000040307	Macaca_fascicularis
ENSMNEP00000006598	ENSMNEG00000027584	Macaca_nemestrina
ENSMMUP00000067377	ENSMMUG00000003429	Macaca_mulatta
ENSCSAP00000007945	ENSCSAG00000011744	Chlorocebus_sabaeus
ENSPTRP00000047720	ENSPTRG00000019551	Pan_troglodytes
ENSP00000249269	ENSG00000105819	Homo_sapiens
ENSPPYP00000020042	ENSPPYG00000017881	Pongo_abelii
ENSNLEP00000011416	ENSNLEG00000009342	Nomascus_leucogenys
ENSRROP00000007417	ENSRROG00000027455	Rhinopithecus_roxellana
ENSCANP00000012170	ENSCANG00000029467	Colobus_angolensis_palliatus
ENSMLEP00000001463	ENSMLEG00000005693	Mandrillus_leucophaeus
ENSGGOP00000050232	ENSGGOG00000003952	Gorilla_gorilla
ENSPPAP00000035221	ENSPPAG00000040419	Pan_paniscus
ENSCCAP00000032244	ENSCCAG00000034112	Cebus_capucinus_imitator
ENSSBOP00000036169	ENSSBOG00000034223	Saimiri_boliviensis_boliviensis
ENSCJAP00000039480	ENSCJAG00000021200	Callithrix_jacchus
ENSCJAP00000040949	ENSCJAG00000022309	Callithrix_jacchus
ENSANAP00000010731	ENSANAG00000023304	Aotus_nancymaae
ENSTSYP00000000607	ENSTSYG00000000657	Carlito_syrichta
ENSPSMP00000023931	ENSPSMG00000016879	Prolemur_simus
ENSMICP00000030538	ENSMICG00000008356	Microcebus_murinus
ENSPCOP00000012398	ENSPCOG00000017770	Propithecus_coquereli
ENSOGAP00000004613	ENSOGAG00000005156	Otolemur_garnettii
ENSMAUP00000004887	ENSMAUG00000006601	Mesocricetus_auratus
ENSMOCP00000008068	ENSMOCG00000007981	Microtus_ochrogaster
ENSNGAP00000003411	ENSNGAG00000003916	Nannospalax_galili
ENSJJAP00000004259	ENSJJAG00000008828	Jaculus_jaculus
ENSDORP00000024242	ENSDORG00000026182	Dipodomys_ordii
ENSODEP00000009010	ENSODEG00000006733	Octodon_degus
ENSOCUP00000026375	ENSOCUG00000010200	Oryctolagus_cuniculus
ENSCCNP00000000304	ENSCCNG00000000368	Castor_canadensis
ENSOCUP00000049848	ENSOCUG00000038966	Oryctolagus_cuniculus
ENSSBOP00000000534	ENSSBOG00000002357	Saimiri_boliviensis_boliviensis
ENSBIXP00000043772	ENSBIXG00000027922	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024381	ENSBIXG00005004619	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000004922	ENSBTAG00000006876	Bos_taurus
ENSBMUP00000013974	ENSBMUG00000010658	Bos_mutus
ENSBBBP00000019528	ENSBBBG00000012880	Bison_bison_bison
ENSOARP00000020369	ENSOARG00000018965	Ovis_aries
ENSCHIP00000018762	ENSCHIG00000018035	Capra_hircus
ENSTTRP00000010145	ENSTTRG00000010699	Tursiops_truncatus
ENSVPAP00000008295	ENSVPAG00000008917	Vicugna_pacos
ENSPVAP00000010710	ENSPVAG00000011358	Pteropus_vampyrus
ENSPPRP00000011816	ENSPPRG00000005549	Panthera_pardus
ENSUAMP00000025104	ENSUAMG00000019571	Ursus_americanus
ENSUMAP00000018857	ENSUMAG00000013839	Ursus_maritimus
ENSAMEP00000016180	ENSAMEG00000015309	Ailuropoda_melanoleuca
ENSNVIP00000029013	ENSNVIG00000022375	Neovison_vison
ENSMPUP00000018156	ENSMPUG00000018270	Mustela_putorius_furo
ENSCAFP00000006194	ENSCAFG00000004166	Canis_lupus_familiaris
ENSCAFP00020028986	ENSCAFG00020022665	Canis_lupus_dingo
ENSVVUP00000025854	ENSVVUG00000015162	Vulpes_vulpes
ENSPTIP00000016272	ENSPTIG00000015098	Panthera_tigris_altaica
ENSPPRP00000019610	ENSPPRG00000010919	Panthera_pardus
ENSFCAP00000000589	ENSFCAG00000000636	Felis_catus
ENSEEUP00000010725	ENSEEUG00000011755	Erinaceus_europaeus
ENSEASP00005025210	ENSEASG00005017164	Equus_asinus_asinus
ENSECAP00000012407	ENSECAG00000014253	Equus_caballus
ENSMLUP00000006216	ENSMLUG00000006820	Myotis_lucifugus
ENSMLUP00000008017	ENSMLUG00000008798	Myotis_lucifugus
ENSSSCP00000063694	ENSSSCG00000015422	Sus_scrofa_strain_reference
ENSLAFP00000024910	ENSLAFG00000014153	Loxodonta_africana
ENSPCAP00000015034	ENSPCAG00000016057	Procavia_capensis
ENSETEP00000004650	ENSETEG00000005721	Echinops_telfairi
ENSDNOP00000002093	ENSDNOG00000002703	Dasypus_novemcinctus
ENSCHOP00000001526	ENSCHOG00000001724	Choloepus_hoffmanni
ENSXETP00000051344	ENSXETG00000020357	Xenopus_tropicalis
ENSCMIP00000034467	ENSCMIG00000014385	Callorhinchus_milii
ENSCSAVP00000018356	ENSCSAVG00000010777	Ciona_savignyi
ENSCINP00000012991	ENSCING00000006280	Ciona_intestinalis
FBpp0082459	FBgn0038271	Drosophila_melanogaster
ZC410.2.1	WBGene00013880	Caenorhabditis_elegans_strain_N2
ENSPTEP00000006355	ENSPTEG00000007275	Piliocolobus_tephrosceles
ENSPTEP00000003128	ENSPTEG00000003708	Piliocolobus_tephrosceles
YLR163C_mRNA	YLR163C	Saccharomyces_cerevisiae_strain_S288C
