ENSPCOP00000031389	ENSPCOG00000028464	Propithecus_coquereli
ENSEASP00005024750	ENSEASG00005016840	Equus_asinus_asinus
ENSPREP00000011967	ENSPREG00000008138	Poecilia_reticulata
ENSCAFP00020016300	ENSCAFG00020013073	Canis_lupus_dingo
ENSPVIP00000013073	ENSPVIG00000010167	Pogona_vitticeps	ENSPVIT00000016431
ENSLCAP00010037983	ENSLCAG00010017786	Lates_calcarifer
ENSOPRP00000007688	ENSOPRG00000008398	Ochotona_princeps
ENSCPUP00000006506	ENSCPUG00000004738	Calidris_pugnax
ENSLAFP00000021323	ENSLAFG00000032744	Loxodonta_africana
ENSDNVP00000010064	ENSDNVG00000007105	Dromaius_novaehollandiae
ENSAMXP00000016530	ENSAMXG00000016051	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBBBP00000018447	ENSBBBG00000002063	Bison_bison_bison
ENSRNOP00000001957	ENSRNOG00000001439	Rattus_norvegicus
ENSTNIP00000011389	ENSTNIG00000008549	Tetraodon_nigroviridis
ENSCHIP00000012137	ENSCHIG00000014018	Capra_hircus
ENSMAUP00000019343	ENSMAUG00000017613	Mesocricetus_auratus
ENSNMEP00000017194	ENSNMEG00000015080	Numida_meleagris
MGP_SPRETEiJ_P0074119	MGP_SPRETEiJ_G0028844	Mus_spretus_strain_SPRET/EiJ
ENSCLAP00000011120	ENSCLAG00000007682	Chinchilla_lanigera
ENSSLDP00000025791	ENSSLDG00000020070	Seriola_lalandi_dorsalis
ENSFCAP00000045763	ENSFCAG00000044112	Felis_catus
ENSJJAP00000023781	ENSJJAG00000023441	Jaculus_jaculus
ENSGWIP00000043469	ENSGWIG00000021727	Gouania_willdenowi
ENSOARP00000014713	ENSOARG00000013722	Ovis_aries
ENSLSDP00000016532	ENSLSDG00000011905	Lonchura_striata_domestica
ENSCGRP00015007121	ENSCGRG00015005518	Cricetulus_griseus_CriGri-PICR
ENSPCAP00000012842	ENSPCAG00000013700	Procavia_capensis
MGP_PahariEiJ_P0059599	MGP_PahariEiJ_G0024425	Mus_pahari_strain_PAHARI_EIJ
ENSODEP00000021739	ENSODEG00000015988	Octodon_degus
ENSNPEP00000001814	ENSNPEG00000001405	Nothoprocta_perdicaria
ENSMOCP00000003214	ENSMOCG00000002565	Microtus_ochrogaster
ENSMUGP00000001722	ENSMUGG00000001559	Meriones_unguiculatus
ENSUPAP00010019511	ENSUPAG00010015439	Urocitellus_parryii
ENSMICP00000009727	ENSMICG00000010668	Microcebus_murinus
ENSSPUP00000008117	ENSSPUG00000006285	Sphenodon_punctatus	ENSSPUT00000008657
ENSXMAP00000035800	ENSXMAG00000005663	Xiphophorus_maculatus
ENSGALP00000002982	ENSGALG00000001932	Gallus_gallus
ENSGAFP00000021902	ENSGAFG00000014777	Gambusia_affinis
ENSLOCP00000003391	ENSLOCG00000002879	Lepisosteus_oculatus
ENSCATP00000041061	ENSCATG00000043129	Cercocebus_atys
ENSGAGP00000029105	ENSGAGG00000021058	Gopherus_agassizii
ENSORLP00000040281	ENSORLG00000026242	Oryzias_latipes_ASM223467v1
ENSPTEP00000017932	ENSPTEG00000019425	Piliocolobus_tephrosceles
ENSBTAP00000048117	ENSBTAG00000007879	Bos_taurus
ENSSMAP00000000760	ENSSMAG00000000476	Scophthalmus_maximus
ENSPVAP00000003215	ENSPVAG00000003400	Pteropus_vampyrus
ENSOMEP00000009559	ENSOMEG00000010768	Oryzias_melastigma
ENSCPOP00000031590	ENSCPOG00000038685	Cavia_porcellus
ENSORLP00020031521	ENSORLG00020016592	Oryzias_latipes_ASM223471v1
ENSMEUP00000012786	ENSMEUG00000013994	Notamacropus_eugenii
ENSMODP00000040285	ENSMODG00000029593	Monodelphis_domestica
ENSECRP00000026919	ENSECRG00000018204	Erpetoichthys_calabaricus
ENSSMRP00000003995	ENSSMRG00000003300	Salvator_merianae	ENSSMRT00000004734
ENSPNAP00000003223	ENSPNAG00000009621	Pygocentrus_nattereri
ENSBIXP00000026810	ENSBIXG00000029352	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFALP00000010015	ENSFALG00000009603	Ficedula_albicollis
ENSCGRP00001009255	ENSCGRG00001011385	Cricetulus_griseus_CHOK1GS_HDv1
ENSGGOP00000031594	ENSGGOG00000036497	Gorilla_gorilla
ENSMMUP00000051619	ENSMMUG00000046728	Macaca_mulatta
ENSFDAP00000008701	ENSFDAG00000016913	Fukomys_damarensis
ENSDNOP00000035022	ENSDNOG00000046922	Dasypus_novemcinctus
ENSCPBP00000040428	ENSCPBG00000027784	Chrysemys_picta_bellii
ENSTGEP00000006870	ENSTGEG00000005613	Theropithecus_gelada
ENSTTRP00000014065	ENSTTRG00000014836	Tursiops_truncatus
ENSHBUP00000023957	ENSHBUG00000005061	Haplochromis_burtoni
ENSACLP00000007741	ENSACLG00000005269	Astatotilapia_calliptera
ENSMUSP00000115695	ENSMUSG00000039860	Mus_musculus_strain_reference_(CL57BL6)
ENSHGLP00000021809	ENSHGLG00000015576	Heterocephalus_glaber_HetGla_female_1.0
ENSONIP00000016023	ENSONIG00000012732	Oreochromis_niloticus
ENSANAP00000028278	ENSANAG00000031983	Aotus_nancymaae
ENSDCDP00000036852	ENSDCDG00000024674	Denticeps_clupeoides
ENSCCNP00000002441	ENSCCNG00000002685	Castor_canadensis
ENSXETP00000026834	ENSXETG00000009596	Xenopus_tropicalis
ENSSFOP00015002510	ENSSFOG00015001696	Scleropages_formosus
ENSPFOP00000008967	ENSPFOG00000009007	Poecilia_formosa
ENSP00000480851	ENSG00000177679	Homo_sapiens
