ENSPTEP00000008168	ENSPTEG00000009305	Piliocolobus_tephrosceles
ENSNLEP00000017212	ENSNLEG00000014157	Nomascus_leucogenys
ENSSARP00000003929	ENSSARG00000004324	Sorex_araneus
ENSMSIP00000029202	ENSMSIG00000024469	Mus_spicilegus
ENSMLEP00000035327	ENSMLEG00000041795	Mandrillus_leucophaeus
MGP_PahariEiJ_P0026583	MGP_PahariEiJ_G0015809	Mus_pahari_strain_PAHARI_EIJ
ENSMODP00000025103	ENSMODG00000020089	Monodelphis_domestica
MGP_SPRETEiJ_P0036586	MGP_SPRETEiJ_G0019613	Mus_spretus_strain_SPRET/EiJ
ENSCABP00000029233	ENSCABG00000021467	Chelonoidis_abingdonii	ENSCABT00000032035
ENSOGAP00000007461	ENSOGAG00000008332	Otolemur_garnettii
ENSAMEP00000011200	ENSAMEG00000010656	Ailuropoda_melanoleuca
ENSCAFP00000011685	ENSCAFG00000007909	Canis_lupus_familiaris
ENSCPGP00000024639	ENSCPGG00000016976	Calidris_pygmaea
ENSMICP00000001261	ENSMICG00000001386	Microcebus_murinus
ENSMLUP00000007142	ENSMLUG00000007820	Myotis_lucifugus
ENSTSYP00000029260	ENSTSYG00000012721	Carlito_syrichta
ENSCCNP00000026000	ENSCCNG00000025296	Castor_canadensis
ENSMVIP00005026943	ENSMVIG00005018761	Manacus_vitellinus
ENSGALP00000023601	ENSGALG00000014675	Gallus_gallus
ENSZALP00000013695	ENSZALG00000011406	Zonotrichia_albicollis
ENSDNVP00000006087	ENSDNVG00000004354	Dromaius_novaehollandiae
ENSARWP00000004297	ENSARWG00000003164	Apteryx_rowi
ENSNMEP00000006583	ENSNMEG00000006731	Numida_meleagris
ENSPVAP00000007502	ENSPVAG00000007951	Pteropus_vampyrus
ENSNGAP00000025924	ENSNGAG00000023721	Nannospalax_galili
ENSMAUP00000022697	ENSMAUG00000020055	Mesocricetus_auratus
ENSVPAP00000000803	ENSVPAG00000000864	Vicugna_pacos
ENSSCAP00000006360	ENSSCAG00000004958	Serinus_canaria
ENSLACP00000005993	ENSLACG00000005320	Latimeria_chalumnae
ENSTTRP00000014918	ENSTTRG00000015738	Tursiops_truncatus
ENSEASP00005028600	ENSEASG00005019443	Equus_asinus_asinus
ENSAOWP00000027608	ENSAOWG00000018607	Apteryx_owenii
ENSHGLP00000006747	ENSHGLG00000004921	Heterocephalus_glaber_HetGla_female_1.0
ENSCHIP00000027497	ENSCHIG00000023389	Capra_hircus
ENSCJPP00005015369	ENSCJPG00005012759	Coturnix_japonica
ENSABRP00000003664	ENSABRG00000003438	Anser_brachyrhynchus
ENSPTRP00000029251	ENSPTRG00000017087	Pan_troglodytes
ENSPPYP00000017489	ENSPPYG00000015644	Pongo_abelii
ENSBIXP00000038470	ENSBIXG00000022275	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSETEP00000003849	ENSETEG00000004715	Echinops_telfairi
ENSRROP00000018011	ENSRROG00000033086	Rhinopithecus_roxellana
ENSCHOP00000001395	ENSCHOG00000001578	Choloepus_hoffmanni
ENSPSMP00000016133	ENSPSMG00000011477	Prolemur_simus
ENSOPRP00000005067	ENSOPRG00000005513	Ochotona_princeps
ENSANAP00000009604	ENSANAG00000022788	Aotus_nancymaae
ENSPTIP00000017585	ENSPTIG00000015975	Panthera_tigris_altaica
ENSLSDP00000020463	ENSLSDG00000014490	Lonchura_striata_domestica
ENSNVIP00000006160	ENSNVIG00000004895	Neovison_vison
ENSPVIP00000035068	ENSPVIG00000025651	Pogona_vitticeps
ENSFCAP00000024824	ENSFCAG00000024219	Felis_catus
ENSTBEP00000000159	ENSTBEG00000000188	Tupaia_belangeri
ENSPEMP00000011129	ENSPEMG00000011890	Peromyscus_maniculatus_bairdii
ENSDNOP00000028610	ENSDNOG00000006568	Dasypus_novemcinctus
ENSOARP00000018679	ENSOARG00000017397	Ovis_aries
ENSOCUP00000013607	ENSOCUG00000015845	Oryctolagus_cuniculus
ENSTGUP00000001123	ENSTGUG00000001089	Taeniopygia_guttata
ENSCJAP00000018906	ENSCJAG00000010252	Callithrix_jacchus
ENSAHAP00000006679	ENSAHAG00000005032	Apteryx_haastii
ENSOANP00000001925	ENSOANG00000001207	Ornithorhynchus_anatinus
ENSLCOP00000006004	ENSLCOG00000004444	Lepidothrix_coronata
ENSCSAP00000010568	ENSCSAG00000014440	Chlorocebus_sabaeus
ENSCATP00000041089	ENSCATG00000043148	Cercocebus_atys
ENSPCOP00000006852	ENSPCOG00000014621	Propithecus_coquereli
ENSPSIP00000018689	ENSPSIG00000016563	Pelodiscus_sinensis
ENSLAFP00000023057	ENSLAFG00000006236	Loxodonta_africana
ENSBTAP00000064032	ENSBTAG00000004413	Bos_taurus
ENSFDAP00000010471	ENSFDAG00000018224	Fukomys_damarensis
MGP_CAROLIEiJ_P0034921	MGP_CAROLIEiJ_G0018730	Mus_caroli_strain_CAROLI_EIJ
ENSFALP00000012355	ENSFALG00000011832	Ficedula_albicollis
ENSMEUP00000013486	ENSMEUG00000014765	Notamacropus_eugenii
ENSSSCP00000020237	ENSSSCG00000029805	Sus_scrofa_strain_reference
ENSMUSP00000022078	ENSMUSG00000021589	Mus_musculus_strain_reference_(CL57BL6)
ENSEEUP00000005506	ENSEEUG00000006045	Erinaceus_europaeus
ENSGGOP00000004247	ENSGGOG00000004327	Gorilla_gorilla
ENSCAPP00000017205	ENSCAPG00000016923	Cavia_aperea
ENSMGAP00000017619	ENSMGAG00000017084	Meleagris_gallopavo
ENSRBIP00000017988	ENSRBIG00000032996	Rhinopithecus_bieti
ENSCGRP00015023409	ENSCGRG00015017791	Cricetulus_griseus_CriGri-PICR
ENSECRP00000012343	ENSECRG00000008224	Erpetoichthys_calabaricus
ENSPCIP00000020571	ENSPCIG00000015648	Phascolarctos_cinereus
ENSBIXP00005046154	ENSBIXG00005031103	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPAP00000017138	ENSPPAG00000031638	Pan_paniscus
