ENSCLAP00000006755	ENSCLAG00000004762	Chinchilla_lanigera	ENSCLAT00000006865
ENSODEP00000007517	ENSODEG00000005607	Octodon_degus	ENSODET00000007631
ENSHGLP00100016116	ENSHGLG00100011896	Heterocephalus_glaber_HetGla_1.0
ENSBMUP00000026751	ENSBMUG00000020068	Bos_mutus
ENSBBBP00000014857	ENSBBBG00000022626	Bison_bison_bison
ENSBIXP00000038349	ENSBIXG00000022161	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000026740	ENSBMUG00000020056	Bos_mutus
ENSBBBP00000014861	ENSBBBG00000022617	Bison_bison_bison
ENSBIXP00005000345	ENSBIXG00005030327	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005027620	ENSBIXG00005030397	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000018979	ENSBMUG00000014249	Bos_mutus
ENSBTAP00000052290	ENSBTAG00000002416	Bos_taurus
ENSBIXP00005000248	ENSBIXG00005030439	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022858	ENSBMUG00000017180	Bos_mutus
ENSBBBP00000026773	ENSBBBG00000000440	Bison_bison_bison
ENSCHIP00000009185	ENSCHIG00000012142	Capra_hircus
ENSOARP00000016265	ENSOARG00000015153	Ovis_aries
ENSEASP00005019201	ENSEASG00005013205	Equus_asinus_asinus
ENSTTRP00000004238	ENSTTRG00000004492	Tursiops_truncatus
ENSVPAP00000000160	ENSVPAG00000000172	Vicugna_pacos
ENSMPUP00000004727	ENSMPUG00000004765	Mustela_putorius_furo
ENSNVIP00000030495	ENSNVIG00000023496	Neovison_vison
ENSUMAP00000001650	ENSUMAG00000001534	Ursus_maritimus
ENSUAMP00000016967	ENSUAMG00000013465	Ursus_americanus
ENSAMEP00000009808	ENSAMEG00000009306	Ailuropoda_melanoleuca
ENSPPRP00000000541	ENSPPRG00000024736	Panthera_pardus
ENSPTIP00000008084	ENSPTIG00000009551	Panthera_tigris_altaica
ENSFCAP00000010994	ENSFCAG00000011849	Felis_catus
ENSUAMP00000016959	ENSUAMG00000013447	Ursus_americanus
ENSAMEP00000009813	ENSAMEG00000009341	Ailuropoda_melanoleuca
ENSMPUP00000004738	ENSMPUG00000004776	Mustela_putorius_furo
ENSNVIP00000030639	ENSNVIG00000023513	Neovison_vison
ENSPTIP00000008470	ENSPTIG00000009820	Panthera_tigris_altaica
ENSPPRP00000017249	ENSPPRG00000009277	Panthera_pardus
ENSMAUP00000009322	ENSMAUG00000010500	Mesocricetus_auratus
ENSCGRP00000018579	ENSCGRG00000013528	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000012471	ENSMOCG00000012561	Microtus_ochrogaster
ENSJJAP00000019278	ENSJJAG00000020259	Jaculus_jaculus
ENSUPAP00010025765	ENSUPAG00010020371	Urocitellus_parryii
ENSCAPP00000000203	ENSCAPG00000000173	Cavia_aperea
ENSOARP00000007633	ENSOARG00000007121	Ovis_aries
ENSMNEP00000030762	ENSMNEG00000038824	Macaca_nemestrina
ENSLAFP00000018563	ENSLAFG00000026608	Loxodonta_africana
ENSLAFP00000003598	ENSLAFG00000026403	Loxodonta_africana
ENSLAFP00000006639	ENSLAFG00000027769	Loxodonta_africana
ENSLAFP00000003603	ENSLAFG00000030117	Loxodonta_africana
ENSETEP00000013708	ENSETEG00000016891	Echinops_telfairi
ENSDNOP00000009507	ENSDNOG00000012244	Dasypus_novemcinctus
