C01B7.4a.2	WBGene00006467	Caenorhabditis_elegans_strain_N2
ENSGMOP00000016271	ENSGMOG00000015184	Gadus_morhua
ENSSFOP00015031498	ENSSFOG00015020171	Scleropages_formosus
ENSPKIP00000034739	ENSPKIG00000013926	Paramormyrops_kingsleyae
ENSPKIP00000024282	ENSPKIG00000007601	Paramormyrops_kingsleyae
ENSSFOP00015003649	ENSSFOG00015002396	Scleropages_formosus
ENSDCDP00000016595	ENSDCDG00000012372	Denticeps_clupeoides
ENSDCDP00000016664	ENSDCDG00000013681	Denticeps_clupeoides
ENSCHAP00000024343	ENSCHAG00000011960	Clupea_harengus
ENSAMXP00000034610	ENSAMXG00000018802	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005052534	ENSAMXG00005023587	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005836	ENSPNAG00000006994	Pygocentrus_nattereri
ENSDARP00000022809	ENSDARG00000004721	Danio_rerio
ENSXMAP00000026769	ENSXMAG00000017247	Xiphophorus_maculatus
ENSGAFP00000001714	ENSGAFG00000001186	Gambusia_affinis
ENSPLAP00000003959	ENSPLAG00000005580	Poecilia_latipinna
ENSPFOP00000018888	ENSPFOG00000018754	Poecilia_formosa
ENSPMEP00000027862	ENSPMEG00000012551	Poecilia_mexicana
ENSPREP00000012779	ENSPREG00000008665	Poecilia_reticulata
ENSFHEP00000022897	ENSFHEG00000003584	Fundulus_heteroclitus
ENSCVAP00000002286	ENSCVAG00000003419	Cyprinodon_variegatus
ENSKMAP00000025642	ENSKMAG00000018972	Kryptolebias_marmoratus
ENSORLP00000014773	ENSORLG00000011789	Oryzias_latipes_ASM223467v1
ENSORLP00015028656	ENSORLG00015011397	Oryzias_latipes_ASM223469v1
ENSORLP00020015508	ENSORLG00020016515	Oryzias_latipes_ASM223471v1
ENSOMEP00000035693	ENSOMEG00000023097	Oryzias_melastigma
ENSGWIP00000047421	ENSGWIG00000023299	Gouania_willdenowi
ENSCSEP00000005770	ENSCSEG00000003732	Cynoglossus_semilaevis
ENSSDUP00000005308	ENSSDUG00000003933	Seriola_dumerili
ENSSLDP00000031948	ENSSLDG00000024524	Seriola_lalandi_dorsalis
ENSLCAP00010038580	ENSLCAG00010018060	Lates_calcarifer
ENSSMAP00000003957	ENSSMAG00000002434	Scophthalmus_maximus
ENSMALP00000032414	ENSMALG00000022329	Monopterus_albus
ENSMAMP00000006497	ENSMAMG00000004436	Mastacembelus_armatus
ENSATEP00000025140	ENSATEG00000017424	Anabas_testudineus
ENSBSLP00000011821	ENSBSLG00000006056	Betta_splendens
ENSLCRP00005043793	ENSLCRG00005016778	Larimichthys_crocea
ENSLBEP00000014199	ENSLBEG00000011046	Labrus_bergylta
ENSCGOP00000038939	ENSCGOG00000017735	Cottoperca_gobio
ENSGACP00000011258	ENSGACG00000008518	Gasterosteus_aculeatus
ENSAPEP00000013425	ENSAPEG00000009541	Amphiprion_percula
ENSAOCP00000029231	ENSAOCG00000019449	Amphiprion_ocellaris
ENSAPOP00000030231	ENSAPOG00000016672	Acanthochromis_polyacanthus
ENSSPAP00000021298	ENSSPAG00000016041	Stegastes_partitus
ENSPRNP00000055957	ENSPRNG00000026193	Parambassis_ranga
ENSONIP00000007452	ENSONIG00000005919	Oreochromis_niloticus
ENSNBRP00000029242	ENSNBRG00000022269	Neolamprologus_brichardi
ENSMZEP00005001961	ENSMZEG00005001550	Maylandia_zebra
ENSPNYP00000030956	ENSPNYG00000023328	Pundamilia_nyererei
ENSACLP00000036318	ENSACLG00000024584	Astatotilapia_calliptera
ENSHBUP00000032348	ENSHBUG00000018619	Haplochromis_burtoni
ENSACIP00000018280	ENSACIG00000014252	Amphilophus_citrinellus
ENSTNIP00000015191	ENSTNIG00000012225	Tetraodon_nigroviridis
ENSTRUP00000045994	ENSTRUG00000017940	Takifugu_rubripes
ENSMMOP00000020465	ENSMMOG00000015559	Mola_mola
ENSHCOP00000027495	ENSHCOG00000000513	Hippocampus_comes
ENSPMGP00000019366	ENSPMGG00000015716	Periophthalmus_magnuspinnatus
ENSGMOP00000003444	ENSGMOG00000003235	Gadus_morhua
ENSHHUP00000040119	ENSHHUG00000024811	Hucho_hucho
ENSHHUP00000063330	ENSHHUG00000037387	Hucho_hucho
ENSELUP00000030610	ENSELUG00000007873	Esox_lucius
ENSLOCP00000017435	ENSLOCG00000014151	Lepisosteus_oculatus
ENSPVIP00000030903	ENSPVIG00000022715	Pogona_vitticeps
ENSACAP00000006056	ENSACAG00000006139	Anolis_carolinensis
ENSNSUP00000024501	ENSNSUG00000017690	Notechis_scutatus
ENSSMRP00000012051	ENSSMRG00000009433	Salvator_merianae
ENSSPUP00000017705	ENSSPUG00000013681	Sphenodon_punctatus
ENSAOWP00000001952	ENSAOWG00000001405	Apteryx_owenii
ENSAHAP00000020558	ENSAHAG00000014448	Apteryx_haastii
ENSARWP00000004111	ENSARWG00000003013	Apteryx_rowi
ENSDNVP00000003212	ENSDNVG00000002281	Dromaius_novaehollandiae
ENSNPEP00000010725	ENSNPEG00000008068	Nothoprocta_perdicaria
ENSLCOP00000000106	ENSLCOG00000000115	Lepidothrix_coronata
ENSMVIP00005015434	ENSMVIG00005011112	Manacus_vitellinus
ENSTGUP00000011928	ENSTGUG00000011569	Taeniopygia_guttata
ENSLSDP00000014907	ENSLSDG00000010742	Lonchura_striata_domestica
ENSSCAP00000017086	ENSSCAG00000012365	Serinus_canaria
ENSZALP00000007582	ENSZALG00000006726	Zonotrichia_albicollis
ENSJHYP00000004782	ENSJHYG00000003947	Junco_hyemalis
ENSFALP00000005492	ENSFALG00000005280	Ficedula_albicollis
ENSCCEP00000015642	ENSCCEG00000014769	Cyanistes_caeruleus
ENSCCEP00000021027	ENSCCEG00000019086	Cyanistes_caeruleus
ENSPMJP00000020401	ENSPMJG00000015202	Parus_major
ENSMUNP00000013001	ENSMUNG00000010165	Melopsittacus_undulatus
ENSCPGP00000010850	ENSCPGG00000007716	Calidris_pygmaea
ENSCPUP00000010678	ENSCPUG00000007588	Calidris_pugnax
ENSABRP00000011753	ENSABRG00000010235	Anser_brachyrhynchus
ENSAPLP00000000361	ENSAPLG00000000613	Anas_platyrhynchos_platyrhynchos
ENSGALP00000015593	ENSGALG00000009581	Gallus_gallus
ENSCJPP00005021603	ENSCJPG00005017284	Coturnix_japonica
ENSMGAP00000012603	ENSMGAG00000011994	Meleagris_gallopavo
ENSNMEP00000023704	ENSNMEG00000020182	Numida_meleagris
ENSCPRP00005025253	ENSCPRG00005017511	Crocodylus_porosus
ENSGAGP00000013375	ENSGAGG00000010235	Gopherus_agassizii
ENSCABP00000021890	ENSCABG00000016128	Chelonoidis_abingdonii
ENSCPBP00000008122	ENSCPBG00000006380	Chrysemys_picta_bellii
ENSPSIP00000016904	ENSPSIG00000014967	Pelodiscus_sinensis
ENSPCIP00000006203	ENSPCIG00000005232	Phascolarctos_cinereus
ENSVURP00010030700	ENSVURG00010023468	Vombatus_ursinus
ENSMEUP00000003670	ENSMEUG00000004025	Notamacropus_eugenii
ENSSHAP00000010539	ENSSHAG00000009098	Sarcophilus_harrisii
ENSMODP00000012377	ENSMODG00000009886	Monodelphis_domestica
ENSPTRP00000010959	ENSPTRG00000006460	Pan_troglodytes
ENSPPAP00000027553	ENSPPAG00000036838	Pan_paniscus
ENSP00000261681	ENSG00000072415	Homo_sapiens
ENSGGOP00000011169	ENSGGOG00000011451	Gorilla_gorilla
ENSPPYP00000006727	ENSPPYG00000005919	Pongo_abelii
ENSNLEP00000000670	ENSNLEG00000000546	Nomascus_leucogenys
ENSPTEP00000037509	ENSPTEG00000035071	Piliocolobus_tephrosceles
ENSCANP00000001067	ENSCANG00000003914	Colobus_angolensis_palliatus
ENSRROP00000016030	ENSRROG00000032170	Rhinopithecus_roxellana
ENSRBIP00000014853	ENSRBIG00000031468	Rhinopithecus_bieti
ENSPANP00000017108	ENSPANG00000009283	Papio_anubis
ENSMLEP00000028404	ENSMLEG00000038412	Mandrillus_leucophaeus
ENSTGEP00000022457	ENSTGEG00000018178	Theropithecus_gelada
ENSCATP00000019904	ENSCATG00000033724	Cercocebus_atys
ENSMNEP00000005041	ENSMNEG00000022940	Macaca_nemestrina
ENSMMUP00000028215	ENSMMUG00000021417	Macaca_mulatta
ENSMFAP00000010415	ENSMFAG00000007215	Macaca_fascicularis
ENSCSAP00000009530	ENSCSAG00000013368	Chlorocebus_sabaeus
ENSSBOP00000032508	ENSSBOG00000032432	Saimiri_boliviensis_boliviensis
ENSCCAP00000027669	ENSCCAG00000031683	Cebus_capucinus_imitator
ENSCJAP00000028493	ENSCJAG00000015428	Callithrix_jacchus
ENSANAP00000002047	ENSANAG00000015396	Aotus_nancymaae
ENSTSYP00000028338	ENSTSYG00000032342	Carlito_syrichta
ENSPCOP00000011296	ENSPCOG00000017167	Propithecus_coquereli
ENSMICP00000009817	ENSMICG00000010772	Microcebus_murinus
ENSPSMP00000017010	ENSPSMG00000012102	Prolemur_simus
ENSOGAP00000019223	ENSOGAG00000033912	Otolemur_garnettii
ENSTBEP00000009087	ENSTBEG00000010503	Tupaia_belangeri
ENSCLAP00000005706	ENSCLAG00000004043	Chinchilla_lanigera
ENSODEP00000019074	ENSODEG00000014070	Octodon_degus
ENSCPOP00000002984	ENSCPOG00000003303	Cavia_porcellus
ENSCAPP00000005571	ENSCAPG00000007883	Cavia_aperea
ENSHGLP00100007281	ENSHGLG00100005461	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017832	ENSHGLG00000012768	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003670	ENSFDAG00000013060	Fukomys_damarensis
ENSSTOP00000001391	ENSSTOG00000001556	Ictidomys_tridecemlineatus
ENSUPAP00010014878	ENSUPAG00010011924	Urocitellus_parryii
ENSSDAP00000017780	ENSSDAG00000016207	Spermophilus_dauricus
ENSSDAP00000023106	ENSSDAG00000021014	Spermophilus_dauricus
ENSMMMP00000024274	ENSMMMG00000021249	Marmota_marmota_marmota
ENSCCNP00000026812	ENSCCNG00000025974	Castor_canadensis
ENSDORP00000013773	ENSDORG00000014640	Dipodomys_ordii
ENSCGRP00001019108	ENSCGRG00001018649	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015037299	ENSCGRG00015027944	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000014073	ENSCGRG00000010189	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012720	ENSMAUG00000012946	Mesocricetus_auratus
ENSMOCP00000025190	ENSMOCG00000021385	Microtus_ochrogaster
ENSPEMP00000007369	ENSPEMG00000009345	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0034139	MGP_SPRETEiJ_G0018725	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000080683	ENSMUSG00000021112	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000017629	ENSMSIG00000015020	Mus_spicilegus
MGP_CAROLIEiJ_P0032626	MGP_CAROLIEiJ_G0017879	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0082737	MGP_PahariEiJ_G0029635	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012005	ENSRNOG00000008788	Rattus_norvegicus
ENSMUGP00000008813	ENSMUGG00000007921	Meriones_unguiculatus
ENSNGAP00000021306	ENSNGAG00000020524	Nannospalax_galili
ENSJJAP00000005666	ENSJJAG00000010539	Jaculus_jaculus
ENSOPRP00000004114	ENSOPRG00000004468	Ochotona_princeps
ENSOCUP00000047729	ENSOCUG00000012009	Oryctolagus_cuniculus
ENSOARP00000022750	ENSOARG00000021164	Ovis_aries
ENSCHIP00000027790	ENSCHIG00000023560	Capra_hircus
ENSBIXP00000020649	ENSBIXG00000023937	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001293	ENSBIXG00005029302	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062138	ENSBTAG00000011767	Bos_taurus
ENSBMUP00000032691	ENSBMUG00000024393	Bos_mutus
ENSBBBP00000027313	ENSBBBG00000023508	Bison_bison_bison
ENSTTRP00000014973	ENSTTRG00000015802	Tursiops_truncatus
ENSSSCP00000002484	ENSSSCG00000002287	Sus_scrofa_strain_reference
ENSVPAP00000005290	ENSVPAG00000005688	Vicugna_pacos
ENSEEUP00000000650	ENSEEUG00000000734	Erinaceus_europaeus
ENSUMAP00000014491	ENSUMAG00000010665	Ursus_maritimus
ENSUAMP00000010910	ENSUAMG00000008932	Ursus_americanus
ENSAMEP00000008724	ENSAMEG00000008263	Ailuropoda_melanoleuca
ENSNVIP00000011509	ENSNVIG00000009115	Neovison_vison
ENSMPUP00000006936	ENSMPUG00000006992	Mustela_putorius_furo
ENSCAFP00020008205	ENSCAFG00020006548	Canis_lupus_dingo
ENSCAFP00000024081	ENSCAFG00000016353	Canis_lupus_familiaris
ENSVVUP00000000643	ENSVVUG00000000598	Vulpes_vulpes
ENSPTIP00000022995	ENSPTIG00000019615	Panthera_tigris_altaica
ENSPPRP00000003041	ENSPPRG00000023045	Panthera_pardus
ENSFCAP00000010290	ENSFCAG00000011076	Felis_catus
ENSEASP00005012490	ENSEASG00005008713	Equus_asinus_asinus
ENSECAP00000000458	ENSECAG00000000356	Equus_caballus
ENSMLUP00000005694	ENSMLUG00000006234	Myotis_lucifugus
ENSPVAP00000002869	ENSPVAG00000003038	Pteropus_vampyrus
ENSLAFP00000011221	ENSLAFG00000013406	Loxodonta_africana
ENSPCAP00000002367	ENSPCAG00000002476	Procavia_capensis
ENSETEP00000015430	ENSETEG00000018996	Echinops_telfairi
ENSDNOP00000000465	ENSDNOG00000000613	Dasypus_novemcinctus
ENSCHOP00000003373	ENSCHOG00000003812	Choloepus_hoffmanni
ENSSARP00000010524	ENSSARG00000011645	Sorex_araneus
ENSOANP00000008604	ENSOANG00000005411	Ornithorhynchus_anatinus
ENSXETP00000033720	ENSXETG00000015737	Xenopus_tropicalis
ENSLACP00000011136	ENSLACG00000009799	Latimeria_chalumnae
ENSCMIP00000021416	ENSCMIG00000009753	Callorhinchus_milii
ENSECRP00000020202	ENSECRG00000013567	Erpetoichthys_calabaricus
ENSPMAP00000010793	ENSPMAG00000009821	Petromyzon_marinus	ENSPMAT00000010839
ENSEBUP00000015748	ENSEBUG00000009912	Eptatretus_burgeri	ENSEBUT00000016324
ENSEBUP00000020776	ENSEBUG00000012846	Eptatretus_burgeri	ENSEBUT00000021352
