ENSSDAP00000016040	ENSSDAG00000014476	Spermophilus_dauricus
ENSDCDP00000051092	ENSDCDG00000031078	Denticeps_clupeoides
ENSMUGP00000021082	ENSMUGG00000017722	Meriones_unguiculatus
ENSECRP00000028764	ENSECRG00000019481	Erpetoichthys_calabaricus
ENSVVUP00000040687	ENSVVUG00000028970	Vulpes_vulpes
ENSSPAP00000008166	ENSSPAG00000006083	Stegastes_partitus
ENSHBUP00000001251	ENSHBUG00000002450	Haplochromis_burtoni
ENSCAFP00000016787	ENSCAFG00000011411	Canis_lupus_familiaris
ENSRNOP00000026711	ENSRNOG00000019680	Rattus_norvegicus
ENSFDAP00000015165	ENSFDAG00000002872	Fukomys_damarensis
ENSPFOP00000016102	ENSPFOG00000015941	Poecilia_formosa
ENSPCAP00000010443	ENSPCAG00000011126	Procavia_capensis
ENSCCAP00000024145	ENSCCAG00000029861	Cebus_capucinus_imitator
ENSSCAP00000018570	ENSSCAG00000013447	Serinus_canaria
ENSNMEP00000011357	ENSNMEG00000010661	Numida_meleagris
ENSEEEP00000014285	ENSEEEG00000006735	Electrophorus_electricus
ENSABRP00000023323	ENSABRG00000019648	Anser_brachyrhynchus
ENSBIXP00005005822	ENSBIXG00005011434	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMFAP00000034994	ENSMFAG00000003952	Macaca_fascicularis
ENSECAP00000019886	ENSECAG00000021998	Equus_caballus
ENSUMAP00000031246	ENSUMAG00000022561	Ursus_maritimus
ENSCLAP00000015913	ENSCLAG00000010949	Chinchilla_lanigera
ENSANAP00000017469	ENSANAG00000026612	Aotus_nancymaae
ENSPPRP00000026077	ENSPPRG00000016583	Panthera_pardus
ENSXETP00000050930	ENSXETG00000019758	Xenopus_tropicalis
ENSOGAP00000010555	ENSOGAG00000011794	Otolemur_garnettii
ENSSLDP00000011110	ENSSLDG00000008841	Seriola_lalandi_dorsalis
ENSLBEP00000030379	ENSLBEG00000022940	Labrus_bergylta
ENSTGUP00000005309	ENSTGUG00000005137	Taeniopygia_guttata
ENSSARP00000009947	ENSSARG00000011013	Sorex_araneus
ENSXCOP00000017850	ENSXCOG00000013438	Xiphophorus_couchianus
ENSXMAP00000016800	ENSXMAG00000016740	Xiphophorus_maculatus
ENSAOCP00000006633	ENSAOCG00000010282	Amphiprion_ocellaris
ENSCCEP00000028069	ENSCCEG00000024340	Cyanistes_caeruleus
ENSFALP00000009392	ENSFALG00000009004	Ficedula_albicollis
ENSAMXP00005014243	ENSAMXG00005007264	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMZEP00005019856	ENSMZEG00005014913	Maylandia_zebra
ENSPCIP00000029017	ENSPCIG00000021592	Phascolarctos_cinereus
ENSORLP00000004531	ENSORLG00000003636	Oryzias_latipes_ASM223467v1
ENSONIP00000005039	ENSONIG00000003998	Oreochromis_niloticus
ENSAMEP00000013085	ENSAMEG00000012393	Ailuropoda_melanoleuca
ENSACAP00000008758	ENSACAG00000008842	Anolis_carolinensis
ENSKMAP00000007762	ENSKMAG00000005822	Kryptolebias_marmoratus
ENSMPUP00000013508	ENSMPUG00000013611	Mustela_putorius_furo
ENSSFOP00015029128	ENSSFOG00015018712	Scleropages_formosus
ENSAMXP00000008118	ENSAMXG00000007792	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFCAP00000029539	ENSFCAG00000025772	Felis_catus
ENSAOWP00000012159	ENSAOWG00000008328	Apteryx_owenii
ENSZALP00000022950	ENSZALG00000017782	Zonotrichia_albicollis
ENSPKIP00000014518	ENSPKIG00000001560	Paramormyrops_kingsleyae
ENSJHYP00000008162	ENSJHYG00000006492	Junco_hyemalis
ENSGACP00000001703	ENSGACG00000001303	Gasterosteus_aculeatus
ENSHHUP00000065445	ENSHHUG00000038565	Hucho_hucho
ENSMALP00000002963	ENSMALG00000001949	Monopterus_albus
ENSCPRP00005022150	ENSCPRG00005015451	Crocodylus_porosus
ENSPPYP00000015516	ENSPPYG00000013867	Pongo_abelii
ENSCGRP00001012385	ENSCGRG00001013799	Cricetulus_griseus_CHOK1GS_HDv1
ENSP00000414287	ENSG00000173531	Homo_sapiens
ENSLACP00000022835	ENSLACG00000012634	Latimeria_chalumnae
ENSHGLP00100025638	ENSHGLG00100018804	Heterocephalus_glaber_HetGla_1.0
ENSMLEP00000011870	ENSMLEG00000030117	Mandrillus_leucophaeus
ENSTSYP00000002622	ENSTSYG00000002855	Carlito_syrichta
ENSATEP00000036162	ENSATEG00000024851	Anabas_testudineus
ENSNPEP00000017006	ENSNPEG00000012673	Nothoprocta_perdicaria
ENSCPBP00000014829	ENSCPBG00000011003	Chrysemys_picta_bellii
ENSAPOP00000020727	ENSAPOG00000024345	Acanthochromis_polyacanthus
ENSCVAP00000023119	ENSCVAG00000006219	Cyprinodon_variegatus
ENSVURP00010023618	ENSVURG00010018107	Vombatus_ursinus
ENSPNYP00000022266	ENSPNYG00000016814	Pundamilia_nyererei
ENSETEP00000013159	ENSETEG00000016233	Echinops_telfairi
ENSNBRP00000025167	ENSNBRG00000019236	Neolamprologus_brichardi
ENSLCRP00005055919	ENSLCRG00005020717	Larimichthys_crocea
ENSCSAP00000011005	ENSCSAG00000014934	Chlorocebus_sabaeus
ENSCAFP00020026952	ENSCAFG00020021150	Canis_lupus_dingo
ENSMNEP00000035216	ENSMNEG00000040779	Macaca_nemestrina
ENSSMAP00000026598	ENSSMAG00000016261	Scophthalmus_maximus
ENSMMOP00000014410	ENSMMOG00000011017	Mola_mola
ENSSDUP00000000082	ENSSDUG00000000134	Seriola_dumerili
ENSELUP00000008272	ENSELUG00000008934	Esox_lucius
MGP_CAROLIEiJ_P0089888	MGP_CAROLIEiJ_G0032676	Mus_caroli_strain_CAROLI_EIJ
ENSIPUP00000000791	ENSIPUG00000000552	Ictalurus_punctatus
ENSOARP00000014093	ENSOARG00000013151	Ovis_aries
ENSLCOP00000001509	ENSLCOG00000001243	Lepidothrix_coronata
ENSPANP00000015457	ENSPANG00000007509	Papio_anubis
ENSRROP00000007510	ENSRROG00000027621	Rhinopithecus_roxellana
ENSDNOP00000002634	ENSDNOG00000003406	Dasypus_novemcinctus
ENSPMEP00000015214	ENSPMEG00000018235	Poecilia_mexicana
ENSSPUP00000001797	ENSSPUG00000001342	Sphenodon_punctatus
ENSPTEP00000004266	ENSPTEG00000005013	Piliocolobus_tephrosceles
ENSCHAP00000046174	ENSCHAG00000020981	Clupea_harengus
ENSMOCP00000007113	ENSMOCG00000006858	Microtus_ochrogaster
ENSOMEP00000000946	ENSOMEG00000001840	Oryzias_melastigma
ENSHHUP00000054862	ENSHHUG00000032844	Hucho_hucho
MGP_PahariEiJ_P0025568	MGP_PahariEiJ_G0015544	Mus_pahari_strain_PAHARI_EIJ
ENSPRNP00000008201	ENSPRNG00000004881	Parambassis_ranga
ENSOCUP00000027786	ENSOCUG00000004997	Oryctolagus_cuniculus
ENSCGRP00015016599	ENSCGRG00015012750	Cricetulus_griseus_CriGri-PICR
ENSGAFP00000016742	ENSGAFG00000011150	Gambusia_affinis
ENSOANP00000011368	ENSOANG00000007143	Ornithorhynchus_anatinus
ENSDNVP00000017204	ENSDNVG00000012043	Dromaius_novaehollandiae
ENSCSEP00000033898	ENSCSEG00000021739	Cynoglossus_semilaevis
ENSBIXP00000004286	ENSBIXG00000007460	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000020381	ENSBBBG00000014000	Bison_bison_bison
ENSACLP00000020816	ENSACLG00000014154	Astatotilapia_calliptera
ENSMVIP00005020883	ENSMVIG00005014708	Manacus_vitellinus
ENSGWIP00000046734	ENSGWIG00000023059	Gouania_willdenowi
ENSTTRP00000002574	ENSTTRG00000002747	Tursiops_truncatus
ENSMUSP00000035211	ENSMUSG00000032591	Mus_musculus_strain_reference_(CL57BL6)
ENSTGEP00000007167	ENSTGEG00000005879	Theropithecus_gelada
ENSCCNP00000017550	ENSCCNG00000017864	Castor_canadensis
ENSCPGP00000003600	ENSCPGG00000002665	Calidris_pygmaea
ENSDORP00000007043	ENSDORG00000007508	Dipodomys_ordii
ENSRBIP00000037220	ENSRBIG00000042205	Rhinopithecus_bieti
ENSLAFP00000002920	ENSLAFG00000003505	Loxodonta_africana
ENSSSCP00000012139	ENSSSCG00000011386	Sus_scrofa_strain_reference
ENSJHYP00000004098	ENSJHYG00000003405	Junco_hyemalis
ENSMEUP00000004827	ENSMEUG00000005274	Notamacropus_eugenii
ENSCGRP00000010093	ENSCGRG00000007351	Cricetulus_griseus_CriGri_1.0
ENSMODP00000048294	ENSMODG00000012944	Monodelphis_domestica
ENSPTRP00000051376	ENSPTRG00000014929	Pan_troglodytes
ENSCABP00000025317	ENSCABG00000018626	Chelonoidis_abingdonii
ENSMMUP00000069589	ENSMMUG00000057113	Macaca_mulatta
ENSHGLP00000020488	ENSHGLG00000014647	Heterocephalus_glaber_HetGla_female_1.0
ENSPMJP00000006010	ENSPMJG00000005145	Parus_major
ENSPVIP00000033264	ENSPVIG00000024280	Pogona_vitticeps
ENSORLP00015032398	ENSORLG00015017187	Oryzias_latipes_ASM223469v1
ENSPTIP00000022287	ENSPTIG00000019141	Panthera_tigris_altaica
ENSMAMP00000024610	ENSMAMG00000016554	Mastacembelus_armatus
ENSHCOP00000001242	ENSHCOG00000002166	Hippocampus_comes
ENSCJAP00000007513	ENSCJAG00000004098	Callithrix_jacchus
ENSUPAP00010028782	ENSUPAG00010022707	Urocitellus_parryii
ENSPREP00000006440	ENSPREG00000004475	Poecilia_reticulata
ENSAPEP00000003767	ENSAPEG00000002719	Amphiprion_percula
ENSOPRP00000011810	ENSOPRG00000012929	Ochotona_princeps
ENSODEP00000024948	ENSODEG00000018247	Octodon_degus
ENSGMOP00000017340	ENSGMOG00000016142	Gadus_morhua
ENSCGOP00000001898	ENSCGOG00000000988	Cottoperca_gobio
ENSAHAP00000020227	ENSAHAG00000014254	Apteryx_haastii
ENSBMUP00000025865	ENSBMUG00000019391	Bos_mutus
ENSGGOP00000010331	ENSGGOG00000010588	Gorilla_gorilla
ENSFHEP00000018027	ENSFHEG00000019877	Fundulus_heteroclitus
ENSPMGP00000009448	ENSPMGG00000007797	Periophthalmus_magnuspinnatus
ENSPVAP00000008262	ENSPVAG00000008752	Pteropus_vampyrus
ENSSHAP00000020691	ENSSHAG00000017547	Sarcophilus_harrisii
ENSCPOP00000010268	ENSCPOG00000011422	Cavia_porcellus
ENSCHIP00000013493	ENSCHIG00000014887	Capra_hircus
ENSCANP00000031368	ENSCANG00000039354	Colobus_angolensis_palliatus
ENSCMIP00000001908	ENSCMIG00000001169	Callorhinchus_milii
ENSTRUP00000031013	ENSTRUG00000012252	Takifugu_rubripes
ENSNVIP00000030874	ENSNVIG00000023761	Neovison_vison
ENSEASP00005016802	ENSEASG00005011602	Equus_asinus_asinus
MGP_SPRETEiJ_P0093607	MGP_SPRETEiJ_G0033821	Mus_spretus_strain_SPRET/EiJ
ENSMAUP00000022647	ENSMAUG00000020004	Mesocricetus_auratus
ENSMICP00000050165	ENSMICG00000041447	Microcebus_murinus
ENSMMMP00000005347	ENSMMMG00000004828	Marmota_marmota_marmota
ENSMGAP00000002806	ENSMGAG00000002999	Meleagris_gallopavo
ENSLOCP00000017569	ENSLOCG00000014267	Lepisosteus_oculatus
ENSDARP00000132446	ENSDARG00000103308	Danio_rerio
ENSMLUP00000017960	ENSMLUG00000022991	Myotis_lucifugus
ENSSMRP00000010461	ENSSMRG00000008204	Salvator_merianae
ENSORLP00020020123	ENSORLG00020021114	Oryzias_latipes_ASM223471v1
ENSSBOP00000035124	ENSSBOG00000033724	Saimiri_boliviensis_boliviensis
ENSBTAP00000030635	ENSBTAG00000011585	Bos_taurus
ENSPNAP00000006168	ENSPNAG00000012212	Pygocentrus_nattereri
ENSNGAP00000010636	ENSNGAG00000012975	Nannospalax_galili
