ENSSMAP00000028973	ENSSMAG00000017747	Scophthalmus_maximus
ENSDCDP00000018112	ENSDCDG00000014627	Denticeps_clupeoides	ENSDCDT00000025280
ENSDCDP00000022838	ENSDCDG00000017411	Denticeps_clupeoides	ENSDCDT00000031022
ENSDCDP00000020223	ENSDCDG00000016122	Denticeps_clupeoides	ENSDCDT00000028071
ENSSFOP00015003079	ENSSFOG00015002028	Scleropages_formosus
ENSAMXP00005005036	ENSAMXG00005003167	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000049632	ENSAMXG00000033412	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000025735	ENSPNAG00000010940	Pygocentrus_nattereri
ENSIPUP00000005113	ENSIPUG00000003565	Ictalurus_punctatus
ENSEEEP00000012771	ENSEEEG00000006415	Electrophorus_electricus
ENSDARP00000136802	ENSDARG00000102305	Danio_rerio
ENSCHAP00000018687	ENSCHAG00000009669	Clupea_harengus	ENSCHAT00000020504
ENSPKIP00000000699	ENSPKIG00000019263	Paramormyrops_kingsleyae
ENSLOCP00000001248	ENSLOCG00000001111	Lepisosteus_oculatus
ENSECRP00000011915	ENSECRG00000007961	Erpetoichthys_calabaricus
ENSACAP00000012334	ENSACAG00000012592	Anolis_carolinensis
ENSPVIP00000024670	ENSPVIG00000018566	Pogona_vitticeps
ENSSMRP00000024075	ENSSMRG00000018684	Salvator_merianae
ENSSPUP00000006712	ENSSPUG00000005169	Sphenodon_punctatus
ENSCABP00000012074	ENSCABG00000009037	Chelonoidis_abingdonii
ENSGAGP00000020087	ENSGAGG00000014813	Gopherus_agassizii
ENSCPBP00000009855	ENSCPBG00000007600	Chrysemys_picta_bellii
ENSNMEP00000020346	ENSNMEG00000017469	Numida_meleagris
ENSGALP00000065244	ENSGALG00000050725	Gallus_gallus
ENSABRP00000007160	ENSABRG00000006581	Anser_brachyrhynchus
ENSLSDP00000023320	ENSLSDG00000016402	Lonchura_striata_domestica
ENSSCAP00000004147	ENSSCAG00000003422	Serinus_canaria
ENSJHYP00000005875	ENSJHYG00000004770	Junco_hyemalis
ENSPMJP00000012002	ENSPMJG00000009255	Parus_major
ENSARWP00000012388	ENSARWG00000008565	Apteryx_rowi
ENSAOWP00000001150	ENSAOWG00000000829	Apteryx_owenii
ENSAHAP00000000025	ENSAHAG00000000027	Apteryx_haastii
ENSNPEP00000006277	ENSNPEG00000004749	Nothoprocta_perdicaria
ENSCPGP00000002240	ENSCPGG00000001662	Calidris_pygmaea
ENSCPUP00000023372	ENSCPUG00000015869	Calidris_pugnax
ENSNSUP00000016525	ENSNSUG00000012191	Notechis_scutatus
ENSCCNP00000013536	ENSCCNG00000014050	Castor_canadensis
ENSDORP00000022448	ENSDORG00000029314	Dipodomys_ordii
ENSMUSP00000095518	ENSMUSG00000028643	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0064073	MGP_CAROLIEiJ_G0026391	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000012899	ENSMSIG00000011169	Mus_spicilegus
MGP_SPRETEiJ_P0066569	MGP_SPRETEiJ_G0027368	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0079169	MGP_PahariEiJ_G0028720	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009879	ENSRNOG00000007404	Rattus_norvegicus
ENSMUGP00000031973	ENSMUGG00000026587	Meriones_unguiculatus
ENSMOCP00000025513	ENSMOCG00000021602	Microtus_ochrogaster
ENSMOCP00000006198	ENSMOCG00000005802	Microtus_ochrogaster
ENSCGRP00015002894	ENSCGRG00015002339	Cricetulus_griseus_CriGri-PICR
ENSCGRP00015002958	ENSCGRG00015002379	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020199	ENSCGRG00001019425	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024966	ENSCGRG00000018081	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000033236	ENSPEMG00000031075	Peromyscus_maniculatus_bairdii
ENSMAUP00000005678	ENSMAUG00000007778	Mesocricetus_auratus
ENSNGAP00000006762	ENSNGAG00000010080	Nannospalax_galili
ENSPTIP00000009107	ENSPTIG00000010290	Panthera_tigris_altaica
ENSPPRP00000018336	ENSPPRG00000010025	Panthera_pardus
ENSFCAP00000031424	ENSFCAG00000035612	Felis_catus
ENSETEP00000000941	ENSETEG00000001164	Echinops_telfairi
ENSTGEP00000031878	ENSTGEG00000025496	Theropithecus_gelada
ENSCATP00000002252	ENSCATG00000009841	Cercocebus_atys
ENSMLEP00000011427	ENSMLEG00000029896	Mandrillus_leucophaeus
ENSMNEP00000045949	ENSMNEG00000045446	Macaca_nemestrina
ENSMFAP00000042692	ENSMFAG00000040103	Macaca_fascicularis
ENSMMUP00000078201	ENSMMUG00000059313	Macaca_mulatta
ENSPANP00000010662	ENSPANG00000000949	Papio_anubis
ENSCSAP00000016842	ENSCSAG00000001172	Chlorocebus_sabaeus
ENSCANP00000021171	ENSCANG00000034017	Colobus_angolensis_palliatus
ENSPTEP00000032930	ENSPTEG00000031538	Piliocolobus_tephrosceles
ENSRBIP00000020319	ENSRBIG00000034151	Rhinopithecus_bieti
ENSRROP00000034211	ENSRROG00000040670	Rhinopithecus_roxellana
ENSPTRP00000093889	ENSPTRG00000045258	Pan_troglodytes
ENSPPAP00000014959	ENSPPAG00000030648	Pan_paniscus
ENSP00000361599	ENSG00000177868	Homo_sapiens
ENSPPYP00000001692	ENSPPYG00000001461	Pongo_abelii
ENSNLEP00000014980	ENSNLEG00000028933	Nomascus_leucogenys
ENSSBOP00000040636	ENSSBOG00000036308	Saimiri_boliviensis_boliviensis
ENSSBOP00000013868	ENSSBOG00000023713	Saimiri_boliviensis_boliviensis
ENSCCAP00000007972	ENSCCAG00000021740	Cebus_capucinus_imitator
ENSANAP00000031480	ENSANAG00000033467	Aotus_nancymaae
ENSTSYP00000025260	ENSTSYG00000028977	Carlito_syrichta
ENSTSYP00000004610	ENSTSYG00000005045	Carlito_syrichta
ENSPSMP00000029409	ENSPSMG00000020430	Prolemur_simus
ENSPCOP00000002940	ENSPCOG00000008995	Propithecus_coquereli
ENSMICP00000042575	ENSMICG00000046288	Microcebus_murinus
ENSOGAP00000020869	ENSOGAG00000034545	Otolemur_garnettii
ENSSTOP00000020476	ENSSTOG00000024761	Ictidomys_tridecemlineatus
ENSSDAP00000000075	ENSSDAG00000000110	Spermophilus_dauricus
ENSUPAP00010011640	ENSUPAG00010009461	Urocitellus_parryii
ENSMMMP00000001772	ENSMMMG00000001632	Marmota_marmota_marmota
ENSCPOP00000029367	ENSCPOG00000033208	Cavia_porcellus
ENSCLAP00000004203	ENSCLAG00000003001	Chinchilla_lanigera
ENSHGLP00100023973	ENSHGLG00100017610	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000018339	ENSHGLG00000013145	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000007481	ENSFDAG00000015975	Fukomys_damarensis
ENSODEP00000005135	ENSODEG00000003888	Octodon_degus
ENSMLUP00000019470	ENSMLUG00000022556	Myotis_lucifugus
ENSPVAP00000016486	ENSPVAG00000017477	Pteropus_vampyrus
ENSBMUP00000008963	ENSBMUG00000006993	Bos_mutus
ENSBIXP00000022815	ENSBIXG00000025608	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000040566	ENSBTAG00000017388	Bos_taurus
ENSBBBP00000000427	ENSBBBG00000001549	Bison_bison_bison
ENSCHIP00000003941	ENSCHIG00000008164	Capra_hircus
ENSOARP00000021983	ENSOARG00000020465	Ovis_aries
ENSTTRP00000013783	ENSTTRG00000014536	Tursiops_truncatus
ENSVPAP00000010547	ENSVPAG00000011327	Vicugna_pacos
ENSUMAP00000033811	ENSUMAG00000024374	Ursus_maritimus
ENSUAMP00000000392	ENSUAMG00000000432	Ursus_americanus
ENSAMEP00000002211	ENSAMEG00000002109	Ailuropoda_melanoleuca
ENSNVIP00000021157	ENSNVIG00000016564	Neovison_vison
ENSCAFP00000003663	ENSCAFG00000002512	Canis_lupus_familiaris
ENSCAFP00020002704	ENSCAFG00020002290	Canis_lupus_dingo
ENSVVUP00000002101	ENSVVUG00000001709	Vulpes_vulpes
ENSPTIP00000002731	ENSPTIG00000005685	Panthera_tigris_altaica
ENSPPRP00000025471	ENSPPRG00000015728	Panthera_pardus
ENSECAP00000017098	ENSECAG00000019655	Equus_caballus
ENSEASP00005001631	ENSEASG00005001318	Equus_asinus_asinus
ENSSARP00000000220	ENSSARG00000000249	Sorex_araneus
ENSOCUP00000012174	ENSOCUG00000014170	Oryctolagus_cuniculus
ENSOPRP00000007413	ENSOPRG00000008110	Ochotona_princeps
ENSTBEP00000014192	ENSTBEG00000016338	Tupaia_belangeri
ENSLAFP00000006396	ENSLAFG00000007616	Loxodonta_africana
ENSPCAP00000003449	ENSPCAG00000003719	Procavia_capensis
ENSDNOP00000032436	ENSDNOG00000033303	Dasypus_novemcinctus
ENSVURP00010015753	ENSVURG00010012058	Vombatus_ursinus
ENSVURP00010015750	ENSVURG00010012055	Vombatus_ursinus
ENSPCIP00000038174	ENSPCIG00000028099	Phascolarctos_cinereus
ENSSHAP00000017521	ENSSHAG00000014887	Sarcophilus_harrisii
ENSMODP00000055681	ENSMODG00000039243	Monodelphis_domestica
ENSXETP00000017889	ENSXETG00000001998	Xenopus_tropicalis
ENSCMIP00000003638	ENSCMIG00000002195	Callorhinchus_milii
