ENSCMIP00000029453	ENSCMIG00000012738	Callorhinchus_milii
ENSPPAP00000012580	ENSPPAG00000029474	Pan_paniscus
ENSPTRP00000074041	ENSPTRG00000042694	Pan_troglodytes
ENSGGOP00000030111	ENSGGOG00000024136	Gorilla_gorilla
ENSNLEP00000046801	ENSNLEG00000029861	Nomascus_leucogenys
ENSBIXP00000002774	ENSBIXG00000009227	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005038155	ENSBIXG00005020188	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000019217	ENSBTAG00000014453	Bos_taurus
ENSBMUP00000030346	ENSBMUG00000022705	Bos_mutus
ENSBBBP00000012105	ENSBBBG00000019977	Bison_bison_bison
ENSOARP00000018616	ENSOARG00000017343	Ovis_aries
ENSCHIP00000026594	ENSCHIG00000022851	Capra_hircus
ENSTTRP00000004962	ENSTTRG00000005263	Tursiops_truncatus
ENSSSCP00000023889	ENSSSCG00000026748	Sus_scrofa_strain_reference
ENSECAP00000015669	ENSECAG00000017777	Equus_caballus
ENSEASP00005025830	ENSEASG00005017636	Equus_asinus_asinus
ENSUAMP00000005048	ENSUAMG00000004546	Ursus_americanus
ENSUMAP00000011890	ENSUMAG00000008876	Ursus_maritimus
ENSAMEP00000015034	ENSAMEG00000014232	Ailuropoda_melanoleuca
ENSMPUP00000012091	ENSMPUG00000012187	Mustela_putorius_furo
ENSNVIP00000007299	ENSNVIG00000005796	Neovison_vison
ENSCAFP00000039127	ENSCAFG00000017658	Canis_lupus_familiaris
ENSCAFP00020027203	ENSCAFG00020021353	Canis_lupus_dingo
ENSVVUP00000007929	ENSVVUG00000005935	Vulpes_vulpes
ENSPPRP00000006118	ENSPPRG00000001631	Panthera_pardus
ENSPTIP00000020260	ENSPTIG00000017795	Panthera_tigris_altaica
ENSFCAP00000012006	ENSFCAG00000012944	Felis_catus
ENSMLUP00000011078	ENSMLUG00000012154	Myotis_lucifugus
ENSPVAP00000007974	ENSPVAG00000008443	Pteropus_vampyrus
ENSCHOP00000008851	ENSCHOG00000009990	Choloepus_hoffmanni
ENSDNOP00000013663	ENSDNOG00000017616	Dasypus_novemcinctus
ENSPCAP00000015101	ENSPCAG00000016147	Procavia_capensis
ENSETEP00000015861	ENSETEG00000019524	Echinops_telfairi
ENSLAFP00000004547	ENSLAFG00000005425	Loxodonta_africana
ENSP00000300093	ENSG00000166851	Homo_sapiens
ENSPPAP00000006228	ENSPPAG00000024619	Pan_paniscus
ENSPPYP00000008136	ENSPPYG00000007195	Pongo_abelii
ENSNLEP00000014587	ENSNLEG00000011984	Nomascus_leucogenys
ENSMLEP00000022747	ENSMLEG00000035577	Mandrillus_leucophaeus
ENSCSAP00000003020	ENSCSAG00000006734	Chlorocebus_sabaeus
ENSTGEP00000023943	ENSTGEG00000019364	Theropithecus_gelada
ENSPANP00000012406	ENSPANG00000018526	Papio_anubis
ENSCATP00000041075	ENSCATG00000043141	Cercocebus_atys
ENSMFAP00000039855	ENSMFAG00000046112	Macaca_fascicularis
ENSMMUP00000022766	ENSMMUG00000017306	Macaca_mulatta
ENSMNEP00000042261	ENSMNEG00000043893	Macaca_nemestrina
ENSCANP00000008111	ENSCANG00000026559	Colobus_angolensis_palliatus
ENSPTEP00000015655	ENSPTEG00000017296	Piliocolobus_tephrosceles
ENSGGOP00000043030	ENSGGOG00000012842	Gorilla_gorilla
ENSPTRP00000093799	ENSPTRG00000007892	Pan_troglodytes
ENSRBIP00000043081	ENSRBIG00000044742	Rhinopithecus_bieti
ENSRROP00000028392	ENSRROG00000037977	Rhinopithecus_roxellana
ENSCCAP00000019231	ENSCCAG00000027444	Cebus_capucinus_imitator
ENSCJAP00000038355	ENSCJAG00000020626	Callithrix_jacchus
ENSSBOP00000008730	ENSSBOG00000021260	Saimiri_boliviensis_boliviensis
ENSANAP00000016212	ENSANAG00000025968	Aotus_nancymaae
ENSTSYP00000001235	ENSTSYG00000001333	Carlito_syrichta
ENSTSYP00000016277	ENSTSYG00000037479	Carlito_syrichta
ENSPCOP00000008062	ENSPCOG00000015297	Propithecus_coquereli
ENSPSMP00000027251	ENSPSMG00000019049	Prolemur_simus
ENSMICP00000025574	ENSMICG00000035119	Microcebus_murinus
ENSOGAP00000004986	ENSOGAG00000005574	Otolemur_garnettii
ENSTBEP00000000286	ENSTBEG00000000330	Tupaia_belangeri	ENSTBET00000000330
ENSOCUP00000007325	ENSOCUG00000008476	Oryctolagus_cuniculus
ENSOPRP00000011029	ENSOPRG00000012087	Ochotona_princeps	ENSOPRT00000012083
ENSSARP00000009258	ENSSARG00000010172	Sorex_araneus
ENSVURP00010018116	ENSVURG00010013798	Vombatus_ursinus
ENSMEUP00000014126	ENSMEUG00000015478	Notamacropus_eugenii
ENSPCIP00000036070	ENSPCIG00000026611	Phascolarctos_cinereus
ENSSHAP00000006046	ENSSHAG00000005264	Sarcophilus_harrisii
ENSMODP00000008297	ENSMODG00000006693	Monodelphis_domestica
ENSOANP00000012214	ENSOANG00000007668	Ornithorhynchus_anatinus
ENSGALP00000009850	ENSGALG00000006110	Gallus_gallus
ENSMGAP00000006531	ENSMGAG00000006510	Meleagris_gallopavo
ENSCJPP00005011994	ENSCJPG00005010237	Coturnix_japonica
ENSNMEP00000013314	ENSNMEG00000012166	Numida_meleagris
ENSCPGP00000020557	ENSCPGG00000014371	Calidris_pygmaea
ENSCPUP00000024580	ENSCPUG00000016653	Calidris_pugnax
ENSABRP00000025474	ENSABRG00000021360	Anser_brachyrhynchus
ENSTGUP00000006290	ENSTGUG00000006112	Taeniopygia_guttata
ENSLSDP00000000419	ENSLSDG00000000353	Lonchura_striata_domestica
ENSSCAP00000004194	ENSSCAG00000003454	Serinus_canaria
ENSJHYP00000002542	ENSJHYG00000002128	Junco_hyemalis
ENSZALP00000010791	ENSZALG00000009087	Zonotrichia_albicollis
ENSFALP00000003937	ENSFALG00000003778	Ficedula_albicollis
ENSCCEP00000026387	ENSCCEG00000023187	Cyanistes_caeruleus
ENSPMJP00000000459	ENSPMJG00000000369	Parus_major
ENSMVIP00005011436	ENSMVIG00005008343	Manacus_vitellinus
ENSDNVP00000018173	ENSDNVG00000012706	Dromaius_novaehollandiae
ENSARWP00000004020	ENSARWG00000002962	Apteryx_rowi
ENSCPBP00000002613	ENSCPBG00000002100	Chrysemys_picta_bellii
ENSGAGP00000003103	ENSGAGG00000002501	Gopherus_agassizii
ENSCPBP00000002680	ENSCPBG00000002004	Chrysemys_picta_bellii
ENSPSIP00000006407	ENSPSIG00000005926	Pelodiscus_sinensis
ENSCPRP00005015892	ENSCPRG00005010993	Crocodylus_porosus
ENSSPUP00000013547	ENSSPUG00000010418	Sphenodon_punctatus
ENSNSUP00000027060	ENSNSUG00000019391	Notechis_scutatus
ENSNSUP00000002047	ENSNSUG00000001740	Notechis_scutatus
ENSPVIP00000012052	ENSPVIG00000009432	Pogona_vitticeps
ENSACAP00000011896	ENSACAG00000012078	Anolis_carolinensis
ENSSMRP00000021608	ENSSMRG00000016815	Salvator_merianae
ENSPKIP00000000017	ENSPKIG00000018828	Paramormyrops_kingsleyae
ENSPKIP00000033417	ENSPKIG00000013123	Paramormyrops_kingsleyae
ENSSFOP00015022338	ENSSFOG00015014375	Scleropages_formosus
ENSSMAP00000000893	ENSSMAG00000000544	Scophthalmus_maximus
ENSGACP00000021825	ENSGACG00000016526	Gasterosteus_aculeatus
ENSATEP00000007746	ENSATEG00000005392	Anabas_testudineus
ENSBSLP00000004695	ENSBSLG00000002512	Betta_splendens
ENSMAMP00000010686	ENSMAMG00000007199	Mastacembelus_armatus
ENSMALP00000027350	ENSMALG00000018933	Monopterus_albus
ENSSLDP00000020774	ENSSLDG00000016237	Seriola_lalandi_dorsalis
ENSSDUP00000020659	ENSSDUG00000015035	Seriola_dumerili
ENSLCAP00010049256	ENSLCAG00010022905	Lates_calcarifer
ENSAOCP00000031266	ENSAOCG00000022832	Amphiprion_ocellaris
ENSAPEP00000015764	ENSAPEG00000011207	Amphiprion_percula
ENSAPOP00000015699	ENSAPOG00000018751	Acanthochromis_polyacanthus
ENSSPAP00000020468	ENSSPAG00000015435	Stegastes_partitus
ENSPRNP00000034411	ENSPRNG00000017278	Parambassis_ranga
ENSACLP00000006294	ENSACLG00000004225	Astatotilapia_calliptera
ENSMZEP00005017924	ENSMZEG00005013471	Maylandia_zebra
ENSHBUP00000013604	ENSHBUG00000015434	Haplochromis_burtoni
ENSPNYP00000008642	ENSPNYG00000006585	Pundamilia_nyererei
ENSNBRP00000008116	ENSNBRG00000006324	Neolamprologus_brichardi
ENSACIP00000030641	ENSACIG00000023696	Amphilophus_citrinellus
ENSXMAP00000012866	ENSXMAG00000012832	Xiphophorus_maculatus
ENSXCOP00000007409	ENSXCOG00000005715	Xiphophorus_couchianus
ENSGAFP00000019950	ENSGAFG00000013489	Gambusia_affinis
ENSPREP00000000056	ENSPREG00000000073	Poecilia_reticulata
ENSPMEP00000032270	ENSPMEG00000020042	Poecilia_mexicana
ENSFHEP00000003758	ENSFHEG00000004658	Fundulus_heteroclitus
ENSCVAP00000030252	ENSCVAG00000018697	Cyprinodon_variegatus
ENSKMAP00000012277	ENSKMAG00000009205	Kryptolebias_marmoratus
ENSORLP00020009811	ENSORLG00020010703	Oryzias_latipes_ASM223471v1
ENSORLP00000041081	ENSORLG00000009603	Oryzias_latipes_ASM223467v1
ENSORLP00015009252	ENSORLG00015010079	Oryzias_latipes_ASM223469v1
ENSOMEP00000018255	ENSOMEG00000019980	Oryzias_melastigma
ENSLCRP00005006321	ENSLCRG00005003102	Larimichthys_crocea
ENSCGOP00000011463	ENSCGOG00000005526	Cottoperca_gobio
ENSLBEP00000011329	ENSLBEG00000008688	Labrus_bergylta
ENSTRUP00000037778	ENSTRUG00000014787	Takifugu_rubripes
ENSCSEP00000003267	ENSCSEG00000002130	Cynoglossus_semilaevis
ENSPMGP00000018620	ENSPMGG00000015193	Periophthalmus_magnuspinnatus
ENSHCOP00000023113	ENSHCOG00000011376	Hippocampus_comes
ENSGMOP00000019318	ENSGMOG00000017959	Gadus_morhua
ENSELUP00000016882	ENSELUG00000016673	Esox_lucius
ENSDCDP00000005527	ENSDCDG00000002694	Denticeps_clupeoides
ENSLOCP00000006824	ENSLOCG00000005649	Lepisosteus_oculatus
ENSEBUP00000015518	ENSEBUG00000009778	Eptatretus_burgeri
ENSCINP00000034627	ENSCING00000021186	Ciona_intestinalis
ENSCINP00000007493	ENSCING00000003627	Ciona_intestinalis
ENSCSAVP00000002306	ENSCSAVG00000001349	Ciona_savignyi
FBpp0074608	FBgn0003124	Drosophila_melanogaster
ENSCINP00000015359	ENSCING00000007490	Ciona_intestinalis
ENSPTEP00000012112	ENSPTEG00000013639	Piliocolobus_tephrosceles
YMR001C_mRNA	YMR001C	Saccharomyces_cerevisiae_strain_S288C
