ENSZALP00000001086	ENSZALG00000001320	Zonotrichia_albicollis
ENSVURP00010016655	ENSVURG00010012754	Vombatus_ursinus
ENSPCIP00000039532	ENSPCIG00000029002	Phascolarctos_cinereus
ENSMEUP00000011015	ENSMEUG00000012089	Notamacropus_eugenii
ENSSHAP00000004259	ENSSHAG00000003751	Sarcophilus_harrisii
ENSMODP00000056393	ENSMODG00000004895	Monodelphis_domestica
ENSOCUP00000035594	ENSOCUG00000017133	Oryctolagus_cuniculus
ENSOPRP00000009778	ENSOPRG00000010714	Ochotona_princeps
ENSPTRP00000071224	ENSPTRG00000021998	Pan_troglodytes
ENSPPAP00000001745	ENSPPAG00000007710	Pan_paniscus
ENSP00000414019	ENSG00000130055	Homo_sapiens
ENSGGOP00000021832	ENSGGOG00000001740	Gorilla_gorilla
ENSPPYP00000022879	ENSPPYG00000020439	Pongo_abelii
ENSNLEP00000045440	ENSNLEG00000000893	Nomascus_leucogenys
ENSTGEP00000009090	ENSTGEG00000007495	Theropithecus_gelada
ENSMLEP00000021466	ENSMLEG00000034921	Mandrillus_leucophaeus
ENSPANP00000036994	ENSPANG00000001063	Papio_anubis
ENSCATP00000027047	ENSCATG00000036917	Cercocebus_atys
ENSMFAP00000036976	ENSMFAG00000037742	Macaca_fascicularis
ENSMMUP00000067708	ENSMMUG00000013943	Macaca_mulatta
ENSMNEP00000017640	ENSMNEG00000032785	Macaca_nemestrina
ENSCSAP00000007813	ENSCSAG00000011616	Chlorocebus_sabaeus
ENSRBIP00000028575	ENSRBIG00000038171	Rhinopithecus_bieti
ENSRROP00000020623	ENSRROG00000034252	Rhinopithecus_roxellana
ENSPTEP00000018685	ENSPTEG00000020079	Piliocolobus_tephrosceles
ENSCANP00000026221	ENSCANG00000036530	Colobus_angolensis_palliatus
ENSCCAP00000027457	ENSCCAG00000031564	Cebus_capucinus_imitator
ENSCJAP00000028650	ENSCJAG00000015543	Callithrix_jacchus
ENSSBOP00000017692	ENSSBOG00000025477	Saimiri_boliviensis_boliviensis
ENSANAP00000028597	ENSANAG00000032100	Aotus_nancymaae
ENSTSYP00000001578	ENSTSYG00000001682	Carlito_syrichta
ENSPCOP00000026491	ENSPCOG00000025621	Propithecus_coquereli
ENSMICP00000025752	ENSMICG00000028527	Microcebus_murinus
ENSPSMP00000002106	ENSPSMG00000001587	Prolemur_simus
ENSOGAP00000010577	ENSOGAG00000011819	Otolemur_garnettii
ENSHGLP00000026609	ENSHGLG00000018925	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001006	ENSHGLG00100000809	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008488	ENSFDAG00000016765	Fukomys_damarensis
ENSCLAP00000015859	ENSCLAG00000010906	Chinchilla_lanigera
ENSODEP00000000490	ENSODEG00000000419	Octodon_degus
ENSCPOP00000024430	ENSCPOG00000035846	Cavia_porcellus
ENSUPAP00010017756	ENSUPAG00010014113	Urocitellus_parryii
ENSSTOP00000027259	ENSSTOG00000004472	Ictidomys_tridecemlineatus
ENSMMMP00000025179	ENSMMMG00000022047	Marmota_marmota_marmota
ENSSDAP00000010983	ENSSDAG00000009895	Spermophilus_dauricus
ENSCCNP00000010296	ENSCCNG00000010778	Castor_canadensis
ENSDORP00000020588	ENSDORG00000007039	Dipodomys_ordii
MGP_CAROLIEiJ_P0092270	MGP_CAROLIEiJ_G0033275	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000000583	ENSMSIG00000000545	Mus_spicilegus
MGP_SPRETEiJ_P0096034	MGP_SPRETEiJ_G0034439	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000019503	ENSMUSG00000019359	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0089886	MGP_PahariEiJ_G0031813	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000003772	ENSRNOG00000002800	Rattus_norvegicus
ENSMUGP00000011919	ENSMUGG00000010401	Meriones_unguiculatus
ENSMOCP00000024893	ENSMOCG00000021168	Microtus_ochrogaster
ENSPEMP00000027784	ENSPEMG00000023492	Peromyscus_maniculatus_bairdii
ENSCGRP00001014258	ENSCGRG00001015175	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017668	ENSCGRG00000012851	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000022147	ENSMAUG00000019667	Mesocricetus_auratus
ENSNGAP00000018633	ENSNGAG00000018708	Nannospalax_galili
ENSJJAP00000011477	ENSJJAG00000014781	Jaculus_jaculus
ENSTBEP00000004666	ENSTBEG00000005404	Tupaia_belangeri
ENSMLUP00000010142	ENSMLUG00000011115	Myotis_lucifugus
ENSPVAP00000013540	ENSPVAG00000014365	Pteropus_vampyrus
ENSCHIP00000029935	ENSCHIG00000024876	Capra_hircus
ENSOARP00000016813	ENSOARG00000015668	Ovis_aries
ENSBIXP00000004817	ENSBIXG00000011117	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044825	ENSBIXG00005002361	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000071663	ENSBTAG00000012863	Bos_taurus
ENSBMUP00000000452	ENSBMUG00000000406	Bos_mutus
ENSBBBP00000009758	ENSBBBG00000017903	Bison_bison_bison
ENSTTRP00000007454	ENSTTRG00000007879	Tursiops_truncatus
ENSSSCP00000028800	ENSSSCG00000012376	Sus_scrofa_strain_reference
ENSVPAP00000007987	ENSVPAG00000008581	Vicugna_pacos
ENSUAMP00000024878	ENSUAMG00000019406	Ursus_americanus
ENSUMAP00000000385	ENSUMAG00000000469	Ursus_maritimus
ENSAMEP00000009797	ENSAMEG00000009292	Ailuropoda_melanoleuca
ENSMPUP00000004393	ENSMPUG00000004426	Mustela_putorius_furo
ENSNVIP00000010695	ENSNVIG00000008455	Neovison_vison
ENSCAFP00020024384	ENSCAFG00020019191	Canis_lupus_dingo
ENSCAFP00000063918	ENSCAFG00000016850	Canis_lupus_familiaris
ENSVVUP00000009529	ENSVVUG00000007044	Vulpes_vulpes
ENSPPRP00000010303	ENSPPRG00000004509	Panthera_pardus
ENSPTIP00000023808	ENSPTIG00000020135	Panthera_tigris_altaica
ENSFCAP00000008005	ENSFCAG00000008635	Felis_catus
ENSEASP00005004044	ENSEASG00005003068	Equus_asinus_asinus
ENSECAP00000026163	ENSECAG00000007828	Equus_caballus
ENSSARP00000004854	ENSSARG00000005329	Sorex_araneus
ENSSARP00000009750	ENSSARG00000010805	Sorex_araneus
ENSEEUP00000014239	ENSEEUG00000015592	Erinaceus_europaeus
ENSPCAP00000000695	ENSPCAG00000000732	Procavia_capensis
ENSLAFP00000009307	ENSLAFG00000011119	Loxodonta_africana
ENSETEP00000000950	ENSETEG00000001172	Echinops_telfairi
ENSXETP00000028403	ENSXETG00000008408	Xenopus_tropicalis
ENSXETP00000027952	ENSXETG00000008709	Xenopus_tropicalis
ENSLACP00000018153	ENSLACG00000015991	Latimeria_chalumnae
ENSSFOP00015007651	ENSSFOG00015005034	Scleropages_formosus
ENSPKIP00000011732	ENSPKIG00000018707	Paramormyrops_kingsleyae
ENSAMXP00000000194	ENSAMXG00000000190	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005057242	ENSAMXG00005025301	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031149	ENSPNAG00000018359	Pygocentrus_nattereri
ENSIPUP00000028753	ENSIPUG00000019465	Ictalurus_punctatus
ENSEEEP00000030018	ENSEEEG00000014392	Electrophorus_electricus
ENSDARP00000149419	ENSDARG00000073870	Danio_rerio
ENSCHAP00000045889	ENSCHAG00000021301	Clupea_harengus
ENSDCDP00000033936	ENSDCDG00000023033	Denticeps_clupeoides
ENSXMAP00000013289	ENSXMAG00000013255	Xiphophorus_maculatus
ENSXCOP00000021101	ENSXCOG00000015787	Xiphophorus_couchianus
ENSGAFP00000029466	ENSGAFG00000019868	Gambusia_affinis
ENSPMEP00000028870	ENSPMEG00000000307	Poecilia_mexicana
ENSPLAP00000013147	ENSPLAG00000016601	Poecilia_latipinna
ENSPFOP00000011315	ENSPFOG00000010756	Poecilia_formosa
ENSPREP00000013860	ENSPREG00000009402	Poecilia_reticulata
ENSFHEP00000030575	ENSFHEG00000015943	Fundulus_heteroclitus
ENSCVAP00000029681	ENSCVAG00000017655	Cyprinodon_variegatus
ENSKMAP00000003527	ENSKMAG00000002693	Kryptolebias_marmoratus
ENSMZEP00005007604	ENSMZEG00005005820	Maylandia_zebra
ENSACLP00000028426	ENSACLG00000019290	Astatotilapia_calliptera
ENSHBUP00000029623	ENSHBUG00000014174	Haplochromis_burtoni
ENSPNYP00000013538	ENSPNYG00000010265	Pundamilia_nyererei
ENSONIP00000003489	ENSONIG00000002782	Oreochromis_niloticus
ENSNBRP00000029968	ENSNBRG00000022802	Neolamprologus_brichardi
ENSACIP00000013963	ENSACIG00000010862	Amphilophus_citrinellus
ENSGACP00000022634	ENSGACG00000017135	Gasterosteus_aculeatus
ENSBSLP00000021465	ENSBSLG00000011068	Betta_splendens
ENSHCOP00000003010	ENSHCOG00000004260	Hippocampus_comes
ENSTRUP00000024013	ENSTRUG00000009556	Takifugu_rubripes
ENSTNIP00000019942	ENSTNIG00000016828	Tetraodon_nigroviridis
ENSMMOP00000002470	ENSMMOG00000002007	Mola_mola
ENSLCRP00005027953	ENSLCRG00005011102	Larimichthys_crocea
ENSPMGP00000022008	ENSPMGG00000017822	Periophthalmus_magnuspinnatus
ENSAOCP00000030989	ENSAOCG00000022316	Amphiprion_ocellaris
ENSAPEP00000011365	ENSAPEG00000008107	Amphiprion_percula
ENSAPOP00000023582	ENSAPOG00000005468	Acanthochromis_polyacanthus
ENSAPOP00000033931	ENSAPOG00000022819	Acanthochromis_polyacanthus
ENSAPOP00000032436	ENSAPOG00000020312	Acanthochromis_polyacanthus
ENSSPAP00000007971	ENSSPAG00000006096	Stegastes_partitus
ENSGWIP00000033557	ENSGWIG00000017284	Gouania_willdenowi
ENSORLP00020019585	ENSORLG00020020594	Oryzias_latipes_ASM223471v1
ENSORLP00000002343	ENSORLG00000001881	Oryzias_latipes_ASM223467v1
ENSORLP00015027801	ENSORLG00015010067	Oryzias_latipes_ASM223469v1
ENSOMEP00000031953	ENSOMEG00000017094	Oryzias_melastigma
ENSSDUP00000026055	ENSSDUG00000018847	Seriola_dumerili
ENSSLDP00000028912	ENSSLDG00000022334	Seriola_lalandi_dorsalis
ENSSMAP00000026045	ENSSMAG00000015929	Scophthalmus_maximus
ENSLCAP00010037883	ENSLCAG00010017747	Lates_calcarifer
ENSCSEP00000007628	ENSCSEG00000004915	Cynoglossus_semilaevis
ENSLBEP00000011117	ENSLBEG00000008520	Labrus_bergylta
ENSPRNP00000007957	ENSPRNG00000004732	Parambassis_ranga
ENSMALP00000015128	ENSMALG00000010634	Monopterus_albus
ENSMAMP00000031046	ENSMAMG00000020908	Mastacembelus_armatus
ENSATEP00000022852	ENSATEG00000015838	Anabas_testudineus
ENSCGOP00000002734	ENSCGOG00000001424	Cottoperca_gobio
ENSGMOP00000004264	ENSGMOG00000004001	Gadus_morhua
ENSHHUP00000077943	ENSHHUG00000045508	Hucho_hucho
ENSHHUP00000000231	ENSHHUG00000000176	Hucho_hucho
ENSHHUP00000049902	ENSHHUG00000030154	Hucho_hucho
ENSELUP00000026929	ENSELUG00000002983	Esox_lucius
ENSLOCP00000018707	ENSLOCG00000015200	Lepisosteus_oculatus
ENSECRP00000020368	ENSECRG00000013684	Erpetoichthys_calabaricus
