ENSPMAP00000000811	ENSPMAG00000000740	Petromyzon_marinus	ENSPMAT00000000813
ENSEBUP00000008440	ENSEBUG00000005443	Eptatretus_burgeri	ENSEBUT00000008943
ENSHCOP00000008328	ENSHCOG00000010601	Hippocampus_comes
ENSGWIP00000048366	ENSGWIG00000023718	Gouania_willdenowi	ENSGWIT00000052308
ENSTNIP00000015742	ENSTNIG00000012769	Tetraodon_nigroviridis
ENSTRUP00000045677	ENSTRUG00000017819	Takifugu_rubripes
ENSLCRP00005063018	ENSLCRG00005023116	Larimichthys_crocea
ENSLBEP00000034769	ENSLBEG00000026093	Labrus_bergylta
ENSGACP00000005027	ENSGACG00000003823	Gasterosteus_aculeatus
ENSCGOP00000052868	ENSCGOG00000023209	Cottoperca_gobio
ENSMMOP00000005666	ENSMMOG00000004463	Mola_mola
ENSSDUP00000008802	ENSSDUG00000006427	Seriola_dumerili
ENSSLDP00000028735	ENSSLDG00000022183	Seriola_lalandi_dorsalis
ENSLCAP00010017124	ENSLCAG00010008052	Lates_calcarifer
ENSSMAP00000020049	ENSSMAG00000012259	Scophthalmus_maximus
ENSMALP00000011507	ENSMALG00000008149	Monopterus_albus
ENSMAMP00000005258	ENSMAMG00000003466	Mastacembelus_armatus
ENSATEP00000008851	ENSATEG00000006119	Anabas_testudineus
ENSBSLP00000024205	ENSBSLG00000011516	Betta_splendens
ENSGMOP00000010834	ENSGMOG00000010120	Gadus_morhua
ENSHHUP00000020056	ENSHHUG00000012512	Hucho_hucho
ENSELUP00000004507	ENSELUG00000005679	Esox_lucius
ENSPNAP00000013167	ENSPNAG00000019014	Pygocentrus_nattereri
ENSAMXP00000016189	ENSAMXG00000015731	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000002463	ENSIPUG00000001756	Ictalurus_punctatus
ENSEEEP00000033442	ENSEEEG00000015894	Electrophorus_electricus
ENSDARP00000101271	ENSDARG00000078261	Danio_rerio
ENSDCDP00000004973	ENSDCDG00000002454	Denticeps_clupeoides
ENSCHAP00000012899	ENSCHAG00000006846	Clupea_harengus
ENSSFOP00015004092	ENSSFOG00015002629	Scleropages_formosus
ENSPKIP00000040573	ENSPKIG00000017478	Paramormyrops_kingsleyae
ENSLOCP00000014281	ENSLOCG00000011613	Lepisosteus_oculatus
ENSECRP00000008138	ENSECRG00000005425	Erpetoichthys_calabaricus
ENSCMIP00000011474	ENSCMIG00000005887	Callorhinchus_milii
ENSLACP00000010509	ENSLACG00000009259	Latimeria_chalumnae
ENSCHOP00000003452	ENSCHOG00000003894	Choloepus_hoffmanni
ENSDNOP00000005173	ENSDNOG00000006666	Dasypus_novemcinctus
ENSEEUP00000002449	ENSEEUG00000002655	Erinaceus_europaeus
ENSBIXP00000024679	ENSBIXG00000026806	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022273	ENSBIXG00005025187	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000007584	ENSBTAG00000005769	Bos_taurus
ENSBMUP00000007054	ENSBMUG00000005588	Bos_mutus
ENSBBBP00000014862	ENSBBBG00000022664	Bison_bison_bison
ENSOARP00000009465	ENSOARG00000008813	Ovis_aries
ENSCHIP00000014980	ENSCHIG00000015782	Capra_hircus
ENSTTRP00000014694	ENSTTRG00000015497	Tursiops_truncatus
ENSSSCP00000054748	ENSSSCG00000011632	Sus_scrofa_strain_reference
ENSVPAP00000003395	ENSVPAG00000003659	Vicugna_pacos
ENSDNOP00000030033	ENSDNOG00000049268	Dasypus_novemcinctus
ENSPVAP00000011877	ENSPVAG00000012596	Pteropus_vampyrus
ENSMLUP00000000770	ENSMLUG00000000832	Myotis_lucifugus
ENSECAP00000029148	ENSECAG00000007467	Equus_caballus
ENSEASP00005006106	ENSEASG00005004355	Equus_asinus_asinus
ENSAMEP00000011436	ENSAMEG00000010832	Ailuropoda_melanoleuca
ENSUMAP00000021996	ENSUMAG00000015964	Ursus_maritimus
ENSMPUP00000009744	ENSMPUG00000009818	Mustela_putorius_furo
ENSNVIP00000029869	ENSNVIG00000023019	Neovison_vison
ENSCAFP00020035601	ENSCAFG00020027550	Canis_lupus_dingo
ENSCAFP00000066560	ENSCAFG00000006362	Canis_lupus_familiaris
ENSVVUP00000007321	ENSVVUG00000005145	Vulpes_vulpes
ENSPTIP00000003377	ENSPTIG00000006113	Panthera_tigris_altaica
ENSPPRP00000006791	ENSPPRG00000002115	Panthera_pardus
ENSFCAP00000046549	ENSFCAG00000019390	Felis_catus
ENSOCUP00000012313	ENSOCUG00000014309	Oryctolagus_cuniculus
ENSOPRP00000002238	ENSOPRG00000002374	Ochotona_princeps
ENSTBEP00000014034	ENSTBEG00000016127	Tupaia_belangeri
ENSMICP00000051696	ENSMICG00000048905	Microcebus_murinus
ENSPCOP00000006072	ENSPCOG00000014131	Propithecus_coquereli
ENSPSMP00000037852	ENSPSMG00000025964	Prolemur_simus
ENSP00000338766	ENSG00000113971	Homo_sapiens
ENSPTRP00000026546	ENSPTRG00000040799	Pan_troglodytes
ENSP00000488520	ENSG00000274810	Homo_sapiens
ENSGGOP00000010392	ENSGGOG00000010644	Gorilla_gorilla
ENSNLEP00000004077	ENSNLEG00000003236	Nomascus_leucogenys
ENSPANP00000026124	ENSPANG00000010239	Papio_anubis
ENSTGEP00000017370	ENSTGEG00000014042	Theropithecus_gelada
ENSCATP00000036041	ENSCATG00000040846	Cercocebus_atys
ENSMMUP00000068236	ENSMMUG00000021772	Macaca_mulatta
ENSMFAP00000028634	ENSMFAG00000045677	Macaca_fascicularis
ENSMNEP00000044863	ENSMNEG00000044982	Macaca_nemestrina
ENSMLEP00000039870	ENSMLEG00000043950	Mandrillus_leucophaeus
ENSCSAP00000006829	ENSCSAG00000010607	Chlorocebus_sabaeus
ENSRROP00000019048	ENSRROG00000033549	Rhinopithecus_roxellana
ENSRBIP00000042989	ENSRBIG00000044709	Rhinopithecus_bieti
ENSPTEP00000041336	ENSPTEG00000037886	Piliocolobus_tephrosceles
ENSCANP00000018895	ENSCANG00000032884	Colobus_angolensis_palliatus
ENSCCAP00000008411	ENSCCAG00000021931	Cebus_capucinus_imitator
ENSSBOP00000036876	ENSSBOG00000034548	Saimiri_boliviensis_boliviensis
ENSCJAP00000025745	ENSCJAG00000013933	Callithrix_jacchus
ENSANAP00000023751	ENSANAG00000029613	Aotus_nancymaae
ENSOGAP00000007026	ENSOGAG00000007842	Otolemur_garnettii
ENSTSYP00000002837	ENSTSYG00000003071	Carlito_syrichta
ENSHGLP00100025186	ENSHGLG00100018477	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019668	ENSHGLG00000014083	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005244	ENSFDAG00000014315	Fukomys_damarensis
ENSCLAP00000009352	ENSCLAG00000006494	Chinchilla_lanigera
ENSODEP00000024820	ENSODEG00000018155	Octodon_degus
ENSCPOP00000014191	ENSCPOG00000015737	Cavia_porcellus
ENSCAPP00000000440	ENSCAPG00000000319	Cavia_aperea
ENSSDAP00000009893	ENSSDAG00000008960	Spermophilus_dauricus
ENSSTOP00000010920	ENSSTOG00000012174	Ictidomys_tridecemlineatus
ENSUPAP00010028186	ENSUPAG00010022274	Urocitellus_parryii
ENSMMMP00000021948	ENSMMMG00000019279	Marmota_marmota_marmota
ENSCGRP00015009588	ENSCGRG00015007344	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021692	ENSCGRG00000015737	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018737	ENSCGRG00001018388	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000005397	ENSMAUG00000007379	Mesocricetus_auratus
ENSMOCP00000020734	ENSMOCG00000018314	Microtus_ochrogaster
ENSPEMP00000022492	ENSPEMG00000019838	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0093095	MGP_SPRETEiJ_G0033739	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015019	ENSMSIG00000012793	Mus_spicilegus
MGP_CAROLIEiJ_P0089374	MGP_CAROLIEiJ_G0032593	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000035167	ENSMUSG00000032558	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0025055	MGP_PahariEiJ_G0015461	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014636	ENSRNOG00000048978	Rattus_norvegicus
ENSMUGP00000009573	ENSMUGG00000008488	Meriones_unguiculatus
ENSNGAP00000000746	ENSNGAG00000000540	Nannospalax_galili
ENSJJAP00000001278	ENSJJAG00000001104	Jaculus_jaculus
ENSCCNP00000018127	ENSCCNG00000018372	Castor_canadensis
ENSDORP00000013453	ENSDORG00000014301	Dipodomys_ordii
ENSLAFP00000012327	ENSLAFG00000014718	Loxodonta_africana
ENSPCAP00000002964	ENSPCAG00000003090	Procavia_capensis
ENSETEP00000007984	ENSETEG00000009826	Echinops_telfairi
ENSSARP00000005283	ENSSARG00000005782	Sorex_araneus
ENSVURP00010028637	ENSVURG00010021918	Vombatus_ursinus
ENSPCIP00000031487	ENSPCIG00000022810	Phascolarctos_cinereus
ENSMEUP00000000750	ENSMEUG00000000801	Notamacropus_eugenii
ENSSHAP00000017902	ENSSHAG00000015197	Sarcophilus_harrisii
ENSMODP00000041960	ENSMODG00000044011	Monodelphis_domestica
ENSOANP00000010820	ENSOANG00000006780	Ornithorhynchus_anatinus
ENSGALP00000066479	ENSGALG00000049587	Gallus_gallus
ENSMGAP00000012062	ENSMGAG00000011522	Meleagris_gallopavo
ENSCJPP00005004308	ENSCJPG00005004239	Coturnix_japonica
ENSNMEP00000011128	ENSNMEG00000010468	Numida_meleagris
ENSABRP00000009639	ENSABRG00000008640	Anser_brachyrhynchus
ENSLSDP00000007869	ENSLSDG00000005907	Lonchura_striata_domestica
ENSTGUP00000004585	ENSTGUG00000004462	Taeniopygia_guttata
ENSSCAP00000002102	ENSSCAG00000001834	Serinus_canaria
ENSJHYP00000012833	ENSJHYG00000009967	Junco_hyemalis
ENSZALP00000004172	ENSZALG00000003958	Zonotrichia_albicollis
ENSCCEP00000013043	ENSCCEG00000012531	Cyanistes_caeruleus
ENSPMJP00000013335	ENSPMJG00000010130	Parus_major
ENSFALP00000012976	ENSFALG00000012429	Ficedula_albicollis
ENSMVIP00005018236	ENSMVIG00005012963	Manacus_vitellinus
ENSLCOP00000001584	ENSLCOG00000001276	Lepidothrix_coronata
ENSMUNP00000021630	ENSMUNG00000016312	Melopsittacus_undulatus
ENSCPUP00000006802	ENSCPUG00000004924	Calidris_pugnax
ENSCPGP00000020169	ENSCPGG00000014115	Calidris_pygmaea
ENSAHAP00000011136	ENSAHAG00000008077	Apteryx_haastii
ENSARWP00000021249	ENSARWG00000014518	Apteryx_rowi
ENSDNVP00000002618	ENSDNVG00000001776	Dromaius_novaehollandiae
ENSCPRP00005010273	ENSCPRG00005007174	Crocodylus_porosus
ENSCABP00000021188	ENSCABG00000015320	Chelonoidis_abingdonii
ENSGAGP00000016937	ENSGAGG00000012646	Gopherus_agassizii
ENSCPBP00000032879	ENSCPBG00000023048	Chrysemys_picta_bellii
ENSPVIP00000003572	ENSPVIG00000002130	Pogona_vitticeps
ENSACAP00000000388	ENSACAG00000000328	Anolis_carolinensis
ENSNSUP00000009061	ENSNSUG00000006907	Notechis_scutatus
ENSSMRP00000013045	ENSSMRG00000010161	Salvator_merianae
ENSSPUP00000020410	ENSSPUG00000015628	Sphenodon_punctatus
MGP_SPRETEiJ_P0093102	MGP_SPRETEiJ_G0033740	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0089381	MGP_CAROLIEiJ_G0032594	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000115381	ENSMUSG00000101152	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0025056	MGP_PahariEiJ_G0015462	Mus_pahari_strain_PAHARI_EIJ
ENSDNOP00000027749	ENSDNOG00000049662	Dasypus_novemcinctus
ENSUAMP00000010997	ENSUAMG00000008990	Ursus_americanus
ENSDORP00000024831	ENSDORG00000028725	Dipodomys_ordii
ENSXETP00000010243	ENSXETG00000010757	Xenopus_tropicalis
ENSCSAVP00000008622	ENSCSAVG00000005132	Ciona_savignyi
ENSCINP00000009831	ENSCING00000004752	Ciona_intestinalis
