ENSLACP00000022698	ENSLACG00000022314	Latimeria_chalumnae	ENSLACT00000025814
ENSXETP00000013750	ENSXETG00000000934	Xenopus_tropicalis	ENSXETT00000001079
ENSECRP00000011685	ENSECRG00000007785	Erpetoichthys_calabaricus
ENSUMAP00000034938	ENSUMAG00000025134	Ursus_maritimus
ENSUAMP00000023964	ENSUAMG00000018746	Ursus_americanus
ENSAMEP00000013019	ENSAMEG00000012377	Ailuropoda_melanoleuca
ENSCAFP00020030068	ENSCAFG00020023431	Canis_lupus_dingo
ENSCAFP00000030345	ENSCAFG00000023016	Canis_lupus_familiaris
ENSVVUP00000039709	ENSVVUG00000028296	Vulpes_vulpes
ENSPPRP00000006625	ENSPPRG00000002002	Panthera_pardus
ENSPTIP00000018146	ENSPTIG00000016362	Panthera_tigris_altaica
ENSFCAP00000042702	ENSFCAG00000044922	Felis_catus
ENSPVAP00000008144	ENSPVAG00000008627	Pteropus_vampyrus
ENSCLAP00000011522	ENSCLAG00000007941	Chinchilla_lanigera
ENSODEP00000022606	ENSODEG00000016590	Octodon_degus
ENSCPOP00000028307	ENSCPOG00000031097	Cavia_porcellus
ENSHGLP00100014580	ENSHGLG00100010787	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000010730	ENSHGLG00000007695	Heterocephalus_glaber_HetGla_female_1.0
ENSDORP00000022993	ENSDORG00000023371	Dipodomys_ordii
ENSCCNP00000031530	ENSCCNG00000030028	Castor_canadensis
ENSMSIP00000021086	ENSMSIG00000017903	Mus_spicilegus
ENSMUSP00000119124	ENSMUSG00000066892	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0090433	MGP_SPRETEiJ_G0032966	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0086881	MGP_CAROLIEiJ_G0031842	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022528	MGP_PahariEiJ_G0014708	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061580	ENSRNOG00000020368	Rattus_norvegicus
ENSMUGP00000024372	ENSMUGG00000020359	Meriones_unguiculatus
ENSCGRP00000021243	ENSCGRG00000015422	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021080	ENSCGRG00001020026	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015032047	ENSCGRG00015024200	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001958	ENSMAUG00000001474	Mesocricetus_auratus
ENSPEMP00000003747	ENSPEMG00000005521	Peromyscus_maniculatus_bairdii
ENSMOCP00000023806	ENSMOCG00000020422	Microtus_ochrogaster
ENSNGAP00000003800	ENSNGAG00000004623	Nannospalax_galili
ENSJJAP00000023149	ENSJJAG00000022996	Jaculus_jaculus
ENSUPAP00010028398	ENSUPAG00010022424	Urocitellus_parryii
ENSSDAP00000026240	ENSSDAG00000023796	Spermophilus_dauricus
ENSSTOP00000004727	ENSSTOG00000005277	Ictidomys_tridecemlineatus
ENSMMMP00000017651	ENSMMMG00000015655	Marmota_marmota_marmota
ENSOCUP00000008941	ENSOCUG00000010381	Oryctolagus_cuniculus
ENSOPRP00000006502	ENSOPRG00000007104	Ochotona_princeps
ENSMICP00000030232	ENSMICG00000033575	Microcebus_murinus
ENSPSMP00000030022	ENSPSMG00000020827	Prolemur_simus
ENSPCOP00000005729	ENSPCOG00000013856	Propithecus_coquereli
ENSOGAP00000013015	ENSOGAG00000014529	Otolemur_garnettii
ENSPTRP00000017776	ENSPTRG00000010450	Pan_troglodytes
ENSPPAP00000022908	ENSPPAG00000034634	Pan_paniscus
ENSP00000247977	ENSG00000127452	Homo_sapiens
ENSGGOP00000005863	ENSGGOG00000005995	Gorilla_gorilla
ENSPPYP00000010694	ENSPPYG00000009535	Pongo_abelii
ENSNLEP00000043462	ENSNLEG00000031752	Nomascus_leucogenys
ENSPANP00000009702	ENSPANG00000003096	Papio_anubis
ENSTGEP00000029615	ENSTGEG00000023814	Theropithecus_gelada
ENSMLEP00000037684	ENSMLEG00000042931	Mandrillus_leucophaeus
ENSMNEP00000042524	ENSMNEG00000043988	Macaca_nemestrina
ENSMMUP00000010344	ENSMMUG00000007875	Macaca_mulatta
ENSMFAP00000030501	ENSMFAG00000042424	Macaca_fascicularis
ENSCATP00000040214	ENSCATG00000042681	Cercocebus_atys
ENSCSAP00000003916	ENSCSAG00000007639	Chlorocebus_sabaeus
ENSPTEP00000034300	ENSPTEG00000032579	Piliocolobus_tephrosceles
ENSCANP00000022902	ENSCANG00000034880	Colobus_angolensis_palliatus
ENSRROP00000011757	ENSRROG00000030208	Rhinopithecus_roxellana
ENSRBIP00000033240	ENSRBIG00000040385	Rhinopithecus_bieti
ENSCCAP00000013756	ENSCCAG00000024683	Cebus_capucinus_imitator
ENSSBOP00000032424	ENSSBOG00000032393	Saimiri_boliviensis_boliviensis
ENSCJAP00000076376	ENSCJAG00000065299	Callithrix_jacchus
ENSANAP00000001480	ENSANAG00000012926	Aotus_nancymaae
ENSTSYP00000011491	ENSTSYG00000012528	Carlito_syrichta
ENSTBEP00000013243	ENSTBEG00000015282	Tupaia_belangeri
ENSLAFP00000000401	ENSLAFG00000000472	Loxodonta_africana
ENSPCAP00000011136	ENSPCAG00000012002	Procavia_capensis
ENSDNOP00000032470	ENSDNOG00000039725	Dasypus_novemcinctus
ENSEEUP00000010002	ENSEEUG00000010999	Erinaceus_europaeus
ENSCHOP00000001950	ENSCHOG00000002205	Choloepus_hoffmanni
ENSVURP00010032660	ENSVURG00010024907	Vombatus_ursinus
ENSVURP00010032663	ENSVURG00010024910	Vombatus_ursinus
ENSPCIP00000025054	ENSPCIG00000018856	Phascolarctos_cinereus
ENSSHAP00000012936	ENSSHAG00000011067	Sarcophilus_harrisii
ENSMUNP00000000235	ENSMUNG00000000266	Melopsittacus_undulatus
ENSCHAP00000016631	ENSCHAG00000008812	Clupea_harengus
ENSDCDP00000011368	ENSDCDG00000005646	Denticeps_clupeoides
ENSAMXP00000034034	ENSAMXG00000003855	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005032841	ENSAMXG00005015986	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027599	ENSPNAG00000013130	Pygocentrus_nattereri
ENSEEEP00000017483	ENSEEEG00000008652	Electrophorus_electricus
ENSIPUP00000000391	ENSIPUG00000000308	Ictalurus_punctatus
ENSHHUP00000040063	ENSHHUG00000024828	Hucho_hucho
ENSHHUP00000089397	ENSHHUG00000051615	Hucho_hucho
ENSELUP00000000018	ENSELUG00000001645	Esox_lucius
ENSAOCP00000005366	ENSAOCG00000008844	Amphiprion_ocellaris
ENSAPEP00000011240	ENSAPEG00000008056	Amphiprion_percula
ENSAPOP00000007915	ENSAPOG00000009957	Acanthochromis_polyacanthus
ENSSPAP00000003734	ENSSPAG00000002899	Stegastes_partitus
ENSPRNP00000008260	ENSPRNG00000004869	Parambassis_ranga
ENSXMAP00000016327	ENSXMAG00000016307	Xiphophorus_maculatus
ENSXCOP00000001009	ENSXCOG00000000821	Xiphophorus_couchianus
ENSGAFP00000004302	ENSGAFG00000002927	Gambusia_affinis
ENSPMEP00000022925	ENSPMEG00000004147	Poecilia_mexicana
ENSPFOP00000002659	ENSPFOG00000002788	Poecilia_formosa
ENSPFOP00000022059	ENSPFOG00000002646	Poecilia_formosa
ENSPMEP00000019303	ENSPMEG00000022302	Poecilia_mexicana
ENSPLAP00000021934	ENSPLAG00000006075	Poecilia_latipinna
ENSCVAP00000000762	ENSCVAG00000001698	Cyprinodon_variegatus
ENSFHEP00000013481	ENSFHEG00000014997	Fundulus_heteroclitus
ENSORLP00000028182	ENSORLG00000029587	Oryzias_latipes_ASM223467v1
ENSORLP00015013893	ENSORLG00015014795	Oryzias_latipes_ASM223469v1
ENSOMEP00000029129	ENSOMEG00000012574	Oryzias_melastigma
ENSHBUP00000005548	ENSHBUG00000006971	Haplochromis_burtoni
ENSMZEP00005012318	ENSMZEG00005009261	Maylandia_zebra
ENSPNYP00000010128	ENSPNYG00000007697	Pundamilia_nyererei
ENSNBRP00000032114	ENSNBRG00000024389	Neolamprologus_brichardi
ENSACLP00000005672	ENSACLG00000003817	Astatotilapia_calliptera
ENSONIP00000002962	ENSONIG00000002370	Oreochromis_niloticus
ENSACIP00000004592	ENSACIG00000003615	Amphilophus_citrinellus
ENSGWIP00000043291	ENSGWIG00000021649	Gouania_willdenowi
ENSCSEP00000004952	ENSCSEG00000003206	Cynoglossus_semilaevis
ENSTNIP00000018804	ENSTNIG00000015729	Tetraodon_nigroviridis
ENSTRUP00000056572	ENSTRUG00000021019	Takifugu_rubripes
ENSLBEP00000013095	ENSLBEG00000010085	Labrus_bergylta
ENSSLDP00000031617	ENSSLDG00000024212	Seriola_lalandi_dorsalis
ENSGACP00000021633	ENSGACG00000016387	Gasterosteus_aculeatus
ENSLCAP00010048421	ENSLCAG00010022520	Lates_calcarifer
ENSSMAP00000018166	ENSSMAG00000011116	Scophthalmus_maximus
ENSATEP00000002651	ENSATEG00000001905	Anabas_testudineus
ENSCGOP00000023760	ENSCGOG00000011321	Cottoperca_gobio
ENSLCRP00005000932	ENSLCRG00005000496	Larimichthys_crocea
ENSLBEP00000036025	ENSLBEG00000026995	Labrus_bergylta
ENSMMOP00000005128	ENSMMOG00000004084	Mola_mola
ENSKMAP00000025765	ENSKMAG00000019102	Kryptolebias_marmoratus
ENSSDUP00000004617	ENSSDUG00000003440	Seriola_dumerili
ENSBSLP00000021350	ENSBSLG00000010953	Betta_splendens
ENSHCOP00000005621	ENSHCOG00000007320	Hippocampus_comes
ENSGMOP00000020133	ENSGMOG00000018746	Gadus_morhua
ENSSFOP00015000061	ENSSFOG00015000081	Scleropages_formosus
ENSPKIP00000016330	ENSPKIG00000002701	Paramormyrops_kingsleyae
ENSCMIP00000006891	ENSCMIG00000003853	Callorhinchus_milii
