ENSEBUP00000004793	ENSEBUG00000003329	Eptatretus_burgeri	ENSEBUT00000005230
ENSPMAP00000000388	ENSPMAG00000000350	Petromyzon_marinus	ENSPMAT00000000389
ENSCAPP00000007179	ENSCAPG00000009176	Cavia_aperea
ENSMUGP00000003757	ENSMUGG00000003475	Meriones_unguiculatus
ENSCGRP00001017168	ENSCGRG00001017276	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015024737	ENSCGRG00015018788	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012893	ENSCGRG00000009389	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000018796	ENSMAUG00000017246	Mesocricetus_auratus
ENSPEMP00000003312	ENSPEMG00000004612	Peromyscus_maniculatus_bairdii
ENSMOCP00000007793	ENSMOCG00000007667	Microtus_ochrogaster
ENSNGAP00000021694	ENSNGAG00000020795	Nannospalax_galili
ENSJJAP00000004136	ENSJJAG00000008343	Jaculus_jaculus
ENSOCUP00000008822	ENSOCUG00000010235	Oryctolagus_cuniculus
ENSOPRP00000000136	ENSOPRG00000000152	Ochotona_princeps
ENSCCAP00000039504	ENSCCAG00000037571	Cebus_capucinus_imitator
ENSSBOP00000022985	ENSSBOG00000028010	Saimiri_boliviensis_boliviensis
ENSCJAP00000062665	ENSCJAG00000042963	Callithrix_jacchus
ENSANAP00000032791	ENSANAG00000034084	Aotus_nancymaae
ENSSBOP00000009234	ENSSBOG00000021494	Saimiri_boliviensis_boliviensis
ENSCCAP00000012591	ENSCCAG00000024084	Cebus_capucinus_imitator
ENSANAP00000023175	ENSANAG00000029344	Aotus_nancymaae
ENSPTRP00000052249	ENSPTRG00000000803	Pan_troglodytes
ENSPPAP00000011625	ENSPPAG00000029011	Pan_paniscus
ENSGGOP00000008321	ENSGGOG00000008515	Gorilla_gorilla
ENSP00000475700	ENSG00000162604	Homo_sapiens
ENSPPYP00000001502	ENSPPYG00000001288	Pongo_abelii
ENSNLEP00000018052	ENSNLEG00000014839	Nomascus_leucogenys
ENSTGEP00000011755	ENSTGEG00000009569	Theropithecus_gelada
ENSPANP00000034520	ENSPANG00000031405	Papio_anubis
ENSMFAP00000031051	ENSMFAG00000040223	Macaca_fascicularis
ENSMMUP00000014331	ENSMMUG00000010931	Macaca_mulatta
ENSMNEP00000020900	ENSMNEG00000034247	Macaca_nemestrina
ENSCATP00000037354	ENSCATG00000041406	Cercocebus_atys
ENSMLEP00000036352	ENSMLEG00000042294	Mandrillus_leucophaeus
ENSCSAP00000016682	ENSCSAG00000001335	Chlorocebus_sabaeus
ENSRROP00000023448	ENSRROG00000035570	Rhinopithecus_roxellana
ENSRBIP00000015995	ENSRBIG00000032068	Rhinopithecus_bieti
ENSCANP00000007499	ENSCANG00000024622	Colobus_angolensis_palliatus
ENSTSYP00000000583	ENSTSYG00000000632	Carlito_syrichta
ENSMICP00000047871	ENSMICG00000014211	Microcebus_murinus
ENSMICP00000046365	ENSMICG00000047806	Microcebus_murinus
ENSPSMP00000007247	ENSPSMG00000005394	Prolemur_simus
ENSPCOP00000003086	ENSPCOG00000009377	Propithecus_coquereli
ENSOGAP00000002543	ENSOGAG00000002838	Otolemur_garnettii
ENSTBEP00000001815	ENSTBEG00000002089	Tupaia_belangeri
ENSVVUP00000036999	ENSVVUG00000026483	Vulpes_vulpes
ENSCAFP00000053082	ENSCAFG00000018838	Canis_lupus_familiaris
ENSUMAP00000020934	ENSUMAG00000015321	Ursus_maritimus
ENSPTEP00000019075	ENSPTEG00000020461	Piliocolobus_tephrosceles
ENSCHOP00000011982	ENSCHOG00000013535	Choloepus_hoffmanni
ENSDNOP00000031537	ENSDNOG00000040148	Dasypus_novemcinctus
ENSLAFP00000011701	ENSLAFG00000013979	Loxodonta_africana
ENSPCAP00000008604	ENSPCAG00000009238	Procavia_capensis
ENSETEP00000014895	ENSETEG00000018327	Echinops_telfairi
ENSVURP00010010553	ENSVURG00010008155	Vombatus_ursinus
ENSPCIP00000026742	ENSPCIG00000020042	Phascolarctos_cinereus
ENSMEUP00000004356	ENSMEUG00000004778	Notamacropus_eugenii
ENSMODP00000002999	ENSMODG00000002469	Monodelphis_domestica
ENSGAGP00000000030	ENSGAGG00000000017	Gopherus_agassizii
ENSCABP00000031666	ENSCABG00000023128	Chelonoidis_abingdonii
ENSCPBP00000019291	ENSCPBG00000013955	Chrysemys_picta_bellii
ENSPSIP00000006545	ENSPSIG00000006049	Pelodiscus_sinensis
ENSARWP00000020948	ENSARWG00000014315	Apteryx_rowi	ENSARWT00000023754
ENSAOWP00000009504	ENSAOWG00000006526	Apteryx_owenii	ENSAOWT00000010775
ENSAHAP00000005011	ENSAHAG00000003890	Apteryx_haastii	ENSAHAT00000005635
ENSDNVP00000022116	ENSDNVG00000015409	Dromaius_novaehollandiae	ENSDNVT00000026682
ENSNPEP00000014876	ENSNPEG00000011112	Nothoprocta_perdicaria	ENSNPET00000015242
ENSABRP00000026798	ENSABRG00000022358	Anser_brachyrhynchus
ENSAPLP00000002868	ENSAPLG00000003403	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000012199	ENSMGAG00000011647	Meleagris_gallopavo
ENSCJPP00005014966	ENSCJPG00005012430	Coturnix_japonica
ENSGALP00000065933	ENSGALG00000051415	Gallus_gallus
ENSNMEP00000026870	ENSNMEG00000022554	Numida_meleagris
ENSMVIP00005011424	ENSMVIG00005008375	Manacus_vitellinus
ENSLCOP00000004676	ENSLCOG00000003537	Lepidothrix_coronata
ENSCCEP00000008056	ENSCCEG00000008377	Cyanistes_caeruleus
ENSPMJP00000004223	ENSPMJG00000003648	Parus_major
ENSFALP00000012985	ENSFALG00000012436	Ficedula_albicollis
ENSZALP00000010459	ENSZALG00000008839	Zonotrichia_albicollis
ENSLSDP00000025682	ENSLSDG00000017956	Lonchura_striata_domestica
ENSTGUP00000010080	ENSTGUG00000009771	Taeniopygia_guttata
ENSJHYP00000003296	ENSJHYG00000002710	Junco_hyemalis
ENSSCAP00000008771	ENSSCAG00000006671	Serinus_canaria
ENSCPGP00000003062	ENSCPGG00000002257	Calidris_pygmaea
ENSCPUP00000016610	ENSCPUG00000011473	Calidris_pugnax
ENSMUNP00000015888	ENSMUNG00000012236	Melopsittacus_undulatus
ENSCPRP00005008560	ENSCPRG00005006123	Crocodylus_porosus
ENSSMRP00000023252	ENSSMRG00000018059	Salvator_merianae
ENSNSUP00000001901	ENSNSUG00000001608	Notechis_scutatus
ENSPVIP00000030623	ENSPVIG00000022520	Pogona_vitticeps
ENSSPUP00000020726	ENSSPUG00000015914	Sphenodon_punctatus
ENSXETP00000028557	ENSXETG00000008304	Xenopus_tropicalis
ENSLACP00000000502	ENSLACG00000000447	Latimeria_chalumnae
ENSPKIP00000016259	ENSPKIG00000002662	Paramormyrops_kingsleyae
ENSSFOP00015028166	ENSSFOG00015018060	Scleropages_formosus
ENSHCOP00000002189	ENSHCOG00000003285	Hippocampus_comes
ENSPMGP00000025055	ENSPMGG00000020248	Periophthalmus_magnuspinnatus
ENSPMEP00000018936	ENSPMEG00000021906	Poecilia_mexicana
ENSPFOP00000002527	ENSPFOG00000002656	Poecilia_formosa
ENSPLAP00000027081	ENSPLAG00000015374	Poecilia_latipinna
ENSPREP00000006836	ENSPREG00000004735	Poecilia_reticulata
ENSXMAP00000040750	ENSXMAG00000022708	Xiphophorus_maculatus
ENSGAFP00000026098	ENSGAFG00000017610	Gambusia_affinis
ENSXCOP00000010684	ENSXCOG00000008070	Xiphophorus_couchianus
ENSFHEP00000020353	ENSFHEG00000022271	Fundulus_heteroclitus
ENSCVAP00000010541	ENSCVAG00000012715	Cyprinodon_variegatus
ENSGWIP00000001392	ENSGWIG00000000811	Gouania_willdenowi
ENSLCRP00005029618	ENSLCRG00005011776	Larimichthys_crocea
ENSCGOP00000046564	ENSCGOG00000020920	Cottoperca_gobio
ENSKMAP00000028474	ENSKMAG00000021109	Kryptolebias_marmoratus
ENSCSEP00000002300	ENSCSEG00000001546	Cynoglossus_semilaevis
ENSAOCP00000011870	ENSAOCG00000016245	Amphiprion_ocellaris
ENSAPEP00000004752	ENSAPEG00000003430	Amphiprion_percula
ENSAPOP00000023796	ENSAPOG00000005815	Acanthochromis_polyacanthus
ENSSPAP00000015289	ENSSPAG00000011508	Stegastes_partitus
ENSORLP00015001271	ENSORLG00015001871	Oryzias_latipes_ASM223469v1
ENSORLP00020024091	ENSORLG00020005315	Oryzias_latipes_ASM223471v1
ENSORLP00000039994	ENSORLG00000026692	Oryzias_latipes_ASM223467v1
ENSOMEP00000005115	ENSOMEG00000006104	Oryzias_melastigma
ENSGACP00000004139	ENSGACG00000003158	Gasterosteus_aculeatus
ENSMALP00000028981	ENSMALG00000020050	Monopterus_albus
ENSATEP00000007038	ENSATEG00000004946	Anabas_testudineus
ENSBSLP00000013875	ENSBSLG00000007293	Betta_splendens
ENSMAMP00000023660	ENSMAMG00000015915	Mastacembelus_armatus
ENSSDUP00000029482	ENSSDUG00000021238	Seriola_dumerili
ENSSLDP00000018389	ENSSLDG00000014446	Seriola_lalandi_dorsalis
ENSLCAP00010017500	ENSLCAG00010008311	Lates_calcarifer
ENSLBEP00000036061	ENSLBEG00000027022	Labrus_bergylta
ENSMMOP00000009246	ENSMMOG00000007159	Mola_mola
ENSACLP00000030350	ENSACLG00000020555	Astatotilapia_calliptera
ENSMZEP00005006365	ENSMZEG00005004900	Maylandia_zebra
ENSPNYP00000018602	ENSPNYG00000014055	Pundamilia_nyererei
ENSNBRP00000010280	ENSNBRG00000008011	Neolamprologus_brichardi
ENSACIP00000006722	ENSACIG00000005280	Amphilophus_citrinellus
ENSGMOP00000010918	ENSGMOG00000010212	Gadus_morhua
ENSHHUP00000083012	ENSHHUG00000048210	Hucho_hucho
ENSHHUP00000033898	ENSHHUG00000021372	Hucho_hucho
ENSELUP00000001452	ENSELUG00000001039	Esox_lucius
ENSDCDP00000025089	ENSDCDG00000018877	Denticeps_clupeoides
ENSCHAP00000019504	ENSCHAG00000009973	Clupea_harengus
ENSAMXP00000018460	ENSAMXG00000017918	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005045328	ENSAMXG00005020991	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000015391	ENSPNAG00000021422	Pygocentrus_nattereri
ENSIPUP00000037463	ENSIPUG00000025063	Ictalurus_punctatus
ENSEEEP00000036113	ENSEEEG00000017176	Electrophorus_electricus
ENSDARP00000074090	ENSDARG00000057042	Danio_rerio
ENSLOCP00000012150	ENSLOCG00000009936	Lepisosteus_oculatus
ENSECRP00000014638	ENSECRG00000009762	Erpetoichthys_calabaricus
ENSCMIP00000047347	ENSCMIG00000019416	Callorhinchus_milii
ENSCINP00000014129	ENSCING00000006877	Ciona_intestinalis
ENSCSAVP00000001537	ENSCSAVG00000000878	Ciona_savignyi
FBpp0071535	FBgn0034626	Drosophila_melanogaster
Y66D12A.21.1	WBGene00013446	Caenorhabditis_elegans_strain_N2
