ENSETEP00000014563	ENSETEG00000017924	Echinops_telfairi	ENSETET00000017923
ENSCCNP00000026516	ENSCCNG00000025733	Castor_canadensis	ENSCCNT00000033615
ENSCHOP00000000804	ENSCHOG00000000902	Choloepus_hoffmanni	ENSCHOT00000000903
ENSCHOP00000003660	ENSCHOG00000004136	Choloepus_hoffmanni	ENSCHOT00000004151
ENSDNOP00000030633	ENSDNOG00000048501	Dasypus_novemcinctus	ENSDNOT00000051905
ENSLAFP00000005122	ENSLAFG00000006110	Loxodonta_africana	ENSLAFT00000006109
ENSPCAP00000005952	ENSPCAG00000006394	Procavia_capensis	ENSPCAT00000006366
MGP_SPRETEiJ_P0038406	MGP_SPRETEiJ_G0020151	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0038406
ENSMSIP00000019252	ENSMSIG00000016385	Mus_spicilegus	ENSMSIT00000024317
ENSMUSP00000022786	ENSMUSG00000022179	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000022786
MGP_CAROLIEiJ_P0036684	MGP_CAROLIEiJ_G0019261	Mus_caroli_strain_CAROLI_EIJ
ENSPPAP00000027487	ENSPPAG00000036818	Pan_paniscus
ENSPTRP00000088218	ENSPTRG00000006155	Pan_troglodytes
ENSP00000299088	ENSG00000100802	Homo_sapiens
ENSGGOP00000014188	ENSGGOG00000014548	Gorilla_gorilla
ENSPPYP00000006426	ENSPPYG00000005653	Pongo_abelii
ENSNLEP00000018110	ENSNLEG00000014883	Nomascus_leucogenys
ENSRBIP00000001166	ENSRBIG00000006042	Rhinopithecus_bieti
ENSRROP00000001875	ENSRROG00000007559	Rhinopithecus_roxellana
ENSCANP00000022081	ENSCANG00000034482	Colobus_angolensis_palliatus
ENSPTEP00000017977	ENSPTEG00000019451	Piliocolobus_tephrosceles
ENSMNEP00000031246	ENSMNEG00000039045	Macaca_nemestrina
ENSMMUP00000060144	ENSMMUG00000008477	Macaca_mulatta
ENSMFAP00000008160	ENSMFAG00000001383	Macaca_fascicularis
ENSTGEP00000023516	ENSTGEG00000019035	Theropithecus_gelada
ENSPANP00000018019	ENSPANG00000011161	Papio_anubis
ENSMLEP00000033022	ENSMLEG00000040701	Mandrillus_leucophaeus
ENSCATP00000044770	ENSCATG00000044847	Cercocebus_atys
ENSCSAP00000012188	ENSCSAG00000016115	Chlorocebus_sabaeus
ENSCCAP00000001555	ENSCCAG00000009885	Cebus_capucinus_imitator
ENSSBOP00000004067	ENSSBOG00000018297	Saimiri_boliviensis_boliviensis
ENSCJAP00000051942	ENSCJAG00000008320	Callithrix_jacchus
ENSANAP00000001896	ENSANAG00000015389	Aotus_nancymaae
ENSTSYP00000001428	ENSTSYG00000001536	Carlito_syrichta
ENSPCOP00000003462	ENSPCOG00000010379	Propithecus_coquereli
ENSPSMP00000008539	ENSPSMG00000006267	Prolemur_simus
ENSMICP00000028232	ENSMICG00000009205	Microcebus_murinus
ENSOGAP00000004565	ENSOGAG00000005106	Otolemur_garnettii
ENSPVAP00000013010	ENSPVAG00000013798	Pteropus_vampyrus
ENSMLUP00000012985	ENSMLUG00000014274	Myotis_lucifugus
ENSNVIP00000027250	ENSNVIG00000021065	Neovison_vison
ENSMPUP00000007007	ENSMPUG00000007064	Mustela_putorius_furo
ENSUAMP00000010397	ENSUAMG00000008550	Ursus_americanus
ENSUMAP00000019188	ENSUMAG00000014095	Ursus_maritimus
ENSAMEP00000007856	ENSAMEG00000007462	Ailuropoda_melanoleuca
ENSCAFP00000016602	ENSCAFG00000011284	Canis_lupus_familiaris
ENSCAFP00020009457	ENSCAFG00020007664	Canis_lupus_dingo
ENSVVUP00000027037	ENSVVUG00000019857	Vulpes_vulpes
ENSPTIP00000014611	ENSPTIG00000013979	Panthera_tigris_altaica
ENSPPRP00000022520	ENSPPRG00000013008	Panthera_pardus
ENSFCAP00000053806	ENSFCAG00000006642	Felis_catus
ENSBIXP00005022094	ENSBIXG00005025024	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000039281	ENSBIXG00000004576	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000067240	ENSBTAG00000012725	Bos_taurus
ENSBMUP00000024293	ENSBMUG00000018246	Bos_mutus
ENSBBBP00000015595	ENSBBBG00000023354	Bison_bison_bison
ENSCHIP00000023924	ENSCHIG00000021325	Capra_hircus
ENSOARP00000020822	ENSOARG00000019382	Ovis_aries
ENSTTRP00000001420	ENSTTRG00000001504	Tursiops_truncatus
ENSSSCP00000042944	ENSSSCG00000031452	Sus_scrofa_strain_reference
ENSECAP00000013203	ENSECAG00000015564	Equus_caballus
ENSEASP00005016881	ENSEASG00005011700	Equus_asinus_asinus
ENSSARP00000009977	ENSSARG00000011065	Sorex_araneus
ENSPCIP00000037709	ENSPCIG00000027769	Phascolarctos_cinereus
ENSVURP00010026907	ENSVURG00010020627	Vombatus_ursinus
ENSMEUP00000004868	ENSMEUG00000005327	Notamacropus_eugenii
ENSMODP00000006369	ENSMODG00000005171	Monodelphis_domestica
ENSSHAP00000015682	ENSSHAG00000013361	Sarcophilus_harrisii
ENSOANP00000016999	ENSOANG00000010719	Ornithorhynchus_anatinus
ENSGAGP00000005198	ENSGAGG00000004222	Gopherus_agassizii
ENSCABP00000016595	ENSCABG00000012335	Chelonoidis_abingdonii
ENSCPBP00000037667	ENSCPBG00000026087	Chrysemys_picta_bellii
ENSSPUP00000000344	ENSSPUG00000000318	Sphenodon_punctatus
ENSPVIP00000019124	ENSPVIG00000014612	Pogona_vitticeps
ENSACAP00000001814	ENSACAG00000001898	Anolis_carolinensis
ENSNSUP00000020369	ENSNSUG00000014846	Notechis_scutatus
ENSSPUP00000000412	ENSSPUG00000000368	Sphenodon_punctatus
ENSXETP00000027806	ENSXETG00000008848	Xenopus_tropicalis
ENSLACP00000017370	ENSLACG00000015300	Latimeria_chalumnae
ENSECRP00000018335	ENSECRG00000012256	Erpetoichthys_calabaricus
ENSACLP00000031702	ENSACLG00000021499	Astatotilapia_calliptera
ENSEBUP00000016830	ENSEBUG00000010553	Eptatretus_burgeri
