ENSGGOP00000009593	ENSGGOG00000009799	Gorilla_gorilla
ENSLBEP00000021972	ENSLBEG00000016830	Labrus_bergylta
ENSCSAP00000005721	ENSCSAG00000009488	Chlorocebus_sabaeus
ENSCAFP00020003660	ENSCAFG00020003072	Canis_lupus_dingo
ENSCABP00000001528	ENSCABG00000001241	Chelonoidis_abingdonii
ENSPFOP00000005902	ENSPFOG00000003376	Poecilia_formosa
ENSLBEP00000026889	ENSLBEG00000020397	Labrus_bergylta
ENSRNOP00000048846	ENSRNOG00000000463	Rattus_norvegicus
ENSCABP00000001521	ENSCABG00000001235	Chelonoidis_abingdonii
ENSSARP00000012461	ENSSARG00000013744	Sorex_araneus
ENSABRP00000024804	ENSABRG00000020818	Anser_brachyrhynchus
ENSMPUP00000001950	ENSMPUG00000001968	Mustela_putorius_furo
ENSNGAP00000019335	ENSNGAG00000019134	Nannospalax_galili
ENSNBRP00000028253	ENSNBRG00000021434	Neolamprologus_brichardi
ENSMMMP00000027754	ENSMMMG00000024229	Marmota_marmota_marmota
ENSMMUP00000005144	ENSMMUG00000003850	Macaca_mulatta
ENSTTRP00000004034	ENSTTRG00000004283	Tursiops_truncatus
ENSLBEP00000038808	ENSLBEG00000028984	Labrus_bergylta
ENSAHAP00000004607	ENSAHAG00000003584	Apteryx_haastii
ENSMOCP00000018659	ENSMOCG00000016852	Microtus_ochrogaster
ENSMUGP00000020869	ENSMUGG00000017333	Meriones_unguiculatus
ENSPPYP00000019323	ENSPPYG00000017238	Pongo_abelii
ENSGAGP00000036454	ENSGAGG00000025854	Gopherus_agassizii
ENSPVAP00000001781	ENSPVAG00000001885	Pteropus_vampyrus
ENSNSUP00000002226	ENSNSUG00000001875	Notechis_scutatus
ENSCAFP00000001293	ENSCAFG00000000903	Canis_lupus_familiaris
ENSNSUP00000002224	ENSNSUG00000001874	Notechis_scutatus
ENSCGOP00000026428	ENSCGOG00000012455	Cottoperca_gobio
ENSP00000363840	ENSG00000204248	Homo_sapiens
ENSMEUP00000007851	ENSMEUG00000008535	Notamacropus_eugenii
ENSXETP00000007255	ENSXETG00000008147	Xenopus_tropicalis
ENSCATP00000009302	ENSCATG00000027998	Cercocebus_atys
ENSEASP00005030520	ENSEASG00005020780	Equus_asinus_asinus
ENSPTEP00000024238	ENSPTEG00000024706	Piliocolobus_tephrosceles
ENSSLDP00000023380	ENSSLDG00000018245	Seriola_lalandi_dorsalis
ENSSFOP00015029095	ENSSFOG00015018584	Scleropages_formosus
ENSFCAP00000026481	ENSFCAG00000004005	Felis_catus
ENSCCNP00000027729	ENSCCNG00000026716	Castor_canadensis
ENSPMAP00000002203	ENSPMAG00000002010	Petromyzon_marinus
ENSSTOP00000003268	ENSSTOG00000003578	Ictidomys_tridecemlineatus
ENSEEUP00000010046	ENSEEUG00000010805	Erinaceus_europaeus
ENSCGRP00015037823	ENSCGRG00015028292	Cricetulus_griseus_CriGri-PICR
ENSGAGP00000011301	ENSGAGG00000008743	Gopherus_agassizii
ENSMMOP00000013321	ENSMMOG00000010207	Mola_mola
ENSORLP00015019061	ENSORLG00015020244	Oryzias_latipes_ASM223469v1
ENSNPEP00000015543	ENSNPEG00000011605	Nothoprocta_perdicaria
ENSFDAP00000003007	ENSFDAG00000012643	Fukomys_damarensis
ENSCPUP00000024701	ENSCPUG00000016722	Calidris_pugnax
ENSLBEP00000027124	ENSLBEG00000020561	Labrus_bergylta
ENSNPEP00000015544	ENSNPEG00000011606	Nothoprocta_perdicaria
ENSMAMP00000021794	ENSMAMG00000014411	Mastacembelus_armatus
ENSMAMP00000008619	ENSMAMG00000005825	Mastacembelus_armatus
ENSAPEP00000019994	ENSAPEG00000014106	Amphiprion_percula
ENSONIP00000025199	ENSONIG00000020011	Oreochromis_niloticus
ENSXCOP00000018911	ENSXCOG00000014227	Xiphophorus_couchianus
ENSNLEP00000033814	ENSNLEG00000030023	Nomascus_leucogenys
ENSBIXP00000029765	ENSBIXG00000011504	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFCAP00000052562	ENSFCAG00000047214	Felis_catus
ENSHGLP00100021094	ENSHGLG00100015543	Heterocephalus_glaber_HetGla_1.0
ENSHCOP00000027641	ENSHCOG00000019853	Hippocampus_comes
ENSORLP00000008190	ENSORLG00000006525	Oryzias_latipes_ASM223467v1
ENSSPUP00000022762	ENSSPUG00000017474	Sphenodon_punctatus
ENSTRUP00000013314	ENSTRUG00000005534	Takifugu_rubripes
ENSLCAP00010050889	ENSLCAG00010023724	Lates_calcarifer
ENSXMAP00000014576	ENSXMAG00000014307	Xiphophorus_maculatus
ENSSPAP00000020333	ENSSPAG00000015246	Stegastes_partitus
ENSANAP00000017890	ENSANAG00000026780	Aotus_nancymaae
ENSECAP00000053567	ENSECAG00000029028	Equus_caballus
ENSPNYP00000016299	ENSPNYG00000012320	Pundamilia_nyererei
ENSSDUP00000031777	ENSSDUG00000022818	Seriola_dumerili
ENSOGAP00000018106	ENSOGAG00000025975	Otolemur_garnettii
ENSSDUP00000012905	ENSSDUG00000009368	Seriola_dumerili
ENSCCAP00000006919	ENSCCAG00000021086	Cebus_capucinus_imitator
ENSCHIP00000009451	ENSCHIG00000012269	Capra_hircus
ENSPPAP00000003108	ENSPPAG00000013099	Pan_paniscus
ENSDNOP00000031048	ENSDNOG00000047004	Dasypus_novemcinctus
ENSKMAP00000028889	ENSKMAG00000021370	Kryptolebias_marmoratus
ENSHGLP00000026023	ENSHGLG00000018531	Heterocephalus_glaber_HetGla_female_1.0
ENSLCAP00010010071	ENSLCAG00010004814	Lates_calcarifer
ENSRROP00000041719	ENSRROG00000044037	Rhinopithecus_roxellana
ENSMALP00000025206	ENSMALG00000017521	Monopterus_albus
ENSMFAP00000011877	ENSMFAG00000017491	Macaca_fascicularis
ENSMZEP00005032155	ENSMZEG00005023952	Maylandia_zebra
ENSLBEP00000020001	ENSLBEG00000015333	Labrus_bergylta
ENSUMAP00000017151	ENSUMAG00000012592	Ursus_maritimus
ENSOMEP00000031736	ENSOMEG00000016833	Oryzias_melastigma
ENSPMGP00000013472	ENSPMGG00000011060	Periophthalmus_magnuspinnatus
ENSDNVP00000017262	ENSDNVG00000012082	Dromaius_novaehollandiae
ENSATEP00000030850	ENSATEG00000021291	Anabas_testudineus
ENSAMXP00000014395	ENSAMXG00000013902	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPOP00000016937	ENSCPOG00000020466	Cavia_porcellus
ENSTNIP00000008297	ENSTNIG00000005596	Tetraodon_nigroviridis
ENSPTIP00000003034	ENSPTIG00000005735	Panthera_tigris_altaica
ENSIPUP00000007687	ENSIPUG00000005088	Ictalurus_punctatus	ENSIPUT00000008023
ENSMALP00000010062	ENSMALG00000007057	Monopterus_albus
ENSMNEP00000004903	ENSMNEG00000022236	Macaca_nemestrina
ENSLBEP00000029174	ENSLBEG00000022093	Labrus_bergylta
ENSPMEP00000027833	ENSPMEG00000012765	Poecilia_mexicana
ENSCVAP00000006813	ENSCVAG00000000792	Cyprinodon_variegatus
ENSBBBP00000006871	ENSBBBG00000003746	Bison_bison_bison
ENSTNIP00000021343	ENSTNIG00000018177	Tetraodon_nigroviridis
ENSLCRP00005018509	ENSLCRG00005007444	Larimichthys_crocea
ENSCHAP00000025326	ENSCHAG00000011880	Clupea_harengus
ENSCAPP00000015157	ENSCAPG00000015308	Cavia_aperea
ENSPKIP00000002347	ENSPKIG00000020188	Paramormyrops_kingsleyae
ENSMICP00000031828	ENSMICG00000000879	Microcebus_murinus
ENSMLEP00000040339	ENSMLEG00000044183	Mandrillus_leucophaeus
