ENSPCOP00000003405	ENSPCOG00000010238	Propithecus_coquereli
ENSOARP00000008577	ENSOARG00000007992	Ovis_aries
ENSBIXP00000043225	ENSBIXG00000027302	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017403	ENSBIXG00005020888	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000007968	ENSBTAG00000006064	Bos_taurus
ENSBMUP00000000392	ENSBMUG00000000366	Bos_mutus
ENSBBBP00000024532	ENSBBBG00000019499	Bison_bison_bison
ENSTTRP00000007923	ENSTTRG00000008364	Tursiops_truncatus
ENSSSCP00000014629	ENSSSCG00000013760	Sus_scrofa_strain_reference
ENSMPUP00000003239	ENSMPUG00000003271	Mustela_putorius_furo
ENSNVIP00000007851	ENSNVIG00000006245	Neovison_vison
ENSUMAP00000005949	ENSUMAG00000004697	Ursus_maritimus
ENSUAMP00000007947	ENSUAMG00000006807	Ursus_americanus
ENSAMEP00000013652	ENSAMEG00000012974	Ailuropoda_melanoleuca
ENSCAFP00000024396	ENSCAFG00000042729	Canis_lupus_familiaris
ENSCAFP00020008274	ENSCAFG00020006696	Canis_lupus_dingo
ENSVVUP00000037401	ENSVVUG00000026758	Vulpes_vulpes
ENSCAFP00000024394	ENSCAFG00000016588	Canis_lupus_familiaris
ENSNVIP00000007854	ENSNVIG00000006254	Neovison_vison
ENSPTIP00000000036	ENSPTIG00000000031	Panthera_tigris_altaica
ENSPPRP00000018133	ENSPPRG00000009886	Panthera_pardus
ENSFCAP00000003425	ENSFCAG00000003718	Felis_catus
ENSECAP00000028487	ENSECAG00000029150	Equus_caballus
ENSEASP00005022401	ENSEASG00005015311	Equus_asinus_asinus
ENSLAFP00000008984	ENSLAFG00000010734	Loxodonta_africana
ENSPCAP00000013037	ENSPCAG00000013888	Procavia_capensis
ENSVURP00010031657	ENSVURG00010024198	Vombatus_ursinus
ENSPCIP00000024373	ENSPCIG00000018374	Phascolarctos_cinereus
ENSMODP00000046319	ENSMODG00000050577	Monodelphis_domestica
