MGP_SPRETEiJ_P0039772	MGP_SPRETEiJ_G0020608	Mus_spretus_strain_SPRET/EiJ
ENSDORP00000008249	ENSDORG00000008787	Dipodomys_ordii
ENSBSLP00000029672	ENSBSLG00000014685	Betta_splendens
ENSMMOP00000004597	ENSMMOG00000003666	Mola_mola
ENSSPAP00000020113	ENSSPAG00000015163	Stegastes_partitus
ENSPCOP00000001133	ENSPCOG00000003565	Propithecus_coquereli
ENSXETP00000027637	ENSXETG00000008863	Xenopus_tropicalis
C07G2.3a.1	WBGene00000380	Caenorhabditis_elegans_strain_N2
ENSCATP00000013282	ENSCATG00000030742	Cercocebus_atys
ENSAPEP00000032073	ENSAPEG00000022782	Amphiprion_percula
ENSMODP00000002870	ENSMODG00000002356	Monodelphis_domestica
ENSDARP00000066759	ENSDARG00000045399	Danio_rerio
ENSMICP00000037863	ENSMICG00000000530	Microcebus_murinus
ENSMNEP00000029109	ENSMNEG00000037967	Macaca_nemestrina
ENSJHYP00000014814	ENSJHYG00000011462	Junco_hyemalis
ENSHGLP00000021947	ENSHGLG00000015664	Heterocephalus_glaber_HetGla_female_1.0
ENSMAMP00000034181	ENSMAMG00000022966	Mastacembelus_armatus
ENSUMAP00000030971	ENSUMAG00000022376	Ursus_maritimus
ENSNVIP00000026577	ENSNVIG00000020518	Neovison_vison
ENSMUSP00000022842	ENSMUSG00000022234	Mus_musculus_strain_reference_(CL57BL6)
ENSNSUP00000014501	ENSNSUG00000010732	Notechis_scutatus
ENSHGLP00100001762	ENSHGLG00100001374	Heterocephalus_glaber_HetGla_1.0
ENSGGOP00000027106	ENSGGOG00000024064	Gorilla_gorilla
ENSCAFP00020028699	ENSCAFG00020022484	Canis_lupus_dingo
ENSORLP00015017078	ENSORLG00015018104	Oryzias_latipes_ASM223469v1
ENSCCNP00000029691	ENSCCNG00000028443	Castor_canadensis
ENSORLP00000041280	ENSORLG00000007700	Oryzias_latipes_ASM223467v1
ENSMGAP00000006150	ENSMGAG00000006124	Meleagris_gallopavo
ENSTNIP00000010991	ENSTNIG00000008165	Tetraodon_nigroviridis
ENSLACP00000002511	ENSLACG00000002241	Latimeria_chalumnae	ENSLACT00000002531
ENSPNAP00000030546	ENSPNAG00000017351	Pygocentrus_nattereri
ENSLCAP00010012695	ENSLCAG00010005987	Lates_calcarifer
ENSCPRP00005021395	ENSCPRG00005014871	Crocodylus_porosus
ENSCSAP00000013358	ENSCSAG00000017323	Chlorocebus_sabaeus
ENSPVIP00000002842	ENSPVIG00000002404	Pogona_vitticeps
ENSCCEP00000013147	ENSCCEG00000012650	Cyanistes_caeruleus
ENSIPUP00000010561	ENSIPUG00000007193	Ictalurus_punctatus
ENSCGOP00000033036	ENSCGOG00000015148	Cottoperca_gobio
ENSCSAVP00000006478	ENSCSAVG00000003875	Ciona_savignyi
ENSABRP00000025262	ENSABRG00000021194	Anser_brachyrhynchus
ENSLAFP00000005126	ENSLAFG00000006113	Loxodonta_africana
ENSODEP00000002833	ENSODEG00000002175	Octodon_degus
ENSSBOP00000011897	ENSSBOG00000022734	Saimiri_boliviensis_boliviensis
ENSCCNP00000020114	ENSCCNG00000020139	Castor_canadensis
ENSCINP00000018097	ENSCING00000008893	Ciona_intestinalis
ENSDNOP00000008490	ENSDNOG00000010949	Dasypus_novemcinctus
ENSAMXP00000021238	ENSAMXG00000020625	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000021238
ENSPMEP00000008324	ENSPMEG00000010101	Poecilia_mexicana
ENSTGUP00000007878	ENSTGUG00000007632	Taeniopygia_guttata
ENSPPYP00000017138	ENSPPYG00000015342	Pongo_abelii
ENSSSCP00000062309	ENSSSCG00000024126	Sus_scrofa_strain_reference
ENSLCRP00005029771	ENSLCRG00005011677	Larimichthys_crocea
ENSBBBP00000027457	ENSBBBG00000023737	Bison_bison_bison
ENSSLDP00000010228	ENSSLDG00000008138	Seriola_lalandi_dorsalis
ENSCATP00000040481	ENSCATG00000042836	Cercocebus_atys
ENSCPOP00000001830	ENSCPOG00000002023	Cavia_porcellus
ENSMSIP00000028992	ENSMSIG00000024332	Mus_spicilegus
ENSCVAP00000005016	ENSCVAG00000006367	Cyprinodon_variegatus
ENSMUGP00000028979	ENSMUGG00000023993	Meriones_unguiculatus
ENSKMAP00000019537	ENSKMAG00000014519	Kryptolebias_marmoratus
FBpp0087095	FBgn0010621	Drosophila_melanogaster
ENSPNYP00000000687	ENSPNYG00000000537	Pundamilia_nyererei
ENSPTIP00000000335	ENSPTIG00000000558	Panthera_tigris_altaica
ENSTRUP00000023336	ENSTRUG00000009282	Takifugu_rubripes
ENSPCIP00000033649	ENSPCIG00000024961	Phascolarctos_cinereus
ENSAMEP00000004064	ENSAMEG00000003838	Ailuropoda_melanoleuca
ENSZALP00000023230	ENSZALG00000017985	Zonotrichia_albicollis
MGP_CAROLIEiJ_P0037996	MGP_CAROLIEiJ_G0019712	Mus_caroli_strain_CAROLI_EIJ
ENSSFOP00015020985	ENSSFOG00015013485	Scleropages_formosus
ENSDCDP00000027671	ENSDCDG00000020150	Denticeps_clupeoides	ENSDCDT00000036715
ENSPKIP00000029264	ENSPKIG00000010570	Paramormyrops_kingsleyae
ENSCANP00000013900	ENSCANG00000030388	Colobus_angolensis_palliatus
ENSXMAP00000019231	ENSXMAG00000019183	Xiphophorus_maculatus
ENSLSDP00000002295	ENSLSDG00000001831	Lonchura_striata_domestica
ENSOARP00000015311	ENSOARG00000014259	Ovis_aries
ENSRROP00000003774	ENSRROG00000015104	Rhinopithecus_roxellana
ENSFDAP00000015205	ENSFDAG00000002933	Fukomys_damarensis
ENSSPUP00000010543	ENSSPUG00000008130	Sphenodon_punctatus
ENSBIXP00005044923	ENSBIXG00005005013	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMLEP00000033713	ENSMLEG00000041028	Mandrillus_leucophaeus
MGP_PahariEiJ_P0027490	MGP_PahariEiJ_G0016088	Mus_pahari_strain_PAHARI_EIJ
ENSEBUP00000022257	ENSEBUG00000013713	Eptatretus_burgeri	ENSEBUT00000022833
ENSBIXP00000011377	ENSBIXG00000016630	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVURP00010027866	ENSVURG00010021320	Vombatus_ursinus
ENSNPEP00000019706	ENSNPEG00000014672	Nothoprocta_perdicaria
ENSPREP00000021025	ENSPREG00000014211	Poecilia_reticulata
ENSFALP00000008165	ENSFALG00000007823	Ficedula_albicollis
ENSRROP00000032158	ENSRROG00000039726	Rhinopithecus_roxellana
ENSHHUP00000036296	ENSHHUG00000022776	Hucho_hucho
ENSSTOP00000004101	ENSSTOG00000004573	Ictidomys_tridecemlineatus
ENSMUNP00000002212	ENSMUNG00000001965	Melopsittacus_undulatus
ENSPEMP00000026181	ENSPEMG00000022370	Peromyscus_maniculatus_bairdii
ENSMLEP00000040903	ENSMLEG00000044469	Mandrillus_leucophaeus
ENSLBEP00000017585	ENSLBEG00000013528	Labrus_bergylta
ENSODEP00000024963	ENSODEG00000018260	Octodon_degus
ENSPRNP00000047506	ENSPRNG00000022834	Parambassis_ranga
ENSSMAP00000028680	ENSSMAG00000017547	Scophthalmus_maximus
ENSUPAP00010007938	ENSUPAG00010006401	Urocitellus_parryii
ENSCPGP00000026708	ENSCPGG00000018408	Calidris_pygmaea
ENSGGOP00000027792	ENSGGOG00000024563	Gorilla_gorilla
ENSCJAP00000028138	ENSCJAG00000015280	Callithrix_jacchus
ENSATEP00000020209	ENSATEG00000014077	Anabas_testudineus
ENSACLP00000034409	ENSACLG00000023290	Astatotilapia_calliptera
ENSSCAP00000005793	ENSSCAG00000004583	Serinus_canaria
ENSCCAP00000039890	ENSCCAG00000037752	Cebus_capucinus_imitator
ENSCABP00000009383	ENSCABG00000007061	Chelonoidis_abingdonii
ENSMLUP00000007306	ENSMLUG00000007977	Myotis_lucifugus
ENSAHAP00000026366	ENSAHAG00000018362	Apteryx_haastii
ENSEEUP00000001800	ENSEEUG00000001974	Erinaceus_europaeus
ENSGAGP00000023626	ENSGAGG00000017319	Gopherus_agassizii
ENSAMXP00005022055	ENSAMXG00005011350	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAOCP00000011594	ENSAOCG00000015952	Amphiprion_ocellaris
ENSCANP00000026826	ENSCANG00000036793	Colobus_angolensis_palliatus
ENSMFAP00000039533	ENSMFAG00000045954	Macaca_fascicularis
ENSGMOP00000020899	ENSGMOG00000019427	Gadus_morhua
ENSCHOP00000008361	ENSCHOG00000009441	Choloepus_hoffmanni
ENSAOWP00000002759	ENSAOWG00000001987	Apteryx_owenii
ENSLOCP00000016710	ENSLOCG00000013549	Lepisosteus_oculatus
ENSSHAP00000001513	ENSSHAG00000001350	Sarcophilus_harrisii
ENSPMAP00000006714	ENSPMAG00000006044	Petromyzon_marinus	ENSPMAT00000006744
ENSMAUP00000024748	ENSMAUG00000021502	Mesocricetus_auratus
ENSGAFP00000013628	ENSGAFG00000009194	Gambusia_affinis
ENSPFOP00000001507	ENSPFOG00000001534	Poecilia_formosa
ENSCANP00000015368	ENSCANG00000031093	Colobus_angolensis_palliatus
ENSONIP00000018045	ENSONIG00000014352	Oreochromis_niloticus
ENSMPUP00000011165	ENSMPUG00000011256	Mustela_putorius_furo
ENSGACP00000003478	ENSGACG00000002643	Gasterosteus_aculeatus
ENSCCAP00000035214	ENSCCAG00000035500	Cebus_capucinus_imitator
ENSCMIP00000042019	ENSCMIG00000017477	Callorhinchus_milii	ENSCMIT00000042618
ENSCPBP00000008696	ENSCPBG00000006758	Chrysemys_picta_bellii
ENSPLAP00000003678	ENSPLAG00000005222	Poecilia_latipinna
ENSACIP00000002102	ENSACIG00000001688	Amphilophus_citrinellus
ENSODEP00000004065	ENSODEG00000003102	Octodon_degus
ENSPPAP00000011735	ENSPPAG00000029058	Pan_paniscus
ENSAPOP00000027277	ENSAPOG00000011719	Acanthochromis_polyacanthus
ENSMVIP00005007550	ENSMVIG00005005645	Manacus_vitellinus
ENSMOCP00000010774	ENSMOCG00000011025	Microtus_ochrogaster
ENSETEP00000004271	ENSETEG00000005252	Echinops_telfairi
ENSECRP00000007156	ENSECRG00000004768	Erpetoichthys_calabaricus
ENSCAFP00000014829	ENSCAFG00000010084	Canis_lupus_familiaris
ENSJJAP00000020006	ENSJJAG00000020803	Jaculus_jaculus
ENSNMEP00000007419	ENSNMEG00000007442	Numida_meleagris
ENSBTAP00000023778	ENSBTAG00000017889	Bos_taurus
ENSPVAP00000008800	ENSPVAG00000009334	Pteropus_vampyrus
ENSSDUP00000003058	ENSSDUG00000002340	Seriola_dumerili
ENSLCOP00000021193	ENSLCOG00000014990	Lepidothrix_coronata
ENSHBUP00000033979	ENSHBUG00000001178	Haplochromis_burtoni
ENSCAPP00000003376	ENSCAPG00000006170	Cavia_aperea
ENSNBRP00000001744	ENSNBRG00000001396	Neolamprologus_brichardi
ENSRBIP00000019314	ENSRBIG00000033635	Rhinopithecus_bieti
ENSCGRP00001003084	ENSCGRG00001003625	Cricetulus_griseus_CHOK1GS_HDv1
ENSTSYP00000027510	ENSTSYG00000005064	Carlito_syrichta
ENSOANP00000018368	ENSOANG00000011592	Ornithorhynchus_anatinus
ENSCSEP00000016664	ENSCSEG00000010704	Cynoglossus_semilaevis
ENSCJAP00000065903	ENSCJAG00000047293	Callithrix_jacchus
ENSCGRP00015007244	ENSCGRG00015005619	Cricetulus_griseus_CriGri-PICR
ENSPPRP00000012999	ENSPPRG00000006386	Panthera_pardus
ENSELUP00000000470	ENSELUG00000002060	Esox_lucius
ENSDCDP00000027798	ENSDCDG00000020187	Denticeps_clupeoides	ENSDCDT00000036861
ENSMMMP00000019065	ENSMMMG00000016876	Marmota_marmota_marmota
ENSPTEP00000021212	ENSPTEG00000022316	Piliocolobus_tephrosceles
ENSRNOP00000015886	ENSRNOG00000011632	Rattus_norvegicus
ENSACAP00000010334	ENSACAG00000010488	Anolis_carolinensis
ENSARWP00000022251	ENSARWG00000015161	Apteryx_rowi
ENSAPLP00000024290	ENSAPLG00000012960	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000023122	ENSCPUG00000015708	Calidris_pugnax
ENSPSIP00000008905	ENSPSIG00000008068	Pelodiscus_sinensis
ENSOMEP00000028734	ENSOMEG00000011967	Oryzias_melastigma
ENSNGAP00000006789	ENSNGAG00000010110	Nannospalax_galili
ENSORLP00020016505	ENSORLG00020017559	Oryzias_latipes_ASM223471v1
ENSSMRP00000020836	ENSSMRG00000016206	Salvator_merianae
ENSCGRP00000006330	ENSCGRG00000004632	Cricetulus_griseus_CriGri_1.0
ENSODEP00000008531	ENSODEG00000006371	Octodon_degus
ENSTTRP00000010429	ENSTTRG00000011018	Tursiops_truncatus
ENSCCAP00000020181	ENSCCAG00000027931	Cebus_capucinus_imitator
ENSMALP00000013332	ENSMALG00000009426	Monopterus_albus
ENSPMGP00000024340	ENSPMGG00000019686	Periophthalmus_magnuspinnatus
ENSPPAP00000027327	ENSPPAG00000036727	Pan_paniscus
ENSCJAP00000016628	ENSCJAG00000008977	Callithrix_jacchus
ENSBMUP00000009702	ENSBMUG00000007548	Bos_mutus
ENSCLAP00000011710	ENSCLAG00000008074	Chinchilla_lanigera
ENSGGOP00000045635	ENSGGOG00000014116	Gorilla_gorilla
ENSPEMP00000002991	ENSPEMG00000003936	Peromyscus_maniculatus_bairdii
ENSVVUP00000024352	ENSVVUG00000017838	Vulpes_vulpes
ENSCHIP00000019052	ENSCHIG00000018198	Capra_hircus
ENSRBIP00000016145	ENSRBIG00000032138	Rhinopithecus_bieti
ENSFHEP00000017351	ENSFHEG00000019233	Fundulus_heteroclitus
ENSGALP00000021255	ENSGALG00000013041	Gallus_gallus
ENSCJPP00005018308	ENSCJPG00005014920	Coturnix_japonica
ENSTBEP00000001032	ENSTBEG00000001201	Tupaia_belangeri
