ENSEBUP00000027776	ENSEBUG00000016991	Eptatretus_burgeri	ENSEBUT00000028352
ENSEBUP00000015853	ENSEBUG00000009973	Eptatretus_burgeri	ENSEBUT00000016429
ENSPMAP00000007750	ENSPMAG00000007018	Petromyzon_marinus	ENSPMAT00000007785
ENSPMAP00000006429	ENSPMAG00000005790	Petromyzon_marinus	ENSPMAT00000006458
ENSCHOP00000004064	ENSCHOG00000004598	Choloepus_hoffmanni	ENSCHOT00000004612
ENSDNOP00000025039	ENSDNOG00000045835	Dasypus_novemcinctus	ENSDNOT00000036530
ENSETEP00000001329	ENSETEG00000001647	Echinops_telfairi
ENSNPEP00000007377	ENSNPEG00000005526	Nothoprocta_perdicaria
ENSLSDP00000018108	ENSLSDG00000012922	Lonchura_striata_domestica
ENSTGUP00000013276	ENSTGUG00000012892	Taeniopygia_guttata
ENSSCAP00000015566	ENSSCAG00000011411	Serinus_canaria
ENSZALP00000006522	ENSZALG00000005923	Zonotrichia_albicollis
ENSJHYP00000018963	ENSJHYG00000014425	Junco_hyemalis
ENSCCEP00000001492	ENSCCEG00000001723	Cyanistes_caeruleus
ENSCCEP00000001500	ENSCCEG00000001736	Cyanistes_caeruleus
ENSPMJP00000012075	ENSPMJG00000009324	Parus_major
ENSFALP00000001964	ENSFALG00000001888	Ficedula_albicollis
ENSLCOP00000000695	ENSLCOG00000000606	Lepidothrix_coronata
ENSMVIP00005006962	ENSMVIG00005005228	Manacus_vitellinus
ENSCPGP00000002416	ENSCPGG00000001794	Calidris_pygmaea
ENSCPUP00000012352	ENSCPUG00000008747	Calidris_pugnax
ENSMUNP00000017868	ENSMUNG00000013682	Melopsittacus_undulatus
ENSABRP00000024668	ENSABRG00000020730	Anser_brachyrhynchus
ENSAPLP00000005273	ENSAPLG00000005668	Anas_platyrhynchos_platyrhynchos
ENSGALP00000064997	ENSGALG00000036189	Gallus_gallus
ENSCJPP00005009020	ENSCJPG00005007988	Coturnix_japonica
ENSMGAP00000014755	ENSMGAG00000013948	Meleagris_gallopavo
ENSNMEP00000025022	ENSNMEG00000021211	Numida_meleagris
ENSCPRP00005014656	ENSCPRG00005010301	Crocodylus_porosus
ENSCABP00000009197	ENSCABG00000006906	Chelonoidis_abingdonii
ENSGAGP00000004460	ENSGAGG00000003692	Gopherus_agassizii
ENSCPBP00000031364	ENSCPBG00000022020	Chrysemys_picta_bellii
ENSPSIP00000018192	ENSPSIG00000016131	Pelodiscus_sinensis
ENSACAP00000008997	ENSACAG00000009115	Anolis_carolinensis
ENSPVIP00000003703	ENSPVIG00000003070	Pogona_vitticeps
ENSNSUP00000009889	ENSNSUG00000007535	Notechis_scutatus
ENSSMRP00000014390	ENSSMRG00000011214	Salvator_merianae
ENSSPUP00000009257	ENSSPUG00000007189	Sphenodon_punctatus
ENSXETP00000041345	ENSXETG00000019294	Xenopus_tropicalis
ENSXETP00000043219	ENSXETG00000002208	Xenopus_tropicalis
ENSLACP00000010976	ENSLACG00000009657	Latimeria_chalumnae
ENSDCDP00000015732	ENSDCDG00000012740	Denticeps_clupeoides
ENSCHAP00000034215	ENSCHAG00000016210	Clupea_harengus
ENSAMXP00000048895	ENSAMXG00000034588	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005012051	ENSAMXG00005006547	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000019343	ENSPNAG00000003986	Pygocentrus_nattereri
ENSEEEP00000018398	ENSEEEG00000009037	Electrophorus_electricus
ENSIPUP00000025272	ENSIPUG00000017065	Ictalurus_punctatus
ENSDARP00000140347	ENSDARG00000014946	Danio_rerio
ENSMMOP00000015356	ENSMMOG00000011723	Mola_mola
ENSLBEP00000002139	ENSLBEG00000001666	Labrus_bergylta
ENSGACP00000008664	ENSGACG00000006549	Gasterosteus_aculeatus
ENSHBUP00000035061	ENSHBUG00000023026	Haplochromis_burtoni
ENSPNYP00000027838	ENSPNYG00000020956	Pundamilia_nyererei
ENSACLP00000008900	ENSACLG00000006060	Astatotilapia_calliptera
ENSMZEP00005005744	ENSMZEG00005004430	Maylandia_zebra
ENSNBRP00000015541	ENSNBRG00000012023	Neolamprologus_brichardi
ENSONIP00000012145	ENSONIG00000009668	Oreochromis_niloticus
ENSACIP00000022184	ENSACIG00000017245	Amphilophus_citrinellus
ENSXMAP00000010399	ENSXMAG00000010360	Xiphophorus_maculatus
ENSXCOP00000015778	ENSXCOG00000011925	Xiphophorus_couchianus
ENSGAFP00000011766	ENSGAFG00000007979	Gambusia_affinis
ENSPMEP00000015715	ENSPMEG00000018271	Poecilia_mexicana
ENSPFOP00000008734	ENSPFOG00000008708	Poecilia_formosa
ENSPLAP00000009567	ENSPLAG00000012405	Poecilia_latipinna
ENSPREP00000032534	ENSPREG00000022052	Poecilia_reticulata
ENSFHEP00000025899	ENSFHEG00000008418	Fundulus_heteroclitus
ENSCVAP00000016458	ENSCVAG00000019417	Cyprinodon_variegatus
ENSKMAP00000025817	ENSKMAG00000019127	Kryptolebias_marmoratus
ENSORLP00000012075	ENSORLG00000009631	Oryzias_latipes_ASM223467v1
ENSORLP00015004092	ENSORLG00015004862	Oryzias_latipes_ASM223469v1
ENSORLP00020000811	ENSORLG00020001515	Oryzias_latipes_ASM223471v1
ENSOMEP00000001199	ENSOMEG00000000027	Oryzias_melastigma
ENSTRUP00000037920	ENSTRUG00000014844	Takifugu_rubripes
ENSTNIP00000019655	ENSTNIG00000016555	Tetraodon_nigroviridis
ENSATEP00000031434	ENSATEG00000021660	Anabas_testudineus
ENSBSLP00000053204	ENSBSLG00000025081	Betta_splendens
ENSSMAP00000008737	ENSSMAG00000005390	Scophthalmus_maximus
ENSSLDP00000001911	ENSSLDG00000001541	Seriola_lalandi_dorsalis
ENSSDUP00000032321	ENSSDUG00000023215	Seriola_dumerili
ENSLCAP00010030347	ENSLCAG00010014277	Lates_calcarifer
ENSMALP00000000459	ENSMALG00000000377	Monopterus_albus
ENSMAMP00000007976	ENSMAMG00000005424	Mastacembelus_armatus
ENSLCRP00005039109	ENSLCRG00005015118	Larimichthys_crocea
ENSCGOP00000049907	ENSCGOG00000022145	Cottoperca_gobio
ENSAOCP00000000349	ENSAOCG00000003191	Amphiprion_ocellaris
ENSAPOP00000001950	ENSAPOG00000003322	Acanthochromis_polyacanthus
ENSSPAP00000008671	ENSSPAG00000006596	Stegastes_partitus
ENSPRNP00000009021	ENSPRNG00000005243	Parambassis_ranga
ENSCSEP00000014391	ENSCSEG00000009256	Cynoglossus_semilaevis
ENSGWIP00000041808	ENSGWIG00000021016	Gouania_willdenowi
ENSHCOP00000025619	ENSHCOG00000015909	Hippocampus_comes
ENSPMGP00000028695	ENSPMGG00000023092	Periophthalmus_magnuspinnatus
ENSGMOP00000006205	ENSGMOG00000005822	Gadus_morhua
ENSHHUP00000061777	ENSHHUG00000036583	Hucho_hucho
ENSHHUP00000077457	ENSHHUG00000045230	Hucho_hucho
ENSELUP00000020304	ENSELUG00000019551	Esox_lucius
ENSSFOP00015021465	ENSSFOG00015013803	Scleropages_formosus
ENSPKIP00000037260	ENSPKIG00000015512	Paramormyrops_kingsleyae
ENSLOCP00000020852	ENSLOCG00000016861	Lepisosteus_oculatus
ENSECRP00000019512	ENSECRG00000013004	Erpetoichthys_calabaricus
ENSCMIP00000039222	ENSCMIG00000016421	Callorhinchus_milii
