ENSPLAP00000003233	ENSPLAG00000004663	Poecilia_latipinna	ENSPLAT00000011717
ENSHCOP00000006474	ENSHCOG00000008279	Hippocampus_comes
ENSPTRP00000082673	ENSPTRG00000017733	Pan_troglodytes
ENSPNYP00000031773	ENSPNYG00000023972	Pundamilia_nyererei
ENSPNYP00000031771	ENSPNYG00000023969	Pundamilia_nyererei
ENSEEEP00000044312	ENSEEEG00000020937	Electrophorus_electricus
ENSMOCP00000008971	ENSMOCG00000009044	Microtus_ochrogaster
ENSMAMP00000020897	ENSMAMG00000014057	Mastacembelus_armatus
ENSMUSP00000137280	ENSMUSG00000021368	Mus_musculus_strain_reference_(CL57BL6)
ENSPVIP00000006244	ENSPVIG00000005188	Pogona_vitticeps
ENSFDAP00000022241	ENSFDAG00000007124	Fukomys_damarensis
ENSLCAP00010047375	ENSLCAG00010021990	Lates_calcarifer
ENSTSYP00000014590	ENSTSYG00000003538	Carlito_syrichta
ENSHBUP00000035027	ENSHBUG00000022963	Haplochromis_burtoni
ENSBIXP00005044414	ENSBIXG00005004866	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_PahariEiJ_P0040803	MGP_PahariEiJ_G0019534	Mus_pahari_strain_PAHARI_EIJ
ENSDARP00000040264	ENSDARG00000029581	Danio_rerio
ENSARWP00000005830	ENSARWG00000004151	Apteryx_rowi
ENSSSCP00000057927	ENSSSCG00000001053	Sus_scrofa_strain_reference
ENSBSLP00000029237	ENSBSLG00000014591	Betta_splendens
ENSPMAP00000002489	ENSPMAG00000002280	Petromyzon_marinus
ENSVVUP00000004874	ENSVVUG00000003837	Vulpes_vulpes
ENSNPEP00000013826	ENSNPEG00000010328	Nothoprocta_perdicaria
ENSCHIP00000026140	ENSCHIG00000022606	Capra_hircus
ENSONIP00000008045	ENSONIG00000006383	Oreochromis_niloticus
ENSOMEP00000013201	ENSOMEG00000014647	Oryzias_melastigma
ENSUMAP00000024654	ENSUMAG00000017937	Ursus_maritimus
ENSDORP00000015343	ENSDORG00000016305	Dipodomys_ordii
ENSCPBP00000010967	ENSCPBG00000008406	Chrysemys_picta_bellii
ENSPMEP00000001840	ENSPMEG00000002811	Poecilia_mexicana	ENSPMET00000013522
ENSDNOP00000007949	ENSDNOG00000010280	Dasypus_novemcinctus
ENSELUP00000000347	ENSELUG00000001946	Esox_lucius
ENSBMUP00000007163	ENSBMUG00000005661	Bos_mutus
ENSSBOP00000018436	ENSSBOG00000025824	Saimiri_boliviensis_boliviensis
ENSTTRP00000000991	ENSTTRG00000001053	Tursiops_truncatus
ENSCPRP00005003074	ENSCPRG00005002259	Crocodylus_porosus
ENSMMUP00000007142	ENSMMUG00000005406	Macaca_mulatta
ENSMPUP00000000681	ENSMPUG00000000683	Mustela_putorius_furo
ENSETEP00000008827	ENSETEG00000010877	Echinops_telfairi
ENSAMXP00000031509	ENSAMXG00000035166	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCLAP00000003258	ENSCLAG00000002338	Chinchilla_lanigera
ENSGAGP00000020925	ENSGAGG00000015332	Gopherus_agassizii
ENSSTOP00000021966	ENSSTOG00000023036	Ictidomys_tridecemlineatus
ENSOARP00000014648	ENSOARG00000013658	Ovis_aries
ENSCCNP00000015057	ENSCCNG00000015460	Castor_canadensis
ENSSLDP00000019986	ENSSLDG00000015642	Seriola_lalandi_dorsalis
ENSMSIP00000004992	ENSMSIG00000004544	Mus_spicilegus
FBpp0083936	FBgn0039158	Drosophila_melanogaster
ENSFHEP00000005989	ENSFHEG00000006999	Fundulus_heteroclitus	ENSFHET00000006258
ENSFALP00000013959	ENSFALG00000013376	Ficedula_albicollis
ENSMLEP00000000492	ENSMLEG00000001302	Mandrillus_leucophaeus
ENSPPRP00000005153	ENSPPRG00000001025	Panthera_pardus
ENSMAUP00000011872	ENSMAUG00000012343	Mesocricetus_auratus
ENSCVAP00000029629	ENSCVAG00000000449	Cyprinodon_variegatus	ENSCVAT00000022767
ENSLAFP00000018549	ENSLAFG00000006328	Loxodonta_africana
ENSPSIP00000004586	ENSPSIG00000004287	Pelodiscus_sinensis
ENSOCUP00000010315	ENSOCUG00000011995	Oryctolagus_cuniculus
ENSGACP00000006486	ENSGACG00000004896	Gasterosteus_aculeatus
ENSAMEP00000000541	ENSAMEG00000000506	Ailuropoda_melanoleuca
ENSNBRP00000030166	ENSNBRG00000022945	Neolamprologus_brichardi
ENSMGAP00000003018	ENSMGAG00000003289	Meleagris_gallopavo
ENSCAFP00020016199	ENSCAFG00020012993	Canis_lupus_dingo
ENSGAGP00000020836	ENSGAGG00000015327	Gopherus_agassizii
ENSGALP00000061243	ENSGALG00000012731	Gallus_gallus
ENSLOCP00000016174	ENSLOCG00000013127	Lepisosteus_oculatus
ENSETEP00000003780	ENSETEG00000004623	Echinops_telfairi
ENSMALP00000032413	ENSMALG00000022325	Monopterus_albus
ENSCJPP00005021402	ENSCJPG00005017117	Coturnix_japonica
ENSLACP00000012912	ENSLACG00000011370	Latimeria_chalumnae
ENSLCOP00000005564	ENSLCOG00000004139	Lepidothrix_coronata
ENSCGRP00015002568	ENSCGRG00015002056	Cricetulus_griseus_CriGri-PICR
ENSIPUP00000010848	ENSIPUG00000007381	Ictalurus_punctatus
ENSNLEP00000000960	ENSNLEG00000000779	Nomascus_leucogenys
ENSHGLP00100005005	ENSHGLG00100003794	Heterocephalus_glaber_HetGla_1.0
ENSHHUP00000072199	ENSHHUG00000042390	Hucho_hucho
ENSPCOP00000008657	ENSPCOG00000015624	Propithecus_coquereli
ENSCGRP00000006344	ENSCGRG00000004644	Cricetulus_griseus_CriGri_1.0
MGP_SPRETEiJ_P0035810	MGP_SPRETEiJ_G0019345	Mus_spretus_strain_SPRET/EiJ
ENSPREP00000014274	ENSPREG00000009673	Poecilia_reticulata	ENSPRET00000014419
ENSCAPP00000006935	ENSCAPG00000008994	Cavia_aperea
ENSBIXP00000001542	ENSBIXG00000000030	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHOP00000006422	ENSCHOG00000007255	Choloepus_hoffmanni
ENSTGUP00000006034	ENSTGUG00000005869	Taeniopygia_guttata
ENSTBEP00000014181	ENSTBEG00000016319	Tupaia_belangeri
ENSSCAP00000000763	ENSSCAG00000000658	Serinus_canaria
ENSCPUP00000002882	ENSCPUG00000002187	Calidris_pugnax
ENSABRP00000026806	ENSABRG00000022368	Anser_brachyrhynchus
ENSKMAP00000023588	ENSKMAG00000017485	Kryptolebias_marmoratus	ENSKMAT00000023888
ENSXMAP00000006303	ENSXMAG00000006283	Xiphophorus_maculatus	ENSXMAT00000006311
ENSNVIP00000025915	ENSNVIG00000020025	Neovison_vison
ENSACIP00000015093	ENSACIG00000011735	Amphilophus_citrinellus
ENSOPRP00000015730	ENSOPRG00000017233	Ochotona_princeps
ENSPCAP00000010594	ENSPCAG00000011381	Procavia_capensis
ENSCJAP00000055590	ENSCJAG00000005152	Callithrix_jacchus
ENSPANP00000013658	ENSPANG00000024977	Papio_anubis
ENSRROP00000032847	ENSRROG00000040051	Rhinopithecus_roxellana
ENSLSDP00000011865	ENSLSDG00000008707	Lonchura_striata_domestica
ENSCAFP00000058457	ENSCAFG00000009827	Canis_lupus_familiaris
ENSSPUP00000000190	ENSSPUG00000000199	Sphenodon_punctatus
ENSLCRP00005028121	ENSLCRG00005011152	Larimichthys_crocea
ENSMODP00000045156	ENSMODG00000010617	Monodelphis_domestica
ENSTGEP00000021456	ENSTGEG00000017316	Theropithecus_gelada
ENSPMGP00000001950	ENSPMGG00000001763	Periophthalmus_magnuspinnatus
ENSPKIP00000024914	ENSPKIG00000007972	Paramormyrops_kingsleyae	ENSPKIT00000005636
ENSCABP00000030590	ENSCABG00000022361	Chelonoidis_abingdonii
ENSTRUP00000012963	ENSTRUG00000005401	Takifugu_rubripes
ENSANAP00000022023	ENSANAG00000028789	Aotus_nancymaae
ENSSMAP00000028183	ENSSMAG00000017243	Scophthalmus_maximus
ENSRNOP00000019089	ENSRNOG00000014019	Rattus_norvegicus
ENSMEUP00000013574	ENSMEUG00000014877	Notamacropus_eugenii
