ENSPLAP00000031000	ENSPLAG00000022666	Poecilia_latipinna
ENSGGOP00000043567	ENSGGOG00000003287	Gorilla_gorilla
ENSCSAP00000011347	ENSCSAG00000015303	Chlorocebus_sabaeus
ENSFCAP00000052080	ENSFCAG00000006114	Felis_catus
ENSUAMP00000024712	ENSUAMG00000019274	Ursus_americanus
ENSHGLP00000005175	ENSHGLG00000003788	Heterocephalus_glaber_HetGla_female_1.0
ENSSLDP00000032757	ENSSLDG00000025092	Seriola_lalandi_dorsalis
ENSMODP00000009711	ENSMODG00000007818	Monodelphis_domestica
MGP_CAROLIEiJ_P0052109	MGP_CAROLIEiJ_G0023619	Mus_caroli_strain_CAROLI_EIJ
ENSXCOP00000027522	ENSXCOG00000020546	Xiphophorus_couchianus
ENSAMXP00005039864	ENSAMXG00005009593	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSECRP00000016027	ENSECRG00000010647	Erpetoichthys_calabaricus
MGP_PahariEiJ_P0063105	MGP_PahariEiJ_G0025071	Mus_pahari_strain_PAHARI_EIJ
ENSTRUP00000027174	ENSTRUG00000010768	Takifugu_rubripes
ENSCPBP00000009072	ENSCPBG00000006998	Chrysemys_picta_bellii
ENSRBIP00000033412	ENSRBIG00000040452	Rhinopithecus_bieti
ENSMGAP00000011031	ENSMGAG00000010601	Meleagris_gallopavo
ENSCSAVP00000002399	ENSCSAVG00000001403	Ciona_savignyi
ENSMLUP00000011973	ENSMLUG00000013144	Myotis_lucifugus
ENSCGRP00015006285	ENSCGRG00015004754	Cricetulus_griseus_CriGri-PICR
ENSCHAP00000002120	ENSCHAG00000001238	Clupea_harengus
ENSPVIP00000034476	ENSPVIG00000025179	Pogona_vitticeps
ENSFALP00000000787	ENSFALG00000000762	Ficedula_albicollis
ENSAPOP00000027267	ENSAPOG00000011686	Acanthochromis_polyacanthus
ENSCPUP00000005346	ENSCPUG00000003923	Calidris_pugnax
ENSCAFP00000037796	ENSCAFG00000011980	Canis_lupus_familiaris
ENSPMEP00000022413	ENSPMEG00000003339	Poecilia_mexicana
ENSCATP00000012013	ENSCATG00000030168	Cercocebus_atys
ENSOARP00000004283	ENSOARG00000004000	Ovis_aries
ENSMUGP00000006911	ENSMUGG00000006256	Meriones_unguiculatus
ENSUPAP00010011628	ENSUPAG00010009397	Urocitellus_parryii
ENSOMEP00000022901	ENSOMEG00000002746	Oryzias_melastigma
ENSORLP00015018249	ENSORLG00015000980	Oryzias_latipes_ASM223469v1
ENSMAUP00000001722	ENSMAUG00000001221	Mesocricetus_auratus
ENSTSYP00000008255	ENSTSYG00000008998	Carlito_syrichta
ENSPKIP00000012789	ENSPKIG00000000458	Paramormyrops_kingsleyae
ENSAOCP00000029553	ENSAOCG00000019904	Amphiprion_ocellaris
ENSANAP00000011232	ENSANAG00000023549	Aotus_nancymaae
ENSDARP00000093333	ENSDARG00000070078	Danio_rerio
ENSP00000497931	ENSG00000073734	Homo_sapiens
ENSGAFP00000027725	ENSGAFG00000018736	Gambusia_affinis
ENSFHEP00000010774	ENSFHEG00000013571	Fundulus_heteroclitus
ENSGALP00000017690	ENSGALG00000010891	Gallus_gallus
ENSEEEP00000011241	ENSEEEG00000005621	Electrophorus_electricus
ENSCPGP00000013226	ENSCPGG00000004675	Calidris_pygmaea
ENSECRP00000016068	ENSECRG00000010716	Erpetoichthys_calabaricus
