ENSRROP00000000344	ENSRROG00000001090	Rhinopithecus_roxellana
ENSRNOP00000002980	ENSRNOG00000002174	Rattus_norvegicus
ENSUAMP00000032299	ENSUAMG00000024694	Ursus_americanus
YCR017C_mRNA	YCR017C	Saccharomyces_cerevisiae_strain_S288C
ENSTTRP00000011961	ENSTTRG00000012605	Tursiops_truncatus
ENSMSIP00000030781	ENSMSIG00000025727	Mus_spicilegus
ENSPMJP00000008062	ENSPMJG00000006578	Parus_major
ENSCCEP00000015680	ENSCCEG00000014795	Cyanistes_caeruleus
ENSAHAP00000016847	ENSAHAG00000011997	Apteryx_haastii
ENSAOWP00000012915	ENSAOWG00000008822	Apteryx_owenii
ENSVPAP00000010947	ENSVPAG00000011766	Vicugna_pacos
ENSBIXP00005004190	ENSBIXG00005010255	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGGOP00000014129	ENSGGOG00000014483	Gorilla_gorilla
ENSMUGP00000010564	ENSMUGG00000009277	Meriones_unguiculatus
ENSLCOP00000001450	ENSLCOG00000001180	Lepidothrix_coronata
ENSPANP00000005446	ENSPANG00000022291	Papio_anubis
ENSMMUP00000019307	ENSMMUG00000014714	Macaca_mulatta
ENSOGAP00000000980	ENSOGAG00000001101	Otolemur_garnettii
ENSCPOP00000012772	ENSCPOG00000014177	Cavia_porcellus
ENSMLEP00000010326	ENSMLEG00000029355	Mandrillus_leucophaeus
ENSCPBP00000035940	ENSCPBG00000024990	Chrysemys_picta_bellii
ENSUPAP00010025704	ENSUPAG00010020291	Urocitellus_parryii
ENSBMUP00000015546	ENSBMUG00000011808	Bos_mutus
ENSETEP00000008527	ENSETEG00000010503	Echinops_telfairi
ENSPTEP00000028780	ENSPTEG00000028327	Piliocolobus_tephrosceles
ENSCCAP00000006398	ENSCCAG00000020925	Cebus_capucinus_imitator
ENSZALP00000017403	ENSZALG00000014063	Zonotrichia_albicollis
ENSNLEP00000021152	ENSNLEG00000017432	Nomascus_leucogenys
ENSCATP00000025888	ENSCATG00000036392	Cercocebus_atys
ENSCANP00000037765	ENSCANG00000042556	Colobus_angolensis_palliatus
ENSCJAP00000034611	ENSCJAG00000018615	Callithrix_jacchus
ENSCGRP00015007392	ENSCGRG00015005684	Cricetulus_griseus_CriGri-PICR
ENSTSYP00000000864	ENSTSYG00000000934	Carlito_syrichta
ENSCSAVP00000017676	ENSCSAVG00000010407	Ciona_savignyi
ENSAMEP00000008651	ENSAMEG00000008221	Ailuropoda_melanoleuca
ENSMVIP00005014640	ENSMVIG00005010573	Manacus_vitellinus
ENSTGUP00000008203	ENSTGUG00000007956	Taeniopygia_guttata
ENSLACP00000016716	ENSLACG00000014726	Latimeria_chalumnae
ENSPCAP00000001384	ENSPCAG00000001446	Procavia_capensis
ENSCMIP00000028281	ENSCMIG00000012282	Callorhinchus_milii
ENSECAP00000022426	ENSECAG00000024870	Equus_caballus
ENSNGAP00000012752	ENSNGAG00000014503	Nannospalax_galili
ENSCINP00000017675	ENSCING00000008659	Ciona_intestinalis
ENSUMAP00000002873	ENSUMAG00000002461	Ursus_maritimus
ENSSDAP00000011654	ENSSDAG00000010449	Spermophilus_dauricus
ENSP00000226432	ENSG00000109182	Homo_sapiens
ENSANAP00000039025	ENSANAG00000036936	Aotus_nancymaae
ENSCJPP00005012605	ENSCJPG00005010722	Coturnix_japonica	ENSCJPT00005018232
ENSGALP00000046911	ENSGALG00000041921	Gallus_gallus	ENSGALT00000055214
ENSRBIP00000032166	ENSRBIG00000039883	Rhinopithecus_bieti
ENSABRP00000001530	ENSABRG00000001332	Anser_brachyrhynchus	ENSABRT00000002240
ENSFDAP00000005632	ENSFDAG00000014598	Fukomys_damarensis
ENSCCNP00000027715	ENSCCNG00000026767	Castor_canadensis
ENSCGRP00001001414	ENSCGRG00001001137	Cricetulus_griseus_CHOK1GS_HDv1
MGP_SPRETEiJ_P0071259	MGP_SPRETEiJ_G0028291	Mus_spretus_strain_SPRET/EiJ
ENSDORP00000025004	ENSDORG00000012169	Dipodomys_ordii
ENSMICP00000004219	ENSMICG00000004623	Microcebus_murinus
ENSMOCP00000009739	ENSMOCG00000009924	Microtus_ochrogaster
ENSPVAP00000005718	ENSPVAG00000006050	Pteropus_vampyrus
ENSBBBP00000023542	ENSBBBG00000018248	Bison_bison_bison
ENSBTAP00000067965	ENSBTAG00000021347	Bos_taurus
ENSMUSP00000031040	ENSMUSG00000029154	Mus_musculus_strain_reference_(CL57BL6)
ENSCLAP00000017283	ENSCLAG00000011864	Chinchilla_lanigera
ENSODEP00000012771	ENSODEG00000009451	Octodon_degus
ENSTGEP00000029772	ENSTGEG00000023929	Theropithecus_gelada
MGP_PahariEiJ_P0031803	MGP_PahariEiJ_G0017077	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00000000223	ENSCGRG00000000221	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000015300	ENSOCUG00000017815	Oryctolagus_cuniculus
ENSPPYP00000016447	ENSPPYG00000014723	Pongo_abelii
ENSLSDP00000010476	ENSLSDG00000007720	Lonchura_striata_domestica
ENSAPLP00000019689	ENSAPLG00000003773	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000016866	ENSCPUG00000011633	Calidris_pugnax
ENSMEUP00000012983	ENSMEUG00000014209	Notamacropus_eugenii
ENSMAUP00000006732	ENSMAUG00000008567	Mesocricetus_auratus
ENSMLUP00000010376	ENSMLUG00000011362	Myotis_lucifugus
ENSCAPP00000014506	ENSCAPG00000014861	Cavia_aperea
ENSLAFP00000014162	ENSLAFG00000016893	Loxodonta_africana
ENSPTIP00000009125	ENSPTIG00000010287	Panthera_tigris_altaica
ENSJJAP00000002329	ENSJJAG00000003882	Jaculus_jaculus
ENSPPRP00000000821	ENSPPRG00000024574	Panthera_pardus
ENSHGLP00100001867	ENSHGLG00100001456	Heterocephalus_glaber_HetGla_1.0
ENSMNEP00000006515	ENSMNEG00000027526	Macaca_nemestrina
ENSOPRP00000001173	ENSOPRG00000001270	Ochotona_princeps
ENSBIXP00000022669	ENSBIXG00000025461	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTBEP00000000733	ENSTBEG00000000820	Tupaia_belangeri
ENSDNVP00000013172	ENSDNVG00000009318	Dromaius_novaehollandiae
ENSEEUP00000006903	ENSEEUG00000007560	Erinaceus_europaeus
ENSMGAP00000012533	ENSMGAG00000011942	Meleagris_gallopavo	ENSMGAT00000013429
ENSPSIP00000018630	ENSPSIG00000016496	Pelodiscus_sinensis
MGP_CAROLIEiJ_P0068617	MGP_CAROLIEiJ_G0027296	Mus_caroli_strain_CAROLI_EIJ
ENSMFAP00000045110	ENSMFAG00000000295	Macaca_fascicularis
ENSCSAP00000013250	ENSCSAG00000017220	Chlorocebus_sabaeus
ENSVVUP00000034413	ENSVVUG00000024853	Vulpes_vulpes
ENSARWP00000011758	ENSARWG00000008135	Apteryx_rowi
ENSCAFP00020002359	ENSCAFG00020001935	Canis_lupus_dingo
ENSPCOP00000022682	ENSPCOG00000023456	Propithecus_coquereli
