ENSMZEP00005033851	ENSMZEG00005025315	Maylandia_zebra
ENSCANP00000023541	ENSCANG00000035172	Colobus_angolensis_palliatus
ENSBIXP00005013240	ENSBIXG00005002823	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSABRP00000003317	ENSABRG00000003143	Anser_brachyrhynchus	ENSABRT00000004810
ENSMNEP00000013980	ENSMNEG00000031108	Macaca_nemestrina
ENSAMXP00005032976	ENSAMXG00005015916	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSETEP00000016365	ENSETEG00000020143	Echinops_telfairi
ENSMICP00000042960	ENSMICG00000016190	Microcebus_murinus
ENSEEUP00000009230	ENSEEUG00000010076	Erinaceus_europaeus
ENSPPAP00000037835	ENSPPAG00000041621	Pan_paniscus
ENSNMEP00000014500	ENSNMEG00000013021	Numida_meleagris
MGP_CAROLIEiJ_P0049216	MGP_CAROLIEiJ_G0023095	Mus_caroli_strain_CAROLI_EIJ
ENSPREP00000033458	ENSPREG00000022663	Poecilia_reticulata
ENSDCDP00000007090	ENSDCDG00000003704	Denticeps_clupeoides
ENSHHUP00000048074	ENSHHUG00000029157	Hucho_hucho
ENSMMUP00000029641	ENSMMUG00000022517	Macaca_mulatta
ENSARWP00000026253	ENSARWG00000017781	Apteryx_rowi
ENSJJAP00000011375	ENSJJAG00000014720	Jaculus_jaculus
ENSCSAP00000001371	ENSCSAG00000005071	Chlorocebus_sabaeus
ENSMLEP00000016267	ENSMLEG00000032281	Mandrillus_leucophaeus
ENSLCRP00005020391	ENSLCRG00005008328	Larimichthys_crocea
ENSDNOP00000009412	ENSDNOG00000012114	Dasypus_novemcinctus
ENSOANP00000002495	ENSOANG00000001562	Ornithorhynchus_anatinus
ENSCAFP00020015437	ENSCAFG00020012373	Canis_lupus_dingo
ENSCMIP00000024630	ENSCMIG00000010904	Callorhinchus_milii
ENSAPEP00000024063	ENSAPEG00000017049	Amphiprion_percula
ENSP00000251864	ENSG00000095627	Homo_sapiens
ENSPPYP00000003116	ENSPPYG00000002671	Pongo_abelii
ENSSDUP00000030589	ENSSDUG00000022012	Seriola_dumerili
ENSCPOP00000003779	ENSCPOG00000004190	Cavia_porcellus
ENSPKIP00000029276	ENSPKIG00000010586	Paramormyrops_kingsleyae
ENSGAFP00000003889	ENSGAFG00000002668	Gambusia_affinis
ENSECRP00000004976	ENSECRG00000003370	Erpetoichthys_calabaricus
ENSGGOP00000004180	ENSGGOG00000004250	Gorilla_gorilla
ENSCABP00000018688	ENSCABG00000013805	Chelonoidis_abingdonii
ENSATEP00000031381	ENSATEG00000021627	Anabas_testudineus
ENSPCAP00000006320	ENSPCAG00000006692	Procavia_capensis
ENSCGRP00000006837	ENSCGRG00000004981	Cricetulus_griseus_CriGri_1.0
ENSSDAP00000023589	ENSSDAG00000021404	Spermophilus_dauricus
ENSXETP00000022170	ENSXETG00000005998	Xenopus_tropicalis
ENSOCUP00000036279	ENSOCUG00000025327	Oryctolagus_cuniculus
ENSCAFP00000016607	ENSCAFG00000011266	Canis_lupus_familiaris
ENSCLAP00000005549	ENSCLAG00000003935	Chinchilla_lanigera
MGP_SPRETEiJ_P0051230	MGP_SPRETEiJ_G0024016	Mus_spretus_strain_SPRET/EiJ
ENSORLP00020033255	ENSORLG00020019231	Oryzias_latipes_ASM223471v1
ENSPFOP00000002162	ENSPFOG00000002145	Poecilia_formosa
ENSLCAP00010009274	ENSLCAG00010004444	Lates_calcarifer
ENSPMJP00000006368	ENSPMJG00000005371	Parus_major	ENSPMJT00000008910
ENSJHYP00000011295	ENSJHYG00000008807	Junco_hyemalis	ENSJHYT00000013670
ENSIPUP00000025490	ENSIPUG00000017232	Ictalurus_punctatus
ENSOARP00000013881	ENSOARG00000012963	Ovis_aries
ENSNLEP00000019694	ENSNLEG00000016228	Nomascus_leucogenys
ENSAHAP00000016672	ENSAHAG00000011848	Apteryx_haastii
ENSBIXP00000029655	ENSBIXG00000011346	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFHEP00000007845	ENSFHEG00000009203	Fundulus_heteroclitus
ENSPSIP00000016493	ENSPSIG00000014655	Pelodiscus_sinensis
ENSTGEP00000032191	ENSTGEG00000025725	Theropithecus_gelada
ENSCPGP00000001558	ENSCPGG00000001088	Calidris_pygmaea	ENSCPGT00000001718
ENSBTAP00000009002	ENSBTAG00000006855	Bos_taurus
ENSMOCP00000026612	ENSMOCG00000022360	Microtus_ochrogaster
ENSOARP00000015253	ENSOARG00000014200	Ovis_aries
ENSTBEP00000012524	ENSTBEG00000014417	Tupaia_belangeri
ENSACLP00000020738	ENSACLG00000014107	Astatotilapia_calliptera
ENSZALP00000004433	ENSZALG00000004157	Zonotrichia_albicollis	ENSZALT00000006684
ENSHBUP00000003886	ENSHBUG00000005216	Haplochromis_burtoni
ENSPCOP00000028078	ENSPCOG00000026619	Propithecus_coquereli
ENSOMEP00000036060	ENSOMEG00000023637	Oryzias_melastigma
ENSPTIP00000009177	ENSPTIG00000010264	Panthera_tigris_altaica
ENSVURP00010032808	ENSVURG00010025014	Vombatus_ursinus
ENSTSYP00000004514	ENSTSYG00000004935	Carlito_syrichta
ENSAMXP00000015817	ENSAMXG00000015146	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFALP00000002326	ENSFALG00000002237	Ficedula_albicollis	ENSFALT00000002338
ENSPMAP00000004843	ENSPMAG00000004416	Petromyzon_marinus
ENSFDAP00000003831	ENSFDAG00000013225	Fukomys_damarensis
ENSSARP00000008016	ENSSARG00000008828	Sorex_araneus
ENSOGAP00000001219	ENSOGAG00000001370	Otolemur_garnettii
ENSPNYP00000002218	ENSPNYG00000001706	Pundamilia_nyererei
ENSCCAP00000019091	ENSCCAG00000027375	Cebus_capucinus_imitator
ENSAPLP00000012392	ENSAPLG00000012609	Anas_platyrhynchos_platyrhynchos
ENSHCOP00000018336	ENSHCOG00000002840	Hippocampus_comes
ENSSSCP00000024641	ENSSSCG00000021075	Sus_scrofa_strain_reference
ENSCGOP00000028781	ENSCGOG00000013449	Cottoperca_gobio
ENSPPRP00000003793	ENSPPRG00000000191	Panthera_pardus
ENSMUNP00000009999	ENSMUNG00000007908	Melopsittacus_undulatus	ENSMUNT00000011566
ENSPCIP00000012394	ENSPCIG00000009739	Phascolarctos_cinereus
ENSSTOP00000002893	ENSSTOG00000003221	Ictidomys_tridecemlineatus
ENSMVIP00005005519	ENSMVIG00005004228	Manacus_vitellinus	ENSMVIT00005006322
ENSBMUP00000025430	ENSBMUG00000019050	Bos_mutus
ENSOPRP00000008425	ENSOPRG00000009180	Ochotona_princeps
ENSCJAP00000035779	ENSCJAG00000019270	Callithrix_jacchus
ENSMFAP00000023941	ENSMFAG00000043487	Macaca_fascicularis
ENSNVIP00000008344	ENSNVIG00000006502	Neovison_vison
ENSCHOP00000001497	ENSCHOG00000001690	Choloepus_hoffmanni
ENSCATP00000025139	ENSCATG00000035999	Cercocebus_atys
ENSGWIP00000046383	ENSGWIG00000022919	Gouania_willdenowi
ENSCPBP00000004708	ENSCPBG00000003780	Chrysemys_picta_bellii
ENSTBEP00000013028	ENSTBEG00000014978	Tupaia_belangeri
ENSCCNP00000018482	ENSCCNG00000018664	Castor_canadensis
ENSMEUP00000007055	ENSMEUG00000007717	Notamacropus_eugenii
ENSSMRP00000014711	ENSSMRG00000011443	Salvator_merianae
ENSMMOP00000018579	ENSMMOG00000014068	Mola_mola
ENSCPRP00005015621	ENSCPRG00005010931	Crocodylus_porosus
ENSHGLP00100018783	ENSHGLG00100013857	Heterocephalus_glaber_HetGla_1.0
ENSNSUP00000003259	ENSNSUG00000002633	Notechis_scutatus
ENSONIP00000020631	ENSONIG00000016382	Oreochromis_niloticus
ENSFCAP00000030437	ENSFCAG00000000632	Felis_catus
ENSGACP00000008717	ENSGACG00000006590	Gasterosteus_aculeatus
ENSCSEP00000010934	ENSCSEG00000006983	Cynoglossus_semilaevis
ENSGMOP00000018055	ENSGMOG00000016797	Gadus_morhua
ENSNBRP00000023464	ENSNBRG00000017920	Neolamprologus_brichardi
ENSAOCP00000003738	ENSAOCG00000007059	Amphiprion_ocellaris
ENSDNVP00000012220	ENSDNVG00000008575	Dromaius_novaehollandiae
ENSVPAP00000003717	ENSVPAG00000004000	Vicugna_pacos
ENSHHUP00000073735	ENSHHUG00000043259	Hucho_hucho
ENSEEEP00000012274	ENSEEEG00000006178	Electrophorus_electricus
ENSSLDP00000008159	ENSSLDG00000006423	Seriola_lalandi_dorsalis
ENSCHAP00000058248	ENSCHAG00000026245	Clupea_harengus
ENSCGRP00015015689	ENSCGRG00015011884	Cricetulus_griseus_CriGri-PICR
ENSPRNP00000029614	ENSPRNG00000014769	Parambassis_ranga
ENSCVAP00000017795	ENSCVAG00000020980	Cyprinodon_variegatus
ENSSBOP00000013625	ENSSBOG00000023561	Saimiri_boliviensis_boliviensis
ENSPMEP00000018933	ENSPMEG00000021893	Poecilia_mexicana
ENSAMEP00000016023	ENSAMEG00000015182	Ailuropoda_melanoleuca
ENSECAP00000008171	ENSECAG00000009748	Equus_caballus
ENSMAUP00000011655	ENSMAUG00000012164	Mesocricetus_auratus
ENSXCOP00000008368	ENSXCOG00000006412	Xiphophorus_couchianus
ENSCMIP00000024622	ENSCMIG00000010902	Callorhinchus_milii
ENSGALP00000068059	ENSGALG00000046180	Gallus_gallus
ENSBBBP00000017386	ENSBBBG00000007639	Bison_bison_bison
ENSHGLP00000015194	ENSHGLG00000010877	Heterocephalus_glaber_HetGla_female_1.0
ENSEASP00005021654	ENSEASG00005014802	Equus_asinus_asinus
ENSTTRP00000009633	ENSTTRG00000010147	Tursiops_truncatus
ENSCJPP00005025577	ENSCJPG00005020068	Coturnix_japonica
ENSPSMP00000025409	ENSPSMG00000017834	Prolemur_simus
ENSUPAP00010029542	ENSUPAG00010023246	Urocitellus_parryii
ENSDARP00000127267	ENSDARG00000007465	Danio_rerio
ENSAOWP00000027450	ENSAOWG00000018496	Apteryx_owenii
ENSCCEP00000018358	ENSCCEG00000016835	Cyanistes_caeruleus	ENSCCET00000028128
ENSVVUP00000013294	ENSVVUG00000009750	Vulpes_vulpes
ENSACAP00000009716	ENSACAG00000009854	Anolis_carolinensis
ENSMSIP00000037411	ENSMSIG00000031166	Mus_spicilegus
ENSGWIP00000046398	ENSGWIG00000022923	Gouania_willdenowi
ENSUMAP00000000828	ENSUMAG00000000705	Ursus_maritimus
ENSTGUP00000011255	ENSTGUG00000010905	Taeniopygia_guttata	ENSTGUT00000011376
ENSTNIP00000022085	ENSTNIG00000018898	Tetraodon_nigroviridis
ENSRBIP00000011585	ENSRBIG00000029668	Rhinopithecus_bieti
ENSMMMP00000004183	ENSMMMG00000003668	Marmota_marmota_marmota
ENSBSLP00000047214	ENSBSLG00000022383	Betta_splendens
ENSSMAP00000031478	ENSSMAG00000019271	Scophthalmus_maximus
ENSPVIP00000013024	ENSPVIG00000010131	Pogona_vitticeps
ENSPNAP00000021918	ENSPNAG00000005831	Pygocentrus_nattereri
MGP_PahariEiJ_P0022183	MGP_PahariEiJ_G0014583	Mus_pahari_strain_PAHARI_EIJ
ENSSPUP00000006574	ENSSPUG00000005015	Sphenodon_punctatus
ENSMALP00000032114	ENSMALG00000022115	Monopterus_albus
ENSORLP00015016142	ENSORLG00015017184	Oryzias_latipes_ASM223469v1
ENSUAMP00000011065	ENSUAMG00000009025	Ursus_americanus
ENSMUSP00000107231	ENSMUSG00000025081	Mus_musculus_strain_reference_(CL57BL6)
ENSPTEP00000032145	ENSPTEG00000030916	Piliocolobus_tephrosceles
ENSMODP00000012236	ENSMODG00000009788	Monodelphis_domestica
ENSMGAP00000017895	ENSMGAG00000011067	Meleagris_gallopavo
ENSDORP00000009387	ENSDORG00000009986	Dipodomys_ordii
ENSCHIP00000010163	ENSCHIG00000012766	Capra_hircus
ENSLAFP00000009675	ENSLAFG00000011575	Loxodonta_africana
ENSSHAP00000016824	ENSSHAG00000014311	Sarcophilus_harrisii
ENSPLAP00000024229	ENSPLAG00000010241	Poecilia_latipinna
ENSMPUP00000001969	ENSMPUG00000001987	Mustela_putorius_furo
ENSORLP00000006085	ENSORLG00000004833	Oryzias_latipes_ASM223467v1
ENSPTRP00000005225	ENSPTRG00000002958	Pan_troglodytes
ENSNPEP00000018991	ENSNPEG00000014157	Nothoprocta_perdicaria
ENSANAP00000036434	ENSANAG00000035710	Aotus_nancymaae
ENSSPAP00000024927	ENSSPAG00000018805	Stegastes_partitus
