FBpp0085954	FBgn0034310	Drosophila_melanogaster	FBtr0086775
T01G9.4.2	WBGene00003788	Caenorhabditis_elegans_strain_N2	T01G9.4.2
ENSEBUP00000008167	ENSEBUG00000005299	Eptatretus_burgeri	ENSEBUT00000008661
ENSEBUP00000020915	ENSEBUG00000012927	Eptatretus_burgeri	ENSEBUT00000021491
ENSPMAP00000002545	ENSPMAG00000002326	Petromyzon_marinus	ENSPMAT00000002557
ENSDNOP00000014375	ENSDNOG00000018516	Dasypus_novemcinctus
ENSCHIP00000018232	ENSCHIG00000017756	Capra_hircus
ENSOARP00000011790	ENSOARG00000010987	Ovis_aries
ENSBTAP00000034574	ENSBTAG00000016126	Bos_taurus
ENSBIXP00000006767	ENSBIXG00000012837	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000155	ENSBIXG00005030574	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000011111	ENSBMUG00000008558	Bos_mutus
ENSBBBP00000014393	ENSBBBG00000022127	Bison_bison_bison
ENSSSCP00000018230	ENSSSCG00000017207	Sus_scrofa_strain_reference
ENSTTRP00000013652	ENSTTRG00000014395	Tursiops_truncatus
ENSVPAP00000011025	ENSVPAG00000011848	Vicugna_pacos
ENSLAFP00000002400	ENSLAFG00000002866	Loxodonta_africana
ENSPCAP00000014702	ENSPCAG00000015658	Procavia_capensis
ENSPCIP00000005682	ENSPCIG00000004754	Phascolarctos_cinereus
ENSVURP00010015628	ENSVURG00010011954	Vombatus_ursinus
ENSMEUP00000015203	ENSMEUG00000016629	Notamacropus_eugenii
ENSMODP00000008983	ENSMODG00000007246	Monodelphis_domestica
ENSSHAP00000021829	ENSSHAG00000018482	Sarcophilus_harrisii
ENSOANP00000013229	ENSOANG00000008323	Ornithorhynchus_anatinus
ENSACAP00000006131	ENSACAG00000006230	Anolis_carolinensis
ENSPVIP00000001266	ENSPVIG00000001179	Pogona_vitticeps
ENSNSUP00000019258	ENSNSUG00000013476	Notechis_scutatus
ENSSMRP00000030257	ENSSMRG00000023203	Salvator_merianae
ENSSPUP00000012231	ENSSPUG00000009393	Sphenodon_punctatus
ENSABRP00000018966	ENSABRG00000015897	Anser_brachyrhynchus
ENSAPLP00000006729	ENSAPLG00000007065	Anas_platyrhynchos_platyrhynchos
ENSGALP00000012932	ENSGALG00000007974	Gallus_gallus
ENSMGAP00000009704	ENSMGAG00000009380	Meleagris_gallopavo
ENSCJPP00005027878	ENSCJPG00005021557	Coturnix_japonica
ENSNMEP00000012851	ENSNMEG00000011523	Numida_meleagris
ENSCCEP00000014719	ENSCCEG00000014030	Cyanistes_caeruleus
ENSPMJP00000000545	ENSPMJG00000000448	Parus_major
ENSFALP00000001270	ENSFALG00000001202	Ficedula_albicollis
ENSTGUP00000008982	ENSTGUG00000008703	Taeniopygia_guttata
ENSLSDP00000020445	ENSLSDG00000014479	Lonchura_striata_domestica
ENSJHYP00000007363	ENSJHYG00000005268	Junco_hyemalis
ENSZALP00000017657	ENSZALG00000014249	Zonotrichia_albicollis
ENSSCAP00000000939	ENSSCAG00000000676	Serinus_canaria
ENSLCOP00000002909	ENSLCOG00000002095	Lepidothrix_coronata
ENSMVIP00005002353	ENSMVIG00005001426	Manacus_vitellinus
ENSMUNP00000013340	ENSMUNG00000010397	Melopsittacus_undulatus
ENSCPGP00000001120	ENSCPGG00000000886	Calidris_pygmaea
ENSCPUP00000003354	ENSCPUG00000002546	Calidris_pugnax
ENSARWP00000010687	ENSARWG00000007415	Apteryx_rowi
ENSAOWP00000019618	ENSAOWG00000013046	Apteryx_owenii
ENSAHAP00000022777	ENSAHAG00000015911	Apteryx_haastii
ENSDNVP00000014566	ENSDNVG00000009750	Dromaius_novaehollandiae
ENSNPEP00000004860	ENSNPEG00000003717	Nothoprocta_perdicaria
ENSCPRP00005005080	ENSCPRG00005003356	Crocodylus_porosus
ENSGAGP00000031495	ENSGAGG00000022620	Gopherus_agassizii
ENSCABP00000014365	ENSCABG00000010728	Chelonoidis_abingdonii
ENSCPBP00000040960	ENSCPBG00000028114	Chrysemys_picta_bellii
ENSPSIP00000007269	ENSPSIG00000006537	Pelodiscus_sinensis
ENSXETP00000046963	ENSXETG00000017500	Xenopus_tropicalis
ENSLACP00000004845	ENSLACG00000004308	Latimeria_chalumnae
ENSAMXP00000032625	ENSAMXG00000042274	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005008837	ENSAMXG00005005040	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000029872	ENSPNAG00000016316	Pygocentrus_nattereri
ENSIPUP00000032448	ENSIPUG00000021770	Ictalurus_punctatus
ENSEEEP00000001448	ENSEEEG00000000945	Electrophorus_electricus
ENSDARP00000131114	ENSDARG00000098679	Danio_rerio
ENSDARP00000149595	ENSDARG00000112002	Danio_rerio
ENSDCDP00000038644	ENSDCDG00000025138	Denticeps_clupeoides
ENSCHAP00000017949	ENSCHAG00000008801	Clupea_harengus
ENSMAMP00000035143	ENSMAMG00000023593	Mastacembelus_armatus
ENSMALP00000008159	ENSMALG00000005777	Monopterus_albus
ENSATEP00000035899	ENSATEG00000024675	Anabas_testudineus
ENSBSLP00000018355	ENSBSLG00000009392	Betta_splendens
ENSSDUP00000003493	ENSSDUG00000002664	Seriola_dumerili
ENSSLDP00000033478	ENSSLDG00000025606	Seriola_lalandi_dorsalis
ENSLCAP00010029570	ENSLCAG00010013898	Lates_calcarifer
ENSSMAP00000021942	ENSSMAG00000013392	Scophthalmus_maximus
ENSTRUP00000055193	ENSTRUG00000011208	Takifugu_rubripes
ENSTNIP00000014897	ENSTNIG00000011937	Tetraodon_nigroviridis
ENSMMOP00000006676	ENSMMOG00000005217	Mola_mola
ENSLCRP00005017328	ENSLCRG00005007152	Larimichthys_crocea
ENSLBEP00000036651	ENSLBEG00000027411	Labrus_bergylta
ENSGACP00000016245	ENSGACG00000012276	Gasterosteus_aculeatus
ENSCGOP00000024699	ENSCGOG00000011671	Cottoperca_gobio
ENSPFOP00000012368	ENSPFOG00000012162	Poecilia_formosa
ENSPLAP00000010895	ENSPLAG00000013940	Poecilia_latipinna
ENSPMEP00000013348	ENSPMEG00000015728	Poecilia_mexicana
ENSPREP00000002916	ENSPREG00000002070	Poecilia_reticulata
ENSXMAP00000014596	ENSXMAG00000014557	Xiphophorus_maculatus
ENSXCOP00000000231	ENSXCOG00000000222	Xiphophorus_couchianus
ENSGAFP00000028192	ENSGAFG00000019073	Gambusia_affinis
ENSFHEP00000022463	ENSFHEG00000002883	Fundulus_heteroclitus
ENSCVAP00000001980	ENSCVAG00000003041	Cyprinodon_variegatus
ENSKMAP00000028096	ENSKMAG00000020841	Kryptolebias_marmoratus
ENSORLP00020015762	ENSORLG00020016782	Oryzias_latipes_ASM223471v1
ENSORLP00000031653	ENSORLG00000009756	Oryzias_latipes_ASM223467v1
ENSORLP00015025223	ENSORLG00015006257	Oryzias_latipes_ASM223469v1
ENSOMEP00000012612	ENSOMEG00000014029	Oryzias_melastigma
ENSACLP00000041573	ENSACLG00000027982	Astatotilapia_calliptera
ENSHBUP00000009489	ENSHBUG00000011052	Haplochromis_burtoni
ENSPNYP00000019463	ENSPNYG00000014689	Pundamilia_nyererei
ENSMZEP00005017232	ENSMZEG00005012951	Maylandia_zebra
ENSONIP00000002792	ENSONIG00000002239	Oreochromis_niloticus
ENSNBRP00000006629	ENSNBRG00000005206	Neolamprologus_brichardi
ENSACIP00000005740	ENSACIG00000004500	Amphilophus_citrinellus
ENSGWIP00000039930	ENSGWIG00000017826	Gouania_willdenowi
ENSAPEP00000013168	ENSAPEG00000009318	Amphiprion_percula
ENSAOCP00000032054	ENSAOCG00000024132	Amphiprion_ocellaris
ENSAPOP00000032184	ENSAPOG00000019974	Acanthochromis_polyacanthus
ENSSPAP00000019666	ENSSPAG00000014805	Stegastes_partitus
ENSPRNP00000049091	ENSPRNG00000023423	Parambassis_ranga
ENSHCOP00000006818	ENSHCOG00000008679	Hippocampus_comes
ENSCSEP00000019822	ENSCSEG00000012637	Cynoglossus_semilaevis
ENSPMGP00000022473	ENSPMGG00000018182	Periophthalmus_magnuspinnatus
ENSGMOP00000005022	ENSGMOG00000004717	Gadus_morhua
ENSHHUP00000015081	ENSHHUG00000009307	Hucho_hucho
ENSHHUP00000017497	ENSHHUG00000010854	Hucho_hucho
ENSELUP00000006964	ENSELUG00000007805	Esox_lucius
ENSPKIP00000007743	ENSPKIG00000023507	Paramormyrops_kingsleyae
ENSSFOP00015007569	ENSSFOG00015004969	Scleropages_formosus
ENSLOCP00000016452	ENSLOCG00000013342	Lepisosteus_oculatus
ENSECRP00000021814	ENSECRG00000014739	Erpetoichthys_calabaricus
ENSCMIP00000001318	ENSCMIG00000000752	Callorhinchus_milii
ENSCINP00000030694	ENSCING00000021893	Ciona_intestinalis
ENSCINP00000019434	ENSCING00000009550	Ciona_intestinalis
ENSCSAVP00000008215	ENSCSAVG00000004888	Ciona_savignyi
YJR042W_mRNA	YJR042W	Saccharomyces_cerevisiae_strain_S288C
