ENSAMEP00000018884	ENSAMEG00000017867	Ailuropoda_melanoleuca
ENSFCAP00000059588	ENSFCAG00000002281	Felis_catus
ENSCABP00000024506	ENSCABG00000018043	Chelonoidis_abingdonii
ENSCHAP00000042197	ENSCHAG00000019529	Clupea_harengus
ENSPVAP00000012850	ENSPVAG00000013621	Pteropus_vampyrus
ENSOARP00000000512	ENSOARG00000000498	Ovis_aries
ENSPSIP00000014187	ENSPSIG00000012373	Pelodiscus_sinensis
ENSECAP00000006147	ENSECAG00000007848	Equus_caballus
ENSSPAP00000027469	ENSSPAG00000020651	Stegastes_partitus
ENSMSIP00000005757	ENSMSIG00000005091	Mus_spicilegus
ENSNBRP00000019899	ENSNBRG00000015292	Neolamprologus_brichardi
ENSOANP00000025776	ENSOANG00000020288	Ornithorhynchus_anatinus
ENSMLUP00000003885	ENSMLUG00000004256	Myotis_lucifugus
ENSMOCP00000005229	ENSMOCG00000004653	Microtus_ochrogaster
ENSSPUP00000020640	ENSSPUG00000015839	Sphenodon_punctatus
ENSBSLP00000041698	ENSBSLG00000019977	Betta_splendens
ENSKMAP00000021975	ENSKMAG00000016301	Kryptolebias_marmoratus
ENSLCRP00005032302	ENSLCRG00005012766	Larimichthys_crocea
ENSZALP00000018269	ENSZALG00000014654	Zonotrichia_albicollis
ENSPCIP00000028940	ENSPCIG00000021582	Phascolarctos_cinereus
ENSPNAP00000003047	ENSPNAG00000001320	Pygocentrus_nattereri
ENSCPRP00005014028	ENSCPRG00005009875	Crocodylus_porosus
ENSMUNP00000012047	ENSMUNG00000009494	Melopsittacus_undulatus
ENSPREP00000034134	ENSPREG00000023116	Poecilia_reticulata
ENSCSAP00000010316	ENSCSAG00000014176	Chlorocebus_sabaeus
ENSMAUP00000014166	ENSMAUG00000013951	Mesocricetus_auratus
ENSSLDP00000028068	ENSSLDG00000021690	Seriola_lalandi_dorsalis
ENSDARP00000045474	ENSDARG00000032435	Danio_rerio
ENSGGOP00000012737	ENSGGOG00000013044	Gorilla_gorilla
ENSORLP00015022443	ENSORLG00015001824	Oryzias_latipes_ASM223469v1
ENSDORP00000012393	ENSDORG00000013177	Dipodomys_ordii
ENSCCNP00000016780	ENSCCNG00000017035	Castor_canadensis
ENSAPEP00000020270	ENSAPEG00000014412	Amphiprion_percula
ENSTBEP00000011931	ENSTBEG00000013731	Tupaia_belangeri
ENSAOCP00000020577	ENSAOCG00000004862	Amphiprion_ocellaris
ENSMUSP00000044227	ENSMUSG00000039115	Mus_musculus_strain_reference_(CL57BL6)
ENSLCOP00000016275	ENSLCOG00000011605	Lepidothrix_coronata
ENSBIXP00005018835	ENSBIXG00005022194	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSMRP00000007658	ENSSMRG00000006135	Salvator_merianae	ENSSMRT00000008949
ENSNLEP00000046231	ENSNLEG00000005089	Nomascus_leucogenys
ENSPMGP00000001960	ENSPMGG00000001769	Periophthalmus_magnuspinnatus
ENSCHAP00000041784	ENSCHAG00000019479	Clupea_harengus
ENSCGOP00000056365	ENSCGOG00000024482	Cottoperca_gobio
ENSSCAP00000023523	ENSSCAG00000016844	Serinus_canaria
ENSBMUP00000003448	ENSBMUG00000002727	Bos_mutus
ENSEASP00005010498	ENSEASG00005007449	Equus_asinus_asinus
ENSPRNP00000042777	ENSPRNG00000020755	Parambassis_ranga
ENSNVIP00000032343	ENSNVIG00000024937	Neovison_vison
ENSPTRP00000025436	ENSPTRG00000014748	Pan_troglodytes
ENSPNYP00000024137	ENSPNYG00000018199	Pundamilia_nyererei
ENSRBIP00000017381	ENSRBIG00000032690	Rhinopithecus_bieti
ENSARWP00000019653	ENSARWG00000013397	Apteryx_rowi
ENSDNVP00000015752	ENSDNVG00000011091	Dromaius_novaehollandiae
ENSSFOP00015011325	ENSSFOG00015007257	Scleropages_formosus
ENSGACP00000007085	ENSGACG00000005354	Gasterosteus_aculeatus
ENSBTAP00000022042	ENSBTAG00000016566	Bos_taurus
ENSTTRP00000005098	ENSTTRG00000005393	Tursiops_truncatus
ENSLACP00000015961	ENSLACG00000014053	Latimeria_chalumnae
ENSPPYP00000015679	ENSPPYG00000014017	Pongo_abelii
ENSVURP00010018683	ENSVURG00010014218	Vombatus_ursinus
ENSTRUP00000033014	ENSTRUG00000013012	Takifugu_rubripes
ENSPTIP00000017509	ENSPTIG00000015898	Panthera_tigris_altaica
ENSLAFP00000021959	ENSLAFG00000026278	Loxodonta_africana
ENSCJAP00000069265	ENSCJAG00000012661	Callithrix_jacchus
ENSMPUP00000002861	ENSMPUG00000002890	Mustela_putorius_furo
ENSHCOP00000010007	ENSHCOG00000012593	Hippocampus_comes
ENSFALP00000013686	ENSFALG00000013091	Ficedula_albicollis
ENSABRP00000003293	ENSABRG00000002987	Anser_brachyrhynchus
ENSMODP00000016638	ENSMODG00000013303	Monodelphis_domestica
ENSORLP00020032047	ENSORLG00020017491	Oryzias_latipes_ASM223471v1
ENSPCAP00000010300	ENSPCAG00000010911	Procavia_capensis
ENSCPBP00000018742	ENSCPBG00000013620	Chrysemys_picta_bellii
ENSCCAP00000007491	ENSCCAG00000021494	Cebus_capucinus_imitator
ENSCGRP00015011552	ENSCGRG00015008835	Cricetulus_griseus_CriGri-PICR
ENSMMUP00000076948	ENSMMUG00000021927	Macaca_mulatta
ENSEBUP00000013508	ENSEBUG00000008531	Eptatretus_burgeri
ENSMMOP00000004379	ENSMMOG00000003487	Mola_mola
ENSGMOP00000017025	ENSGMOG00000015835	Gadus_morhua
ENSIPUP00000026847	ENSIPUG00000018145	Ictalurus_punctatus
ENSPKIP00000003696	ENSPKIG00000021056	Paramormyrops_kingsleyae
ENSCPUP00000026597	ENSCPUG00000017893	Calidris_pugnax
ENSLAFP00000000986	ENSLAFG00000001169	Loxodonta_africana
ENSCCEP00000018508	ENSCCEG00000016948	Cyanistes_caeruleus
ENSPVIP00000020747	ENSPVIG00000015809	Pogona_vitticeps	ENSPVIT00000025778
ENSGALP00000055215	ENSGALG00000029378	Gallus_gallus
ENSCANP00000031183	ENSCANG00000039253	Colobus_angolensis_palliatus
ENSSHAP00000014064	ENSSHAG00000012020	Sarcophilus_harrisii
ENSPANP00000042461	ENSPANG00000024752	Papio_anubis
ENSCPOP00000013200	ENSCPOG00000014650	Cavia_porcellus
ENSCPGP00000002311	ENSCPGG00000001712	Calidris_pygmaea
ENSAMXP00000013963	ENSAMXG00000013573	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSACAP00000005165	ENSACAG00000005296	Anolis_carolinensis
ENSANAP00000027546	ENSANAG00000031547	Aotus_nancymaae
ENSORLP00000039434	ENSORLG00000011143	Oryzias_latipes_ASM223467v1
ENSECRP00000024663	ENSECRG00000016703	Erpetoichthys_calabaricus
ENSTNIP00000015735	ENSTNIG00000012761	Tetraodon_nigroviridis
ENSSARP00000004434	ENSSARG00000004781	Sorex_araneus
ENSDNOP00000007219	ENSDNOG00000009308	Dasypus_novemcinctus
ENSFDAP00000010836	ENSFDAG00000018498	Fukomys_damarensis
ENSNSUP00000020443	ENSNSUG00000014892	Notechis_scutatus	ENSNSUT00000021752
ENSTSYP00000035048	ENSTSYG00000033049	Carlito_syrichta
ENSPPRP00000013777	ENSPPRG00000006908	Panthera_pardus
ENSGWIP00000042487	ENSGWIG00000021064	Gouania_willdenowi
ENSRROP00000018780	ENSRROG00000033427	Rhinopithecus_roxellana
ENSRBIP00000023527	ENSRBIG00000035691	Rhinopithecus_bieti
ENSEBUP00000020258	ENSEBUG00000012565	Eptatretus_burgeri
ENSPFOP00000029631	ENSPFOG00000024558	Poecilia_formosa
ENSAPLP00000009011	ENSAPLG00000009236	Anas_platyrhynchos_platyrhynchos
ENSPMJP00000024600	ENSPMJG00000018064	Parus_major
ENSAPOP00000021884	ENSAPOG00000002799	Acanthochromis_polyacanthus
ENSPCOP00000030235	ENSPCOG00000027840	Propithecus_coquereli
ENSFHEP00000024494	ENSFHEG00000006188	Fundulus_heteroclitus
ENSMICP00000051176	ENSMICG00000048957	Microcebus_murinus
ENSCAFP00020001400	ENSCAFG00020001019	Canis_lupus_dingo
ENSLSDP00000002713	ENSLSDG00000001859	Lonchura_striata_domestica
ENSPSMP00000021857	ENSPSMG00000015396	Prolemur_simus
ENSPLAP00000001449	ENSPLAG00000002513	Poecilia_latipinna
ENSAOWP00000011977	ENSAOWG00000008174	Apteryx_owenii
ENSEBUP00000003412	ENSEBUG00000002441	Eptatretus_burgeri
ENSP00000264741	ENSG00000144668	Homo_sapiens
ENSXETP00000040921	ENSXETG00000020437	Xenopus_tropicalis
ENSPMAP00000005738	ENSPMAG00000005190	Petromyzon_marinus
ENSLBEP00000004121	ENSLBEG00000003155	Labrus_bergylta
MGP_PahariEiJ_P0026185	MGP_PahariEiJ_G0015655	Mus_pahari_strain_PAHARI_EIJ
ENSCGOP00000056355	ENSCGOG00000024460	Cottoperca_gobio
ENSPEMP00000008254	ENSPEMG00000009918	Peromyscus_maniculatus_bairdii
ENSPPAP00000008105	ENSPPAG00000027284	Pan_paniscus
ENSJJAP00000000187	ENSJJAG00000000158	Jaculus_jaculus
ENSCAFP00000038306	ENSCAFG00000004820	Canis_lupus_familiaris
ENSHHUP00000020752	ENSHHUG00000012999	Hucho_hucho
ENSNPEP00000000825	ENSNPEG00000000645	Nothoprocta_perdicaria
MGP_SPRETEiJ_P0094250	MGP_SPRETEiJ_G0033936	Mus_spretus_strain_SPRET/EiJ
ENSODEP00000007721	ENSODEG00000005754	Octodon_degus
ENSPTEP00000021063	ENSPTEG00000022178	Piliocolobus_tephrosceles
ENSATEP00000027700	ENSATEG00000019109	Anabas_testudineus
ENSCVAP00000007627	ENSCVAG00000009356	Cyprinodon_variegatus
ENSXMAP00000011055	ENSXMAG00000011004	Xiphophorus_maculatus
ENSBBBP00000024793	ENSBBBG00000005380	Bison_bison_bison
