ENSPNAP00000020682	ENSPNAG00000006441	Pygocentrus_nattereri
ENSCJAP00000070479	ENSCJAG00000040459	Callithrix_jacchus
ENSDORP00000017002	ENSDORG00000024305	Dipodomys_ordii
ENSPSMP00000029430	ENSPSMG00000020452	Prolemur_simus
ENSMICP00000022328	ENSMICG00000033332	Microcebus_murinus
ENSPCOP00000032192	ENSPCOG00000028882	Propithecus_coquereli
ENSLAFP00000013974	ENSLAFG00000016645	Loxodonta_africana
ENSDNOP00000028747	ENSDNOG00000041195	Dasypus_novemcinctus
ENSCHOP00000007970	ENSCHOG00000009013	Choloepus_hoffmanni
ENSETEP00000012486	ENSETEG00000015402	Echinops_telfairi
ENSETEP00000005287	ENSETEG00000006506	Echinops_telfairi
ENSETEP00000012732	ENSETEG00000015696	Echinops_telfairi
ENSNSUP00000027187	ENSNSUG00000019467	Notechis_scutatus
ENSLOCP00000016155	ENSLOCG00000013117	Lepisosteus_oculatus
ENSLACP00000022886	ENSLACG00000022129	Latimeria_chalumnae
ENSCMIP00000045844	ENSCMIG00000018890	Callorhinchus_milii
ENSCMIP00000011813	ENSCMIG00000006104	Callorhinchus_milii
ENSEBUP00000019834	ENSEBUG00000012317	Eptatretus_burgeri
