ENSVURP00010018210	ENSVURG00010013894	Vombatus_ursinus	ENSVURT00010020695
ENSPCIP00000050866	ENSPCIG00000021896	Phascolarctos_cinereus	ENSPCIT00000055121
ENSMEUP00000013287	ENSMEUG00000014547	Notamacropus_eugenii	ENSMEUT00000014594
ENSSHAP00000013552	ENSSHAG00000011584	Sarcophilus_harrisii	ENSSHAT00000013664
ENSMODP00000017359	ENSMODG00000013876	Monodelphis_domestica	ENSMODT00000017679
MGP_SPRETEiJ_P0076105	MGP_SPRETEiJ_G0029224	Mus_spretus_strain_SPRET/EiJ
ENSFDAP00000002288	ENSFDAG00000012035	Fukomys_damarensis
ENSSTOP00000008803	ENSSTOG00000009818	Ictidomys_tridecemlineatus
ENSUPAP00010023544	ENSUPAG00010018659	Urocitellus_parryii
ENSSDAP00000027222	ENSSDAG00000024664	Spermophilus_dauricus
ENSMMMP00000013622	ENSMMMG00000012133	Marmota_marmota_marmota
ENSOPRP00000003981	ENSOPRG00000004323	Ochotona_princeps
ENSPPAP00000040283	ENSPPAG00000042793	Pan_paniscus
ENSPTRP00000033813	ENSPTRG00000019739	Pan_troglodytes
ENSP00000329140	ENSG00000182158	Homo_sapiens
ENSGGOP00000004138	ENSGGOG00000004216	Gorilla_gorilla
ENSPPYP00000020238	ENSPPYG00000018036	Pongo_abelii
ENSNLEP00000016603	ENSNLEG00000026880	Nomascus_leucogenys
ENSMFAP00000021838	ENSMFAG00000035831	Macaca_fascicularis
ENSMMUP00000022133	ENSMMUG00000016833	Macaca_mulatta
ENSMNEP00000034812	ENSMNEG00000040567	Macaca_nemestrina
ENSMLEP00000038125	ENSMLEG00000043119	Mandrillus_leucophaeus
ENSCATP00000021545	ENSCATG00000034474	Cercocebus_atys
ENSTGEP00000032317	ENSTGEG00000025824	Theropithecus_gelada
ENSPANP00000015465	ENSPANG00000010323	Papio_anubis
ENSCSAP00000005007	ENSCSAG00000008752	Chlorocebus_sabaeus
ENSCANP00000034425	ENSCANG00000040886	Colobus_angolensis_palliatus
ENSPTEP00000040655	ENSPTEG00000037426	Piliocolobus_tephrosceles
ENSRROP00000044697	ENSRROG00000045302	Rhinopithecus_roxellana
ENSRBIP00000003407	ENSRBIG00000016046	Rhinopithecus_bieti
ENSCCAP00000016603	ENSCCAG00000026087	Cebus_capucinus_imitator
ENSSBOP00000005312	ENSSBOG00000019462	Saimiri_boliviensis_boliviensis
ENSCJAP00000023564	ENSCJAG00000012834	Callithrix_jacchus
ENSANAP00000014801	ENSANAG00000025288	Aotus_nancymaae
ENSTSYP00000010474	ENSTSYG00000011404	Carlito_syrichta
ENSPSMP00000028845	ENSPSMG00000020046	Prolemur_simus
ENSPCOP00000008368	ENSPCOG00000015455	Propithecus_coquereli
ENSMICP00000003604	ENSMICG00000003960	Microcebus_murinus
ENSOGAP00000009708	ENSOGAG00000010846	Otolemur_garnettii
ENSTBEP00000004206	ENSTBEG00000004887	Tupaia_belangeri
ENSECAP00000005839	ENSECAG00000007609	Equus_caballus
ENSEASP00005016633	ENSEASG00005011508	Equus_asinus_asinus
ENSAMEP00000019076	ENSAMEG00000018046	Ailuropoda_melanoleuca
ENSUMAP00000021946	ENSUMAG00000016062	Ursus_maritimus
ENSNVIP00000028862	ENSNVIG00000022260	Neovison_vison
ENSMPUP00000003924	ENSMPUG00000003955	Mustela_putorius_furo
ENSCAFP00020034500	ENSCAFG00020026773	Canis_lupus_dingo
ENSVVUP00000009672	ENSVVUG00000007152	Vulpes_vulpes
ENSPPRP00000001089	ENSPPRG00000024383	Panthera_pardus
ENSPTIP00000010222	ENSPTIG00000011060	Panthera_tigris_altaica
ENSOARP00000010679	ENSOARG00000009957	Ovis_aries
ENSCHIP00000015371	ENSCHIG00000016029	Capra_hircus
ENSBIXP00005027008	ENSBIXG00005005147	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037875	ENSBIXG00000021589	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000020987	ENSBTAG00000015802	Bos_taurus
ENSBMUP00000019804	ENSBMUG00000014932	Bos_mutus
ENSTTRP00000004562	ENSTTRG00000004842	Tursiops_truncatus
ENSSSCP00000017504	ENSSSCG00000016520	Sus_scrofa_strain_reference
ENSVPAP00000008812	ENSVPAG00000009476	Vicugna_pacos
ENSMLUP00000016542	ENSMLUG00000030474	Myotis_lucifugus
ENSSARP00000000452	ENSSARG00000000505	Sorex_araneus
ENSEEUP00000001965	ENSEEUG00000002157	Erinaceus_europaeus
ENSPVAP00000006411	ENSPVAG00000006793	Pteropus_vampyrus
ENSUAMP00000032843	ENSUAMG00000025042	Ursus_americanus
ENSBBBP00000020063	ENSBBBG00000002830	Bison_bison_bison
ENSOCUP00000040477	ENSOCUG00000007313	Oryctolagus_cuniculus
ENSFCAP00000059064	ENSFCAG00000000648	Felis_catus
ENSDNOP00000003153	ENSDNOG00000004102	Dasypus_novemcinctus
ENSCHOP00000003014	ENSCHOG00000003404	Choloepus_hoffmanni
ENSPCAP00000013892	ENSPCAG00000014875	Procavia_capensis
ENSETEP00000002313	ENSETEG00000002823	Echinops_telfairi
ENSLAFP00000007110	ENSLAFG00000008469	Loxodonta_africana
ENSOANP00000001286	ENSOANG00000000830	Ornithorhynchus_anatinus
ENSOANP00000007961	ENSOANG00000005018	Ornithorhynchus_anatinus
ENSLCOP00000014427	ENSLCOG00000010350	Lepidothrix_coronata
ENSMVIP00005023973	ENSMVIG00005016815	Manacus_vitellinus
ENSTGUP00000011945	ENSTGUG00000011582	Taeniopygia_guttata
ENSLSDP00000012933	ENSLSDG00000009414	Lonchura_striata_domestica
ENSSCAP00000013262	ENSSCAG00000009853	Serinus_canaria
ENSFALP00000000525	ENSFALG00000000511	Ficedula_albicollis
ENSCCEP00000017403	ENSCCEG00000016120	Cyanistes_caeruleus
ENSPMJP00000011676	ENSPMJG00000009020	Parus_major
ENSJHYP00000001493	ENSJHYG00000001306	Junco_hyemalis
ENSZALP00000019044	ENSZALG00000015174	Zonotrichia_albicollis
ENSMUNP00000015170	ENSMUNG00000011742	Melopsittacus_undulatus
ENSCPGP00000013764	ENSCPGG00000009743	Calidris_pygmaea
ENSCPUP00000029316	ENSCPUG00000019642	Calidris_pugnax
ENSABRP00000003796	ENSABRG00000003557	Anser_brachyrhynchus
ENSAPLP00000012622	ENSAPLG00000012813	Anas_platyrhynchos_platyrhynchos
ENSGALP00000020974	ENSGALG00000012877	Gallus_gallus
ENSCJPP00005025926	ENSCJPG00005020261	Coturnix_japonica
ENSMGAP00000014004	ENSMGAG00000013250	Meleagris_gallopavo
ENSNMEP00000000077	ENSNMEG00000000114	Numida_meleagris
ENSAHAP00000006363	ENSAHAG00000004809	Apteryx_haastii
ENSARWP00000008372	ENSARWG00000005868	Apteryx_rowi
ENSAOWP00000014943	ENSAOWG00000010193	Apteryx_owenii
ENSDNVP00000014415	ENSDNVG00000010140	Dromaius_novaehollandiae
ENSCPRP00005025833	ENSCPRG00005017921	Crocodylus_porosus
ENSCPBP00000015463	ENSCPBG00000011432	Chrysemys_picta_bellii
ENSGAGP00000027924	ENSGAGG00000020279	Gopherus_agassizii
ENSCABP00000000262	ENSCABG00000000243	Chelonoidis_abingdonii
ENSNPEP00000003698	ENSNPEG00000002816	Nothoprocta_perdicaria
ENSPSIP00000007076	ENSPSIG00000006461	Pelodiscus_sinensis
ENSACAP00000011512	ENSACAG00000011643	Anolis_carolinensis
ENSPVIP00000031127	ENSPVIG00000022885	Pogona_vitticeps
ENSNSUP00000018742	ENSNSUG00000013698	Notechis_scutatus
ENSSMRP00000020581	ENSSMRG00000016018	Salvator_merianae
ENSSPUP00000005883	ENSSPUG00000004512	Sphenodon_punctatus
ENSXETP00000017260	ENSXETG00000002706	Xenopus_tropicalis
ENSLACP00000009680	ENSLACG00000008535	Latimeria_chalumnae
ENSDCDP00000033844	ENSDCDG00000022900	Denticeps_clupeoides
ENSCHAP00000020553	ENSCHAG00000010107	Clupea_harengus
ENSAMXP00005019361	ENSAMXG00005010014	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000001804	ENSAMXG00000001763	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000015142	ENSPNAG00000021149	Pygocentrus_nattereri
ENSEEEP00000043169	ENSEEEG00000020384	Electrophorus_electricus
ENSIPUP00000023779	ENSIPUG00000016066	Ictalurus_punctatus
ENSDARP00000130319	ENSDARG00000063563	Danio_rerio
ENSHHUP00000037750	ENSHHUG00000023600	Hucho_hucho
ENSHHUP00000002147	ENSHHUG00000001344	Hucho_hucho
ENSELUP00000037059	ENSELUG00000016552	Esox_lucius
ENSGACP00000026535	ENSGACG00000020083	Gasterosteus_aculeatus
ENSHCOP00000015346	ENSHCOG00000019029	Hippocampus_comes
ENSCSEP00000009233	ENSCSEG00000005930	Cynoglossus_semilaevis
ENSTRUP00000033341	ENSTRUG00000013114	Takifugu_rubripes
ENSTNIP00000015622	ENSTNIG00000012649	Tetraodon_nigroviridis
ENSMMOP00000008764	ENSMMOG00000006778	Mola_mola
ENSSMAP00000009675	ENSSMAG00000005938	Scophthalmus_maximus
ENSPMEP00000029284	ENSPMEG00000014949	Poecilia_mexicana
ENSPLAP00000019060	ENSPLAG00000000851	Poecilia_latipinna
ENSPFOP00000012342	ENSPFOG00000012285	Poecilia_formosa
ENSPREP00000033704	ENSPREG00000022832	Poecilia_reticulata
ENSXMAP00000004395	ENSXMAG00000004377	Xiphophorus_maculatus
ENSXCOP00000019645	ENSXCOG00000014754	Xiphophorus_couchianus
ENSGAFP00000020986	ENSGAFG00000014144	Gambusia_affinis
ENSFHEP00000002161	ENSFHEG00000002964	Fundulus_heteroclitus
ENSCVAP00000012919	ENSCVAG00000015392	Cyprinodon_variegatus
ENSKMAP00000018803	ENSKMAG00000013959	Kryptolebias_marmoratus
ENSORLP00020025740	ENSORLG00020007877	Oryzias_latipes_ASM223471v1
ENSORLP00015006233	ENSORLG00015007068	Oryzias_latipes_ASM223469v1
ENSORLP00000035587	ENSORLG00000016776	Oryzias_latipes_ASM223467v1
ENSOMEP00000036287	ENSOMEG00000023801	Oryzias_melastigma
ENSMALP00000019522	ENSMALG00000013625	Monopterus_albus
ENSSDUP00000021928	ENSSDUG00000015943	Seriola_dumerili
ENSSLDP00000010525	ENSSLDG00000008394	Seriola_lalandi_dorsalis
ENSLCAP00010022321	ENSLCAG00010010483	Lates_calcarifer
ENSATEP00000032543	ENSATEG00000022406	Anabas_testudineus
ENSBSLP00000036227	ENSBSLG00000017601	Betta_splendens
ENSMAMP00000026089	ENSMAMG00000017491	Mastacembelus_armatus
ENSLBEP00000006123	ENSLBEG00000004689	Labrus_bergylta
ENSLBEP00000025317	ENSLBEG00000019296	Labrus_bergylta
ENSLCRP00005027570	ENSLCRG00005010970	Larimichthys_crocea
ENSCGOP00000046428	ENSCGOG00000020856	Cottoperca_gobio
ENSPRNP00000017726	ENSPRNG00000009372	Parambassis_ranga
ENSGWIP00000023406	ENSGWIG00000012493	Gouania_willdenowi
ENSPNYP00000028441	ENSPNYG00000021410	Pundamilia_nyererei
ENSHBUP00000025713	ENSHBUG00000007903	Haplochromis_burtoni
ENSMZEP00005001091	ENSMZEG00005000947	Maylandia_zebra
ENSACLP00000022377	ENSACLG00000015188	Astatotilapia_calliptera
ENSONIP00000022529	ENSONIG00000017874	Oreochromis_niloticus
ENSNBRP00000015543	ENSNBRG00000012025	Neolamprologus_brichardi
ENSACIP00000005094	ENSACIG00000004005	Amphilophus_citrinellus
ENSAOCP00000030992	ENSAOCG00000022335	Amphiprion_ocellaris
ENSAPEP00000031580	ENSAPEG00000022393	Amphiprion_percula
ENSAPOP00000016438	ENSAPOG00000019585	Acanthochromis_polyacanthus
ENSSPAP00000020174	ENSSPAG00000015202	Stegastes_partitus
ENSPMGP00000000276	ENSPMGG00000000216	Periophthalmus_magnuspinnatus
ENSGMOP00000011179	ENSGMOG00000010438	Gadus_morhua
ENSPKIP00000027107	ENSPKIG00000009299	Paramormyrops_kingsleyae
ENSSFOP00015036567	ENSSFOG00015023256	Scleropages_formosus
ENSLOCP00000021141	ENSLOCG00000017109	Lepisosteus_oculatus
ENSECRP00000003528	ENSECRG00000002420	Erpetoichthys_calabaricus
ENSCMIP00000002696	ENSCMIG00000001607	Callorhinchus_milii
ENSPMAP00000010673	ENSPMAG00000009707	Petromyzon_marinus
ENSEBUP00000012895	ENSEBUG00000008177	Eptatretus_burgeri
