ENSTGEP00000030117	ENSTGEG00000024195	Theropithecus_gelada
ENSARWP00000025998	ENSARWG00000017639	Apteryx_rowi
ENSDORP00000011248	ENSDORG00000011969	Dipodomys_ordii
ENSBTAP00000002952	ENSBTAG00000002286	Bos_taurus
ENSDNOP00000029805	ENSDNOG00000044110	Dasypus_novemcinctus
ENSCSAP00000009204	ENSCSAG00000013027	Chlorocebus_sabaeus
ENSTSYP00000010169	ENSTSYG00000011091	Carlito_syrichta
ENSSHAP00000012791	ENSSHAG00000010946	Sarcophilus_harrisii
ENSTGUP00000015009	ENSTGUG00000014636	Taeniopygia_guttata
ENSCMIP00000001669	ENSCMIG00000001046	Callorhinchus_milii
ENSBIXP00005008462	ENSBIXG00005001639	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSBOP00000036675	ENSSBOG00000034464	Saimiri_boliviensis_boliviensis
ENSEEUP00000009803	ENSEEUG00000010777	Erinaceus_europaeus
ENSABRP00000025752	ENSABRG00000021586	Anser_brachyrhynchus
ENSNMEP00000015554	ENSNMEG00000013802	Numida_meleagris
ENSFCAP00000001600	ENSFCAG00000001727	Felis_catus
ENSLSDP00000024933	ENSLSDG00000017490	Lonchura_striata_domestica
ENSAMEP00000011854	ENSAMEG00000011255	Ailuropoda_melanoleuca
ENSGGOP00000048236	ENSGGOG00000002755	Gorilla_gorilla
ENSSARP00000003873	ENSSARG00000004263	Sorex_araneus
ENSMFAP00000002924	ENSMFAG00000033878	Macaca_fascicularis
ENSNSUP00000003391	ENSNSUG00000002596	Notechis_scutatus
ENSBBBP00000003655	ENSBBBG00000012702	Bison_bison_bison
ENSNGAP00000022476	ENSNGAG00000021334	Nannospalax_galili
ENSOARP00000018506	ENSOARG00000017241	Ovis_aries
ENSVURP00010012236	ENSVURG00010009447	Vombatus_ursinus
ENSBIXP00000023860	ENSBIXG00000005435	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCCAP00000014453	ENSCCAG00000025027	Cebus_capucinus_imitator
ENSMMMP00000011162	ENSMMMG00000009945	Marmota_marmota_marmota
ENSMVIP00005000672	ENSMVIG00005000559	Manacus_vitellinus
ENSCGRP00015003531	ENSCGRG00015002800	Cricetulus_griseus_CriGri-PICR
ENSCABP00000016999	ENSCABG00000012567	Chelonoidis_abingdonii
ENSCAFP00020003773	ENSCAFG00020003158	Canis_lupus_dingo
ENSPSMP00000027352	ENSPSMG00000019119	Prolemur_simus
ENSPTRP00000029575	ENSPTRG00000017300	Pan_troglodytes
ENSNLEP00000011177	ENSNLEG00000009174	Nomascus_leucogenys
ENSNPEP00000003971	ENSNPEG00000002673	Nothoprocta_perdicaria
ENSSMRP00000007395	ENSSMRG00000005952	Salvator_merianae
ENSCPGP00000000897	ENSCPGG00000000709	Calidris_pygmaea
ENSODEP00000003629	ENSODEG00000002783	Octodon_degus
ENSCCEP00000013416	ENSCCEG00000012914	Cyanistes_caeruleus
ENSPCOP00000015045	ENSPCOG00000019241	Propithecus_coquereli
ENSSDAP00000018122	ENSSDAG00000016558	Spermophilus_dauricus
ENSMEUP00000014546	ENSMEUG00000015924	Notamacropus_eugenii
ENSACAP00000016217	ENSACAG00000016481	Anolis_carolinensis
ENSANAP00000005927	ENSANAG00000021021	Aotus_nancymaae
ENSP00000302843	ENSG00000170464	Homo_sapiens
ENSRNOP00000027194	ENSRNOG00000019995	Rattus_norvegicus
ENSCLAP00000006426	ENSCLAG00000004541	Chinchilla_lanigera
ENSMLEP00000032919	ENSMLEG00000040664	Mandrillus_leucophaeus
ENSPANP00000009473	ENSPANG00000008878	Papio_anubis
ENSPCIP00000021112	ENSPCIG00000016037	Phascolarctos_cinereus
ENSMUGP00000020431	ENSMUGG00000017246	Meriones_unguiculatus
ENSPVIP00000004070	ENSPVIG00000003317	Pogona_vitticeps
ENSOPRP00000001089	ENSOPRG00000001184	Ochotona_princeps
ENSFDAP00000016426	ENSFDAG00000004947	Fukomys_damarensis
ENSUPAP00010027948	ENSUPAG00010022076	Urocitellus_parryii
ENSSPUP00000025076	ENSSPUG00000019214	Sphenodon_punctatus
ENSJHYP00000002904	ENSJHYG00000002414	Junco_hyemalis
ENSVPAP00000005885	ENSVPAG00000006342	Vicugna_pacos
ENSBMUP00000019137	ENSBMUG00000014491	Bos_mutus
ENSHGLP00100002612	ENSHGLG00100002044	Heterocephalus_glaber_HetGla_1.0
ENSETEP00000004939	ENSETEG00000006084	Echinops_telfairi
ENSPSIP00000014430	ENSPSIG00000012941	Pelodiscus_sinensis
ENSEASP00005030672	ENSEASG00005020882	Equus_asinus_asinus
ENSVVUP00000013526	ENSVVUG00000009942	Vulpes_vulpes
ENSPPYP00000017713	ENSPPYG00000015841	Pongo_abelii
ENSUMAP00000021549	ENSUMAG00000015751	Ursus_maritimus
ENSCGRP00001013614	ENSCGRG00001014703	Cricetulus_griseus_CHOK1GS_HDv1
ENSCHOP00000000129	ENSCHOG00000000149	Choloepus_hoffmanni
MGP_PahariEiJ_P0038957	MGP_PahariEiJ_G0018848	Mus_pahari_strain_PAHARI_EIJ
ENSSCAP00000023279	ENSSCAG00000016692	Serinus_canaria
ENSCPBP00000008056	ENSCPBG00000006324	Chrysemys_picta_bellii
ENSMUNP00000012013	ENSMUNG00000009456	Melopsittacus_undulatus
ENSMNEP00000045548	ENSMNEG00000045280	Macaca_nemestrina
ENSDNVP00000004085	ENSDNVG00000002878	Dromaius_novaehollandiae
ENSRBIP00000013085	ENSRBIG00000030524	Rhinopithecus_bieti
ENSAHAP00000003171	ENSAHAG00000002346	Apteryx_haastii
ENSGAGP00000034908	ENSGAGG00000024819	Gopherus_agassizii	ENSGAGT00000039529
ENSMAUP00000001789	ENSMAUG00000001327	Mesocricetus_auratus
ENSGALP00000003973	ENSGALG00000002528	Gallus_gallus
ENSPCAP00000006618	ENSPCAG00000007092	Procavia_capensis
ENSCHIP00000026260	ENSCHIG00000022675	Capra_hircus
ENSTTRP00000003525	ENSTTRG00000003756	Tursiops_truncatus
ENSECAP00000016354	ENSECAG00000018646	Equus_caballus
ENSLACP00000010954	ENSLACG00000009638	Latimeria_chalumnae
ENSMSIP00000011468	ENSMSIG00000010029	Mus_spicilegus
ENSTBEP00000006827	ENSTBEG00000007896	Tupaia_belangeri
ENSCJAP00000058366	ENSCJAG00000042703	Callithrix_jacchus
ENSHGLP00000007021	ENSHGLG00000005126	Heterocephalus_glaber_HetGla_female_1.0
ENSPPAP00000012862	ENSPPAG00000029601	Pan_paniscus
ENSPEMP00000008810	ENSPEMG00000010316	Peromyscus_maniculatus_bairdii
ENSMUSP00000025208	ENSMUSG00000024350	Mus_musculus_strain_reference_(CL57BL6)
ENSPTEP00000032486	ENSPTEG00000031210	Piliocolobus_tephrosceles
ENSMGAP00000000744	ENSMGAG00000001310	Meleagris_gallopavo
ENSOANP00000011068	ENSOANG00000006949	Ornithorhynchus_anatinus
ENSMPUP00000009100	ENSMPUG00000009177	Mustela_putorius_furo
ENSCANP00000002898	ENSCANG00000010620	Colobus_angolensis_palliatus
ENSAOWP00000000158	ENSAOWG00000000142	Apteryx_owenii
ENSMODP00000014796	ENSMODG00000011813	Monodelphis_domestica
ENSCPOP00000016774	ENSCPOG00000021935	Cavia_porcellus
ENSPMJP00000010235	ENSPMJG00000008091	Parus_major
ENSMOCP00000014490	ENSMOCG00000013976	Microtus_ochrogaster
ENSSTOP00000020117	ENSSTOG00000024870	Ictidomys_tridecemlineatus
