ENSTGEP00000002188	ENSTGEG00000001931	Theropithecus_gelada
ENSPMEP00000010331	ENSPMEG00000012316	Poecilia_mexicana
ENSAPOP00000032956	ENSAPOG00000021211	Acanthochromis_polyacanthus
ENSDARP00000081583	ENSDARG00000003903	Danio_rerio
ENSLACP00000005066	ENSLACG00000004507	Latimeria_chalumnae
ENSNPEP00000005356	ENSNPEG00000004056	Nothoprocta_perdicaria
ENSMZEP00005012464	ENSMZEG00005009372	Maylandia_zebra
ENSBSLP00000040940	ENSBSLG00000019778	Betta_splendens
ENSNGAP00000020148	ENSNGAG00000019736	Nannospalax_galili
ENSVURP00010018696	ENSVURG00010014221	Vombatus_ursinus
ENSAPEP00000004002	ENSAPEG00000002859	Amphiprion_percula
ENSBMUP00000020524	ENSBMUG00000015462	Bos_mutus
ENSCHAP00000011492	ENSCHAG00000006483	Clupea_harengus	ENSCHAT00000012817
ENSRNOP00000025624	ENSRNOG00000018870	Rattus_norvegicus
ENSFALP00000003456	ENSFALG00000003316	Ficedula_albicollis
ENSAOCP00000023951	ENSAOCG00000010404	Amphiprion_ocellaris
ENSEASP00005026814	ENSEASG00005018282	Equus_asinus_asinus
ENSCGRP00015034610	ENSCGRG00015026036	Cricetulus_griseus_CriGri-PICR
ENSORLP00000019552	ENSORLG00000015619	Oryzias_latipes_ASM223467v1
ENSMUSP00000005014	ENSMUSG00000004894	Mus_musculus_strain_reference_(CL57BL6)
ENSOMEP00000020702	ENSOMEG00000022593	Oryzias_melastigma
ENSGALP00000021579	ENSGALG00000013234	Gallus_gallus
ENSUPAP00010005634	ENSUPAG00010004549	Urocitellus_parryii
ENSOANP00000030293	ENSOANG00000031852	Ornithorhynchus_anatinus
ENSRBIP00000012598	ENSRBIG00000030270	Rhinopithecus_bieti
ENSCPUP00000026835	ENSCPUG00000018068	Calidris_pugnax
ENSOGAP00000018802	ENSOGAG00000028099	Otolemur_garnettii
ENSPPRP00000004619	ENSPPRG00000000657	Panthera_pardus
ENSCGRP00001026259	ENSCGRG00001023629	Cricetulus_griseus_CHOK1GS_HDv1
ENSGAFP00000017293	ENSGAFG00000011691	Gambusia_affinis
ENSPPAP00000016343	ENSPPAG00000031296	Pan_paniscus
ENSSCAP00000020095	ENSSCAG00000014493	Serinus_canaria
ENSGACP00000023496	ENSGACG00000017775	Gasterosteus_aculeatus
ENSNSUP00000002688	ENSNSUG00000002218	Notechis_scutatus
ENSPPYP00000000821	ENSPPYG00000000710	Pongo_abelii
ENSCJPP00005017095	ENSCJPG00005013991	Coturnix_japonica
ENSRROP00000035646	ENSRROG00000041310	Rhinopithecus_roxellana
ENSHHUP00000072697	ENSHHUG00000042670	Hucho_hucho
ENSAPLP00000015998	ENSAPLG00000016119	Anas_platyrhynchos_platyrhynchos
ENSMALP00000008370	ENSMALG00000005949	Monopterus_albus
ENSLCAP00010019520	ENSLCAG00010009213	Lates_calcarifer
ENSANAP00000039945	ENSANAG00000037348	Aotus_nancymaae
ENSSFOP00015037938	ENSSFOG00015024144	Scleropages_formosus	ENSSFOT00015038356
ENSKMAP00000022458	ENSKMAG00000016669	Kryptolebias_marmoratus
ENSBBBP00000022485	ENSBBBG00000006847	Bison_bison_bison
MGP_PahariEiJ_P0069299	MGP_PahariEiJ_G0026594	Mus_pahari_strain_PAHARI_EIJ
ENSGAGP00000014069	ENSGAGG00000010714	Gopherus_agassizii
ENSPCAP00000002237	ENSPCAG00000002397	Procavia_capensis
ENSMAMP00000027890	ENSMAMG00000018747	Mastacembelus_armatus
ENSPSMP00000014788	ENSPSMG00000010604	Prolemur_simus
ENSSHAP00000018255	ENSSHAG00000015499	Sarcophilus_harrisii
ENSEEUP00000002930	ENSEEUG00000003214	Erinaceus_europaeus
ENSTGUP00000017704	ENSTGUG00000017425	Taeniopygia_guttata
ENSOARP00000006588	ENSOARG00000006152	Ovis_aries
ENSMUGP00000029384	ENSMUGG00000024383	Meriones_unguiculatus
ENSTRUP00000014565	ENSTRUG00000005987	Takifugu_rubripes
ENSVVUP00000007966	ENSVVUG00000006015	Vulpes_vulpes
ENSPRNP00000006606	ENSPRNG00000003966	Parambassis_ranga
ENSCATP00000011021	ENSCATG00000029760	Cercocebus_atys
ENSCABP00000024217	ENSCABG00000017810	Chelonoidis_abingdonii
ENSPCOP00000017574	ENSPCOG00000020614	Propithecus_coquereli
ENSSSCP00000006903	ENSSSCG00000006478	Sus_scrofa_strain_reference
ENSFCAP00000044409	ENSFCAG00000028979	Felis_catus
ENSCPGP00000015433	ENSCPGG00000010877	Calidris_pygmaea
ENSBTAP00000020956	ENSBTAG00000015784	Bos_taurus
ENSONIP00000001934	ENSONIG00000001547	Oreochromis_niloticus
ENSLSDP00000023188	ENSLSDG00000016318	Lonchura_striata_domestica
ENSCVAP00000030810	ENSCVAG00000019632	Cyprinodon_variegatus
ENSELUP00000033461	ENSELUG00000011692	Esox_lucius
ENSACIP00000008422	ENSACIG00000006614	Amphilophus_citrinellus
ENSDNVP00000020191	ENSDNVG00000014130	Dromaius_novaehollandiae
ENSNMEP00000005786	ENSNMEG00000005972	Numida_meleagris
ENSHBUP00000015379	ENSHBUG00000017288	Haplochromis_burtoni
ENSMSIP00000038011	ENSMSIG00000031667	Mus_spicilegus
ENSHCOP00000024463	ENSHCOG00000013840	Hippocampus_comes
ENSMUNP00000008890	ENSMUNG00000007021	Melopsittacus_undulatus
ENSPREP00000027625	ENSPREG00000018695	Poecilia_reticulata
ENSACLP00000004697	ENSACLG00000003132	Astatotilapia_calliptera
ENSSLDP00000022876	ENSSLDG00000017862	Seriola_lalandi_dorsalis
