ENSSMAP00000011537	ENSSMAG00000007041	Scophthalmus_maximus
ENSCGOP00000023784	ENSCGOG00000010212	Cottoperca_gobio	ENSCGOT00000025659
ENSORLP00015019799	ENSORLG00015020906	Oryzias_latipes_ASM223469v1
ENSECAP00000005184	ENSECAG00000006577	Equus_caballus
ENSCHAP00000061128	ENSCHAG00000027281	Clupea_harengus
ENSLACP00000008927	ENSLACG00000007884	Latimeria_chalumnae
ENSNSUP00000004591	ENSNSUG00000003442	Notechis_scutatus
ENSPPRP00000012807	ENSPPRG00000006296	Panthera_pardus
ENSECRP00000017861	ENSECRG00000011906	Erpetoichthys_calabaricus
ENSCLAP00000006201	ENSCLAG00000004392	Chinchilla_lanigera
ENSANAP00000021942	ENSANAG00000028672	Aotus_nancymaae
ENSLCRP00005013010	ENSLCRG00005005651	Larimichthys_crocea	ENSLCRT00005013329
ENSPMEP00000022514	ENSPMEG00000003525	Poecilia_mexicana
ENSRNOP00000075082	ENSRNOG00000011454	Rattus_norvegicus
ENSCCEP00000012233	ENSCCEG00000011844	Cyanistes_caeruleus
ENSDARP00000109057	ENSDARG00000013667	Danio_rerio
ENSTRUP00000017519	ENSTRUG00000007131	Takifugu_rubripes	ENSTRUT00000017593
ENSHHUP00000024437	ENSHHUG00000015311	Hucho_hucho
ENSBMUP00000022052	ENSBMUG00000016574	Bos_mutus
ENSPCAP00000004961	ENSPCAG00000005231	Procavia_capensis
ENSMOCP00000000251	ENSMOCG00000000214	Microtus_ochrogaster
ENSMALP00000031895	ENSMALG00000021984	Monopterus_albus
ENSPRNP00000043095	ENSPRNG00000021042	Parambassis_ranga
ENSATEP00000022260	ENSATEG00000015402	Anabas_testudineus
ENSHBUP00000013828	ENSHBUG00000015730	Haplochromis_burtoni
ENSTGEP00000000734	ENSTGEG00000000703	Theropithecus_gelada
ENSEEUP00000011254	ENSEEUG00000012290	Erinaceus_europaeus
ENSVVUP00000023570	ENSVVUG00000017257	Vulpes_vulpes
ENSFALP00000012920	ENSFALG00000012364	Ficedula_albicollis
ENSEEEP00000001125	ENSEEEG00000000707	Electrophorus_electricus
ENSGACP00000023140	ENSGACG00000017502	Gasterosteus_aculeatus	ENSGACT00000023184
ENSACIP00000026127	ENSACIG00000020218	Amphilophus_citrinellus
ENSCGRP00001012848	ENSCGRG00001014137	Cricetulus_griseus_CHOK1GS_HDv1
ENSDORP00000011827	ENSDORG00000012577	Dipodomys_ordii
ENSEASP00005006101	ENSEASG00005004526	Equus_asinus_asinus
ENSAMEP00000018480	ENSAMEG00000017479	Ailuropoda_melanoleuca
ENSPKIP00000032098	ENSPKIG00000012287	Paramormyrops_kingsleyae
ENSCANP00000002289	ENSCANG00000008614	Colobus_angolensis_palliatus
ENSOANP00000004414	ENSOANG00000002772	Ornithorhynchus_anatinus
ENSPCOP00000011599	ENSPCOG00000017320	Propithecus_coquereli
FBpp0290220	FBgn0029736	Drosophila_melanogaster	FBtr0300998
ENSABRP00000008563	ENSABRG00000007689	Anser_brachyrhynchus
ENSGAGP00000014084	ENSGAGG00000010727	Gopherus_agassizii
ENSCGRP00015007928	ENSCGRG00015006088	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000014657	ENSMAUG00000014349	Mesocricetus_auratus
ENSELUP00000017264	ENSELUG00000017041	Esox_lucius
ENSSMRP00000018796	ENSSMRG00000014636	Salvator_merianae
ENSCPGP00000013508	ENSCPGG00000009590	Calidris_pygmaea
ENSORLP00020019661	ENSORLG00020020701	Oryzias_latipes_ASM223471v1
ENSSDAP00000018303	ENSSDAG00000016718	Spermophilus_dauricus
ENSBIXP00005041253	ENSBIXG00005024271	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDNVP00000010418	ENSDNVG00000007338	Dromaius_novaehollandiae
ENSORLP00000008465	ENSORLG00000006742	Oryzias_latipes_ASM223467v1
ENSTTRP00000007346	ENSTTRG00000007754	Tursiops_truncatus
ENSVURP00010004534	ENSVURG00010003587	Vombatus_ursinus
ENSSARP00000012984	ENSSARG00000014351	Sorex_araneus
ENSCATP00000029896	ENSCATG00000038155	Cercocebus_atys
ENSMVIP00005022015	ENSMVIG00005015468	Manacus_vitellinus
ENSCJPP00005011075	ENSCJPG00005009551	Coturnix_japonica
ENSPMJP00000013074	ENSPMJG00000010004	Parus_major
ENSMLUP00000011301	ENSMLUG00000012409	Myotis_lucifugus
ENSONIP00000022085	ENSONIG00000017514	Oreochromis_niloticus
MGP_CAROLIEiJ_P0060565	MGP_CAROLIEiJ_G0025645	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000129205	ENSMUSG00000028030	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0062977	MGP_SPRETEiJ_G0026598	Mus_spretus_strain_SPRET/EiJ
ENSAMXP00005012975	ENSAMXG00005006950	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPTEP00000036652	ENSPTEG00000034401	Piliocolobus_tephrosceles
ENSCABP00000015409	ENSCABG00000010394	Chelonoidis_abingdonii
ENSCPUP00000001593	ENSCPUG00000000642	Calidris_pugnax
ENSNGAP00000007586	ENSNGAG00000010808	Nannospalax_galili
ENSCHIP00000012840	ENSCHIG00000014456	Capra_hircus
ENSUPAP00010011171	ENSUPAG00010009048	Urocitellus_parryii
ENSCPOP00000023157	ENSCPOG00000006708	Cavia_porcellus
ENSCPRP00005008335	ENSCPRG00005005950	Crocodylus_porosus
ENSOPRP00000007766	ENSOPRG00000008468	Ochotona_princeps
ENSRROP00000023058	ENSRROG00000035391	Rhinopithecus_roxellana
ENSCHOP00000009943	ENSCHOG00000011219	Choloepus_hoffmanni
ENSAMXP00000019765	ENSAMXG00000019079	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCCNP00000022975	ENSCCNG00000021719	Castor_canadensis
ENSPREP00000006137	ENSPREG00000004214	Poecilia_reticulata
ENSMFAP00000001129	ENSMFAG00000034054	Macaca_fascicularis
ENSSLDP00000030663	ENSSLDG00000023574	Seriola_lalandi_dorsalis
ENSGGOP00000005018	ENSGGOG00000005116	Gorilla_gorilla
ENSETEP00000000226	ENSETEG00000000285	Echinops_telfairi
ENSPLAP00000003765	ENSPLAG00000005368	Poecilia_latipinna
ENSMUGP00000028929	ENSMUGG00000023951	Meriones_unguiculatus
ENSOARP00000010136	ENSOARG00000009441	Ovis_aries
ENSCINP00000013944	ENSCING00000006797	Ciona_intestinalis
ENSTNIP00000021194	ENSTNIG00000018028	Tetraodon_nigroviridis	ENSTNIT00000021428
ENSOGAP00000004934	ENSOGAG00000005510	Otolemur_garnettii
ENSUMAP00000000028	ENSUMAG00000000081	Ursus_maritimus
ENSFDAP00000003155	ENSFDAG00000012673	Fukomys_damarensis
ENSGALP00000017170	ENSGALG00000010564	Gallus_gallus
ENSTSYP00000019828	ENSTSYG00000004103	Carlito_syrichta
ENSDNOP00000007808	ENSDNOG00000010062	Dasypus_novemcinctus
ENSSBOP00000031555	ENSSBOG00000031928	Saimiri_boliviensis_boliviensis
ENSPMAP00000005959	ENSPMAG00000005415	Petromyzon_marinus
ENSLSDP00000017730	ENSLSDG00000012681	Lonchura_striata_domestica
ENSMMUP00000020687	ENSMMUG00000015756	Macaca_mulatta
ENSOCUP00000007363	ENSOCUG00000008514	Oryctolagus_cuniculus
ENSXMAP00000028104	ENSXMAG00000012060	Xiphophorus_maculatus
ENSZALP00000006014	ENSZALG00000005545	Zonotrichia_albicollis
ENSEBUP00000022685	ENSEBUG00000013976	Eptatretus_burgeri	ENSEBUT00000023262
ENSNBRP00000016481	ENSNBRG00000012699	Neolamprologus_brichardi
ENSIPUP00000012598	ENSIPUG00000008423	Ictalurus_punctatus
ENSSDUP00000002778	ENSSDUG00000002100	Seriola_dumerili	ENSSDUT00000002851
MGP_PahariEiJ_P0071497	MGP_PahariEiJ_G0027094	Mus_pahari_strain_PAHARI_EIJ
ENSBTAP00000005539	ENSBTAG00000004227	Bos_taurus
ENSCSAP00000000346	ENSCSAG00000003984	Chlorocebus_sabaeus
ENSMUNP00000002526	ENSMUNG00000002230	Melopsittacus_undulatus
ENSCVAP00000018096	ENSCVAG00000021423	Cyprinodon_variegatus
ENSPEMP00000005647	ENSPEMG00000008071	Peromyscus_maniculatus_bairdii
ENSPSMP00000012034	ENSPSMG00000008659	Prolemur_simus
ENSARWP00000001022	ENSARWG00000000835	Apteryx_rowi
ENSP00000273980	ENSG00000145348	Homo_sapiens
ENSMNEP00000042858	ENSMNEG00000044135	Macaca_nemestrina
ENSLOCP00000015574	ENSLOCG00000012644	Lepisosteus_oculatus
ENSVPAP00000003660	ENSVPAG00000003932	Vicugna_pacos
ENSACLP00000032290	ENSACLG00000021641	Astatotilapia_calliptera
ENSSPUP00000008292	ENSSPUG00000006390	Sphenodon_punctatus
ENSSSCP00000074083	ENSSSCG00000021784	Sus_scrofa_strain_reference
C33F10.2.1	WBGene00016352	Caenorhabditis_elegans_strain_N2	C33F10.2.1
ENSDCDP00000035582	ENSDCDG00000023851	Denticeps_clupeoides
ENSMLEP00000000167	ENSMLEG00000000098	Mandrillus_leucophaeus
ENSNPEP00000002725	ENSNPEG00000002103	Nothoprocta_perdicaria
